,UKF313,ZH916T1
IGFL3,,-0.019211069991914225
BMP1,0.09304269121752635,0.09242097548779635
NDP,0.04439337596244529,-0.04744628520244817
TNFSF18,,0.0706771639574204
RTN4,-0.02010952952103834,0.013316883934199025
HEBP1,-0.014950299377015015,0.0382181724233874
WNT7B,0.024308118712421237,0.14508097202736267
PTMA,0.030355582920032674,0.08836598622263518
FASLG,,-0.016661754450035975
CEACAM1,,-0.004648825052127755
PDAP1,0.036352903060582566,-0.05996711862362352
QDPR,0.04333343550516968,-0.02855878686157868
POMC,-0.022929640605338638,0.03732309751525532
CCL18,0.013307768172023587,
CCL17,,-0.015102008967047213
VEGFD,-0.015492192088216157,
TNFSF13,,0.04164648091774725
WNT5A,0.04766067866617337,-0.02353548789483327
CXCL8,-0.023997297301988452,-0.007514462218758162
GRN,0.037910544147373895,-0.0012930386810390759
MIA,-0.0210101956891558,0.06862252674991895
COL4A4,,-0.02588144165800628
TAC1,,-0.019853126424090418
RARRES2,-0.12095058854659879,-0.026370633335685772
FGF7,-0.033754535757399756,0.017356288641139327
HBEGF,0.07483735131649165,-0.009470619599281685
CSF3,-0.02327432667757225,-0.015900085682438805
PI3,,-0.03454560390231597
PCSK1N,0.0003089435796423859,-0.071787738624924
NTS,,-0.02354585874065008
SFRP1,-0.031143515847330907,-0.022998712635581956
CXCL13,0.05626444037569602,
MICA,-0.057836209089282845,-0.05732823553095119
TG,-0.033067054361452325,-0.031008199900932933
ADA,-0.022373604957022702,0.06698486282509737
LAMC3,0.022410293234237374,0.06189738532287192
CCL7,,-0.01666174852531497
NGF,0.02020040067157733,0.028238811033927197
TNFSF15,-0.014821548700191402,-0.014095395080347885
HMGB1,0.01809588035465819,0.01689743419962968
ITGB3BP,-0.0004313353889739474,-0.015303856440095473
AANAT,,-0.0176288247709893
IL15,0.04825427430158488,0.11416693230353966
BSG,-0.05084344258991111,-0.001356678069335809
ADAMTS3,-0.02907920592798947,0.020988746882996255
CD34,0.061234880540708116,0.08235878692136092
PLAT,0.02415626251402251,0.020428608074085322
NTF3,0.03009459545165351,
LTA,,-0.02372574141409693
CKLF,-0.004920223659849855,0.04956568767654892
APELA,0.002265507129253453,
CD24,0.09669039483267934,-0.018220936396700558
HSP90AA1,0.01682894908138059,-0.012490954706870259
BMP4,0.0034623254557422218,0.03551759277451634
SCGB3A1,-0.004703326789173829,0.0472974170627866
IGFBP4,0.04149447256605796,0.07268562448111603
RSPO4,,-0.031291769387189514
LEFTY2,-0.016758574831541112,0.031168990860821408
PF4,,-0.006616486459345248
ANGPTL2,0.013167941149742002,0.011634115253842219
LRIG2,0.030835812319062777,0.05692225698438882
ICOSLG,0.024188726284959175,0.022395930017974658
LYZ,-0.007340987307167362,-0.058368508315040875
EREG,-0.019596537592779822,-0.035831356989775895
SPTAN1,0.00653542173089359,-0.026048382982486153
LIPC,-0.024502952900636667,-0.02999831034469018
COL8A1,-0.1002956112792852,-0.07304316844602886
GSTM2,0.010911461799178533,-0.019033237614635466
SPX,,0.04313334296588292
MFGE8,-0.030936346311105874,0.09423501389515601
TGFA,-0.026410090115450837,0.024387532642196997
SLIT2,0.12707947798064806,0.021795761408618566
PLTP,-0.059818480518029314,-0.029656523934273166
APOD,0.05037673090438241,-0.06458873277821951
B2M,0.032780880393433263,0.033473167158230545
OMG,-0.012410594928540037,-0.015549795494145242
CXCL3,0.024332799678562052,-0.018864475081050578
CXCL10,-0.016910706948465404,0.05557149292988405
RSPO3,,0.03217035785174568
NCAN,,0.02955702464961242
PRG4,,-0.03830212072022209
ZG16B,-0.022107603827982866,0.11468702031917803
