,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.025215148006051333,,,,,,,,,,,,-0.02118553022539023,,,0.03641702528691013,,
BMP1,0.04970684245863252,0.1259577175685786,0.0944642365345068,0.018018560885738426,0.050793603715072716,0.050544183969691237,0.1612042143962286,-0.01324563887581644,0.15504871487338706,-0.011168734943520673,0.03942491006935776,-0.06071085328313709,0.09818456141333964,-0.026071573004208214,0.019908610951449773,-0.00628361748336955,-0.002315689663781995,0.1484293563838853,-0.004962419247216919,0.06564966889540942,0.09434565577281194,0.08081677401308834,0.032320113810811714,0.08743021742793765,0.06758893444566084,-0.0801825254369691
NDP,0.00022152282973172442,0.011009702790742143,0.04904705134140924,-0.014489227027319772,0.06561033042363239,0.005978401108140247,0.04090343181100019,0.05659816145220141,0.02609488984778341,0.05045038195342624,0.02042924778402445,-0.008146878468470422,0.09892118882568064,0.06269304828750503,0.1287409315935381,0.002927143247962597,-0.03963725593183918,0.06209346617587517,0.02191240463515586,0.10381424762837164,0.03152539941911113,-0.014898782389139352,0.08647658644337494,0.08023494939164426,0.03030886473926792,0.038932166685298496
TNFSF18,-0.030827568367033306,0.037349270840746,-0.010813757473665194,0.009911535654779808,,,,-0.012932271211858496,0.07683129777623494,-0.016929856281615134,,,,,0.07793346054463855,,-0.04461283369889449,,,,0.0077194786600233,,0.019166181556385675,0.040624514042969954,0.03533315186792355,
IL36G,,,,,,,,,,,,,,-0.03140040836498137,,,,,,,,,,,,
RTN4,-0.07664292936823165,0.03296035296468432,-0.018654390025988225,0.047238285401362205,0.04376642789833205,-0.046906133861771074,0.10193584392277748,0.08509149449512658,-0.11063905355184211,0.030530771851034814,-0.051117225870256,0.1753187275025718,-0.058225029547926924,0.036579288533171946,-0.08776125722386953,0.08114379215644693,0.06643827295845188,-0.0832384329291559,-0.025488775659419823,0.04026870862942382,-0.06071080854957293,0.012980435164363492,0.020546116324151518,0.021168249502990316,0.008052969985492885,0.14294251667661959
HEBP1,-0.0021986017911822284,0.017441980488563075,-0.04367094676233298,0.021813781179261377,0.06576386346050334,0.0013672019529020855,-0.024423921552191,-0.010728622267778832,0.045598015721666565,0.0006531180670002344,-0.006395543321261657,-0.060388535156461386,0.019608773287891488,0.005329157345866839,0.12843853004518774,0.09253051987641697,0.08320514313105648,0.04098252936132716,0.03597888305075507,0.09375032477256989,0.025633743632705566,-0.03193613385800715,0.06763515109869968,0.02644920606204898,0.01975317930625643,-0.04981751915015837
WNT7B,-0.05585052693635435,0.021467820294380772,0.02503238307423354,0.03314619101221456,-0.06134730537887061,0.0074009334447000105,-0.049164768465066074,0.12551956402964354,-0.028795921194251867,-0.023157463547686313,0.03607037537359765,,0.03875919368546443,0.01823855785117468,0.12529240930555902,0.11835782139153347,,0.014002523415054596,-0.05397186747955475,0.09230848608392692,-0.03811514010211415,-0.0017053255589339563,-0.02466720637732612,0.04950361931497403,0.019603957924313006,0.15772278097391199
PTMA,0.02449319240606978,-0.06745157454105119,0.03355296648077958,0.09705091717517314,0.07350293010808379,-0.0032382707604499536,-0.03505166524454507,-0.06329369828563983,-0.17497116571962895,-0.00763841730736154,-0.012553942781713128,-0.16458970475082282,0.17244674535787852,-0.03025781912460662,0.029686291768019114,-0.19047826363593395,0.006690196194330018,-0.24241037472126664,0.028297777876779208,-0.03900250108278971,-0.07005042192678913,-0.02328661746447993,0.04096900056253546,0.051261473881103435,0.016863731560579694,-0.020287265472790018
FASLG,-0.07789707866751586,,,,,,,,,,,,,,,,,,,,,,,0.049939996330241467,,
CEACAM1,0.019779184966797574,,0.05261561826189636,-0.028605703341090007,,-0.0031788108890256172,-0.005855358270918321,,0.02272690577448199,0.08059153348380788,,,,,,-0.057072220424596615,-0.020772858840977498,0.06471906037060274,0.04279234580828265,-0.0066062748320449725,0.08855536444196738,0.003839638082014969,,0.029344178610474315,,
PDAP1,0.175176517931086,-0.06426454201198917,0.009272685302871005,0.06724332142264161,0.05736629825504394,0.021919064080185572,-0.025679877014048624,0.043109287569205075,0.15388095832243773,0.0178418915170719,0.03662095144049154,0.017165789382063253,0.10924749202922125,0.027342713898161078,0.05994831271882151,-0.11086142686319411,0.016606262837677462,0.05665517986019581,-0.0006168298669305822,-0.0055658252331949945,0.06357544094404995,0.03553691106455101,-0.011846880251242068,0.02025782252559139,0.04972135955068427,-0.039211342453904986
QDPR,-0.09873932971774155,-3.960038116385527e-05,-0.06099021707050395,0.035673217138557006,0.015966028469281468,0.019226157899325354,0.024446800266258915,0.06522026378341261,-0.2120530773232586,0.05813574789692378,0.03381926728905728,-0.12257029317275649,0.11602033494739013,-0.05272490219442659,0.07102666099399822,-0.05746450856647234,0.02269688791822811,-0.16763270634141242,0.06927793130639663,0.0959918494680572,-0.08539724089688973,-0.04509948606948439,-0.03941149232100793,0.05898692991010737,-0.053185401278747366,-0.014290511611992908
POMC,0.007068739661294623,0.06510074556549354,0.03592384935727253,0.013874028274990359,,0.03318285211620973,0.026025128878188815,-0.003776934179634944,0.028110167239940198,-0.015175454554139807,0.018699107779472895,0.05723268382231377,0.033505876765700916,0.01478018620052919,0.123727867412527,0.030152795410438245,0.021732345355689076,-0.011810558150334263,0.06536750256577056,0.03830700645583561,0.02455974052777943,-0.012172700270188698,,0.034807497175060806,-0.018888366975255696,-0.03074982797512473
CCL18,,0.027373193760434022,0.03149512054353177,,,,,,,,,-0.0697685883599398,0.1307072754648192,,,-0.023971393851549064,,-0.09058220517338175,0.028638730205262773,0.006863443097100992,,-0.08814976445732148,,,,
CCL17,,,,,,0.011360781981567833,,,,0.04032297476563891,0.01167780069195995,,,0.034495390548079194,,,,,-0.04569278331553271,0.07204700410862858,0.04094730493428104,,,0.07300642717310342,,
VEGFD,,-0.023657849749404367,0.03695558792916635,-0.02250868814744629,,-0.04703238634739017,0.08587931037952995,,0.009938514610776474,0.039980015012930796,0.02478402819953774,-0.03131491385189508,0.07958408336994395,0.01730961136876145,,-0.01745853193317185,-0.03748831749309529,,,-0.0070778590403474265,0.018149104347477053,,,,,
TNFSF13,,,-0.004606936831642522,,,0.06091646711868586,,0.036797491262398056,,,,,,,,,,,-0.006131804363080307,0.09140937138053683,0.07090995652166639,0.024077790631405038,,0.06793442683478493,0.048371220280323673,
WNT5A,0.09286957283411444,0.031607853913098755,0.02824644603444734,0.036942342293720024,0.06045706346299478,-0.008692413476155252,-0.07947748899028942,-0.018311751963768764,0.12413398080187792,-0.008852801106062432,-0.0027310083839792443,-0.008816758578670711,0.09238263290661154,-0.00313402598203089,0.061022185641340196,-0.08887072800830016,-0.011313220912875073,0.14330402661064087,0.013406004433322141,0.10728122622327944,-1.7893141752742817e-05,0.017827013300433823,-0.009543959974856268,0.16318395203826042,0.0649447025391457,-0.025473937316407482
