,UKF269,UKF296,ZH8811Bbulk
IGFL3,-0.013231782459339776,,
BMP1,0.08572008833505601,0.0064382522474511145,-0.018829451062965866
NDP,-0.025154940776880748,0.03386147393929906,0.041163620738796446
TNFSF18,-0.01964879972312486,,
RTN4,-0.09747400819408857,-0.053809001387863625,0.03176055299411866
HEBP1,0.002195796895775598,-0.00653398644689148,0.0496612085371854
WNT7B,-0.026356986524338953,-0.02162310815229142,-0.03132424638473985
PTMA,-0.029883234247078633,0.04622285074165333,0.007046853142605462
CEACAM1,0.05084341809367259,,-0.015175139034053799
PDAP1,0.10884224003245935,-0.00011614026938841382,-0.011621928480945374
QDPR,-0.06618046688255107,0.001613956173599779,0.021144384456585473
POMC,0.001674080177702999,0.02205466257300237,-0.03554993272820611
CCL18,,,-0.037056684629108196
CCL17,,-0.016008280748670303,-0.02190626588229446
VEGFD,0.04858669870659353,-0.00960700239289175,-0.015175139034053799
TNFSF13,,,0.012357019265703791
WNT5A,0.11582645511071929,0.03861513572777484,0.06250988216119868
CXCL8,0.057834661979223954,-0.014973712918223052,-0.08581680591034885
GRN,0.06552816236397851,0.01888340545861244,-0.02241737393319166
MIA,0.11620496103306599,0.016899600812220503,0.11398148223202346
COL4A4,-0.013038939482414861,-0.050876561802322764,0.08116722182766258
TAC1,-0.044882831423195435,0.024554805963918482,
RARRES2,0.09696563504380669,0.04173527232349246,-0.04045680487921399
FGF7,-0.015148439040077254,-0.025977800499239933,0.045935066507343594
EFNA2,,,0.09703175260115603
HBEGF,0.03284017848007112,-0.0031164981846696764,-0.02027018464381997
CSF3,-0.013794947003974442,,-0.002028325642908285
PI3,0.009124505183998854,,-0.07133888316320336
PCSK1N,0.0074978573101747124,-0.005163677834996529,0.0248166910011617
NTS,0.07340009430659218,0.0011160818958589906,0.12057333787279705
SFRP1,0.022365133955128895,0.02115104744279514,0.00012463162441140598
CXCL13,,,-0.03705668059630328
MICA,0.11282087316099212,0.015890542590143754,0.038201713726200674
TG,0.028642883585064914,-0.04183168855704329,-0.02164138641899393
ADA,0.07720427513586839,-0.013633602728330863,-0.037444393744368046
LAMC3,0.051402431924662775,-0.020647507364115632,-0.03844241965247981
NGF,,,-0.014229085316998201
HMGB1,0.08894331171141473,0.006591248728891222,-0.000852148990484555
ITGB3BP,0.11212858504354496,-0.00582117257476483,-0.015537341010549583
AANAT,-0.01244341551534497,-0.041256603992196425,0.023957266718850807
RELN,-0.03651288536864908,0.008048825985745635,
IL15,0.13241094838444128,0.049677985085212734,-0.03518904318617061
UTS2,0.019884266123141564,,
