,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.09593663678112158,,,,,,,-0.016015702359076487,,0.126293588222404,
BMP1,0.08738838133255263,0.039282331644125056,0.04786321742408905,0.03924781505756501,-0.024252750457381702,-0.027081694365945187,0.0527603858135445,0.15295709375287153,0.0031075707215203257,0.04381239437309598,0.0026088820351299973,-0.023541501328422306,-0.008796665262776348,-0.0010979445930102832,0.09009954516684072,0.040373006990138925,-0.007956342571818785,0.04374773861037187
NDP,0.012831337554273705,0.008583623280827103,-0.006756292133565407,0.004676442613023037,0.01004933553662164,-0.025008277835781138,-0.0031277437974495995,0.08260971768730731,0.0010256107623253163,0.016762459494916563,-0.007571369703122939,0.0050074048684988996,0.015855377003898236,0.06154423154682827,0.11625341326313371,-0.08562517666909344,0.07814582832694791,-0.0009761593995444126
TNFSF18,-0.028284499076020472,0.09738042752810146,0.03420030698333014,-0.018201347511780805,,,,0.02216110912715346,-0.020283829696814363,,,0.018206659525800046,,,-0.002618070035013694,,0.06162950083774119,-0.008156479137150152
IL36G,,,,,,,,,,0.029551392864393285,,,,,,,,
RTN4,-0.010731063314509737,-0.01372076888021676,0.07085305573665254,-0.0008068845881967755,0.02220015926481642,-0.03107213020205636,-0.020274989493173738,-0.19813062089202757,-0.03999354279542495,-0.01744451243726584,-0.01665275450343832,0.1486567950910294,-0.0622378622487627,-0.049285791898467025,-0.10947661657356525,0.10370041881573851,0.006942843431519222,-0.014755392147943676
HEBP1,-0.02757799899913154,-0.047568609888583344,0.08726831116026809,-0.06271534975567661,-0.01770868396736417,-0.0192882414983833,-0.005204177333303588,0.03278745191617696,0.06145622324967968,0.03525313196984466,-0.008619105782417188,0.011870035213689397,0.008866807207474217,0.023267000585684056,0.004885817741784219,-0.021594507659346503,0.09863139783166432,-0.03900233920762387
WNT7B,-0.02491775779082806,0.05328824933470898,0.01137201128330159,-0.018434580336984127,0.021548226647624503,0.015928887154476244,-0.0233837816974261,-0.07482161393349525,-0.03815105882511551,-0.028014149942596808,0.11471836130887611,,0.05120699231591953,0.03819991616976058,-0.004952479794523291,-0.04350975164362979,0.0005018956385817329,0.07634310266167532
PTMA,0.006206736458029266,-0.03661281704798079,0.07342952373993077,0.03113698872613555,0.02273744249040726,-0.0026458492720685483,-0.030393925220670203,-0.02859402596955302,-0.0032600212169042876,0.05897070778151212,-0.12775257621392755,0.06304119299386687,-0.04025642874740288,-0.022718141292777203,-0.15051703759461985,0.04446494132854924,-0.030639358936531358,0.0017690857035070292
FASLG,-0.005534403069731186,,,,,,,,,,,,,,,,-0.032306494132724024,
CEACAM1,-0.007147984060165451,,0.027839006620457525,-0.014147431643288676,,0.03635853582706602,-0.007110682257304124,0.048571063350931275,0.0038673788884241466,,0.026430352209907075,-0.03682993192986914,-0.022034259996386085,0.02556260902465429,0.03287064277260052,0.011228637250031615,0.022570530769887777,
PDAP1,0.03886410733151685,-0.05786154630063818,-0.018608870608276817,-0.005126408976501658,-0.022105992875039567,0.05190221925177988,-0.018352971792687862,0.1741210515915485,0.010384906959213626,0.029836062161458905,0.013695741650249829,-0.04068545571735145,-0.09480098304441811,-0.012619098802505072,0.006392908235544389,0.030460300501007793,0.034661026566296674,0.020110212311895168
QDPR,-0.09313373402083908,0.08549001933816239,0.027322632422014076,-0.012898461029139536,0.021419436203059392,-0.023173175449585744,-0.022710559297611472,-0.15901633537588314,0.015858524215519445,0.0008070030813079815,0.011629925023046035,-0.010841700151659327,0.03746345966626685,0.06579335463401541,-0.09774041488721459,-0.02565591557112458,0.051585462319663704,-0.03849309334515039
POMC,-0.07466336189504164,0.02783669080700254,0.022907301365470013,0.0806712803792682,,0.01890191252043867,-0.013744799143700456,-0.030277136179167358,0.04878515465470779,-0.016511266028722157,-0.05023838839819209,0.010257797569570671,0.06502153751949728,0.0802346258206139,-0.004266119069291949,-0.03129347536018863,-0.012766612117277873,-0.03696236476596508
CCL18,,-0.026259927730457357,-0.0101716248753897,,,,,,,,-0.047870148493594306,,0.08785651234629692,-0.001811229545623967,,0.06733721997254181,,
CCL17,,,,,,0.0012608094127182841,,,-0.013959610773320731,0.019897878247297836,,,-0.015632240979273876,-0.005272923802615571,-0.04229921699391854,,0.028240457475500406,
VEGFD,,0.009113277502489778,0.055316893336340656,0.01249915346750119,,0.07609408935577577,0.04651256456135152,0.10830298802565354,-0.016162285763053754,0.04624246168007368,0.13524884086112549,0.02458777433238036,,0.03531321592240026,0.05206071150944592,,,
TNFSF13,,,-0.036476995515748775,,,0.028999211615599985,,,,,,,0.0727827781705838,-0.038067302297852046,0.010933474362131945,0.014119811264383275,-0.010320082723952151,0.038821313835794666
WNT5A,-0.015829728334859832,-0.049661514355997874,0.02684446484758855,0.0058911558418168536,-0.021611458256151454,0.010920548859440576,0.04247337912970987,0.12657432936463256,0.011647025394353038,0.011351584883190428,0.002126640881263926,-0.024253750131291593,-0.010316863656376497,0.018497886140096863,0.0554170607649447,0.01612548202485602,-0.03988816120571549,0.013334326890126697
CXCL8,,-0.018249421189662385,-0.02884756736190723,-0.01897340685816362,-0.004666105480151062,0.0682101251136278,0.018213856838728875,0.059992660194837025,-0.0007903601823142053,0.011082796272792433,0.05831415126991255,-0.026216887925880665,-0.05345417592950913,-0.14561708245136165,0.03776347662104293,-0.045786278399062415,0.011575404628208325,0.055598986013714
GRN,-0.13297494574344476,0.07921630416609012,0.04133110868177287,-0.0005272486940102398,0.0506741772457773,-0.030967618628146707,-0.07473975909293681,0.13357854857603535,0.0802508469523566,-0.041579573747663405,-0.006475618231742741,0.019732926870650046,-0.023156607237059406,-0.03330860671115247,0.057161933207238634,-0.0006042672403193676,0.011474316194621132,-0.0490006768851621
MIA,-0.03261520495815951,-0.04526531952603161,0.03128747673041806,0.05329214550555148,0.04890064674517581,-0.014263851170859383,0.032125128415681665,0.1656068851738256,-0.003303148934937819,0.004804732808177607,0.026607206002985353,0.09285309149441343,0.15730919294334286,0.10531474894117486,0.0442907954430805,0.013700262337803923,0.0193972049918744,0.005755970427054615
COL4A4,-0.02885780789241901,-0.029784743984038305,0.0124903446298778,0.10176998862520203,-0.03622684252314398,0.009819009632417046,0.06328343457754596,-0.02816377422540998,-0.015657193733533185,0.018846866425393044,,-0.03920539312777278,0.022044977553923442,-0.04882294444368261,-0.05726310043591122,0.022130973690950087,0.06155643559917566,0.04853776708956784
TAC1,0.03322059650601852,0.024786656051444277,0.06070725006453078,0.007956373144652458,-0.0028853431420093256,0.04728023526920488,0.00529578682037074,-0.10958777460276664,-0.013261526128666242,0.007960154426453302,,,,,,0.012745789621479273,-0.0042533041431728836,-0.02973362530577792
RARRES2,0.060538763272504854,-0.020449883782637557,-0.03918473106253106,-0.009085796582997808,0.004770030799828017,0.05486797627061277,0.014635186959723212,0.1534105750512915,0.04997159877670891,0.0803270389963157,0.05105549821058397,0.03568400247107706,-0.02509768082659783,-0.03844600951655256,0.019096758904614403,-0.009326477340285683,0.05056871487622294,0.030441585122359522
