,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,,,0.12436625858596836,,0.08159622631712318,,
BMP1,-0.04509301867066205,0.051985988403480135,0.029348167652111925,-0.02476529191505254,0.07452523310430326,-0.03318015241493158,0.004410231399029471,0.04967966375112012,0.020008690530498908,0.034953088367066114,0.042837350211555214,0.08629774519292169,0.06033530322986783,-0.01693154213230314,0.026545267216508885,0.03013853937328202,0.05440426967047644,-0.036033405987434965,0.09408778077945892,0.12046797827576317,-0.005036160496093762
NDP,0.0864718416907965,0.02502322981465069,0.01800606033916275,0.10702640150480552,-0.02373115411038612,0.007867496939767142,-0.024054729601234552,-0.024711838131546916,0.013655025224062953,0.03977845661542735,0.008996171625771715,0.049238898137823006,0.06884673948145238,-0.001682709746537578,0.0354248726687784,0.07712403206540715,-0.021726790014869393,0.05959944695675444,0.05434340892286667,-0.04070245137557441,0.012811376759810448
TNFSF18,0.0017536418852361205,0.00409963920356254,,,-0.01568268135753796,-0.011674763952453069,,,,,0.014203744599520332,,-0.05502592912496988,,,,-0.01832714533596473,,0.02446367749413589,0.025162039979083495,
IL36G,,,,,,,,,,-0.015082913624073224,,,,,,,,,,,
RTN4,0.000710200299849836,-0.04426076997456463,0.05264941442379158,0.04966570049329914,0.025741771144230877,0.008580235517563619,-0.029532448444344144,-0.00898071284195322,-0.029629815605753628,-0.02349243845866298,0.024424651733163813,-0.007295740393179041,-0.006615078206360144,-0.04063477051314163,-0.03858110855108525,-0.06074884806750892,0.013143817251328705,0.0020246741485022038,-0.032129282660387226,-0.07615051952733472,0.03259745262117689
HEBP1,0.10828048227440355,-0.0025023764591720595,-0.013522364912618615,0.006678584746598436,-0.03668133877640555,0.019744945537855246,0.005207645801128701,-0.010446242240072689,-0.0138046176997194,0.01093363044269116,0.006358002418636018,0.047900285080854144,-0.05024680166166611,0.06194768552847053,0.05125581841508348,0.08808683163839919,-0.0014929245178962763,-0.02921063365841986,0.0983404262881827,-0.015524715373277367,0.013429325520630551
WNT7B,-0.04095306265391708,0.0018628404237133708,-0.0266152718021072,0.045964422158308045,0.07078136764389356,0.0021654421880947187,-0.012913395808703574,,0.002896234818313752,-0.016577860248930827,-0.013396568174045219,-0.01076413908607189,,0.013536792107695346,0.049218751764230684,0.048834855391521846,-0.009173619719555787,0.013910642452295605,0.010518913539230445,-0.021005525804889392,0.028323270705217004
PTMA,-0.07216241894067774,-0.047425599601265155,0.02978702408066503,-0.05234363190897507,0.00934468169528903,-0.006683687907354079,-0.027274788128961707,0.009820933340955133,0.03817456645521659,0.01988723910228544,0.04126501340179871,-0.11971246359853194,0.015028276301020396,-0.04148971159468086,-0.09839795252129907,-0.01595992511797519,0.060056538488298894,-0.05743540437550092,-0.012587992463423606,0.06515157697264139,-0.1220796358407029
FASLG,,,,,,,,,,,,,,,,,,,-0.020864248040109213,,
