,UKF266,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1
BMP1,0.04411517260095663,-0.010881635599205167,0.03642808706742609,-0.05931227269403553,0.027390655977369074,0.008808191499978218
NDP,0.053970209658413947,-0.0006987287198878471,-0.018912871473309844,0.0326036880743317,0.0293326045590335,0.00406453245476152
TNFSF18,-0.01363304016393263,,,,,
IL36G,,,,-0.015442929551225016,,
RTN4,-0.01672716394926492,0.1014769788558897,0.17583676290402794,0.08078697777562624,-0.026067876784727176,0.045027425255459594
HEBP1,0.005012743801124504,-0.016527640200973786,-0.09678905483682906,0.027727938955310914,0.03708895618299666,0.025273429173249224
WNT7B,-0.03301438093465148,0.0834267411404181,,0.14331050733259348,0.02117930207818264,-0.022338912311980718
PTMA,-0.013641614918198293,-0.009163827260033659,-0.19639583802907398,-0.11628210388135407,-0.07021423827547695,0.030067760878393673
CEACAM1,,,,,-0.018212108458879397,-0.014826660991910582
PDAP1,-0.01247503746084185,0.006858192101159758,0.0027042545633430923,-0.06756605875648768,-0.013782117487327106,0.031207608210747938
QDPR,0.06299611721324355,0.014837451950819914,-0.1939971181384201,0.01708921715317824,-0.011942680248288465,-0.07242557283736717
POMC,-0.025298662464049316,0.06158371271143936,-0.04625495431991002,0.057336395319161286,0.11211817420946449,-0.024254469669081048
CCL18,,,-0.07057622467822021,,0.09815353537445791,0.0742946301021634
CCL17,,-0.01765966468442865,,0.010254670856694533,-0.012920609460747443,
VEGFD,,-0.012953577611868394,-0.028934717031391093,-0.015119503190348922,,
TNFSF13,-0.013221204946405671,,,,-0.024792708849859214,-0.01664934657350659
WNT5A,-0.03771263261321063,-0.039923362648921705,0.0279654563487942,-0.0029718139148986224,-0.010891136459254767,0.0009505198983355875
CXCL8,-0.018806306520073316,-0.012062934712451491,-0.06593254520541637,-0.00763609613620851,-0.015632231132932,-0.02838490792707668
GRN,0.004104289215340426,-0.005088290245521117,-0.15117019216989108,-0.004519901196490185,-0.017825740228650522,-0.015484801535040043
MIA,0.0839747789081092,-0.01473196653545637,,-0.020706852509126274,0.06087383521512143,-0.03384154804986124
COL4A4,0.0162005376739991,0.02345681146732752,,-0.020086415139411434,0.04426745173166449,0.056448321236792456
TAC1,0.031324862569503446,0.014698336470494388,0.12545302450902795,0.1382899869701731,,0.10686754832984532
RARRES2,0.028437402967918374,-0.014684495537562903,-0.019604128156094254,-0.02174983308353726,-0.017059491717566534,0.03557169401621766
FGF7,0.08438443630825489,-0.051372867048591904,-0.024569091029205598,-0.007917864316743033,-0.013210366609089958,0.02810855022855886
HBEGF,0.011354916612747139,-0.008001030307270606,-0.0500724273557326,-0.023359125078797987,0.03261448503132782,0.03986768121981121
CSF3,,,,,0.0051415615015127,-0.02125604383401487
PI3,,,,,-0.04320298511223629,0.033930690792397925
PCSK1N,0.003377458251486826,0.06660052194242028,0.20533352957174292,0.10641609555358661,-0.0027761038565031837,0.022992869752399073
NTS,-0.015356579965136605,-0.013599003069474756,0.05687970895303933,,-0.03014243688604726,0.0007149665856806851
SFRP1,-0.03895045703915332,0.1099256776130076,-0.08561716403378798,-0.00493352729869935,0.01733151380284498,0.010454044021564038
CXCL13,,,,,0.03130243183512637,-0.011363382374351787
MICA,0.017728908596408893,0.010672147977058483,0.012124539345091584,-0.03258946438027369,0.03431537948503195,0.005830969813644607
TG,0.06765224614830108,-0.012780222642888032,,-0.004516454798438061,0.16232407923597708,-0.0174940507081097
ADA,0.11210129058476737,-0.020756109358239183,-0.08645284141929348,-0.012105982353070624,0.014328243127026909,-0.0047765453515409536
LAMC3,0.04394431452734749,-0.025492558610661523,-0.04468521866937012,-0.0019045678317213604,0.03751668475352138,0.05500277938647571
CCL7,,,,,0.04699815400724291,
NGF,-0.01691492086209003,,0.07922048402214435,,-0.02236504246928548,0.0038477109111036737
TNFSF15,-0.020538422236396764,,,,0.14124043839696734,-0.013199638299676601
HMGB1,-0.0245349549023885,-0.005228710421731126,-0.046289369482382416,-0.026279158310753312,-0.003081197224917954,-0.004973534478779522
ITGB3BP,-0.036756834906004544,-0.015147745920628288,0.04122933770562593,-0.04988564158441032,-0.02149623546232766,0.014090203966761234
AANAT,,-0.014731967354885963,-0.024491354826552444,-0.01892393505303627,-0.016988582610401703,
RELN,0.047999983915402854,0.005715703954154682,0.03499214935573313,0.14228129296494443,,-0.015943732590478505
