,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.02123063876045379,,,,,,,,,,,,-0.006655033439645558,,-0.010032122363803787,
BMP1,0.06727098628994209,0.02957635928348128,0.06177237122581635,-0.06728974973959688,-0.014557583275859355,0.06104641008095546,-0.03247852439351306,0.06173001350799877,-0.0084347488358651,0.08124694437892604,0.09534448319673393,0.06371560404291493,-0.040790444701255264,0.04453280612801927,-0.03683984610889531,-7.405385824244536e-05,-0.017712015810626154,0.0067524251682307196,0.02016003301167627,0.05121343357184598,0.06763724680509607
NDP,0.02231475462583007,0.04620378373029134,0.01892158305506292,-0.02297383441390519,0.019093559857711617,0.016919923641454483,0.0092206715563377,-0.040175322339305215,-0.030046688959151437,0.027868486783661613,0.009808376446266562,0.023796518193546418,0.002532480094125913,-0.044298115257006956,0.04204543756723456,0.06960641713590084,0.011498282241420786,0.1566052823408288,-0.06510066292649239,0.0736729775389715,-0.006460080596157498
TNFSF18,0.05706599799620295,0.048224876031646234,0.046232821085102016,,,0.035937609868612753,-0.02419175071840324,,,,,0.0048148980760000055,,-0.04955613194486092,,,,0.0657518899349862,,0.007040482691780304,0.004587474181820483
IL36G,,,,,,,,,,,0.03660425285432797,,,,,,,,,,
RTN4,0.018555842446171384,-0.14649719559048494,0.01870436903009368,-0.003922228247038648,0.023693889615049812,-0.1204841261736467,-0.023106646125005462,-0.04155589952663466,-0.020136851323955176,-0.031817968465060555,-0.02363381913372215,-0.0451715563529564,0.028135447973652267,0.035162939162313965,0.07530623312286563,-0.029677653383467114,-0.06820477949278436,-0.06397094046947983,0.03678932137257252,-0.04878022375536398,-0.09047667545181484
HEBP1,-0.051951133500102005,-0.007459632517832231,-0.01808507689249516,-0.014258933712919404,-0.017940299846830737,0.057881963915878944,0.008019539915938938,0.04670560952833776,-0.008923127082711972,-0.01781615650855375,-0.010062698679034546,-0.0005559505000709836,0.01702502330788929,0.027734985299959294,0.0197399890364694,0.0260018499968766,0.021110109044830266,0.05954085128388744,-0.0010182790241879882,0.11245768098667151,0.009342514286604797
WNT7B,0.12800646746140035,-0.010333540415238084,0.012827921503887904,0.008042958448413746,0.056334978589746294,-0.033809069754092924,-0.0003264278208081916,-0.03393056147254527,,-0.0006106559430811746,0.04562381287948775,-0.0035395610234631395,-0.061664325836077186,,-0.00660950206409472,0.0022358563782776332,0.04914620368123248,0.0431677948788963,-0.0017968239811791632,0.1259812219573411,0.036839704429217454
PTMA,0.0350883104771189,-0.06001966074527021,-0.03140557881376602,0.03699485771778691,0.008186515218420872,-0.0686317062831994,0.007629259729789149,-0.01609546094348968,0.023586672839108907,0.12025736231901683,0.020964763743099427,-0.03298773396076471,-0.06949694826583441,0.010929065206876537,0.0340755500541497,-0.0827475447643072,-0.01390387588861059,-0.0865339723177081,0.07832672612719796,-0.01390137087329773,0.0032395751261289855
FASLG,-0.027420714874884542,,,,,,,,,,,,,,,,,,,0.05151023163050671,
CEACAM1,-0.0008614788918839086,,0.07876426536415186,-0.004371321129249709,-0.02133536341903988,0.0007945335271496613,-0.022569272173043328,,,,,,-0.021972210180792578,0.03315778286009421,-0.027743904075810778,0.01723329390951523,-0.0066740301413303164,0.061077279053231466,-0.026076872675282272,-0.021639419162320612,
