,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.040671902781033754,,,,,,,,,,0.007032620523812019,,-0.018169183648225052,
BMP1,-0.037358122487286136,0.0832036760016865,0.031009334707582534,0.007602243426102923,0.06991466912799289,0.034927194562028564,0.02891458315317751,0.1371871311216966,-0.015683940397320732,-0.01832528843202043,-0.0532036598253402,-0.08517134420764218,0.028889930137673332,0.0330665935128286,-0.045069173011851135,0.06473076951727295,-0.0136274347958699,0.09084597432737107,0.0161261437581709,0.023883818998054432,-0.011058885713285482
NDP,0.009144483883870836,0.08351782155602,0.0016382782584037738,0.009258713563857622,0.014774266905107329,-0.012182922236513169,0.0342336149135424,0.02157434156453854,0.017168137386943304,0.06142720801214816,0.05521627844968431,0.016566651795633946,0.07161733958339232,-0.07845630617627204,0.05966398504787716,-0.009242039007010417,0.05342416326173487,0.037500635328640744,0.05410280439294444,0.06848594213422626,0.025428448611297325
TNFSF18,-0.03001688424002234,0.11777067045393358,0.03640316439058686,0.023912346631245314,,,0.06007826001065085,0.11768498791274644,0.03577144121938075,,,,,0.03935510239686401,,,,-0.030773653341637522,,0.04242807920802314,-0.03739984963156827
IL36G,,,,,,,,,,,,-0.016478485670671193,,,,,,,,,
RTN4,-0.006613626987926815,-0.011784426686103777,0.04299472180799073,-0.025692574647411714,-0.03340132548191482,0.006309187342697705,0.006915218682521465,-0.18511007661165654,-0.025256285796025887,0.036260284804957146,-0.01500131393435145,0.06777635662151062,-0.009804055064626784,-0.030115370657810923,-0.017118354450570143,0.05344938589353788,0.06912073090567246,-0.0628019873564985,0.022591785251037055,-0.02085452932651135,0.0006279923088471963
HEBP1,-0.0068900402325301775,-0.04294877120342929,0.03265625242100402,-0.0009109736978073432,0.01299701040021628,-0.014159673544801481,-0.008626055330100189,0.035307539216979426,0.04178486874110993,0.029415754037311677,-0.03926933600370493,-0.06596987814184435,0.08650183191391703,-0.014613940718269745,0.023788247397177078,0.012935443544516124,0.049705845332365654,0.08913964048858082,0.059993767129677834,0.05201325968777587,0.050271906853599314
WNT7B,-0.02644393486050152,-0.05770942813277182,0.003700470717383359,0.02082810656363131,-0.002861104407590495,0.03795302217966363,-0.010114729002048609,-0.08364190207717499,-0.049226842772940795,-0.01689062750789217,,0.05796177396315085,-0.012761887174408508,,-0.047244763699936534,-0.044653536871226786,0.009228268629987775,0.07034361210804467,-0.018589319611132003,-0.010712348604323072,0.048283882070740816
PTMA,-0.027933248436009063,-0.10441767496010344,0.026448933910061614,-0.0011624884019179275,-0.0010717207906472338,0.050107218324285586,-0.02037679090490943,-0.05784124040256875,0.010481636987010703,-0.02545565105177932,-0.027871791076742935,-0.07100661577330851,-0.10067720601063898,-0.03827509136503997,0.07796300022161438,-0.0068804947116235275,-0.025276156991373817,0.0029274818645528477,-0.009732455633491031,0.015324636243432103,-0.01947097974868385
FASLG,-0.026443942336134164,,,,,,,,,,,,,,,,,,,0.03191094305147789,
CEACAM1,-0.03671764536283415,,0.03256170401127208,-0.021010101588286343,-0.03273837035600705,-0.019925276618304753,,0.09043521260775964,0.017949022544453918,,,,-0.02769779068271123,0.06806078560167758,-0.04236986082193533,-0.03331227662813388,-0.00524881017559034,-0.01033948906711418,-0.025968423525423424,0.019099441770822182,
PDAP1,0.01694916608085381,-0.030414248467350278,0.0005511097488102432,0.02636734479657223,-0.023100225430414574,-0.012015623546967249,0.053738163029355246,0.10583689408266903,0.02293365870651426,0.013039612212345016,-0.007396555833264054,-0.046132220398057505,0.0748467170675579,0.03445353689858165,0.06179686862902575,0.009582086850693252,-0.021921902383673444,0.006845741562566922,-0.007313864761422314,0.04911164607274545,0.02120357610360138
QDPR,0.0074802454533359,0.01395247148977626,-0.015240132186817948,-0.01211981367092461,-0.028083742661429018,-0.04519720870025407,0.011229085487018679,-0.12412417905925488,-0.0447286349411322,0.014674877442040078,0.013238111324105736,0.0200339607791802,-0.0008814193547830191,-0.009779368369929228,0.04492385615019559,0.011597152088555355,0.03501728085322215,-0.025119775225136975,0.03563947747866051,0.04438603867853211,0.016289041399840425
