,UKF275,ZH1007inf,ZH1019T1,ZH916T1
IGFL3,,,,0.001318477535447733
BMP1,0.045497488984243106,0.004915469811839916,-0.03570364916991664,0.03351901482642835
NDP,0.016752869023143723,0.05351645738836441,0.08698760402141532,0.02445117247086911
TNFSF18,-0.010647509681371023,-0.024507777671201866,0.03282937899984192,0.06556488082150079
RTN4,-0.011153543087259507,0.018756891722875053,-0.0654816115949055,-0.0010381904243372592
HEBP1,0.007302849806605362,0.008175230768884913,-0.01337200865196532,0.05216597245984455
WNT7B,0.0865528281902457,0.08613078585656357,,0.03076440148183252
PTMA,-0.0678077700148036,0.0472831257285357,-0.01078613298600412,-0.02877280082392905
FASLG,,,,-0.017342497686641985
CEACAM1,0.016656430461654794,,-0.04364422709258645,-0.024129538381689592
PDAP1,0.03402432023304887,0.06570011982940627,0.006633328960470543,0.04106660759193162
QDPR,-0.019846584529891638,0.02144085790558304,-0.0014241994167584723,0.06583786321686617
POMC,-0.012354528249030876,0.06746258619033757,-0.004399990345485242,-0.03609826568770082
CCL17,-0.013279517579130084,,,0.11897553464879007
VEGFD,-0.014148202783512946,,-0.022101513459232,
TNFSF13,,,,0.11077048726971614
WNT5A,0.008518095846871486,0.017908052580809658,0.020151907169239473,0.01660259527235805
CXCL8,-0.015442629609945599,,-0.062354755571109276,-0.051502127251556055
GRN,0.031808081008307655,0.005283131968214861,0.018719131211849933,-0.011441520056988862
MIA,-0.015191459900715302,0.026199718581656938,-0.0656163203170731,0.011032080797001088
COL4A4,0.025983381793260835,,0.04072634413154646,0.05145105492975749
TAC1,-0.003790981719191687,,,0.06114184363012618
RARRES2,-0.04147704630230982,0.050064180371303335,-0.07631216921870726,-0.020260101614718855
FGF7,0.04076681414706131,0.11129150678819255,0.015266351186630325,0.09857869101166734
HBEGF,0.039219027893866665,0.05269840273448669,-0.022174630929754382,-0.010898308772803598
CSF3,,,,0.314632868135467
PI3,,,,-0.035957021066186194
PCSK1N,0.03032630877501296,-0.0905555743277112,-0.032766612826533315,0.019785558240026587
NTS,-0.015838267966539643,,,-0.024507863320410495
SFRP1,-0.029408340856306232,0.052088399932338554,0.04613703029119654,-0.023938362666091426
MICA,0.03884080725888511,0.03660189586672997,0.0050676563372102825,-0.001132781142022233
TG,-0.013378611417638507,-0.031407861456404416,-0.09476213945872919,-0.0322750906371508
ADA,0.021513924922444895,-0.03319091344580216,-0.07210017575324319,0.015262243803219692
LAMC3,0.040493403823512436,0.03376946965677576,0.038521212114520045,0.0010244322750901447
CCL7,,,,-0.017342491519856812
NGF,,,-0.06398967174582423,-0.04406297567162121
TNFSF15,,-0.028950097591156052,0.048568712204777854,-0.007115713145517201
HMGB1,-0.04806162587978865,-0.03909277966516398,0.09551500407781836,0.025675123720722035
ITGB3BP,0.030718583656722486,0.08280153737817939,0.05788061237938449,-0.0047891972894883224
AANAT,-0.012031463432730795,,,0.004245060215811091
RELN,-0.02648939870959768,,-0.06257988220214479,
IL15,0.061153749851327405,0.04772077058220535,-0.06777424050810651,0.1000877415534436
UTS2,,-0.019253648044717627,,
BSG,0.06897754415570401,0.07270403856288342,-0.0178914747118585,0.03883311258682784
ADAMTS3,0.010753934188006718,0.07279821440769371,,0.09849896575241138
CD34,0.02582213699335084,-0.051152764000335624,0.04907837213095139,0.00479914865048752
CCL23,,-0.00010111055118556529,,
PLAT,0.033052240859917204,-0.01938792550361031,-0.01832127312082072,0.008955216072454855
LTA,-0.011587553160305459,,,0.09811808185966135
CKLF,-0.05539833936476205,0.010763494767004788,-0.023712239736115623,0.04184175602417718
CD24,-0.059882971611693085,-0.04085631143013357,0.009412882413876042,-0.011852132223763896
HSP90AA1,-0.03199153356570513,-0.000581924709154027,0.03506885433731529,-0.005619564523043136
BMP4,0.0056338261145328535,0.10189610164719619,-0.04808526982399941,0.003992329125311606
SCGB3A1,,0.051843660369511706,0.03221969479803775,0.03108102972705703
IGFBP4,0.006873780125324951,0.00564911060002291,-0.043162143330993406,0.00221800551284729
RSPO4,-0.013477029757715937,,-0.04146973837687382,-0.006654104044211542
LEFTY2,0.038646574674791594,-0.005868578130467709,,0.008077365910815069
PF4,,,,0.04483246794541438
ANGPTL2,-0.031076244195086145,0.060844321512527555,0.06351276404161821,0.020372689600141308
LRIG2,0.029693419136370296,0.012325382353682572,-0.057336314735363485,0.07605657091628217
ICOSLG,0.013237115735357552,0.08151977679313153,0.05054263880552737,0.003999330103330198
WIF1,-0.01039990465138052,,,
NPPC,0.006666727343982183,0.007515508299153451,0.04820720729252471,
LYZ,0.002958615236195093,-0.023290959766440942,0.028179090556300447,-0.004821037710891862
EREG,,,,-0.03729530569952013
SPTAN1,0.03806391285105631,0.017341450276129076,-0.016193405308099134,-0.0032542834728801237
LIPC,0.018674458867642924,0.08960250289136734,-0.049997080894788354,-0.01695878304620288
COL8A1,-0.01804632895985196,0.024569673960544457,-0.06192676897857347,0.026491225225269997
GSTM2,0.0023908369521907294,-0.019778018471963196,-0.05819926241719895,0.06060315368109609
SPX,-0.0502472376987744,-0.031996932574108336,,-0.016634234038948377
MFGE8,-0.0032627312122055253,0.01416519844143524,0.05546561030197127,0.04456669007929912
TGFA,0.06698888429785912,-0.029426158696692045,-0.05150945460097811,0.04996220597961452
SLIT2,0.07964452253347044,0.04834520179237623,0.009791252662661242,0.04052589671899145
PLTP,-0.02356658210284233,-0.08522974177629958,-0.004494652984319958,-0.04249550909055391
APOD,-0.03259563122880476,-0.05348130512694127,0.050079727641921604,-0.024880293380452067
B2M,-0.10830002905326144,0.056671427265453295,-0.04659259768006877,-0.034059071173294646
OMG,-0.02550831108925595,-0.008196643131658765,0.015823311795732053,0.05278452208692474
CXCL3,-0.03138429988207077,0.09112242672533663,,-0.03782391378778861
CXCL10,-0.05963648831009386,0.01602709115933976,-0.018745305658113144,0.10543278802172319
RSPO3,0.036573383908852036,,,0.10229912260290396
CORT,0.03737011274457528,,,
NCAN,0.036525749673472004,-0.027998390210431396,0.04218964802452677,0.018017318827524637
PRG4,-0.01722310901263333,,,0.001478748247802656
ZG16B,-0.009207362886350112,,,-0.021944355426310073
TGM2,0.005892914508748186,0.06528486448388314,0.10369974362769907,-0.011641383866132962
VEGFC,0.08717772289564617,-0.041170857472107726,0.10629779045898273,0.08029346527679677
WNT6,-0.020490657698756486,,,-0.02650231925309876
NRG4,-0.017688834909469545,,0.03377524690164559,0.02970395991203519
PMCH,0.006712126822314392,,,-0.027211065916154343
COL9A1,0.053315040476045156,0.07654005420970471,0.019081934542286728,0.05021083105628622
GDF11,0.06103756663171066,0.028809585222113195,0.11878826300461233,0.024498370735500857
RAET1E,,,,-0.019306240911909366
SORBS1,0.03042504303253608,0.010813754038433813,0.025079183525536005,-0.010814951578812822
DLL1,-0.046558710037040034,0.04496179404897148,-0.063686983333846,0.03830829773515178
TLN1,0.028157869184603206,-0.05658032757598477,-0.01950867008722259,-0.0239746888864932
COL2A1,,,,0.039815310129294554
SHH,0.05881221106869123,0.13036159326343016,,0.08236861858710134
PON2,-0.022538329187977577,-0.014257559295969125,0.07507598899852748,-0.006173040881918799
ICAM5,-0.029917175331911218,,,0.043115043078776775
HPX,-0.018068879011719927,-0.02487458233006886,-0.042020125270691405,0.015605446746042546
SFRP2,-0.015059229083082064,0.041237824490024694,,0.0031938759618967546
CFC1,-0.011587553860601155,,,
CD70,0.004919362303010487,,-0.05042166241603434,-0.026850820112640596
HP,-0.023648812866981995,-0.05028732305085066,-0.06988914112801684,-0.026326537696405007
CXCL2,-0.020801290814462952,-0.04464467781683461,-0.045769720895080274,0.023331254822913008
NPPB,-0.010146533410954308,,,-0.01785246865090038
CCK,-0.04803667347013035,-0.025593805696839802,,-0.0046152410392792855
SEMA6A,0.0471559406619039,-0.03848408847589461,0.013490408930050496,0.0025547060723942203
IRAK4,0.014915054313297616,0.0364308253438403,0.007430775042851688,0.030974174936424112
GSTP1,-0.053580352755918034,0.03741186445898051,-0.005042974762567132,-0.005423963304183996
VCAM1,-0.08062030710304824,-0.0004178565507483936,-0.029521440107198534,-0.02135668491253452
NXPH3,-0.027318880595534212,-0.0030360742645960366,-0.055333466322564785,0.02145331319017719
MTMR4,0.006741516484342678,0.004027350984145684,-0.04655705849266304,0.040983408597562866
LAMC2,-0.01277335357465853,,-0.04645917408979366,-0.03401442745935298
IL10,-0.01442062311735817,0.08365926588314666,0.0532446754463255,-0.04386101481957047
SEMA4D,-0.03252732723608586,0.035716910694327905,-0.032473996283785014,0.014788512054901426
TRH,-0.01690977915345372,0.03206592799342944,,0.19009641922836515
SEMA6D,8.583628718490677e-05,-0.0026787196822788844,0.05797879731932592,-0.010909226398901174
CEL,,,-0.06988479371686475,-0.0063849465654116965
PDCD1LG2,-0.011545385588128173,-0.035395631287532564,-0.04057098623794425,0.020249395660782564
SPINT1,-0.022190910563864238,0.06383311772098249,-0.019757926271989513,0.04481077554188583
CTHRC1,0.06378215360365805,0.030856073924655444,0.015136962646684035,0.010152681203033158
PODXL,0.01927937780713519,0.054975120872009973,-0.05808064090573539,0.017520681408152945
JAM3,0.08668558526041083,-0.04237465383397372,-0.017727808287601635,-0.02172914439048309
TGFB2,0.039373829733233376,-0.01935533158668266,0.017625649481514426,-0.02630144296264492
COL18A1,0.081557870475522,-0.034825936057975404,-0.016318910797469752,-0.02696617448699523
NODAL,,0.015019104911678497,0.0035403763510683337,0.033784260916720335
INHBB,0.017887157585850296,0.016337210198847967,-0.06987269798162812,0.025206150066242574
LCN1,,-0.03286386459117191,,0.061981973363913645
ARF4,-0.013908952492155832,0.09181286510706946,-0.1281255352776038,0.008136512502036888
CXCL14,0.049183516660267386,0.04648492027665053,-0.04236172113668064,0.03078746093089665
LIF,0.07217001289052818,0.06585544999424874,0.018711061783698555,0.03243555353994328
IL17B,,-0.039225541250932375,0.0005901814990080952,0.004913157229126919
MMP1,,0.09243994007804733,,0.06847000704602027
MATN1,-0.01027396591417201,,-0.04847553842107617,0.09530790365774242
ADAM28,-0.011845775357846672,0.006986354195458077,0.003951020694366614,-0.012662534100787567
TCN2,-0.002121431825692249,0.05002957875747095,-0.03407168003139392,-0.018158618749039318
THPO,-0.021092006536040694,,-0.04645919748591625,0.072463015089512
CUBN,-0.004521578988337776,0.1458692846475375,-0.03860707223350887,-0.029758264565297354
TIMP3,0.022963939941510997,0.050606216131890425,0.010488825426353886,-0.006692272294078924
PIGF,0.013579898821445273,-0.033335521292676445,-0.03690364624754746,0.07069075261997174
CRH,-0.016173620565533422,,,-0.0011738311528135669
BDNF,-0.021002370829776167,0.017913243463462396,,0.05722240414391933
CCL5,0.01428311155182152,0.07568926441259066,-0.04471078841633753,0.04045735266989793
GAD1,-0.025034190411677926,0.05845849468740576,0.03274068275094392,-0.005789999092744461
COL14A1,-0.02231727729841211,-0.0021846318118483666,0.031042796545302627,-0.010393975793077674
HLA-A,0.01857128702583488,-0.031706168464690335,0.06196252722065849,0.028330085209760738
FGF18,0.03882187205250971,,,0.149025044402078
ADM,0.09499209194669013,0.007876197681312605,-0.008821689613026817,0.031807624877981826
CCL15,,-0.024874595343922546,,-0.017342497769976966
