,UKF248,UKF269,ZH1007nec,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,0.023449635554041993,,-0.015090850702966178,-0.003375317104644455,
BMP1,-0.03907857666304251,0.11771107550279308,0.09464334270521886,-0.03831797605411194,0.05205954279221869,0.10489736231196718
NDP,0.03537165804612197,-0.04878550063752691,0.09995372615303434,0.05029636993694991,0.07547055392500578,-0.01661909912158284
TNFSF18,-0.02723213112352285,0.08811704778432224,,-0.015562927960811572,-0.04553073850341486,-0.008156480119976914
RTN4,0.04782452053507926,-0.06029859001315713,-0.10201993930967862,-0.0434698347933957,-0.008389522452317187,-0.007518140179182499
HEBP1,-0.0052574604509437175,0.00674837582146159,-0.05396552366648053,0.012561357241883711,0.055026827987412756,-0.05272470354675428
WNT7B,0.06229777048064688,-0.028739376273792448,0.0671163015517286,-0.0007951178871379865,0.03190972331583195,0.007430125162860628
PTMA,-0.0888810129771061,-0.09254238771978718,-0.10136937059940128,-0.07337033374846373,-0.068559089301333,0.06628386048732023
FASLG,,,,,0.018485074247026827,
CEACAM1,-0.01733250514458667,0.0976024367224079,0.011942472689277145,-0.02236230268801564,-0.026663267274141783,
PDAP1,-0.029437902925193483,0.04066263452818142,-0.02539228592655708,-0.025323174630302283,0.02475819468613103,0.033221525986901555
QDPR,0.029463031995610834,-0.05002498576303391,0.12521680266618077,-0.02498067638117853,0.060555564944111295,-0.09018508005832288
POMC,-0.023185346281377518,0.03381472011726536,0.0026500633343412446,-0.04836509409279358,-0.010933883740467863,-0.02201380332944555
CCL18,0.010034593866464462,,0.09067299819990199,,,
CCL17,,,,-0.019896414928581817,0.04563000659674324,
VEGFD,0.04087990636544554,0.047958111791017596,-0.04036429940106872,-0.020984576734739482,,
TNFSF13,-0.01632219075818291,,,-0.021336331944640574,-0.01829525111781371,-0.02901804342073641
WNT5A,0.11668822340152925,0.12205222810707815,-0.056076879853422704,-0.0036683140527854034,-0.01721953109022546,-0.018047167859428063
CXCL8,0.08659782020414485,0.07554848213652615,-0.10300414240026104,0.00794034675678122,-0.03518589399368167,0.0552583973541675
GRN,-0.04369348455328869,0.04166982707966109,0.08853110443864724,0.012777594245975224,0.021165314426043764,0.0956349299556805
MIA,9.876630332089479e-05,0.05501925506339528,-0.03414683771940127,-0.01529552113621089,0.002911966479687907,-0.0024845956838627048
COL4A4,-0.012252650569065895,-0.01786942776913643,,-0.030648818870264136,-0.050068226525008294,-0.01680754896768116
TAC1,0.053154808448120025,-0.07238890984101684,,,0.017371592265006147,0.009662282223586904
RARRES2,-0.015695869809430992,0.0615007281980889,-0.037716363118858336,-0.056250285886214606,-0.0465772352350334,0.023454678520672734
FGF7,,0.013300566692914271,0.09951400350718242,-0.018836083595393082,0.06192757183750162,0.040284982787533646
HBEGF,0.030504409431040005,0.01398238772549901,0.11482616268133394,0.01728969495364445,0.011976907299913976,0.098721134226067
CSF3,,0.0018370555170804097,,,0.07630868517350468,0.024779555730143683
PI3,-0.022754965802329552,-0.021287854501835787,0.06566596776422719,0.0430663585597909,-0.034903758356364806,0.04946066745592752
PCSK1N,-0.043597578163570065,-0.05549852973438026,-0.1049512874106434,0.005412591404804841,0.024469766568218386,0.01901667192438719
NTS,,-0.007099201777102373,,,0.005978984652095709,
SFRP1,0.0037555340864234856,0.00864873833134104,-0.041749757845057966,0.11530398870318329,0.005668167659632112,0.051995763202375166
CXCL13,,,,,,0.10255538977160508
MICA,0.006719450759448451,0.03183638810057182,0.16937618915295782,-0.020519448194245782,0.06275832568399284,0.028500152862834475
TG,0.010980665445998981,-0.022817259899857976,0.005286185288137931,,0.05057015019619098,0.0017957796448338785
ADA,-0.02151858360046708,0.0639565684414803,-0.014601361391418153,0.024565171129309806,0.08097753941534856,0.06818615907494192
LAMC3,-0.025617512534792313,0.03526937029429673,0.13800242409887672,0.0025456681518273025,-0.026458514905617275,0.015741728367235933
CCL7,-0.013758080298612627,,,,0.0029197854638038636,0.019900797310076296
NGF,-0.023621940659021918,,,,-0.004510311581116046,0.056801321992617934
TNFSF15,,,,,5.784296195959316e-05,0.032020353991824076
HMGB1,-0.06530406801532977,0.05072635768572926,-0.09856497051707,-0.1011654665328535,0.0020125635753672723,0.015296865782434606
ITGB3BP,-0.008123360262691481,0.07370200483646143,0.04849513276696345,0.04688125084869649,0.05273929170213653,0.03761640850284938
AANAT,-0.0027085899667359152,0.00576356854542102,-2.4983550970912833e-05,-0.004370968493282282,-0.029072136922867326,-0.020830463174716884
RELN,-0.011100436378875143,-0.0420964015586437,,-0.014112690957786453,,-0.006938440860509098
IL15,0.09383652872689585,-0.04448190915269905,0.035078012177651885,-0.03064881498625012,-0.01163346264370939,0.02339599918002682
UTS2,,0.08688987498107227,-0.06961952653565309,,,
