,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.01991315276789204,,,,,,,,0.07611833163002751,,-0.018602405221263302
BMP1,0.01122463742545865,0.12245869042907273,0.021796058150053584,0.00473212488539607,-0.006769182692075986,0.020332266961858303,0.05757810737221916,0.019319466673341064,0.10188361760315551,-0.01153955776076353,-0.1272530063100584,-0.0794598073292363,0.1686982080900901,-0.042597445182441525,0.002612864608875498,-0.017709230253642492,0.005263091559975942
NDP,0.011193950747631238,0.04469156219491082,0.09022133136137271,0.03860818006249608,0.013829634286744689,-0.020874837447694194,0.01711145680198532,0.039661444776505315,0.13118944545026773,0.04930120342895068,0.05558410218834028,0.020895446692720792,0.0461473125888293,0.0053003146934622785,0.06328668576334054,-0.025453682587829058,0.08334004860843063
TNFSF18,-0.012097543287791475,0.04634879104425756,0.047840638266569806,,,-0.01144082067996711,0.10056688889489168,,,,,-0.05569153182683886,,,0.024984861551932885,,-0.031378931839600104
IL36G,,,,,,,,,,0.1110649428248812,,,,,,,
RTN4,-0.05614441230895795,-0.044546553217419335,0.000623117365348112,-0.028017236481306433,0.0199492440053498,-0.04667244432720593,-0.13866552076385655,-0.029841383007284984,-0.07302288835127765,-0.020216093610492775,-0.06942387022156421,0.035949834451129176,-0.07064310744911904,-0.04842145457441202,-0.07685658559310762,0.046105182189622756,0.013246973826806136
HEBP1,0.026666405526557354,-0.018623000889246177,0.03007226380626119,-0.034051816918735836,-0.030366603030156068,-0.029987460817182135,0.0635689269703568,0.01993269071252132,-0.04138397865249156,0.02990088952982237,0.017430685452026393,0.025957155424619155,-0.022342954415827666,0.07802098700271526,0.01366233319693581,0.025206806345026443,0.0739407732577135
WNT7B,-0.025263785129943886,-0.003016550682615845,-0.028708474531249528,-0.026976179549281325,0.0556749372381979,0.02638635475818638,-0.04460658187057834,-0.019746629928127264,0.05850286582928422,0.08325786890442861,-0.05908597293752606,,0.019335032738470388,0.05072223656735913,0.04442462847080174,0.05260105145139952,-0.03970526587036784
PTMA,-0.06828391357803658,0.05965787686542161,0.07076355210750364,-0.026579167268200702,-0.0023531368444393566,0.05475502876732619,-0.05833799778812229,-0.012432799472949705,0.099598810078798,-0.07409933530044989,-0.05314333254799117,-0.05169594182110578,-0.15178042972497083,-0.09411244428205057,-0.03415795043908699,0.03942064452871387,-0.04128681499819809
FASLG,-0.025263792271951222,,,,,,,,,,,,,,,,0.0890168205389033
CEACAM1,0.019015071756468646,-0.02248078227372979,-0.02203202750426118,0.028282708364047487,-0.014777318353850414,,0.021264358814995866,,,,0.1430131236997607,-0.09628569579623616,0.08166315452730454,-0.021798922675116687,0.0014856623992832378,-0.013320730718359094,-0.02244789614280659
PDAP1,0.0214796715964941,0.00835987861522222,0.026225207885538462,-0.0006021779915804943,0.015434949737616901,0.05254703680525651,0.07569650846767298,0.007274848891348111,0.09386301678998883,-0.04620925731519249,-0.04225450234160991,-0.07050122983799754,0.025576511936856783,-0.034969399412264256,-0.0007819615259312652,0.07865442666195653,0.0014400394472636343
QDPR,-0.026843092713411253,-0.0695207689887919,-0.05194117176035555,0.00028931512060970934,0.0013757501376933713,-0.06383435132562762,-0.0738868170471275,-0.01789845528041969,0.003997757002393737,-0.03270888616965516,-0.022135714139289265,0.0734786088536418,-0.17701264321514384,0.003528233949054441,-0.04389567141441176,-0.016559968673668317,0.022979479607655617
POMC,-0.0480367122527711,0.0013966966928903057,-0.022386929835244353,-0.018922286289745977,-0.004498576861091241,-0.018030128111494133,-0.010706194046570628,-0.03228927100709339,0.06324203711611963,-0.04876108581423202,-0.0429227440946374,0.06819289548103401,0.0020646340465227506,0.06323018469637029,0.007705034205337396,-0.021790965569032237,0.07639382876786872
CCL18,,-0.028053892202771668,,,,,,,0.09948091635381585,,-0.03815060945993713,,-0.029210113691354716,0.09572224090071911,,0.08735183545875837,
CCL17,,,,0.04501716389773781,,,,0.021932560601217916,,0.06365753755142875,,,,-0.015465280540479766,0.09856095009271494,,-0.01462353167097964
VEGFD,,-0.028053901111196405,0.07276116229999456,0.03877049137796481,0.08753698627726873,,0.014145066079874102,0.006884962710722005,-0.017599375823863755,0.056279455026129764,0.0646236611232804,0.08577682440359242,,,0.007154614831735141,,
TNFSF13,,0.026258597524718912,,-0.012453784793883699,,-0.011095209369741055,,,,,,,,-0.02967555043640546,0.007191182043387041,-0.014958287807573113,-0.02382782428126726
WNT5A,-0.006513943292493959,-0.012823291563425562,0.04244151733086798,0.047309896165813735,0.009205339788138105,0.042738414826541414,0.1396051096004177,0.07111958054688404,0.05864052744535016,0.01663782299861618,0.11371485185380867,0.06452121287553927,0.0844874118421551,-0.0046632355404671606,0.03842663920725371,-0.015761366637439052,0.024355798699812255
CXCL8,,0.01775658828087277,-0.02954759791660857,-0.016271991264505833,-0.037312441171789834,-0.015782215702545798,0.08917157054427152,-0.03003137966077795,-0.058956913694507375,-0.02509719849025377,-0.012917979833014919,-0.09782437761133374,-0.05142900408837238,-0.0622710823697144,-0.02490451430408257,-0.009819870338760592,0.01594323033010824
GRN,-0.0001352551841898712,0.060008787138709406,-0.03273399916916284,-0.05613727421053326,0.04952843287776193,0.018328029044774867,0.08926714744526061,0.009920682661505005,0.04468933572233837,0.03572363133259297,-0.010566014600065315,-0.07924224781425923,0.07676151322401469,0.0016828129345937146,0.04045245130914062,-0.015276492402291564,-0.06557887237553711
MIA,0.07132567601847364,0.034243152626136975,-0.028064107916283453,-0.01263890864198808,-0.006134322852232095,0.18508896526886373,0.06459421672645749,-0.002918613300983651,-0.023867915396403514,-0.030516502992687412,-0.01421066306800159,0.05141528991233643,0.039597174299395924,0.1509552202947675,0.10304934568117885,-0.0516332853957234,0.16088634841942964
COL4A4,-0.0292585498276105,0.040283544767186825,0.01578956160436564,0.03812840844493296,0.01438471169834171,-0.010556601524344648,-0.0196229339956653,-0.03401100629619214,,-0.007201381650062024,,0.009313434451604926,-0.03693071050145555,0.1386682486125212,-0.042080356125608676,0.030340079006584204,-0.002548712660732617
TAC1,0.0686284737811839,-0.04512352954800563,-0.016566094320263864,-0.0009520910373728126,-0.03131593100761924,-0.0444230837006116,-0.08740249088614717,0.02083961327566507,,0.06940299422594103,,,,,,0.009644518897824838,0.001996353868373344
RARRES2,0.056824939876507934,0.0005116205081850387,0.0681183466676764,0.021412444107127632,-0.012783057835564226,0.04032552782320699,0.0888837129616926,0.02228687706672801,-0.0627108914798896,-0.04512536515754563,0.07238416028080283,-0.014241158578678647,0.006158024364182454,-0.021748232485022452,0.02734909150772439,-0.03967834034867335,0.054873565655299356
FGF7,-0.01808435591662487,,-0.016305481771309884,0.0640670804543071,-0.027070352686813053,-0.018176445134531857,-0.0050637264388142325,0.00934658894379603,-0.01765272909990358,-0.002984701248122679,-0.0033590129869633806,0.015144181978486364,0.04276088469857354,-0.032305225679399995,-0.029408064571156287,0.009493793320160676,0.0673548103605299
HBEGF,-0.031286395765454895,0.07124522101167344,-0.005952790720327292,-0.009251924918762356,-0.0858743072881543,0.11786431719003869,0.015214432632771453,0.00444377650744595,0.08446301019709321,-0.07250039136547237,-0.012500840394132745,0.0009392859630405844,0.05584477339083176,-0.027066142510049882,-0.010339214897580088,0.0025119208361164443,-0.030289217607274876
