,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.01909202113971855,,,,,,-0.0038439750047234694,
BMP1,0.07255935076124574,-0.008455148524807374,0.0071898408748142986,0.018728361764119857,0.01660702412301109,0.09776008711201177,0.0051150428297937825,0.03144834220938318,0.05517623350598556,-0.028310814212488745,-0.008334463517001319,0.09410806887462543,0.04527657151771178
NDP,0.08992184234641666,0.03222845786755425,-0.02646110440665017,-0.026525381001932004,0.04182942762399447,0.02408649268638488,-0.014163253395338355,-0.017658202917809927,0.003485449128488146,0.013426808738742274,0.000750546893552253,0.019857215079232507,0.06122077147590537
TNFSF18,0.03563413047578301,-0.030470102352354995,7.607033727285471e-05,,,0.010964990819089235,-0.011674764661574738,,,,,0.06660694559381744,-0.021308922586268556
RTN4,-0.019637041416017926,0.003522440480183859,0.045501983553015206,-0.04018718984350389,0.07342651942981851,-0.12081786286095618,-0.006848466551515377,0.023297466270055044,-0.030183645658137605,-0.009357340264216285,0.04212443748933809,-0.015308711777183386,-0.056238449540393136
HEBP1,-0.005636846558345085,0.019884038987362174,-0.013975690192157176,0.02043962963386532,-0.0037987848252493753,0.04060263994130625,-0.012545492206291696,-0.03789262496117127,0.05845835020422997,0.009780988818940553,0.03801333532387917,0.03242820868573353,-0.09443973186538154
WNT7B,-0.04771637483772056,0.016176033874237796,-0.007756728906761135,0.01838023684600014,0.010782560599937839,-0.06281324931506245,-0.03346462612583523,-0.011566944248006516,-0.025170350765116502,0.0762228258764347,-0.020069967969268788,-0.011437249283160499,-0.013027564985093254
PTMA,-0.023869863682530773,0.049629495851106945,0.08507571345275199,-0.0017751226836091084,-0.03791533186380903,-0.06865100232257818,-0.03383334986332042,-0.035101711540072425,-0.07658019898290228,0.05273425237205651,0.0016885330195467619,0.021212181574612757,-0.01671835386512961
FASLG,,,,,,,,,,,,0.14735860568080622,
CEACAM1,,0.032075384210745794,-0.01714421674830578,-0.013448980885147148,-0.014122254380429973,0.08719631108424192,-0.01836162348633581,,-0.024907863214114583,-0.019738681625002273,0.04170992584015022,0.05165709365025484,
PDAP1,0.01967323280649903,0.02256184245178132,0.0006734466030426618,-0.002108203007888593,-0.03824484416533612,0.09228476421259557,-0.03083137262257189,0.013122230126249381,0.013040950614668274,-0.015671032098755814,0.039387722663831996,0.007780950809471585,0.06070846478074083
QDPR,0.130665040989903,-0.006287605282987892,0.032053056585557696,-0.010210988524856525,0.08719000026913067,-0.12511135870988235,-0.004921913072245281,-0.03329418733983224,-0.029001486845784522,0.0622999288396156,0.08816773949550173,0.049133957746446924,-0.030693639173982587
POMC,-0.03860156376171383,-0.03255332822315098,0.04785332730867624,-0.00923602881260174,-0.028417315333065154,-0.0017962334868763924,-0.013546473694648937,-0.03111049049570213,0.023548612414235774,0.09605338787961483,-0.02179096379320969,0.03930155478998084,0.010742506552261942
CCL18,-0.027416999711837187,-0.009544857946374755,,,,,,,-0.008196400288954665,-0.0023041825401333193,-0.045873205524358675,,
CCL17,,,,-0.024329526263183913,,,-0.01456070453984554,0.005231136304868125,0.006972509105000053,-0.028494026108948987,,0.09808970619222819,
VEGFD,0.08340320840504731,-0.008779233541392392,0.0025520290624853675,-0.02710577895997133,-0.013511373415157943,-0.009583011800612601,-0.015513199125871216,-0.010501424499751298,,-0.019738681625002273,,,
TNFSF13,,-0.02352822042098683,,0.12321126573447208,,,,,-0.01993503770819134,-0.030972032200668523,-0.014958286588569547,-0.013922380720088926,0.06122342030113508
WNT5A,0.0031492513858558664,0.014147829405342871,0.04522375050547926,0.018296022112476284,-0.08202704512887407,0.07898838060512998,-0.015320186858628862,0.029994575956419904,0.05242045753094446,0.02883900427354865,0.019716572621263074,0.031791193678427684,0.022130147474232045
CXCL8,-0.09316973640293713,-0.02816262755953647,0.005714096066834051,0.021198932210984588,-0.07901107469326371,0.014285486311407563,-0.016864738566060834,-0.00977938311128602,-0.012065223633439636,-0.10763743226437233,-0.06451722686789567,-0.004630686470007852,0.02455276121719692
GRN,0.008064872509985372,-0.03723917086307611,-0.04874682399492108,-0.046009088316912417,-0.005377687104379796,0.10432071951653137,-0.021998433936528134,-0.004765085865672435,0.02517579296417626,0.033797988951165314,0.03962214774683537,0.027563131279353267,-0.031285721371863695
MIA,-0.026755512977860583,0.053155245883799856,-0.0218380786276502,-0.00957880059774008,0.0261984489994524,0.012997310747705857,-0.02861925738073749,-0.01194315878906007,0.06064209279468033,0.06432237037069684,-0.004306306087136375,0.043488142074336315,-0.01656074779976781
COL4A4,-0.031097127364916016,-0.03744499203364912,-0.010085703583296192,0.058156970879054665,-0.031027354097679122,-0.019493071947892862,-0.015201826028453276,0.009767671925284318,0.0889420540886616,0.06147364589618003,0.030097603343950147,-0.01234505054709482,-0.025908353825695528
TAC1,-0.00576759145815293,0.06549395689064344,0.005345490988241282,0.02815676469541527,0.13406336644799832,-0.07313902353106924,-0.018656246010618868,-0.02006989585290052,,,-0.02298205345924808,0.011544880896018505,0.0014264287950212322
RARRES2,0.03824400997322819,-0.0008277294672322561,-0.02640535517981759,0.01779807498134653,-0.0569483935699721,0.12269465300328611,-0.06501333187956959,0.02088439379477269,0.01628604709486684,-0.044472679577185,0.02490636811330934,-0.03593095550156955,-0.00860776051913894
FGF7,-0.020623485745957865,,0.008131536424394147,-0.022045985010248237,0.06456350064766064,0.04060930620425035,-0.0008182754658322296,0.0062506178769718476,-0.009128188493257623,-0.023052351711490844,0.021478304198916567,-0.0011193250504994256,0.025699608943929454
EFNA2,,,,,,,,,,-0.01876029591125089,,,
HBEGF,0.010342519451410586,-0.01845394969976295,0.04947531189037795,0.008112097581796167,-0.021666059379651856,0.0051740859736632,0.03363571335602816,-0.026968665019322362,0.05572700818358373,0.06447388962462397,-0.043204003951218234,0.012865137141903763,0.07579342626490429
CSF3,-0.03109710274522739,,,0.12481979628692436,-0.008119703396171168,0.05288628232432196,,,0.026034971920649977,-0.07970683340500061,-0.01909708552252363,-0.018660363589139663,0.009490286727821165
PI3,-0.03683915543226165,-0.03280097990527526,,0.05365225188575484,-0.041447449376440126,0.11046778213609733,,,-0.034519185560473925,-0.12308186053228574,-0.030720518829352696,-0.04054277078114099,-0.029480421823536107
PCSK1N,0.05370815993764698,0.03503972000455436,-0.026974858367447514,-0.08767863300272813,-0.0026338236063140736,-0.005588961659384328,0.046859948846426254,0.009194914823436361,0.002056828475212599,-0.02160756804048447,0.10571589308637769,0.006889632294315202,0.04528051105326146
NTS,,,,,-0.02581195978304089,-0.02534851026813377,0.04576152745692063,0.014669026908601104,-0.041224424760753,-0.022855860549875064,0.015312183448746929,0.07924130920928399,
SFRP1,-0.03589423723445804,-0.015715992218063937,0.02275754710470145,-0.021228452088172933,-0.015414137209906266,0.017867281804115284,-0.014532293274267506,0.024786840286552383,0.036939254385962926,0.03419288791225458,-0.006725718449397131,-0.026991322464136134,-0.01911857244277634
CXCL13,,,-0.015557599449803363,,0.08043231039948899,,,,0.04110956614234686,-0.013960218540961232,0.04441101483359006,,-0.022105579947849535
MICA,0.00951243433760029,-0.0690066067802342,0.03232372228920008,-0.00796912187261159,-0.028846058751595814,0.03266926362538413,0.026326309268042494,0.03646532882349998,-0.003399719419949591,0.08210118597884374,-0.018829933196016932,0.03329600534176883,0.008214719950601648
TG,-0.024789354351925485,0.03379959181966994,-0.02331268048709631,-0.022908863116887012,-0.0326927935027138,-0.0248904718510299,-0.014669358795969116,-0.01036088617335597,-0.005337290818291,-0.02814949078816162,0.0780412504021146,0.022412819251020833,-0.02436046349755864
ADA,0.0281868966586669,-0.005555734586772686,0.010212104936525883,-0.02550408761687215,0.044755788209525034,0.07687258334890096,-0.0339185830210574,0.0005650393334590284,0.028912194375892573,0.04017189741598762,0.011910019055924297,0.048859344393977926,-0.03403582232985918
LAMC3,-0.023502720516997713,-0.003209981906660978,-0.04145618711081617,-0.061950479204652215,0.023629632143778417,0.04733314914925452,0.011115029859759814,0.0055983913773366345,0.016467758958048438,0.054660458143104856,0.07231077162848835,0.03959014085233638,0.05089095445846367
CCL7,,-0.019832089370301596,,0.01790368562267028,-0.020252634355592554,,,,-0.026484640981717364,,,-0.019554252204853524,-0.002724423821413494
NGF,-0.01791592487326915,0.10096804109526429,,0.012168602825517,-0.004802753375120364,,,,-0.030587640078061702,0.04720949032115547,0.013926039698566518,0.01040495529063903,0.03441712811764722
TNFSF15,-0.02216423503668546,,,-0.0030162061960125066,-0.014994981751133807,,,,0.04113657396803242,,-0.011858962252981496,0.015477407456835806,0.006254706760443922
HMGB1,0.07174063630131534,-0.03837258005091435,0.0447854725879068,-0.02701715106423854,0.04506013274745049,0.1369712090157926,0.0055222770573705405,-0.050188801242334394,-0.029792730113226137,0.014414531515750208,-0.022409111512601457,0.018686690583183486,0.04677088712108546
ITGB3BP,-0.02043150556597913,0.010087437589895902,-0.019567513945204784,0.003364189102132811,-0.02894783941951086,0.04456458740033167,0.02592980063814169,-0.011835991820500175,0.006423955546769561,-0.0019538291438323118,0.01963928623416435,0.0811365572112371,0.02119616240498696
AANAT,-0.0321114624758305,-0.028773344434567177,,0.03476483977978537,-0.01351137534398264,-0.018602770129064417,-0.013192240093214668,-0.011943159453369058,-0.023234503177761538,0.02381200104370198,,0.019307485807958987,-0.016640418586085608
RELN,0.08445697472249297,0.009196426654282835,0.02020569227871933,-0.029129732128315995,0.02334001966694052,-0.05458636436469008,-0.00821229906752268,-0.016587885154588176,,,-0.014324341218255045,,-0.031528001619584405
IL15,-0.011947605226013598,0.04270757224332465,-0.008344558747804804,0.02189172134626756,-0.03673648371681699,0.009558748602777152,0.00481643420550027,0.029092251229686162,0.023689842364863246,0.07643471599142225,-0.02892765877856578,0.02299810561562268,-0.008104413028366918
UTS2,,,,,,0.08375083669336618,,,0.02360466728725864,,,,
BSG,-0.01037408486531594,0.06543694483722035,0.023192569429792816,0.052552661818963925,-0.0732325615934147,0.012374587657781726,0.007102683138691857,-0.009828651674339897,0.06936445867717729,0.016659135062773656,0.03253538496994858,0.00027381408013347585,0.06132637199792258
ADAMTS3,0.07138122674803679,0.037375408335352266,0.11032282109895403,-0.019241373493498873,0.10405421865433977,0.10878895458506091,0.03985907326514982,0.017195534423032455,0.0851447524585434,0.031080597009212278,0.0004743823315161639,0.08831526809410438,0.07445581709506895
CD34,0.03040154658620026,-0.03467484133501594,0.04424213919389179,0.007963487131226188,0.002752287870752857,0.06920739327590668,0.011135017861300106,0.004038402869766904,-0.009125747438588466,0.02232591244489111,-0.0023147118367171015,0.04796344374063181,-0.03219578983880846
CCL23,,,,,,-0.02116699941148095,,,,,,,
PLAT,0.08602143752456289,0.04698651148930598,-0.012265307326477053,-0.023867753251229334,0.0070480870964249815,0.11747016121588473,0.057855835227764066,0.012663189479028857,0.031226982942348176,0.10983233434815232,0.06888012705937907,0.0763146573809022,0.00364135520331295
NTF3,,,,,,,,0.043128757789189474,0.056822191103570896,0.01638593941350733,0.02201664230111055,,
LTA,,,0.0581958173549803,0.006078542341658084,,,-0.012705502056198489,,,,,0.002152077191062905,
CKLF,-0.007662804454541145,-0.01873692484753479,-0.01253202976260018,0.0015948981785459042,-0.019266182088473274,0.11199522446631636,0.011535518320485005,0.039643870506522336,0.06193149676176331,0.07796483835734258,-0.024137868453243092,0.008859610209746105,0.05205977696109959
CD24,-0.04881756364382266,-0.024157143408265868,0.05051076153270062,0.021467559624309365,-0.024630970026573204,0.12936204122616463,-0.026742087684329747,0.018027706069696843,-0.0015528381074145661,0.05548181794785136,0.04591546609486432,-0.017090454538534593,0.03477311988124462
HSP90AA1,-0.009000805898688527,0.02415815302038303,0.0666678430436553,0.00471002250232812,0.07159640276434369,-0.13474072252442182,0.0649957580742097,0.05059106846614343,-0.062385224771194105,-0.11142842541502486,0.023219666267955227,-0.023165692754077035,0.025884810787474084
BMP4,-0.02257598602998832,-0.035738327337980665,-0.018173876612252587,0.06339908494869965,-0.026221006461538698,-0.00048645757488151385,-0.03644306954567041,-0.0016039509132428373,0.028531136028504912,0.06258358022793757,-0.031000328757408425,0.043898844424551255,0.01639497303065677
SCGB3A1,,-0.019832087387119154,,,-0.016090380060769773,,,-0.010074171811250658,0.0022074565474840047,-0.024609194635687108,-0.02462732257474895,0.053317193046186616,-0.01639535506845509
IGFBP4,0.010103631252594919,-0.0037006654549772942,0.011422955383801142,-0.056032555709074346,-0.01309805411982429,0.08428654580843394,0.0017541197972861333,-0.037013493923638355,0.053767401507621465,-0.0409931100678936,-0.006948600535237183,0.0568877483244074,0.03651490510048581
RSPO4,-0.021886139040948733,,0.03180231126265905,0.0039122974768747145,-0.01857091416448142,,-0.01477727238263597,0.10051485795789948,,,-0.01658545367285588,0.034371192029381034,-0.02098290869505004
LEFTY2,-0.002252336777877433,-0.007398794152468211,-0.017354775595354543,0.06164323943488288,-0.01621786442682946,0.12754841430689012,0.020056511000558445,-0.01104645098507114,-0.022482461044729122,-0.021570969688952855,0.011527871103731614,0.16725002590236,-0.0030929029465412115
PF4,,-0.003777956939696719,-0.015594996875677213,-0.014450953511886118,,,,,,-0.017195110038454264,,-0.027844558048307426,-0.016437099692194434
ANGPTL2,0.038664158892055885,-0.06275716090531526,0.016394534125681228,-0.0067189307691638295,-0.05010333345365421,0.04900921522029283,0.00283145260448071,-0.011314820232173405,0.043126118799707354,0.1001213317339062,-0.051415106026899755,0.040349160262552995,0.08719504546332252
LRIG2,0.013970276140916367,0.004646167951116541,-0.02456180151462231,0.07394454449223316,-0.015946999314315348,0.03952154720177797,-0.028949132096009342,-0.011739156626796442,0.06055050703441074,0.06659315449746558,0.03937246293663875,0.0846902002804895,0.03659517722588673
ICOSLG,-0.017721601101787148,0.05779641828182719,-0.019769471671363687,0.008237476145524333,-0.027882385932286053,0.10943997653962668,0.024986088490040876,-0.003650221250176918,0.031194345589114835,0.10015638858504704,-0.02587756127224357,0.015635780548636853,0.03184871326775949
WIF1,-0.024008719898791366,0.010987401494113607,,,0.008574400563067285,-0.08612959156171411,-0.011403271087897229,0.012464964117866944,,,-0.015417785687575437,,-0.013414340947881053
NPPC,0.008480333662591606,0.03725103979452778,,-0.009564239792015171,0.07800955043205139,0.004444079991228512,-0.022244158654144197,-0.014000631405926844,0.1425545900324647,-0.03253430095302825,0.018611501857340135,,0.06461859793381936
LYZ,0.046756118479438044,-0.05583137491015921,-0.04960645165537812,-0.031369514202684703,-0.03516843005610186,0.11307883227979575,-0.043399161018685156,-0.0036926629455276195,0.042016104127428164,0.015157803872635713,0.06079577974054462,0.028733913252388252,-0.022418056767809464
EREG,,,,,-0.011957568479379774,,,,0.0702279652698473,-0.02479059260102847,-0.020657462181459862,-0.04205173246707455,-0.01892397095361715
SPTAN1,0.04266768364038024,0.09754222992155645,-0.02271743636249363,-0.043466573848166094,0.022166322532334273,-0.011683041648693236,-0.02247144313443628,0.027583403441896026,-0.0013678372820058488,-0.016883573951606154,0.008806519663967283,0.034925162420427494,-0.05489690079515146
PTH2,,,,,,,,,,,0.0337424294062464,,
LIPC,0.02007699570997194,0.001347418506148075,-0.009113284203318939,0.0201577630438028,-0.01797970150882527,0.11061063398671608,0.012694834015089732,,,,,-0.00045583404991581585,-0.006352747896952927
COL8A1,-0.016445170206538063,-0.000450318599628768,0.010226917087502061,-0.011430930111205335,0.030577074721853007,0.014461475779168502,-0.03058266970044048,0.017406841417182937,0.00619515119931103,0.013859698482010721,0.027022266147854378,0.01146758592215732,-0.0010633714533634885
GSTM2,-0.007678511020804627,-0.013967564895598906,0.0038278329763792485,-0.03652582109968715,-0.012576358444582212,0.024957283457605756,-0.02705087534168534,0.011406609317177662,0.016362280016988907,-0.00844952181410579,0.0773195280356034,-0.026482344278300773,-0.03940111490460477
SPX,0.09901859840601056,-0.0038462408744408647,0.027008972842667935,0.008402651334204645,0.04657515296476219,0.0344800129306956,-0.04599767118327088,0.015358015476494256,-0.026703035036978334,-0.021349926967410955,-0.04081589831596466,0.05381188135142091,-0.07004998245640594
MFGE8,0.006370498388965488,0.015757209900467483,-0.006509774584824906,0.008613448017793393,0.032155625185725976,0.023830033528502353,0.053912162119460344,0.02119300800025231,0.006557971403522332,0.04474835021148504,0.03727903161778334,0.04940894659013282,0.05876644014177927
TGFA,-0.10338589916245296,0.020533184197838134,-0.009511188856136691,0.09018066180560437,-0.04805052810893178,0.026490759462985878,-0.0011249528474927787,-0.033617696245569574,0.08278313386671234,0.04074010471969288,0.0244318775025399,0.09312188468455558,0.05408360239270979
SLIT2,-0.044353739187696264,-0.022453144887026145,0.0008999319299714861,0.0012978226911045593,0.0669487390803546,-0.037517029693699244,0.014728213010306785,0.02792100757330079,-0.020577334151074867,0.05709813905813615,0.006629350352875689,0.03036433292790523,0.05375562504442651
PLTP,0.022615921643173435,0.028706717806805292,0.011747745277485462,-0.052796171714026154,0.006676068104076476,0.1374891987630158,-0.003003675746686722,-0.018289124192362047,0.01712921627863736,0.010456553848462363,-0.0013298607478188134,0.0019238481165403693,0.06421147107794163
APOD,0.066296799376938,0.10654777860981218,-0.04771259929745793,-0.055525496693993204,-0.03579044595330142,0.049583763313326555,-0.04861459944777279,-0.00957033913718309,0.037116032776637005,0.10033539229677861,0.017717891216594527,-0.02854897125578063,0.027839793595643918
B2M,0.12147198536952517,-0.01192617453944918,-0.06649051858459396,-0.007117130806915942,-0.009759192300935849,0.12614558927205893,0.01929139406705458,-0.007517605572039146,0.10857741143862697,0.06060606024158021,-0.026150933479010853,0.029879654299595087,-0.0070718472347241585
OMG,0.07908255010759598,0.042199424645092284,-0.010343738441749436,0.01753378850705015,0.0526909384671263,-0.021822099373203233,-0.04061900160335146,0.005079722726776742,0.016571734328439208,0.1283051469167473,0.009156976177653191,0.08916548451074988,0.024996214149459982
