,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.03274077610017478,,,,,,,,,,0.03370650073222742,,0.05006072439141618,
BMP1,0.06238880839259296,0.12465725672021159,0.08733540710148237,0.011212271540884973,0.02197790819741853,-0.025264308237709292,0.021683172164545274,0.06261276089308572,0.08486767713722693,0.05602617243692005,-0.01725525282455808,0.08043235704621106,0.043722826528676983,-0.029199445657290837,0.03888789627629322,0.02914756762636596,0.004480097901558951,0.007141727861114321,0.10017177306001773,-0.01838808700232514,0.15425140146635685,0.12801272897582683
NDP,0.02705930476113734,-0.006667006149331703,0.07663835701787418,-0.016274179053875,-0.04005358515714735,-0.03495564039083459,0.006534216147736263,0.03057877102861634,0.05488390811439307,-0.006507981755922216,0.03928246098432297,0.0358860062310059,0.030038116628246157,0.09242441689410162,-0.056263391834378125,-0.008558529020106693,-0.010835004127911357,0.0013288012708909556,0.06650291848711198,-0.023745386001154313,0.02003878385147292,-0.02184363973209852
TNFSF18,-0.022885152519951636,-0.03274063224101858,-0.009880716032939283,0.014025345695570627,,,,-0.01737564279158206,0.07445145151560692,0.007576544693973655,,,-0.023342008589944327,,-0.05182693766764042,,,,-0.0020667425308212206,,0.11963142370192013,0.06052429706834636
IL36G,,,,,,,,,,,,0.020076866785760157,,,,,,,,,,
RTN4,-0.04786847862165035,-0.010696983839339251,0.0734548814786791,-0.06733403595591235,0.003353435404426965,-0.0318741955365199,0.022399603038703062,-0.06897148866145648,-0.06760366263083208,0.009567793669855657,-0.011941226503849666,-0.06212975410186235,0.07695138235681658,0.00797926772113192,-0.048206215811694965,0.017030774830254582,0.04679005906640333,-0.05425062866500231,-0.0869859138569764,0.08014655810334344,-0.04160659105487879,-0.1316452852303123
HEBP1,0.06443110299917726,0.025850058892325816,0.03352018708690181,0.05033106427305591,-0.06193285479019732,-0.0037966947130931936,-0.03613160132975704,0.06490379379576001,0.041860920602722305,-0.018888776250333108,-0.05989179843843989,0.006631837326227905,0.049005757786440035,0.03913906623894357,-0.02313773743962666,-0.00871941457634214,0.056503175391187495,0.08373350283302014,-0.022889545525403628,0.039049834095410275,0.08654651347652237,-0.035976560996159264
WNT7B,-0.020161102587168217,-0.013322736132018427,0.07032457974490408,-0.018628564235715756,0.04887353065727032,-0.020532334602053226,-0.03299505391838398,0.012047798736350628,-0.038347776773678795,0.025621382403887005,0.023936349576600735,0.016599510617522538,0.08709134175248914,0.02260642289361466,,-0.04182069133942873,-0.027792080784463147,-0.04886070213645076,0.016791287070950248,-0.01385923257077266,0.044645525257611285,-0.01909371789060178
PTMA,0.0075032407632663525,-0.019352795648994784,0.02201236148371948,0.05721215513681068,-0.001874742874172719,-0.024969635187803502,-0.001851034004884228,0.11506713592507974,-0.000120361584370351,-0.029464699786118712,0.02958352361553179,0.06576547691403899,0.06097137690905574,0.03752861948328112,0.056298215617697316,-0.0894022770539671,-0.029983815982944334,0.02534853976144387,-0.020578413303866647,0.023289521618872988,0.10675896281748753,0.13810548583255333
FASLG,0.00366299729874878,,,,,,,,,,,,,,,,,,,,-0.035330158628516725,
CEACAM1,0.005739421674522976,,0.06353221183810624,-0.014296302618219332,,0.0018356211350535475,-0.024339467424116436,,-0.03161734322228971,-0.014613780017291052,,,,-0.05189013494562617,0.06373675333645908,0.13161607149341256,0.09359370461058732,0.011248248774781743,-0.00738053876022174,-0.04062389207510652,0.042138779311934584,
PDAP1,0.017865798272113986,0.026882997264817195,-0.04888604158378835,0.04813937129798747,0.011663744875642383,-0.028358427594789768,0.01084521773296506,0.027782645604683315,0.03663975168745302,-0.022126646959261465,-0.006413379171384883,0.02045308365934625,-0.031241641207018937,0.061303790274069195,-0.04518369116327318,0.03276463526048933,-0.06241615984615252,0.06414982290491034,0.011642457893510505,0.029106859963557438,0.03042914181798308,-0.012423039927439835
QDPR,0.050561332019458685,-0.018980772737789333,-0.025393350132226607,-0.02258247063661463,0.002216156894774498,0.014604305571208159,0.031072601339766782,-0.042341791376354,-0.06913517700796132,-0.026665607735846388,-0.007380983136239948,-0.012313418585938724,0.04348450279495027,0.021979731039233147,0.08229919881295028,-0.09772242551201199,0.04297731061818838,0.0635674422660727,-0.10138578053184524,0.02839085364239395,0.018286477857317265,-0.09019765185231518
POMC,0.02044105875815818,0.04555066219625592,0.013647673796667956,0.001070393703671434,,-0.009993717069560966,0.0571073786946556,-0.03707607165807201,-0.0026590501378487503,-0.00016375821006658933,0.04179497096243362,0.006208483028527053,0.039960299543437244,-0.023847636653511094,0.010016441579362432,0.030098297927288912,-0.002609534195957137,0.03090609438684939,0.03816659500275381,0.03251113727750798,0.05100352031102531,0.02897334966503391
