,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.04084050249490853,,,,,,,,,,-0.019505703210162685,,0.08552976069043279,,
BMP1,0.03939669448540161,0.015038939805131421,-0.06021373787990556,-0.02475087844163713,-0.0050970651215858165,-0.012436026288760903,0.054195159589418784,0.32210545527484585,0.007546496516971686,0.08378013903462157,0.023110659956948207,0.005660797053152712,0.033574115963237616,0.04652121120664207,0.015652183818113508,0.02229790960236725,-0.00951832945326328,0.07625983677256186,-0.035996961144585074,0.020853707340276164,0.05252497184073318,-0.006371161619922567
NDP,-0.0312932745281473,0.12467414830183624,-0.006061286573654791,-0.0450015063933676,0.04599762164940624,-0.019427647732217064,-0.019991964884377118,0.09011499210718446,-0.013456939548431529,0.05463032917207975,-0.021038750240916428,0.019073310970635644,0.0637895335659483,0.003113709271433848,0.07271502655238635,0.03671217930207355,0.04001361577067953,-0.03542001303857022,0.024991562264918527,0.07354583132833142,0.12899924436947613,-0.055648604157604996
TNFSF18,0.02588278460820542,0.04708614931711184,0.016741227653657566,-0.013183681786595524,,,,0.11029459425774443,0.07707422632833885,,,,,0.11342722823500472,,,,-0.020115887424760327,,0.03661331908290683,0.04285145489035345,
IL36G,,,,,,,,,,,,,-0.02425740337057077,,,,,,,,,
RTN4,-0.03925567855562935,-0.09035996690419557,0.053641230120189856,-0.05467730783858747,-0.04976798753248234,0.004186472402168236,0.0001711042525705659,-0.3576396159444388,-0.022065608230979254,-0.04992487503651328,0.09327802418153958,-0.05870419917452013,-0.052016565403923146,-0.03535155581948423,-0.031376026450329365,0.0148809312593272,-0.04348670949716603,-0.04913884369246845,-0.010459368779754907,0.006669866598182392,-0.06374008485554034,0.08047039409111008
HEBP1,0.055891259287408956,-0.008892448945282554,0.039634673554585526,-0.052853894548564644,0.026137971627791138,0.012907984090485308,-0.02672797695348001,0.14217007689894573,-0.005564109181051605,-0.06371384229434442,0.016210092882922453,-0.02083067460295579,-0.013757254746964546,-0.017871363668897657,0.03555336917192756,0.005134140492264253,0.053518484402791694,0.012625953978570848,0.055749816670953585,0.0597829505359627,0.03834977686591672,0.13124138849937642
WNT7B,0.026771062787808744,-0.00032956939344882207,-0.02623081432501199,0.0370529455014685,-0.05212124176629712,0.06357528177207765,-0.00611618006677028,-0.12164312145432142,0.03332106342317981,-0.01218291908911213,,0.028905689207658194,-0.006584120688049672,,0.02488121275569817,-0.0041918894648495875,0.024181146924430456,0.011455353131321807,-0.025860407247953292,-0.03729562610220418,0.061158887319762906,0.04808865649033855
PTMA,0.047577100461225805,-0.06848379032473854,-0.030800686198593445,0.023218669482512687,0.03094716051501443,0.01128930697582926,0.0024333535268175836,-0.20801867924466244,-0.021542966077194144,-0.04808119976481586,-0.03904179073762091,0.08579410802940235,0.1381850377537556,0.009800240628858621,-0.1815060492045237,0.016809036502995596,-0.03306219944592523,-0.0709550453605809,0.053029616003878954,-0.11279227443721464,-0.05690246581601709,0.06513680553787886
FASLG,0.04109707340458043,,,,,,,,,,,,,,,,,,,0.0571538891405423,,
