,UKF334
BMP1,0.03546177605222999
NDP,0.06514643143363666
IL36G,0.021107343214031776
RTN4,-0.048642662981712395
HEBP1,-0.014385619528956763
WNT7B,0.051937801187539705
PTMA,0.007645147131954295
PDAP1,0.019794553110860473
QDPR,-0.010283144346841445
POMC,-0.019833447491684177
CCL17,0.026838130643066116
VEGFD,-0.017090844923470617
WNT5A,0.03221937838414359
CXCL8,0.010826229645119376
GRN,0.0001168222336179879
MIA,-0.008899403516184607
COL4A4,0.06666586069005033
TAC1,-0.040238654819363506
RARRES2,-0.002592260734251214
FGF7,0.008313604862865474
HBEGF,-0.02852769711698716
PCSK1N,-0.026166306209619943
SFRP1,-0.02248536297077712
MICA,0.037158727518406445
TG,0.030974510673874814
ADA,0.010406451574507387
LAMC3,0.06684212876086114
HMGB1,0.0591605233271347
ITGB3BP,0.04859744640459296
AANAT,0.04186282289049607
RELN,0.033187606796128276
IL15,0.0485848731511326
BSG,0.003734006960047023
ADAMTS3,-0.022995500211243674
CD34,-0.02331319093425517
PLAT,0.08615276248971941
LTA,-0.0029457742363569674
CKLF,0.09679365515592152
CD24,0.03806903085212619
HSP90AA1,-0.02221404852371088
BMP4,0.10338368865670712
SCGB3A1,-0.013843711033099077
IGFBP4,0.03316818327545144
RSPO4,0.06075592214475783
LEFTY2,0.044174565767166975
ANGPTL2,0.05812691933570225
LRIG2,-0.018348715522792727
ICOSLG,0.020680792987769096
WIF1,-0.060571055383654315
NPPC,0.013687513340116596
LYZ,0.04431676821200334
SPTAN1,-0.040567388800071776
LIPC,-0.031165932352711413
COL8A1,0.05833385753850355
GSTM2,0.0596590113611288
SPX,-0.028951284489877223
MFGE8,0.07038186405337098
TGFA,-0.01820852843531503
SLIT2,-0.037168145069115185
PLTP,-0.01752247817358272
APOD,-0.041699959876492165
B2M,0.11207532433657413
OMG,-0.009266733475328536
CXCL3,-0.014288002009745303
CXCL10,0.035248767447734704
RSPO3,-0.014930686725919875
CORT,0.03097851895561841
NCAN,0.0322559285785706
PRG4,-0.0174564409161633
TGM2,0.052743088311590296
VEGFC,0.01976214209621895
WNT6,0.0062362965266254435
NRG4,0.14683567905238754
COL9A1,0.13711903622175156
GDF11,0.05175653373596085
SORBS1,-0.04104138722085992
DLL1,-0.001122689488244965
TLN1,0.04571178781505368
COL2A1,-0.014505255409801777
SHH,-0.01384370982307255
PON2,0.06261462417726463
ICAM5,-0.027036017489156145
HPX,0.004340724130066637
SFRP2,-0.027157815880373862
HP,-0.006520828054755439
CXCL2,0.07579664066324705
NPPB,0.0014850119837773123
CCK,-0.033663812977795034
SEMA6A,0.028329340178717383
IRAK4,-0.021735779032362117
GSTP1,0.014896570150679194
VCAM1,0.09692461563048724
NXPH3,0.03854442456132837
MTMR4,-0.025580904869668707
IL10,0.06696389630260775
SEMA4D,-0.001963520141649636
TRH,0.028891579212360168
SEMA6D,0.035029963076980655
PDCD1LG2,0.02593812547608214
SPINT1,-0.0234066944336208
CTHRC1,0.019883273055511307
PODXL,0.07904825195293046
JAM3,0.045998499462099905
TGFB2,0.04490877806771889
COL18A1,0.060318131133418065
NODAL,0.03174909008719956
INHBB,0.02369172150807303
ARF4,0.07809500398402146
CXCL14,0.02549112821480267
LIF,0.07842122404140157
MATN1,-0.014505253604692146
ADAM28,0.026190754859067085
TCN2,0.02355677800782288
THPO,-0.014505255270947167
CUBN,0.07079750017742481
TIMP3,0.004217666638443245
PIGF,0.02343884147030302
CRH,-0.019839453159046207
BDNF,0.06620899144123554
CCL5,0.014385592217774221
GAD1,-0.03535343523902138
COL14A1,0.015398222736856924
HLA-A,0.08159037656635028
ADM,-0.007504640149015422
GNAI2,0.022714906220814277
COL11A1,-0.026771468781230004
NUCB2,0.03042675075888633
CXCL1,0.16982248729559024
VCAN,0.03545443059868658
MMP7,-0.0224193497928923
PTPN6,0.04872284907310277
PTGS2,-0.013847031757461976
CD58,0.03671824558861883
CNTN4,0.0006278177965319349
MFNG,0.042434935080566824
ICAM1,0.019970715052549666
PROS1,0.03024710017770966
CLCF1,0.08696442734688845
PSAP,-0.005712530315122492
EFEMP1,0.015391458056963533
C1QTNF1,0.010923559464185821
ALB,0.04391355649697826
EFNA3,-0.007590820454754379
DRAXIN,0.02639588272649046
NPTX2,0.03361391665850971
FGF11,0.0075864699535836775
CD59,0.054979240000670046
COL9A2,-0.01101751152760268
DLL3,0.06000504947880602
LIN7C,0.01429334612243823
PSPN,0.04075606296277454
ANGPT1,0.0060359800459338095
PNOC,0.03039034912423348
L1CAM,-0.0415658909517206
APOA1,0.03651299249624902
PSEN1,0.032266626200965584
CALM2,-0.02219952265065753
CLEC2B,0.003753552833036948
NTNG1,-0.04387379006833653
LRIG1,0.046643914067142335
CPAMD8,-0.02679101136006455
GHRL,0.09281789186799765
NPY,-0.007875355161536328
MMP2,0.047810743470097776
ALKAL2,-0.04069799664983052
CSF1,0.012611348536772607
SEMA4C,-0.023217590872655368
ICAM2,0.06158827070982913
SYTL3,0.028112539543804355
IL1A,-0.002239403924643644
PGF,0.04419612319486734
LGALS8,-0.005262649134819456
DKK3,-0.0463520197674648
COL16A1,0.0574434935787329
TPH1,-0.017456439712077745
TNC,0.04193817330991881
TNFSF9,-0.018036300140663677
C4A,0.006944380198729603
CNTN2,-0.032257088709875106
LUM,0.05563281806900743
APOC1,0.05542746385323508
PKM,-0.028172729106309243
TNF,0.0842922557541024
GNAS,-0.05844652945014521
BMP8B,0.022295827115765682
CCL28,-0.013843715001988305
PTPN11,0.011263340663131408
ADAM12,0.09311886635231299
EPO,0.02183205095616886
EDN3,-0.017636566780769653
CCL2,0.022200496291333145
DSCAM,-0.0207673392622311
ANG,0.012160102728763424
FBLN2,-0.0432497180963597
VTN,-0.014505252540140635
VEGFA,-0.01588074793943802
SERPINA1,0.025171401754093926
VWF,0.03274799261444502
GDNF,0.001655261189549591
VASP,0.07079160595324592
ADAM15,0.002977060477276251
WNT2,-0.016336640565090554
OLFM2,-0.007362184873842189
MFAP2,0.08754731611827259
HLA-C,0.04073781375278192
THBS1,0.025853466247743557
HSPA4,-0.0030521555684492824
LMAN1,-0.0010086542341842713
APOE,-0.009794065867149659
SOSTDC1,-0.02654405214864024
ANXA1,0.03964484201773019
WNT2B,-0.003995395489165191
AMH,-0.029762743997199022
GDF10,-0.013730984736846396
EFNB3,-0.012983412271210132
LTB,-0.00024045059672460171
ANGPT2,0.07131186371135281
ADAM17,0.04903044597188887
LRPAP1,0.014900525080459952
NID1,0.05545850408607736
MST1,0.022885484254861643
IL13,0.11234432868781802
DCN,0.009572122633874023
COL7A1,0.07613813361116072
CALR,0.021954739436934777
PIGA,0.013223747864283165
CD200,0.014657723960186638
GRP,-0.01763656943520451
CDH1,-0.02870104989984813
LPL,-0.007657223719868117
SEMA5A,0.026140140075806336
SEMA7A,0.04025879585810213
SEMA4G,-0.02928589533737994
SEMA3B,-0.005019972648488078
RPH3A,0.0033166550924569795
JAG2,0.012302576313087635
CGN,-0.03447441340456236
GDF15,0.05562912575294584
SEMA4F,-0.01196429195053019
NXPH1,0.048505972407445995
ARF1,-0.04353954370654032
EBI3,0.032378751630135746
TIMP1,0.06276805451158081
SEMA3C,-0.00799810901948839
GAS6,-0.021119344037134873
MEPE,-0.03234034865535669
SERPINE1,0.06371047955474786
RSPO2,-0.02953578133249678
SHBG,-0.014067537546304607
LGALS3BP,0.02261689544316728
LAMB1,0.08785027601919182
SPTBN2,-0.04800946437059959
COL1A2,0.11435431725433168
CEACAM16,0.0018828978688876638
LGALS1,0.051172145299085564
BCAN,0.042369761532786626
ANOS1,0.03075941036937166
EDA,0.002911246074575952
FGF22,-0.031917320183692456
SHANK1,-0.019678120020064648
TGFB1,-0.03707318176956375
MSTN,-0.043786504113728864
WNT4,-0.01951556745096763
TNFSF4,0.06291218064177288
NTN1,0.04107609755153433
CXCL12,0.030602842857175478
GNRH1,-0.0409653057189219
RIMS1,-0.051385626202703934
FGF14,0.011871054787916382
IGF1,-0.02061642868118514
TNFSF10,0.027093778753369904
GDF5,-0.014287999943604279
RGMA,-0.008925692782993964
CX3CL1,-0.019993649844648166
FGF1,0.04912157357417101
ALOX5AP,0.08111938255547507
IL1RN,-0.015344870262749482
NPW,-0.017090844527269573
ANGPTL4,0.010447401069315902
COL4A3,-0.019351750979318464
NRG3,-0.017696537766904663
IL23A,-0.0235447231706594
COLQ,0.019196999250588574
TNFSF12,0.05791970963457857
FYN,-0.030222556415888818
ACE,0.07574287605255266
IL18,0.07017597617993614
CCL27,0.14271945111924228
SERPING1,0.040172633722697755
AZGP1,-0.03702987533032151
INHA,0.0057470180936731
SEMA3G,0.08694362746712593
COL6A1,0.0256246786984409
FGF17,-0.0034366053477508903
FGF20,-0.018683250882156558
ICAM3,0.026932711827143123
LAMA4,0.060432551609231396
DLL4,0.03162780561966872
SEMA3A,0.014122366003127721
RLN2,-0.014719443440206868
C5,0.09538266984097897
EDN2,-0.02985026061563087
C1QA,0.025317228655288345
COL9A3,0.03711428442884512
HGF,0.03889452957683332
P4HB,0.04343333069188939
ADCYAP1,-0.02168951697104953
GREM1,0.005636714435872935
EGF,-0.026791016112364122
VEGFB,-0.030393617165766128
FARP2,-0.011956612482410058
LAMA2,0.008745647482930332
NRG1,-0.006654521115063289
SPINK1,0.008789981456722612
EFEMP2,0.02355084474081306
SELPLG,0.045821844083973697
HLA-E,0.0591839944848245
PTN,0.046868997021860516
CD274,-0.024224394881547266
CD14,0.03604753840792278
SFTPD,-0.02488763929266499
SLIT1,-0.025550751786834938
CNTF,-0.017090844606509777
BST1,-0.026025897753707422
AGTRAP,0.025990783762475836
LAMC1,0.07091611964411207
COL6A3,-0.008045862803841154
FN1,0.08513085709155813
MIF,-0.05542367112219746
JAG1,0.010476266487923137
NID2,0.054998416768380895
EFNB1,0.06087279955484954
COL4A2,0.06382069385918972
SPP1,0.06370872363943514
PODXL2,0.02426285870427203
FGF9,0.03151253494443176
ITIH2,-0.02395457198092657
ADAM10,0.013433408182970334
CFH,0.023825188425411755
COL4A5,-0.024392430847274566
LTBP3,-0.003685792235967338
GNB3,0.047755057408558
COL6A2,0.03802666403697155
PLG,0.028980034488771022
GDF9,-0.024057040039631456
NCAM1,-0.07869762931211716
APOC2,0.02416433100846321
BST2,0.018736670292311613
COL5A1,-0.0132337031562651
CALM3,-0.036782509034470785
THBS2,-0.022468093317703507
SERPINE2,0.03347367343630602
EFNB2,0.053511657475596844
MMP9,0.06898219097462782
NPPA,-0.009412088925244776
C4B,0.10736728388606483
NTNG2,0.01220701833890114
LAMA1,0.018864710485442426
UCN,0.025856130330837442
ARTN,0.0021600049321537584
PDGFD,0.0016480606088210548
EDN1,0.03092523166061778
ARPC5,0.04196204331942951
GSTO1,-0.009352261743978806
SYK,0.03393332342039205
ST6GAL1,-0.012704469328944333
WNT3,-0.003057527933335855
HSP90B1,0.02653161626183594
ZP3,0.057225839350798974
NRG2,-0.03847891528482756
MELTF,0.038589878831155354
NLGN1,-0.0014188705018305314
SLIT3,0.02843918645780579
CCL8,0.11093438777147174
S100A4,0.05718133226130825
TNFSF13B,0.08165963142576303
HSPG2,0.07905149461491096
FAM3C,-0.0016869675239391962
FLT3LG,-0.002047838964880937
A2M,0.09269285840615128
VCL,0.06373556569762324
FGF2,0.010323307075677352
CNTN3,-0.036546782408955744
RNASE2,0.058397733956799196
GAL,-0.022562756536181644
PDGFC,0.06483910605412715
COL8A2,0.07578832856031427
SPON2,0.07914938121940793
SEMA3D,-0.01727454367871214
TIMP2,-0.013353539873438292
EFNA1,-0.00033651918860747146
TFPI,0.0176707388478764
NMU,0.006957384639274273
SCGB3A2,0.04892909312764617
LAMB3,0.014564338440987161
LGALS9,0.0346159887856073
VIM,-0.01145673978249183
PLAU,0.05999110123121285
TGFB3,0.03294642316795281
APLN,0.024248703771067893
SHANK2,-0.02492464345035868
LTF,0.049270751770534145
PYY,-0.014288002103660824
PENK,-0.025535758585490963
CTF1,-0.026044136445427787
COL3A1,0.07223410905701663
S100A10,0.0431733072289168
FGF13,-0.05717186641398298
SEMA4A,-0.028691462628961144
EFNA4,-0.020788394650159067
HSPA8,-0.0018464041037930127
NPB,0.013900214309895052
ULBP1,-0.015946954872641576
SEMA3E,-0.030839375551591146
ADAM9,0.07640346483637776
ASIP,-0.02047308968320325
IBSP,0.06645722702474784
FAT4,0.015077050791854996
MDK,0.1005476603466697
HSPA1A,-0.021060473801143557
SOST,0.015064151672229914
SEMA3F,0.0851690926520221
ARF6,0.036980187560458073
IL6,-0.02031638112750787
CALM1,3.281495261850226e-05
VIP,-0.029954403000526656
NMB,0.0026690714867245013
CCL26,-0.02256276193800039
FBLN1,0.04427263312489237
MICB,-0.01662503907518298
MMP13,-0.013616355640322634
F13A1,-0.029162000286859495
CXCL11,-0.016717751958715464
COL5A2,0.11102572742736963
EFNA5,0.014838704474284635
EDIL3,-0.08739384265687813
CD86,0.10170015480199449
HRAS,-0.019963378342463502
COL4A1,0.10034339715017329
CCL3,0.05424702909431412
BGN,0.0328417367481455
S100A9,0.057359424891874296
HCRT,0.001791226423209366
FADD,0.008815394139648621
ACTR2,0.032858965157499455
BMP2,0.03257568052247083
PDYN,-0.030399532966575226
CD55,0.01948196361206471
CD6,-0.017991765631725665
IL16,-0.018173657293242086
LAMA5,0.015274971943017806
RGMB,0.00819567068113213
IL12A,-0.024491585876939444
S100A8,0.02916363859599889
TAC3,-0.02895881691890857
CXCL16,0.015826670324562843
