,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.024348687088114895,,,,,,,,,0.0038346176204007458,
BMP1,0.01569863052331663,0.0534190689705409,-0.06043471117918403,-0.005194341158146647,0.04850165655633137,-0.021316722915478405,-0.02925773720913494,0.061704068163741056,0.13968041423182673,0.004623247214707595,0.0154594167027376,0.005186483076888771,-0.0751732612321979,-0.029464790597432556,0.01505066476528928,-0.00451562123824093,0.028169093767312095,0.02424828828194613,-0.001018068884234686
NDP,-0.027171610584509093,0.04987583318657791,-0.04613592107870301,-0.0352940868227031,0.05844542950892695,0.0038754653826872662,-0.019067211720567807,0.018291814687093892,-0.04015529880194792,-0.01313070857341674,0.03989152729919006,0.10032889695158702,-0.07606131511023594,0.0344309201099561,0.051628137767125985,0.014470491078236116,-0.0106686979445023,0.04931438517906903,0.06524186272676069
TNFSF18,0.1254357975180262,0.010995942502248451,-0.03346924350442881,0.0004017463924118748,,,,-0.011440818300260128,-0.0044390029975884555,0.04865539804808605,,0.15137400074352014,,-0.04602616269935609,,,,0.1017228805757861,0.09873752548430013
RTN4,-0.04379262634941692,-0.0843725023055758,0.008696218256064233,0.032717991498011585,0.0332965946809186,-0.042662097460358,-0.07056063562553078,-0.04495669918123433,-0.13760831506368168,-0.007725655175006774,0.03387792635719578,0.03165780341736821,-0.09508970160943114,-0.08838468531861357,-0.005573758849998314,-0.030860774920419456,0.005512215888944017,-0.03875408454079954,0.03800607622997882
HEBP1,-0.012594844530720652,-0.010627413355982931,-0.04217699373845391,-0.037114314116919234,-0.006214918008701844,0.0006821974941351894,-0.005380064330037193,0.008240606071044912,0.10367752504821127,-0.038756876354846,-0.009377453145566062,0.05774619605053832,0.054844765204000744,-0.012104454246475596,0.0269664380634869,0.007368402251959815,0.019919784334501815,0.030561466377750122,0.0017801401372593098
WNT7B,-0.016736854906301127,0.034773615735450195,0.06294053788522493,-0.015480750617120726,-0.03484531782572124,0.04744461783264917,0.06231278586183615,0.0475221441607328,-0.021338756051229667,0.01914374159183687,-0.0105787986036709,-0.027806289488564614,0.0313927639648731,,0.019251301561041823,0.01050700560972398,0.02149462752425385,0.012458938176517817,0.10318967398310037
PTMA,-0.0237326246294688,-0.004888666015548322,-0.016044668852296443,0.015270002548999812,0.03231733647430638,0.03653883459242538,-0.015459682055693914,0.06850306862965241,-0.11154873977281929,-0.0207270255928131,-0.006143064512913688,0.043208196580491215,0.07806782736407411,-0.12699684154653765,0.015497735862513167,0.045284248231870085,0.020189752038607612,-0.027896797381268875,0.06345059769350322
FASLG,0.06555271166027758,,,,,,,,,,,,,,,,,0.10284663110813348,
CEACAM1,-0.023239276082800055,,-0.021302256242620925,-0.011880544994188062,,-0.006412418592686167,-0.0145620866483712,,0.002077993771101213,0.015591904500642031,,,-0.05246718051541182,-0.03236420367895338,-0.0184898898645241,-0.018081020187612755,0.019203654615129812,0.03399831964707449,
PDAP1,0.052225981606517896,0.03526939338506097,-0.03744687078942941,0.0674605319254805,0.035147109001220346,-0.017217724839568467,-0.0648812464492754,0.004779307061196803,0.08570041899961689,0.0333779344634522,0.013326033413155604,0.03803332151745801,-0.10652173541925027,-0.06242104058013376,-0.014049051452065787,-0.02300073124546587,0.009938572476807581,0.0010472191623343676,-0.029459252020389078
QDPR,-0.054254388991392954,-0.006916467456654162,-0.006230437391156752,0.04103015285455134,0.03685477741896529,-0.029685143006280976,-0.02049306535533178,-0.005293924787064891,-0.129499856961676,0.017396065180418124,-0.006248665210477611,-0.029040300361841697,-0.09581493956796751,0.006856881674494544,0.0030661598040343857,0.06127340141328355,-0.007220184032170161,0.09126475667666778,-0.01768007949193144
POMC,0.009046516875687385,0.02208993391349497,0.008354760799235151,0.04148965619604677,,-0.011428408926268818,-0.029302361864238218,-0.01804768658926287,-0.06133408787516,0.049920382238153184,0.0776426782290703,0.011465171761528104,-0.07384847766750863,0.05257267462901945,-0.005617300765428403,-2.0846698837746047e-05,-0.03215699770347592,0.03478387534717588,-0.022388922626533102
CCL18,,-0.038624249087028585,0.024943882354611587,,,,,,,,,,0.12985815555818495,,0.0321597989726403,-0.04415265397973218,-0.012174846495601849,,
CCL17,,,,,,0.04629469209347009,,,,-0.021330872859931904,0.030230847980443128,,,,-0.013117681923054394,0.03579116270825832,,-0.021224964631114493,
VEGFD,,-0.04351823944194295,-0.026583211509245395,-0.017016497117963103,,-0.021950010367445684,-0.013932180026631035,,0.008443694092550687,-0.02272624084220831,-0.00960430451228901,,-0.05068385795523704,0.05018596542134224,,0.026334514494679252,,,
TNFSF13,,,-0.02006054445513007,,,-0.019258201193929823,,-0.011095207061921719,,,,,,,-0.025170861304288288,-0.0001308759624876385,0.044388792707960575,0.07926512888346109,0.050135455589991364
