,UKF269,ZH8811Bbulk
IGFL3,-0.013794951823095663,
BMP1,0.06449792804533128,0.061549498175478695
NDP,-0.05963645666062691,-0.0016483045747765486
TNFSF18,0.056798365684607076,
RTN4,-0.09191002555936986,-0.0012318802582574468
HEBP1,0.025302155992086028,-0.008050358257173365
WNT7B,-0.05025286007449645,0.03536224037478977
PTMA,-0.11117616355173966,-0.06946634491315298
CEACAM1,-0.026957210803639903,-0.01788812433190525
PDAP1,0.052819366752660864,-0.031024648296235455
QDPR,-0.08906344680759352,-0.0031620999448315674
POMC,-0.02367603859807389,0.07438687493541332
CCL18,,0.004608029412925967
CCL17,,0.10404944854066125
VEGFD,0.028064332755943687,-0.01788812433190525
TNFSF13,,0.016196110863931013
WNT5A,0.04347922080075184,0.040570225058976235
CXCL8,0.031202891610284243,-0.0781156015484555
GRN,0.004988613196779314,-0.021044574595920414
MIA,0.06890513919910934,0.07789453708928754
COL4A4,-0.01359390108905614,0.06342092686456077
TAC1,-0.07420584773500442,
RARRES2,0.0795543981983497,0.015513257880755039
FGF7,0.01524321188786175,0.06895132108925656
EFNA2,,-0.01700146504915072
HBEGF,0.059426782236953184,-0.030044975461398154
CSF3,0.03852575118480597,0.016872198167579656
PI3,-0.016194418323567796,-0.043737256176473276
PCSK1N,0.0049729129183071165,0.05425622729939803
NTS,-0.01767731336861879,0.05732515971181165
SFRP1,-0.01936439035280687,0.01818295449933406
CXCL13,,0.03023767368956274
MICA,0.07415121093784745,0.06322151991989033
TG,0.07156748951803629,-0.025510396320524195
ADA,0.06444204145055366,0.04542391929081289
LAMC3,0.019611490974696895,0.07562579687511699
NGF,,-0.016772936755872155
HMGB1,-0.013303036890904528,0.016912509433663934
ITGB3BP,0.03348187257202551,-0.019484540862012747
AANAT,0.0457122874779629,-0.022879367183572252
RELN,-0.03806694193549048,
IL15,0.14084481560532774,0.01789924193812482
UTS2,-0.04279341295091684,
BSG,-0.0006897571675239144,0.0020436562240436925
ADAMTS3,0.13329000958652898,0.07950030649892594
CD34,0.04684183278038924,9.521494292613881e-06
CCL23,0.0897331625044349,
PLAT,0.05875135718143719,0.0856146626051634
NTF3,,0.09483572458046216
CKLF,0.022729905245370982,-0.019551935631576596
CD24,-0.003904035390792153,0.03647099203840735
HSP90AA1,-0.12402541049326543,-0.054476431230528755
BMP4,0.0006036661952749001,0.06607461666192466
SCGB3A1,,-0.006898597712870759
IGFBP4,0.10680392006235888,0.018508974287995555
LEFTY2,0.0040702921503118685,0.062468166403598355
PF4,,0.08798767930303816
ANGPTL2,0.12623929662379976,-0.0011788316587964505
LRIG2,0.046491013871645955,0.018115029550313872
ICOSLG,0.06672330729241802,0.02780739279670478
WIF1,-0.05711324569825759,
NPPC,-0.03492937128569731,-0.02948411811669442
LYZ,0.08750062678183244,0.05418053166723845
EREG,,-0.04147028058101082
SPTAN1,0.014953357048685039,-0.017092571770331088
LIPC,0.08850235366640304,
COL8A1,0.03184036571547288,0.046409776916825185
GSTM2,0.04106604253902117,0.050615633400031085
SPX,-0.0026504648009296706,0.02245681065214881
MFGE8,0.028223626024884964,0.009285973343666504
TGFA,0.03791963650336893,0.01756943857788397
SLIT2,-0.04310739309854992,0.050719595431503256
PLTP,0.1548646564330305,0.02814625219184742
APOD,-0.02830067759769042,0.05882523527149782
B2M,0.10007717488347966,0.04813070734343879
OMG,-0.08167971734996841,-0.019472718049465328
CXCL3,0.005345911997612115,-0.001907385042478382
CXCL10,0.10914130264300974,-0.001720521149659413
RSPO3,-0.02130240398454609,-0.007063374859979425
CORT,-0.03686858277369126,0.058803747161828665
NCAN,0.06652591231815057,-0.0004619175178522004
PRG4,0.02277895717549032,-0.024061737615356408
ZG16B,-0.01992370164512413,
TGM2,0.0713241947866958,-0.0061511251488835204
VEGFC,0.02443817628950425,-0.03267296054921614
WNT6,-0.0181467674852225,0.09511439533637267
NRG4,-0.022985215949179284,
PMCH,,-0.004789238018649851
COL9A1,-0.010239881688460871,0.028662598177246684
GDF11,0.034657810297908515,-0.03861702847221874
IL24,,0.17344563322486498
SORBS1,-0.000997659431698097,0.0681788430514421
DLL1,0.04330007122788058,0.06691214575969114
TLN1,0.09083996959379254,-0.017820961692980735
COL2A1,0.00527030946374709,-0.03996654508016251
SHH,-0.01338998773829019,0.08021954798928714
PON2,0.05797618233368709,0.05254381163995679
ICAM5,-0.03328409709845762,-0.04894228869691126
HPX,-0.02480355980682537,0.012828159031330425
SFRP2,0.09810541402573185,0.06728444071687084
CD70,,0.02075725666622466
HP,0.07115043323067126,0.03814559108337497
CXCL2,0.011976011258873506,-0.007965849796715456
NPPB,,-0.007126288507965703
CCK,-0.08743859008904874,0.05747326051443615
SEMA6A,0.05688972358208064,-0.012710217185520931
IRAK4,0.0623512869935076,-0.0023508563815132625
GSTP1,0.05654859393753292,0.0035777405492573374
VCAM1,0.10182222643871647,-0.021017698805173946
NXPH3,0.005412053013658934,-0.019512307619601422
MTMR4,-0.014294028353096556,0.033222939230922344
LAMC2,,-0.02013857542077073
IL10,0.012261262737145909,0.020662243466424007
SEMA4D,-0.03829391007232601,0.08047004092522005
TRH,0.05528185598650561,-0.02213991959367596
SEMA6D,0.03799657058203355,-0.003296138150879511
CEL,,-0.025035696826624175
PDCD1LG2,0.03083272717719482,-0.05630832907035954
SPINT1,0.0353159866416942,0.04679380901542917
CTHRC1,0.055381016918777184,-0.012750947967273892
PODXL,0.15517476003709976,0.040160476514698736
JAM3,0.06531549270520619,-0.002798078657665627
TGFB2,0.17189841633932734,0.06361777609896596
COL18A1,0.0820927318563603,0.03393461805209628
NODAL,0.021016833679372366,0.024172433010668657
INHBB,0.07620560308550352,0.021461927741309048
LCN1,-0.014947423309277988,-0.01788812433190525
ARF4,-0.013164743012653685,-0.0195401897042896
CXCL14,0.06736100320092389,-0.004903591038558775
LIF,0.12399402319659816,0.021997189137359263
IL17B,0.007365934038478128,0.027926167014181245
MMP1,,0.03935489922909962
MATN1,-0.015671357139496595,0.0625714722227542
ADAM28,0.03932298839016204,0.03027551034875769
TCN2,0.024194446467511052,0.05139259502304711
THPO,0.03482590965298613,
CUBN,0.11155390225771375,-0.029168096924283123
TIMP3,0.06213311813519103,0.04664042627627831
PIGF,0.04385616200294719,0.0005993863900695506
CRH,-0.022985206418933233,0.02313843311762033
BDNF,-0.07719703818504385,0.04299761109586939
CCL5,0.011444032996960042,0.03269975394891438
GAD1,-0.0317944144729909,0.0002620430937914268
COL14A1,0.04894138142247995,-0.005745505346495945
HLA-A,0.09426419695053742,-0.029776462441814488
FGF18,,-0.0279234270664469
ADM,0.054312742448763,-0.0708370753936729
GNAI2,0.11697250223182484,-0.03665600807769062
HDC,-0.0062157785988385525,
COL11A1,-0.027175673770543207,-0.03452302372752828
NUCB2,0.038427745584929146,0.02686601737483358
CXCL1,0.07093136355941125,-0.006946755145523778
VCAN,0.08224174712677823,-0.049974658054107876
MMP7,-0.01091038631032243,0.0016982214810191913
PTPN6,0.05275161518290831,0.039383717197307766
PTGS2,-0.018012569393891086,-0.021861092872408217
CD58,0.1064351608097141,0.0022521673779242633
TNFSF14,0.04584042462923676,-0.030442330774075436
CNTN4,-0.03874052837494663,-0.023571675470260116
INSL3,,-0.017670369387082656
MFNG,0.02637512712572462,-0.0008359660458519315
ICAM1,0.0820239083541365,-0.012857853461568597
PROS1,0.10911715702105336,-0.006296102383229469
CLCF1,0.021320018594190478,0.027418089210481167
PSAP,-0.05802861014107115,0.014827517586669448
EFEMP1,0.11066401571623415,0.018622023248984355
C1QTNF1,0.08758801612220492,-0.019699777703893636
ALB,-0.018300800341910256,0.10880527559687295
EFNA3,-0.07982333343122318,0.012636831947398999
DRAXIN,0.08491653266748214,-0.083279059844713
RAET1L,,-0.01788811260877761
NPTX2,-0.05356155690366774,-0.009365781891995531
FGF11,0.07909501413687355,-0.04946290917474457
CD59,-0.043438537495794925,0.02491614240180561
COL9A2,0.028112398089481957,0.06045658260710969
DLL3,0.06947831533576199,0.023738246416601213
FGF5,-0.014572824288750856,
LIN7C,0.08185554100489628,-0.008976922342458189
GDF7,0.0194500113290896,0.09248600255897561
PSPN,0.021064380280720888,-0.0025858464177750495
ANGPT1,0.014463931111729186,-0.05240762134449595
PNOC,-0.02339028014202439,-0.01630683995370412
L1CAM,-0.004041989218714326,-0.006463559302770738
APOA1,-0.031188048084618423,-0.016044314179882235
PSEN1,-0.010632039630278213,-0.029833954929606905
CALM2,-0.12800127547478868,0.051585625283465816
CLEC2B,0.12298926714712285,-0.06956191854031292
NTNG1,0.019393165189188055,0.0009402358652193553
LRIG1,0.10002330490944901,0.0491506103807392
CPAMD8,-0.013183080730007568,-0.017227141209552165
GHRL,-0.02803568044287212,
NPY,-0.05893377720286188,-0.03099740423813529
MMP2,0.0780193150711412,-0.05713964507284167
PPY,,-0.0006660791644129826
ALKAL2,-0.014947420886730928,0.02533164165442482
CSF1,0.08844608459676423,-0.01016627043654746
SEMA4C,0.08456073856173998,0.04785600238441102
ICAM2,0.028239763864488007,0.06535632237089149
SYTL3,0.04976679840756868,0.06545959297268128
IL1A,0.04238573969113744,-0.04040305041040222
HLA-G,,-0.03334525870712772
PGF,0.037065388799112295,-0.004790628278239468
LGALS8,0.035065271685632296,0.012614210745874915
DKK3,-0.08116363347717744,0.0012048341244213522
COL16A1,0.017780835261250245,0.04339573514097947
TPH1,0.009044822787779312,0.007332345538859339
TNC,0.13283889621835843,0.020780296871968966
TNFSF9,-0.013976065831573911,-0.03852368317928984
CNTN2,-0.005850464029818976,0.01951378248592638
F7,-0.013183073067560055,
LUM,0.10595523588334538,-0.006483840115917889
BTC,,-0.026131627237023274
APOC1,0.11437561596963246,0.03646008150455045
PKM,0.11556143662622424,-0.03673235750806705
TNF,-0.019347795532601963,0.0751982638936552
GNAS,-0.04532203595768095,-0.026905725880001806
BMP8B,-0.00367718292996731,-0.02715949913351536
LIPH,,-0.019943712061365484
PTPN11,-0.017086590136147592,-0.0404946208765426
ADAM12,0.1225104863874501,-0.0016708067520916114
EPO,,0.018620551707372465
EDN3,-0.02335854521526397,-0.01910152203820358
CCL22,,-0.018941781119224465
CCL2,0.034324041498410396,0.02280226172727249
DSCAM,0.010821107254598757,0.033693150910330504
ANG,0.012920300892383342,-0.035823608987303704
FBLN2,0.04518479192716339,-0.032814646288482775
VTN,-0.004737322639363717,0.013858432451594318
VEGFA,0.13214680332018522,-0.06095925130171315
F10,-0.02143595794483092,-0.024875706516719335
SERPINA1,0.13610384979447013,-0.018864722781221033
VWF,0.06818103938462926,-0.01139270808140607
GDNF,,-0.017558185485070276
VASP,0.054739975911185096,0.02962232195537719
ADAM15,-0.012219554717128812,0.025577939566622493
WNT2,-0.03383893458918052,0.077240844883002
CALCB,-0.014572824130383234,-0.025194801231359185
OLFM2,-0.05903521322001139,0.04109673697146749
MFAP2,0.07353648213611252,0.020950094240543077
HLA-C,0.09658069124541942,-0.034859795795292144
THBS1,0.08437940485124237,-0.0016319779401673736
HSPA4,0.0439936960239655,0.035670752162324675
LMAN1,0.11267173977678341,-0.037816532459592836
LYPD3,-0.022606582140887673,-0.008724367044082365
APOE,0.05828875375916199,0.0522756993559865
SOSTDC1,0.05750467547014821,0.03922653532039278
ANXA1,0.1472785593550741,0.0003742758717564428
WNT2B,0.01392642666419792,0.19082528806704663
AMH,0.023234834948417268,0.011444091140021623
GDF10,-0.02348185019646564,-0.03190010347342072
EFNB3,-0.012122614404772527,-0.011825154619062342
LTB,-0.023848496806565582,-0.029997859271297955
ANGPT2,0.10113913062943401,-0.053196641153512664
ADAM17,0.0969393568616863,0.031781716616130266
LRPAP1,0.025318137802722816,-0.009537113995792067
NID1,0.10482430476701338,-0.018632709193057147
MST1,0.12104600641387668,-0.009700554206919221
IL13,0.03763202222537539,
DCN,0.10625320016311338,0.008054616347451308
IGFL2,,-0.020523199190146068
COL7A1,0.10794888334546003,0.001832026220058333
CALR,0.09976275980698479,-0.005107299301753156
PIGA,0.07887924526787292,0.05069614471206356
CD200,-0.008077560547393186,-0.0036807588888240392
GRP,,0.044202487203869704
CDH1,0.09305132096545,-0.01596163322005014
LPL,0.14279611451865049,0.04162637590842842
SEMA5A,0.07598014408218974,0.02179622627873412
SEMA7A,-0.026932399817021398,-0.004079215753591638
SEMA4G,0.12955322218441082,0.03567079265089266
SEMA3B,0.0969363154607258,0.0070212859900524935
RPH3A,-0.024908696775880108,0.047613076813298905
JAG2,-0.03259505658021425,-0.0038482223240856464
CGN,0.0038074466369368847,0.03740264796858765
GDF15,0.0914702697657909,-0.013036676449024781
SEMA4F,0.0027054336520202873,-0.006798887318767477
NXPH1,0.03432365361797752,0.014026519029743934
ARF1,-0.07023006721232915,0.05877256336042349
EBI3,0.013695858026875014,-0.0009133345599117507
TIMP1,0.1049589356555868,-0.046052215452717926
SEMA3C,-0.07331190281143561,0.012428321856239504
GAS6,0.09343759787641519,0.025592413311567093
MEPE,-0.023234666583045467,-0.029484114728135974
SERPINE1,-0.07729651107477295,-0.05424360182513766
RSPO2,-0.046253660390569606,-0.027777889489354515
SHBG,0.05652711568188563,-0.021489380499984185
LGALS3BP,0.05979566171482643,0.02587036231245236
LAMB1,0.11243254657187815,0.04436370722866128
SPTBN2,-0.019120794127904364,0.03159993658785668
COL1A2,0.0648254395510595,-0.019963300581256782
WNT11,-0.014382091207392195,-0.03374351221083227
LGALS1,0.03955038674171278,-0.06162758669555289
BCAN,0.04830384157131685,0.03465807042699548
ANOS1,0.06734610720765255,0.03682248360329554
EDA,-0.017196139484683664,-0.006630544721343274
FGF22,-0.013183078988541048,0.10646106992275674
SHANK1,-0.012542862368481449,0.026322042810327323
NPVF,,-0.01767036321810159
TGFB1,-0.0012903149990375693,0.00032685329327950924
MSTN,0.020880533274901497,0.03533945467008588
WNT4,-0.01494742444323659,-0.010753253310295594
TNFSF4,-0.023726822255773838,-0.011972328925346776
NTN1,0.10614324215902014,-0.029798586581215196
CXCL12,-0.001708683917174714,0.02812346764563014
GNRH1,0.06426814454609923,0.0035570484985373843
FGF8,,0.09848381826947086
RIMS1,-0.04892296957854573,-0.004520725343478132
FGF14,0.07452932799504841,-0.01572693854409288
IGF1,-0.035996142839353235,0.03714837897676883
TNFSF10,0.0955820791779809,0.008794609243305126
GDF5,0.010689738764111504,0.007337155639776117
CHAD,,-0.03235547941990043
RGMA,0.08763719191109505,-0.04108292301540268
WNT16,0.0282397331536445,
CX3CL1,0.04131475118672222,0.03129798214611911
FGF1,-0.03950692979183813,-0.02836576029605232
ALOX5AP,0.1006757542075228,-0.05445005039363995
IL1RN,0.043116479540702794,-0.02248295470715223
PCSK9,,-0.01873546707506136
NPW,,-0.031461147748822235
CXCL9,0.00773867494658495,
ANGPTL4,0.02976060180627094,-0.01912218915187846
UCN2,-0.014188928338234862,0.11116867233114398
COL4A3,,-0.014825757366075986
NRG3,-0.040208565042765015,0.06204268177346809
IL23A,-0.017357890482091284,-0.024061734046661582
COLQ,-0.02573422428886725,0.04738165691830237
SCGB1A1,,-0.023561476715813184
TNFSF12,0.045676630850781885,0.021587027679414447
DKK2,-0.025269607858341536,
FYN,0.07875645099126585,0.038841821713925626
ACE,0.024421725266778833,-0.03630654777304619
IL18,0.05323129039770411,0.02289309515198932
PPBP,,-0.02217853166331728
CCL27,0.0332240291430896,-0.03897174116662065
SERPING1,0.14241121044290056,0.02548509281064094
AZGP1,-0.052727141788465236,-0.012502270646484783
INHA,-0.022425231949340818,-0.03677802665653777
SEMA3G,-0.027284374316710568,
COL6A1,0.11793867791984426,-0.02640380592698946
FGF17,-0.02089728192787866,0.05193296175021548
TNFSF8,0.01492645059888979,-0.020523196982073
FGF20,0.015028605244323067,-0.018960494578449807
ICAM3,0.0617527778597216,0.08038723647862489
LAMA4,0.07273687863699377,0.02430395189260707
DLL4,0.06531053903743803,-0.03348867139509033
SEMA3A,-0.03118804658675373,0.014380967207769494
RLN2,-0.017196137267791668,
C5,0.05254417296602936,0.026046248072112588
EDN2,0.0026924592285043733,
C1QA,0.12568145621117593,0.05424008772353094
COL9A3,0.08798074943466422,0.008885491750627462
HGF,-0.02347442936649285,0.008742597973190058
P4HB,0.053191453528193586,-0.037567885291432415
ADCYAP1,-0.0416833865985927,0.021166566025830662
GREM1,-0.041121598543268356,0.027223755190763917
EGF,0.04188670391793546,-0.0178881214858259
VEGFB,0.08337067923737809,0.048862099390759334
FARP2,0.03316344369118777,0.04113510942652788
IHH,,0.015162340484718284
LAMA2,0.07916813272093717,0.052485632569508646
SERPINC1,,-0.017888122908865406
NRG1,0.050461593382390285,0.03752468535327738
SPINK1,,-0.031012926391101103
EFEMP2,0.10877631626774266,0.00912075505290344
SELPLG,0.04489469147436578,0.0023046504370801335
GDF6,-0.017196139122742055,-0.03591103859683761
HLA-E,0.0539367223451105,-0.027417419845886467
PTN,0.11659488608501432,-0.027417891490260544
CD274,0.009959581206864266,-0.04142568489578429
CD14,0.15296094052139034,-0.03796635312334029
SFTPD,,0.022707961525710973
SLIT1,0.12917762136310557,0.04496187177853418
CNTF,-0.017991528757675797,
BST1,0.08532086925906174,0.08917769264534423
AGTRAP,0.09973124103486723,-0.036188740541547894
LAMC1,0.056123781754361994,-0.01548926220787839
COL6A3,-0.007490710408320598,-0.04825984629262422
FN1,0.0994885773888066,-0.05863441378511362
MIF,0.0017220990050661905,-0.04296871836243228
JAG1,0.02257028676468524,0.048400237428852515
NID2,0.06031235188641042,0.06935974271420693
EFNB1,0.07376567530864737,-0.0025955533890974626
COL4A2,0.11013800215846506,-0.05831780796565949
SPP1,0.13875003531766134,-0.06282362018592356
PODXL2,0.02372178401073258,0.008254851141680649
FGF9,-0.04176325322678335,0.0685668832660721
ITIH2,0.07073107954366094,0.06106433575790204
ADAM10,0.05067334847297308,0.016427726863182845
CFH,0.10210843164162349,0.012366476223149375
COL4A5,0.05139603701899031,0.0424579198086883
LTBP3,0.09308384754917569,0.03868811197156496
GNB3,0.07453347124451801,0.008439053645864964
COL6A2,0.12390182697195469,-0.0005149360157598124
GDF9,0.006114613523640921,0.08631215100189478
NCAM1,-0.09481348881509268,0.01876585960517236
APOC2,-0.003118303976021281,0.015775048468453467
BST2,0.0665900769378594,0.024030989156967393
COL5A1,0.060576918005410145,-0.03744779603992054
CALM3,-0.04067082891348485,0.0683534072726546
THBS2,0.07910641365670311,0.027659141113532248
SERPINE2,0.010172271446449886,0.013350552222804115
EFNB2,0.028576750586321874,0.01935990384562775
PROK1,,-0.01974707949328942
MMP9,0.01313334745199583,0.030549110631241883
NPPA,-0.02384849826100074,0.0050361482734341805
APOB,0.04194419269779139,
NTNG2,-0.037690775020257,0.0043352548213216515
LAMA1,0.09415002657228638,0.14961803942409396
UCN,-0.02311024030065793,0.004429431062624687
ARTN,0.05308669298521645,-0.004011169579310676
PDGFD,-0.02949201111253946,0.026213102450014267
EDN1,0.04091433922957147,0.0020266565202079153
ARPC5,-0.017100651096009976,0.03874413814837031
GSTO1,-0.07339543322107672,0.020761517259506417
PROK2,,-0.020138571109605267
SYK,0.05593306476755315,-0.019942746562652706
ST6GAL1,0.03214413429091256,0.022800179352832798
WNT3,-0.011774266912006868,0.15550756447691402
HSP90B1,0.06765665667089175,-0.054373886037493324
ZP3,0.09813450007782322,0.07858716842346443
NRG2,0.08313287463742405,0.047145741786482245
MELTF,0.017293739175800873,-0.007343393757183423
NLGN1,0.06487693185648798,0.03094791442959659
SLIT3,-0.054338988845420315,0.01818796017722458
CCL8,-0.017991529148324047,-0.021586420564278626
S100A4,0.09486344594703155,-0.08271909637197085
TNFSF13B,0.09473987447739601,0.013593226515468137
HSPG2,0.06727973140827946,-0.014194962475605227
FAM3C,0.06243369876143241,0.07874067366159454
FLT3LG,0.019794415888861182,0.08477273605657164
A2M,0.025834205826101533,0.06469390906088732
VCL,0.022137746867820326,-0.0535471029461447
FGF2,0.047830618909412065,-0.015434916651820884
AGRP,,-0.015334564762177108
CNTN3,-0.04302901693860106,-0.017195708562461998
RNASE2,0.11338524877061185,0.037094187892964925
GAL,-0.021302404581335803,-0.036126026616725364
CXCL6,,0.021590699531226176
PDGFC,0.06359900300028737,0.024282274596584965
COL8A2,-0.010676841653235992,0.0563550257891775
SPON2,-0.015432188590443098,0.06275396955937816
LCN2,,-0.032288373131559564
SEMA3D,0.02057484273796937,
BMP6,-0.015313403586069852,-0.024226463745559496
TIMP2,0.07555343525914325,0.010809546382232695
EFNA1,0.08193067018890873,0.0907656516676954
TFPI,0.05452910934256817,-0.025776357415005825
GPC3,-0.020206136337597474,-0.0036174966193373605
NMU,0.0659968434698923,0.03866797674613638
SCGB3A2,,-0.02777788396330753
LAMB3,-0.08046635840388916,0.08832044134245616
LGALS9,0.05299431006134223,-0.03152316337484905
VIM,0.11047963021532481,-0.04938329980758768
PLAU,0.14078523730704065,0.026707352267775996
TGFB3,0.0688422474597952,0.03968887835780329
APLN,0.0924221172457996,-0.001966047934893896
SHANK2,-0.058049982478041974,0.030276192877698525
LTF,0.1185327198958445,0.028725376881949365
PYY,,-0.0027390793124643757
PENK,-0.05926715253040952,
CTF1,0.002901270192450714,0.01563743625702706
COL3A1,0.13104983603699352,-0.03283877805218187
S100A10,0.15615152691689455,-0.02431215574490434
FGF13,-0.054765110254717204,0.009220213804097554
SEMA4A,-0.07789527881516513,0.007629282146458008
EFNA4,-0.008397910385005104,0.033719202352871125
HSPA8,-0.12559421262352305,0.0061011423590065774
NPB,,-0.008860339046583537
ULBP1,-0.018146761714328514,-0.018735468502977238
SEMA3E,0.013474806568151662,0.08222075901460603
FGF3,,-0.003182830024165724
ADAM9,0.06800966926792931,-0.0641569074391989
ASIP,,-0.03059945286575969
IBSP,0.07184976019541697,-0.0237995387796271
FAT4,0.037306562035995,-0.020071227228403227
MDK,0.11519217815907527,-0.014154879533364318
BMP5,,-0.003106630571058519
CAMP,,0.08531583744775206
HSPA1A,0.016779813416278766,0.009285749940716547
SEMA3F,0.007886849396618458,0.01895328211460611
ARF6,0.02897913369424121,0.05692821455619366
IL6,0.058017470617942074,0.0007686618526496628
CALM1,-0.10419349489639931,-0.0224322369185894
VIP,-0.047598067553243584,
NMB,0.10737429731233075,0.012219711743167746
CCL26,-0.02298522373396782,-0.044500894811797954
FBLN1,0.007181595556792014,-0.000771627850043578
SAA1,0.14890040967675877,-0.02129909148046168
MICB,-0.048996053063107996,-0.03586835505574316
F13A1,0.20970749311876447,-0.0485943752728279
CXCL11,0.03790775553724257,
