,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.0233722078238825,,,,,,,,,,,-0.023683411179888317,,-0.039700884617754784,
BMP1,-0.01147402432784735,0.030615296791761917,-0.02191342099943376,-0.008189356533186865,0.09147168190437867,-0.04932357452769457,-0.012415209769397705,0.11412238170317952,0.1470291503164406,-0.002561358174702452,-0.029691861299472887,-0.0022861903742236616,0.01500209736568378,0.03700074664818141,-0.01928659668210221,0.08646425345618343,-0.03185045735277847,0.14633781213544197,0.02149521792039892,-0.0044072672607060655,0.021687033644429282,0.04203390499308767,-0.04168500354941586
NDP,-0.013702405818761898,-0.04387930759255349,-0.005924768075758171,0.002164108087192041,-0.017634342546593924,-0.046733361198581125,-0.0310298556023872,-0.035366826983460706,0.045855401118307014,-0.003920716395356396,-0.023714449725875646,0.03046802994909278,0.014407239346499097,0.06403078837657032,0.03337236046627138,0.08039006063880226,0.02421068624088907,-0.010021606951604865,0.06969289872567341,0.07751052923943177,-0.05194170002939746,0.08303845628426713,0.017412075935023804
TNFSF18,0.04607232789351479,0.04851567443986308,0.011513573386454147,0.02010286697497894,,,,-0.02072728998479873,0.0296478030384359,-0.02360333014748229,,,,,-0.024124922868578577,,-0.024420545837152578,,,-0.02442428391306227,,0.0017871609764589156,0.009548191679151804
IL36G,,,,,,,,,,,,,,-0.008400469523578431,,,,,,,,,
RTN4,-0.08345165247936122,-0.08154249645673765,0.06295035464326568,-0.03400139935557218,-0.01534307667350455,0.005811002012447813,0.04266400418532435,-0.05349292995065516,-0.14859368272575452,0.001000625701081818,0.0027571782969749133,0.005203810136577447,0.04704342368804703,-0.037937390776233516,0.016445043333943036,-0.024358535275476684,0.09763579683287171,0.01258436561893963,-0.05799809921244608,0.030533749661414464,0.07876443212602866,-0.03127219617201034,0.004111720561335556
HEBP1,0.02464341146250783,0.00588512729823987,0.01690603468062741,0.011839670285545537,0.060523959931133756,-0.014077353541582864,0.0434049831140689,0.0005980438219307781,0.04567840576700427,0.010019518870981646,0.045057877613941054,0.005604041595448083,-0.0555797367484859,0.02755051134649386,-0.07834060095133559,0.13543946176511665,0.020200913421810435,0.03787482724109038,0.05052778287130949,0.004930782862328206,-0.01784265287082428,0.10400805118156194,-0.02523853318119751
WNT7B,0.07921842464858417,-0.04925729685708939,-0.01608877659543403,-0.017227635528266325,-0.0352871078987811,0.01702956255292143,0.015028553531350323,0.022101969306549372,-0.07852476192667922,-0.03431971898875619,0.0659623253374148,,-0.007995444876149943,-0.0037635952599908377,-0.026559185355320498,-0.0902607301888407,,0.11164059689605668,0.034366796295965264,-0.02055650468555232,0.03480673834091343,0.006548387763625723,0.02062027401743069
PTMA,-0.03510191946617786,0.04660319711579801,-0.035308532838598944,-0.08316789031903593,-0.046853812192436936,0.01802064199338189,0.0009951772267133726,0.0642770098108275,-0.038722474251169335,0.03092355290246146,-0.013110414457380686,0.023032603642529806,-0.03747919973025797,0.07808373561989577,-0.024789191017390817,-0.07629190240737425,-0.08311955661175914,-0.02525547059707743,-0.03782156388295823,0.05481754332210945,-0.028568868217207905,-0.1243348583512436,-0.011504228701606072
FASLG,-0.02255635673719016,,,,,,,,,,,,,,,,,,,,,-0.02160131043781573,
CEACAM1,0.02701537655571078,,-0.026956934076392516,-0.013221174095439842,,0.03652870565287658,-0.028734902152283952,,0.06318723359498593,0.04037324456480237,,,,,,-0.06796859328635477,-0.03458863594424076,-0.0006444920491901455,-0.02704845917836938,0.024369652221139015,-0.02189438416826514,0.0256995794625908,
PDAP1,0.004020972074574295,0.08492994625265458,-0.0403306497522582,0.023048211815047147,0.04829544985541362,0.00403635693077107,0.0627028309115785,0.04432208684573628,0.10456953268673065,-0.028399331342145232,0.03800323970118685,-0.0012498516489248704,0.018398491489629392,0.0432465242103918,-0.033489628091030836,-0.03255550628872398,0.04750320363533873,-0.0010867931242008826,-0.0024101582495858784,-0.03555783549347584,0.015416496566767428,0.1129802485088267,-0.01612467522033593
QDPR,-0.041764517436323666,-0.006417791758607094,-0.048479514611335664,0.033552197375041025,0.03822455309073779,-0.024863178075585055,-0.010854481963237574,-0.01607740087470437,-0.08239017994181926,-0.04603917030401095,0.045680853033697844,-0.06141453846644447,0.023538635118545065,-0.02219886222365794,0.07669949627269404,-0.004532835884470512,-0.009531154630214792,-0.00735251880841341,0.044487471204138436,0.005271195949641054,-0.02531453012584654,0.03976614165833539,0.0691461885011775
POMC,-0.021053236329291194,0.034683497800922364,0.026404408813162868,-0.023491917027138425,,-0.019080154946406348,-0.025536371599548705,0.015925829074125257,-0.056161923022607224,0.01654398331011635,-0.02584383651310479,0.0032450840230550415,-0.026917820590314397,-0.013068953121035629,0.05637728482395788,-0.04256894532623328,-0.044290438003778826,0.003952494075490998,0.03788634095093012,-0.020944633738462365,0.0510136318228451,0.031919072472387164,-0.04933229039834982
CCL18,,0.03221215715899449,0.03656401783135438,,,,,,,,,-0.00162526311375315,-0.053761556445860025,,,0.09093870133106056,,-0.026818240770529845,-0.009656701294133074,,0.04660138420849523,,
CCL17,,,,,,-0.024707961956086943,,,,-0.019309005458558782,-0.024585155200691117,,,-0.016558935850757787,,,,,0.01780849383647099,0.03690407203057346,,0.1654057150996101,
VEGFD,,-0.006456783944358616,0.0679038389146758,-0.018936679335939496,,0.01784685667564208,0.05848627482166723,,0.017017592370579624,-0.01358584390715954,-0.01803350865845082,0.01336253443648215,0.02432272426995871,0.05115226647706703,,-0.06565838860982756,-0.07166523182171902,,0.0048890095787786315,-0.03293295845456004,,,
TNFSF13,,,0.07234655416321326,,,0.029117210568790276,,-0.020101147328649503,,,,,,,,,,,-0.0322605924498584,0.02600929183049306,0.09727056719944521,0.023229719211803102,0.03544736165234225
WNT5A,0.01213422091087431,0.051586589634606834,0.004783291025898485,0.05823501442866706,-0.03561119114167051,0.022646244789488238,-0.04780142141967102,0.06438695227570805,0.11780977677953382,-0.011481152665372783,-0.012908774654542696,-0.015547320906498938,0.012383008003861697,0.04247464485387955,0.03600041541411098,-0.015410353755722726,-0.03703638529822416,0.035332135983464644,0.07880573087975164,-0.023231650121554898,0.03415700968046259,-0.007208642654237253,-0.05262150459595926
CXCL8,,0.06783894100954847,-0.01578919970181127,-0.017731184117393724,-0.012422024088413135,0.0837143154877661,0.026698071880599864,-0.028592578331561713,0.046025056821545327,-0.021221966049802497,0.018348170126831324,0.09287084876573608,0.05213506468985788,0.009815321077851283,,-0.06184538604739189,0.008922278964293066,-0.04721773522705408,0.0003354108760814043,0.03660318544891527,-0.05455616226627262,0.002078401835544484,-0.023325580545785988
GRN,-0.012575726738870545,0.006929298904520751,0.009802854282591119,-0.028423255313014942,0.05602766913683051,-0.018539696372595057,0.005830148360234687,0.04776637953148736,0.11418706115691592,-0.016716684551494106,-0.04056381434000354,0.023751005982169077,-0.023938040027635547,-0.032478287071459847,-0.037428791707551284,0.05204573252033135,0.013011290728760713,0.08538380988143261,-0.027302246370149212,0.03619863720769428,-0.04430010800349165,-0.04056029377425469,-0.0029759297336577986
