,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.021526260532738806,,,,,,,,,,,0.05084066342212744,,,0.061650141564113026,,
BMP1,-0.07505221501541069,0.07327608130020027,0.038924493333043125,-0.0049301980143990586,0.1016158462263652,-0.034833433838007764,0.033455414860987305,0.027008660280110855,0.2328106333756923,0.028197145354138576,0.07450501032690078,0.04791801891299178,0.06501320398184939,0.052663078762341206,0.04751045865165814,-0.04316132987838951,0.023453414838905406,-0.026804364790422815,-0.01898163993175053,0.10813166099170025,0.03345273253015859,0.08549860035617671,0.06964125420870373,0.06153688953949686,-0.016763579744915102
NDP,0.013821059699515496,0.05442361728213989,0.02629657801631488,0.032037032158216114,0.09079492760725728,-0.041920206744740715,0.004960808076010696,0.011863020982636033,0.058643713738730334,0.013513653743554664,-0.020176659511643737,0.008192209992971254,0.07911491515467178,0.17695922624243274,-0.003936632802143408,-0.014860239577496282,0.02496977141769669,-0.006606710497525821,0.04578541634504456,0.10220914205548326,-0.04219742584479685,0.10881491874730313,0.1292944458770946,0.0742594819040585,0.038757801197660854
TNFSF18,-0.01189075636151414,0.0389900681009592,-0.03597346690396157,-0.0040822274715617895,,,,-0.026317496945901946,0.05886938882531509,0.013431743562278168,,,,-0.04556036175129155,,-0.09430706172905941,,,,-0.0008555088749023375,,0.10232542048007867,0.02731758457220162,0.014869765843655304,
IL36G,,,,,,,,,,,,,0.03176221085682723,,,,,,,,,,,,
RTN4,0.02093810503496452,-0.06135757181720607,0.016530278049536478,0.017949748362883336,-0.003885665257146587,-0.03951025714695263,-0.0023060109801402565,0.0016886598740362701,-0.26700929506483173,-0.010051248635542678,0.008836291914415687,0.10949716691722225,-0.1266655181197451,0.03391030707119543,-0.15616957079758295,0.09049076420924267,0.027583247493203674,0.020734194126270984,-0.02478700796805104,-0.1048627506955974,0.021685932905991072,-0.08473118930485514,0.054774138626071264,-0.12321873331159959,0.04586159478793724
HEBP1,-0.08417465016588083,0.03538041024234993,0.0013569226872680977,-0.027076443073555542,0.005658336441240834,0.03422452498973052,0.017441608861610166,0.058701243310956136,0.12945720715772865,0.049862195844940865,0.03793986235202046,0.006360970629494186,0.03738205789905435,-0.07255312721278333,0.07644419827335708,0.022917691925482653,0.03537403143712869,0.07131884451937887,0.016392344558245044,0.07094711670353976,0.018012562205402125,-0.04686736272296013,0.10552725391610261,0.047825394752863855,0.011536919436055282
WNT7B,-0.039462262245401544,-0.02219242784185873,-0.009736800852668072,-0.02422462326742565,0.07195698028597294,0.025427519894176347,0.034643977164517406,0.03712375966808714,-0.09469442308729203,0.03700041218833084,-0.009641777958039341,,-0.031830773183701144,-0.0029040092227838885,0.009063367164561865,,-0.030828866631151735,0.02243206770262492,-0.02600243435209617,-0.022892315166900996,-0.02183804352794715,0.046978937700401284,0.05431181133535782,-0.011269831903975175,0.06102890000652218
PTMA,-0.0277914975342387,0.01554130603560383,0.04885155470839161,0.03670707268379976,0.08738076750571176,-0.013983809391194276,0.03210570365054608,0.00995299212249675,-0.15623016620294436,-0.0045454002289874425,-0.021235945311384796,-0.07905373087082941,0.11572749103356263,-0.0013179272090888226,-0.010356130074654845,-0.02411831838363978,-0.15559243220433094,0.05836220636279303,-0.04721376627589406,-0.06390526506635716,0.009460417959550639,-0.020247204480614716,-0.1102273008361985,-0.0980873683587698,0.09459670401654927
FASLG,0.009246876805924233,,,,,,,,,,,,,,,,,,,,,,0.013639591866584626,,
