,ZH8812bulk
IGFL3,-0.015352596177339063
BMP1,0.06883300262784196
NDP,-0.11421171347067072
TNFSF18,-0.015832861448453393
RTN4,-0.015068821402152807
HEBP1,8.207002266660055e-05
WNT7B,-0.033107794133879195
PTMA,-0.0383856764868948
CEACAM1,-0.022750168928319395
PDAP1,-0.050644728046296016
QDPR,-0.0024717928859129784
POMC,0.057918044110506335
CCL17,-0.02024151121681014
VEGFD,0.12320416270749165
TNFSF13,0.0014942100894117071
WNT5A,-0.011362011697643398
CXCL8,0.040933151085716615
GRN,0.0005739779392182621
MIA,0.0704384161289373
COL4A4,-0.015112710280827713
RARRES2,-0.12600398170495614
FGF7,-0.05104313479391767
HBEGF,-0.007967932369562785
PI3,0.042306489457473714
PCSK1N,0.0474231969760536
SFRP1,0.0077696682112021595
MICA,-0.01622620450451172
ADA,0.0306059214516818
LAMC3,-0.005033933063008082
HMGB1,-0.08034441002130197
ITGB3BP,0.05885174618415939
AANAT,-0.025038099985451742
RELN,0.04798701302561695
IL15,0.0012975512143710503
BSG,0.01487294672663246
ADAMTS3,-0.012212123607787891
CD34,0.11076999676812407
PLAT,0.08395003987903248
CKLF,-0.021033167080907186
CD24,0.032633049242528814
HSP90AA1,-0.025165182429161315
BMP4,-0.032607126720084485
IGFBP4,0.024574662054815847
LEFTY2,0.09469349559358081
ANGPTL2,-0.07924387236890816
LRIG2,0.11450751846563698
ICOSLG,0.054928958036208425
NPPC,-0.023753854810218838
LYZ,-0.01011814126507449
SPTAN1,-0.018376977651845365
LIPC,-0.029156658544936424
COL8A1,-0.007435739282730141
GSTM2,-0.04197075722855233
SPX,-0.008135757541278054
MFGE8,0.005375476664042987
TGFA,-0.04910732462802017
SLIT2,-0.035316149165982635
PLTP,-0.0014329001979181122
APOD,-0.0581136180740354
B2M,0.0291137537419454
OMG,-0.062287327887544035
CXCL3,0.09460942652553857
CXCL10,0.1321595759486955
NCAN,0.06872420166195718
TGM2,0.02185993521321656
VEGFC,0.1347730779210859
NRG4,-0.018674786332955464
COL9A1,-0.0600147385458267
GDF11,0.030542875864148233
SORBS1,0.025985665350467303
DLL1,-0.05507548597556692
TLN1,0.07849144509963497
SHH,0.0215417754510191
PON2,0.08056499430607143
HPX,-0.004785043407786071
SFRP2,0.008872351734829694
HP,-0.02391759301432768
CXCL2,0.04944320487017212
CCK,0.0199949821677625
SEMA6A,-0.010365700173379058
IRAK4,0.00574351281798774
GSTP1,-0.0643003531893009
VCAM1,-0.017867874693946476
NXPH3,-0.010910820959528084
MTMR4,0.053905749764779354
LAMC2,0.036963816924265015
IL10,0.011243093668027646
SEMA4D,-0.08596251859359828
TRH,-0.026324550093777883
SEMA6D,0.01257046974888522
CEL,0.050803599050060586
PDCD1LG2,-0.009760722327076034
SPINT1,-0.035674550737708866
CTHRC1,-0.05827372080422932
PODXL,0.05198881905463154
JAM3,-0.06279370163847887
TGFB2,0.13254946199269999
COL18A1,0.06473999534990019
NODAL,0.10359407128614935
INHBB,0.033395485746057295
ARF4,-0.04152569154448141
CXCL14,-0.014964859675594763
LIF,-0.026288411550885044
MATN1,-0.01826414398216755
ADAM28,-0.020439168715811442
TCN2,0.002259952166444032
CUBN,0.0047654792533421714
TIMP3,0.030226138157511163
PIGF,-0.0025719844766900813
CRH,0.08299307266692774
BDNF,-0.039131087143890714
CCL5,-0.05007933260340287
GAD1,0.04524666118660093
COL14A1,0.06524610018419619
HLA-A,0.07224757482026979
ADM,0.005869804048301621
GNAI2,0.028436270197015518
COL11A1,0.0015721554011453322
NUCB2,0.11185668999827936
CXCL1,0.05128640246038618
VCAN,0.026684086423932035
PTPN6,0.04069312731099672
PTGS2,0.08775202811729034
CD58,0.014310012908490785
TNFSF14,0.02285210728986279
CNTN4,-0.02292008796107796
MFNG,-0.06439273066089425
ICAM1,-0.01536207074923614
PROS1,-0.02793035444144073
CLCF1,-0.014477289290847219
PSAP,0.028499621457940424
EFEMP1,0.04194584250995374
C1QTNF1,0.04016054624433056
ALB,-0.018913451928197694
EFNA3,-0.055351884879542755
DRAXIN,0.06893566599700163
NPTX2,-0.0469714082009949
FGF11,0.0018977220229880862
CD59,-0.0061795743619513024
COL9A2,-0.06289161929020512
DLL3,0.04649945033488608
LIN7C,-0.02012908820521912
GDF7,-0.02984316888694489
PSPN,-0.00043228282634397115
ANGPT1,0.0619530535897199
L1CAM,0.005156370114851086
APOA1,-0.02519470183719516
PSEN1,-0.005479275388346777
CALM2,0.010736193211399667
CLEC2B,0.034809566506420885
NTNG1,-0.01279731612153882
LRIG1,0.04138963746536449
CPAMD8,-0.0366181174704355
GHRL,-0.02269441638795472
NPY,-0.04407624768870383
MMP2,0.05571130679953016
ALKAL2,-0.000900543841001425
CSF1,0.11851355959291436
SEMA4C,-0.03890057985855795
ICAM2,0.013863790933450396
SYTL3,-0.003364846351600456
IL1A,-0.035316132282911146
PGF,0.023310053493439137
LGALS8,0.0025801451427106916
DKK3,0.054155353078953646
COL16A1,-0.022678759484533136
TPH1,0.039471674913182445
TNC,-0.059148146864321606
TNFSF9,0.06130281404357918
C4A,-0.02488065458177264
CNTN2,-0.05723892679736472
LUM,-0.0005066045877415792
BTC,0.12457390160921412
APOC1,-0.0038040135932359996
PKM,-0.015810249731137725
GNAS,0.05561781488467532
BMP8B,0.08710045171208917
CCL28,-0.017198465094576478
PTPN11,0.00644296373542647
ADAM12,0.011939955919027684
EDN3,-0.01786340938176556
CCL22,-0.0213485415657177
