,MGH258,UKF243,UKF248,UKF259,UKF269,UKF296,UKF313,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.012447760142782168,,,0.037051222229791056,,-0.0073802732578389955,
BMP1,-0.04835520268029102,0.06345890966925845,0.030395495098554555,0.04643578069944849,0.17703806383384868,0.008121883739064865,0.06837182948346145,0.06026255296098378,-0.003944768258226039,0.03406263384823941,0.05771289474993344
NDP,-0.05130344090204185,0.06416456469629159,0.023249956860250786,-0.038981676019238805,-0.025388845423968926,0.04109918763032121,0.08908221928232592,0.044242847102284495,-0.014207438027859875,0.1693791802284574,0.026310380832160817
TNFSF18,-0.025387503117627355,-0.024816106212733873,-0.013816206830348544,,0.08629031073003406,,,0.020699916105173893,,0.05440093212282604,0.03509703101074635
RTN4,-0.06201907276144542,-0.0355683877520691,0.029072102486237376,-0.03248585116499837,-0.23426514956298208,-0.030914630370106784,-0.0010254272901445997,-0.034025866723655554,0.014678601862280715,-0.043577838739745,-0.07004545188687857
HEBP1,-0.022809510551998678,0.021649362712914073,0.044657165044323904,0.009472051215981325,0.09005301884747009,-0.004576357841289771,0.04140802482528892,0.04436235717408311,0.034815749660700376,0.15105424625697322,0.05300163404506679
WNT7B,-0.022365595087920336,0.006204321573318154,0.0038749535881471486,-0.005274716925170763,-0.057058503668133816,-0.025024982797981054,0.03158149629881427,0.09478049797887612,0.0114412214656666,-0.01774725982258023,0.0494879170522807
PTMA,-0.04507684698742017,-0.10653256619657613,0.040539188076472235,-0.037896105078080757,-0.056823073557769374,0.01330770262104175,0.08399729737702301,-0.008210736149727008,-0.01961379872346249,-0.09808524618284087,0.01528987348331664
FASLG,-0.022365601410616776,,,,,,,,,-0.035089554576567025,
CEACAM1,-0.031054833295389148,,-0.022480781913312563,0.08384665437187777,0.05383215744427073,,,0.03636494235709,-0.014646428889150053,0.008911078912278164,
PDAP1,0.059756748565769666,-0.017366358510146503,0.05398324966828155,0.008471753589006972,0.15842479384542762,-0.008209019884947587,0.06910843459809904,0.000918718536589394,-0.029849854678877102,0.08633699549052724,-0.007413987644882864
