,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04159027953537512,,,,,,,,,,,,0.03161111294026158,,,0.0356099018075413,,
BMP1,0.030993505028387547,0.017278007623088613,-0.009784622879251675,3.5403121872685005e-05,0.08111594694351038,-0.03744548109483184,-0.010451367649013214,0.0006582760259313143,-0.24993684111220954,-0.07009385321875534,-0.03379475231102463,-0.1568409340607599,0.05496988198092711,-0.2446460417074055,0.06167851622813657,-0.03668732201593957,-0.030958542188923847,0.019599351781252845,-0.027973256639004417,-0.019618260841200386,0.04927452581585793,-0.019541280314616383,0.030047753614484418,-0.03726596369910661,-0.020783300442166117,0.10888549045407273
NDP,0.04059261303467099,0.023658554052326905,0.048390810613787305,0.09216390291624794,0.014424671173851416,-0.01339044739623823,0.12137755220332967,0.06185094065140272,-0.07568531484524575,0.07360603157768496,0.04595710716914681,-0.08425538716127932,0.042606308358047,-0.008798687272070777,0.0686075379035398,0.04970854691013939,-0.05992221282223966,0.09382340276243246,0.05439290466093932,0.12932642854907192,0.05493825899870017,0.005102403807741839,-0.0005882490884040553,0.1944992672443898,0.04020518200172142,-0.07176817816018093
TNFSF18,-0.028677283431487063,-0.03545944757739844,0.0010395555220704192,-0.026876340396290756,,,,-0.037120012859306335,-0.0220232684446708,-0.013734433368482405,,,,,0.08479281765776014,,-0.0142415567700311,,,,0.03320028032814615,,0.09346840392063296,0.016911659112097722,-0.07817702888030291,
IL36G,,,,,,,,,,,,,,-0.051773466679007035,,,,,,,,,,,,
RTN4,-0.07747180934758947,0.10396340640295837,0.06969258249646362,0.026055965682593923,0.031152480195684597,0.05652014494661438,0.1915060903274265,0.1928179842395982,0.34044496985932254,0.12202577019161845,0.10369329628387021,0.35399316125942953,0.007893855141946158,0.3776560495054256,-0.03269763639969116,0.026222642167520047,-0.06124873035969527,-0.11095971416783297,0.09162410984032235,0.07558899066950713,-0.02471266809764936,0.2189645381165603,0.024224762525169592,-0.03073411526802421,0.3201610474888987,-0.02408830273312981
HEBP1,-0.01921738849968895,-0.05956756046181818,0.054491618613538,0.06107765850334037,-0.03913753998141851,0.0019339553616973012,0.0034733340113693983,-0.10452702642936308,-0.14289362462061572,0.005439748991118476,-0.009601735411552959,-0.12735147134844596,-0.000923452514336114,-0.021110947203571626,0.0569024083247642,-0.05267760566509002,0.0081810557323338,0.03889525256477962,0.07530012803531162,0.09642707482390261,0.05663006349848815,0.033475047423636904,-0.01624196080376165,0.08928493465575597,0.00928563948443348,-0.005479187550775431
WNT7B,-0.025263788505646013,0.20369265812683723,0.018946142281428876,0.03774669810966506,0.007105315340884815,0.01705348664592461,0.0930925776925957,0.1067045289607827,0.22602687801775076,0.004133371279411792,0.015729945299804576,,0.02251616531372228,0.13141619044360836,0.0765183908354328,-0.03860765820274558,,0.00015762686677966414,0.051501118679612594,0.013575475972565075,0.1229859618035143,0.01593917744969896,0.11512947991947482,-0.03998133603222478,0.07980973408388807,0.05667817146570937
PTMA,-0.06523159403745556,-0.03576128788167214,0.05885982671198926,0.01936029524032371,0.18416827324937132,-0.017516426972259747,-0.12203895371985288,-0.1496172921535358,-0.007812643097969222,0.08239751801450712,-0.12637465723888963,-0.45007207263045923,0.023900077486846902,-0.35112651123691,-0.03154349663276827,-0.06607135071227914,-0.030650930783792905,-0.11873998713785976,-0.11208064498993597,-0.07990490870093542,-0.033678686374099626,-0.03775641273291227,-0.1665987377168104,-0.13786960479253987,-0.22139513599436358,-0.23915276476407793
FASLG,0.05182317055929088,,,,,,,,,,,,,,,,,,,,,,,0.007264482726704861,,
CEACAM1,-0.03507900135760519,,0.027090302429908123,0.013539225823960313,,0.051600375169746984,0.014115729509836321,,-0.05023828818152736,0.061336552394305785,,,,,,0.027215911000996754,0.07666048494348816,0.0457759023120925,0.09370412388442041,0.028901791059703853,-0.026207247134367458,-0.043997482094038115,,0.019814563275476423,,
PDAP1,0.08139201150471277,-0.0458637156949803,0.057032078062522515,0.014635875973587299,0.008418427654125683,-0.0014728914040071097,0.0004486192906167293,-0.10106248553765296,-0.23074699062450343,-0.02920555290989805,0.021799609022044163,-0.05582430459421925,0.07946398986309387,-0.23179924856126669,-0.009024104876605855,0.06613634568238662,0.01693315005191862,0.07942619575935247,-0.062372992993439125,-0.07072667626206594,-0.013218731030274987,0.024573724565636244,-0.0006671911603555641,0.058159276050139944,-0.0772998813996593,0.03258277392310101
QDPR,-0.06763684823329992,0.1228027655565555,0.08715941327081864,0.023004041613722097,0.10847324255516708,-0.02580868033018296,0.13464257213376005,0.16435320284412544,0.06627700069467835,0.08593269383084808,0.007874733780500858,-0.27560464734609613,0.008993128952567413,0.10625119608452553,-0.038000333344437226,-0.07332122917856469,-0.016356791994240522,-0.09424663293523106,0.07741093048959667,0.1562510947831003,-0.06386388996136227,0.04294815666325962,-0.09723070138683648,0.04188037058958493,0.20256422355069814,0.010495413101914298
