,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.016155506044758537,,,,,,,,,,,,0.024452622177784253,,,-0.051132636364680406,,
BMP1,0.05558541861341505,0.11433168061252705,0.2905923216345567,-0.052218435165079534,0.09991939774943376,0.07122689325883912,0.12823766301428005,0.2003795310493827,0.17237848653090854,0.05781877739960161,-0.010272599366188403,0.031335756477112356,-0.08339684133119825,0.1977529932906813,0.13368553557368965,0.14636671043113852,0.06380350588528055,0.20543435806704444,0.19171432145773598,0.16833527710661686,0.04326985194009366,0.31753230224845186,-0.02900096373971535,0.35337981858301637,0.1736684771839391,0.12633099657165728
NDP,0.055940324050573476,-0.13047600239496365,0.0273431894127255,0.0568085782508108,0.053604427365045455,-0.028631914983618452,0.06689499194015164,-0.007081863053944029,0.04985818474237806,0.0015911109839340286,0.031024563787409965,0.09445688011187671,0.0593297326682457,-0.00042127448620619983,-0.044023982914466984,0.06551405005480007,0.09888023083469447,-0.09819887099570045,0.08013204118718449,0.08757666632036776,0.035526950745896235,-0.16916816120987513,0.03146031579098165,-0.15222933501231664,-0.039855459382322544,0.1099457317796367
TNFSF18,0.0767054568637885,0.053348421982876745,0.037555450665130885,-0.023384925671468732,,,,0.1414010666500526,0.06073098106998423,0.0061847361776247,,,,,0.021405394085256865,,-0.06014844956601009,,,,0.03331187889664291,,-0.008180474400075086,0.10402340323552445,0.028914262150730865,
IL36G,,,,,,,,,,,,,,0.11349876693077875,,,,,,,,,,,,
RTN4,-0.03589770308592695,0.11131287592348099,0.0661580278873543,-0.0016633918685972947,-0.013001194607979279,-0.06024013846006639,0.0863820454315553,-0.28046717581077424,-0.14180873724141568,-0.0908287275762194,-0.01933804804033943,-0.038407074269328,-0.024734549950409877,-0.17611212872941484,0.08672885348281298,0.027347933389295517,0.08176979334688832,-0.04679591279550381,-0.06453974657972644,-0.04399406804417719,-0.06598024401599305,-0.0898410704679381,-0.017362293593887457,-0.05939421358291136,0.14193920555135778,0.07121501303892051
HEBP1,0.036775188398957465,0.08747173950490758,0.152782779867508,0.057825164915827676,-0.006691356257512891,0.02734513224776961,-0.005945010416001892,0.06257970765030578,0.08819469053246251,0.010162664823502646,0.08208763468734578,0.07128853995999261,-0.0739908142295383,0.06620238573157437,0.11147257329087981,0.049844625336629034,-0.04914335755638799,0.059958698502372745,0.0690084809155563,0.06482396375641145,-0.04829648822555139,0.005039392714077959,-0.01411409993932094,-0.022845798869428915,-0.08927345328619526,-0.062357264388048735
WNT7B,0.041730849027042424,-0.017255432996500498,0.0212118139659874,0.0009180286012951474,0.019496488483259147,-0.01958590644687526,0.027419209331115895,-0.051658118876826226,-0.050410172918279636,-0.0539698829343471,0.03174629686750262,,-0.09807076369815199,-0.055052615546193465,0.018734583967066693,0.08148834430841433,,0.0407791282010914,-0.011943762110376841,0.028281857496911842,-0.0018731654593046874,-0.020024896733343154,-0.011460621701754072,0.054195597540928155,-0.018696065452442352,-0.016046547196380875
PTMA,0.01555596057030649,-0.038404158716532376,-0.06824607440153059,0.01880245129455281,0.06571924230158398,0.09303120291835196,-0.02738826976521441,0.32694716024072307,-0.03661940086017717,-0.13225980200372356,0.11765179109638522,0.19168916885700393,0.08048577942507262,0.2214569340805695,0.21736512013391204,0.0014809581717450525,-0.0126566948110455,-0.026798497771946657,-0.13730761461723703,-0.09081721601627729,-0.06798477137349045,0.09536013563080038,0.023184378675083023,0.29007125835680553,0.14406725206344304,0.19908987230488173
FASLG,-0.01698260077690942,,,,,,,,,,,,,,,,,,,,,,,0.06963959613310586,,
CEACAM1,0.019499169114365025,,-0.03427002379490412,-0.038294770888652734,,-0.040857919949769526,0.013545786315816362,,0.049801622894230464,0.05043950137684951,,,,,,0.05774245681872201,-0.11805782230759079,-0.01521267104832238,-0.03049043416028686,0.036051430681529675,-0.013827862788433343,-0.0011437743690554795,,0.017687443848553603,,
