,UKF243,UKF259,UKF266,UKF275,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,-0.016653368964413114
BMP1,0.034124392595784876,-0.017494729844062033,0.10218797068841352,0.00044457761825085875,0.04860030395905827,0.045928645673624084,0.01245441099595501,0.04973618432068374
NDP,-0.022705497613763368,-0.03938934602804696,0.001608862274209553,0.012005133289441623,0.06745882118053509,-0.010536362970869007,0.0553638138590508,-0.029172718751917043
TNFSF18,-0.0264275533502529,,-0.01258239436190104,-0.013383383838686697,,-0.05963946531322592,,-0.028091256126208775
RTN4,-0.011361970306236336,0.012161512729344882,-0.07512617464105682,0.009661846549014778,-0.027153530359197268,-0.07582194505086631,-0.052484151670469034,-0.05068771601928951
HEBP1,-0.010249504494144794,-0.016149528524886263,0.0486448144951723,0.002692303229097469,0.025096451223917616,0.03414448322751673,0.007760998240857077,0.018188021616701668
WNT7B,-0.002432450510389013,0.009331898236559463,0.03103993100675719,-0.038362223945659,-0.01067874594055252,,0.07879876755432212,0.06117203434080125
PTMA,0.025892088471736865,-0.03277244633985815,0.14076887858585832,-0.058474511416147804,0.02878242364579377,-0.01161244753021183,-0.05020479449924709,0.04720649263296528
FASLG,,,,,,,,-0.014443461221456573
CEACAM1,,0.039140125109382744,,-0.02104887440068795,,0.21428065377530608,0.0259613360593712,0.06344166430660775
PDAP1,0.06437262800394819,0.019449438764564477,0.0865141506630133,0.03082346830910105,0.07066145444096145,0.05989875653729251,-0.02903231429842002,-0.00020818724105633966
QDPR,-0.019091057892069684,0.030506263896609223,-0.07979202029010934,0.026680411275233393,0.018469581612142152,-0.03948210846823076,0.021447690179177487,0.0003812296557771374
POMC,-0.03801963414151148,-0.023189744623606613,0.011198896340689742,-0.015529020273347844,0.00807196239378869,-0.09211965762687192,0.008363461274848553,-0.009142103073165661
CCL18,0.07651350285931834,,,,-0.029165858736583932,,0.03971036260244805,
CCL17,,0.00876720735738279,,0.016709661986543344,,,-0.02637682339502946,-0.013091375313190079
VEGFD,0.03207372838506494,-0.022293259167179703,,-0.017783578897384727,0.007481912524596522,-0.005970725007652557,-0.01827203068048997,
TNFSF13,,-0.013802394112319469,-0.012202297695513113,,,,0.030706228802237202,-0.021331303380144166
