,UKF259,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,-0.02168419125546724,
BMP1,-0.008850887863569648,-0.03778452578828002,0.0008332731901611433,0.09546152046247383,-0.010752930309906426,-0.006571464572527986,0.022246143160095537
NDP,0.033230202983059974,0.04531495442461639,0.025444070686307257,0.0054960916470057405,0.023517354549270716,0.02017097318204175,-0.07551023218422487
TNFSF18,,,,,,-0.02236252369331079,
RTN4,-0.029134207078363034,-0.025967499476100164,-0.01859455976989313,0.005791600387965611,-0.0726576317462054,-0.09635043597212732,0.03578008934008486
HEBP1,0.058520758314120715,-0.01432841465466165,0.0028718134271944872,0.001998254735505517,0.055818243073547914,-0.008866198756619193,0.0709982818728247
WNT7B,-0.010410199795627125,-0.011723843064883003,-0.0007213035979972317,0.014670651013828497,-0.01857070927883266,0.041482227232894964,-0.023214293384084067
PTMA,0.027490978539021722,0.05034511384775106,-0.07786144549451911,-0.05850244502903493,-0.0263867947622136,-0.04389213310629285,-0.03573687047414442
CEACAM1,0.049072238810199294,,0.05338393789826266,-0.019823717880956427,0.02222563786498843,0.10857135142446321,-0.02275894621629743
PDAP1,-0.037116921640829005,-0.04240130553140737,-0.014134756768843713,-0.018864063710023214,-0.03159623209523856,-0.0572680294384119,-0.04877775459886148
QDPR,6.047597361561416e-05,-0.007198482112868806,0.13681142069676416,0.001314905920998701,0.020683387200795156,-0.020030313749574265,-0.05782110377196987
POMC,0.02526752911634416,0.02449080770338085,-0.06354689070408984,0.0006163413703997286,-0.04498049334248679,0.06578767171660663,-0.03723064626651995
CCL18,,,-0.03871222517919426,0.025396656671159257,0.09074827043957678,,0.005719122284531789
CCL17,-0.02728634255315029,-0.014510831193338774,,-0.014063968341622421,-0.027717482736485995,-0.011269726376382051,
VEGFD,-0.030399998827390255,-0.010643870165970596,-0.04361364896977597,,-0.019200746328023006,0.0026400397730685,
TNFSF13,0.013395799684950105,,,0.03838614081682117,0.025441864135169728,0.05118092412908077,-0.010776319708411764
WNT5A,0.046094046423897354,0.023753602724623256,-0.023711802481861718,0.019638879786730526,-0.0036985442916455872,0.03813267602384183,0.029666901283776685
CXCL8,0.016683535976202396,-0.00991203470941291,-0.06127520112125607,0.019600599446030324,-0.028079501334995528,0.035963720076083006,0.008230369945118303
GRN,-0.026632015105213628,-0.004515176606246709,0.011051687915248267,0.06467678187890581,0.008307554764748516,-0.008961497452539397,-0.02944853412754411
MIA,-0.022319381269465907,-0.012105160735606543,0.030751604301547733,-0.013343328659665346,0.12014845715641392,0.18192439362026464,0.056055753124598165
COL4A4,-0.012652835066598348,-0.00564145076371947,,-0.037160982220416014,-0.030743397078983208,-0.020835421047242328,-0.012077068365112836
TAC1,0.0316973970727487,0.03510126862386636,,,,,-0.039265665848434966
RARRES2,0.0046715345348720735,-0.008023475263956342,0.09956167769331978,0.029468461997233804,0.019591305342884103,-0.01321495766918809,0.08242070276062125
FGF7,-0.04162370632213625,-0.042212749504652966,-0.09395125416111058,0.028532812854390018,0.011898670951502715,-0.007329480179892099,0.04332752996540125
EFNA2,,,,,-0.01824902441175749,,
HBEGF,0.008244958461375703,0.005516833824281241,-0.03968609166701427,-0.0226616898879394,-0.026497940455790864,-0.025116051191797464,0.02543245407397727
CSF3,-0.005537340881394729,,,0.10124372703492267,-0.022073415251204372,,0.040162471518697375
PI3,-0.007782127528938569,,-0.02331176487945924,0.012282156245492726,-0.06529868875980382,0.07830841298703017,0.05741776145175098
PCSK1N,-0.0323504949427662,0.03479428985480784,0.0601140889886633,0.020089492449001423,0.0244463787097461,-0.0037202951440489023,0.008422272407444776
NTS,,-0.015676651067433333,,0.024123479582209426,0.08812926712659394,,0.009092116706602439
SFRP1,-0.02380838859273461,-0.014510831339474763,0.14828089885689955,0.0017193388438780793,-0.007458429449845215,0.061610302575812334,-0.03958536317380058
CXCL13,,,,0.1568372231791696,-0.02087881756565408,,0.00034878724599570355
MICA,-0.011722437601496292,0.061023368395011074,-0.019651487834374436,0.02519560741055404,0.06463692000056197,0.0003474610723492231,0.017687358980775687
TG,-0.014702495903921867,-0.010501425519577138,0.03229725796954499,-0.018687497732411334,0.030700853267620114,,-0.012852145390888614
