,UKF243,ZH1019T1,ZH916T1
IGFL3,,,0.07860447222497755
BMP1,-0.023509290915492958,0.03146238256639438,-0.07923058944004238
NDP,-0.02754675378274706,-0.07537678225166329,0.0916841946037408
TNFSF18,0.16074855380582043,-0.025453858674961395,0.015742422423630123
RTN4,-0.08734340209029692,0.016542458134899695,0.04659111246986936
HEBP1,-0.04168771529596388,-0.007944769978900507,0.06768986877500162
WNT7B,-0.050285854802282474,,-0.013793893058623101
PTMA,-0.006821672963514095,-0.09683082617943986,-0.07633388316241871
FASLG,,,-0.01483467761235637
CEACAM1,,0.08275695128776572,-0.0006755541112927621
PDAP1,0.08831835052131659,0.10347166183113934,0.008910630682772166
QDPR,-0.0038014233903575258,0.007921658045521487,0.07295914714456826
POMC,0.019077246117029427,-0.0033010685350904757,-0.008721365339489917
CCL18,-0.028893378244103124,,
CCL17,,,-0.0134459690302648
VEGFD,-0.03255439218715533,-0.045153713400379866,
TNFSF13,,,-0.0031757694260378415
WNT5A,0.027834224472849542,-0.07065766245652157,-0.004932424531364387
CXCL8,-0.018630096414645133,-0.02169421683065679,-0.03590327985930479
GRN,-0.01334270177187704,0.06311599041072197,-0.02839641727620142
MIA,0.052555201112876246,-0.022145863843698006,0.10105698808015894
COL4A4,0.0411338786958468,-0.03535624686017882,0.0019819144914747133
TAC1,-0.04104397073165815,,0.005290517742754893
RARRES2,-0.025955831466593932,-0.0299271924113057,-0.03843121040687344
FGF7,0.0030173148285004233,0.0373278178932664,0.07934000672962063
HBEGF,-0.039281283879967197,0.07629850344421199,-0.04417261216469914
CSF3,0.04373489458856331,,-0.014156531103320496
PI3,0.023168107873756366,,-0.0038882995382305196
PCSK1N,-0.006598227084472323,-0.012678028009144726,0.0460103268708845
NTS,,,-0.0006647751628718002
SFRP1,-0.010795518522319997,0.0781668988497516,-0.020476744419153804
MICA,-0.07705705833770593,-0.006611123365566012,0.004296484117613147
TG,0.060456305300912526,0.11000475503678521,-0.027607935901903028
ADA,0.05184275026129721,0.052548929878168775,-0.016503258450017776
LAMC3,-0.013488758439597189,0.04574581479805044,-0.0713575950253124
CCL7,,,-0.01483467233732208
NGF,-0.018880679848160293,-0.017848476618358044,-0.0351280289571312
TNFSF15,0.028036742258690885,0.23006413354633587,-0.039195772688822135
HMGB1,0.02616778449611071,-0.09012703982523483,0.07269195787035286
ITGB3BP,0.009186696977202622,-0.05260243817730628,0.038693101658948494
AANAT,-0.033840633221618226,,-0.015695701971036053
RELN,-0.032554375290078444,0.03391305087177101,
IL15,0.0012841032252555518,0.02131477550480308,0.00636676939761099
BSG,0.046809087699237265,0.05778793949393704,-0.04071213419134442
ADAMTS3,0.043368652644470665,,0.05371212261197228
CD34,0.03694962247329126,0.04485348486030996,-0.03552187752619006
PLAT,-0.0287977839125697,0.13829515355303756,-0.002109993970418825
LTA,,,-0.021124049453957724
CKLF,0.012708463763852864,0.010460043776821613,0.04462363107595907
CD24,-0.0066623057895986975,0.020327573694276624,0.05987784487797378
HSP90AA1,0.0285377111880143,0.07929844118064718,0.017730765866091538
BMP4,-0.040862409649235244,-0.027205523278676823,0.006121378022275547
SCGB3A1,,-0.009023369415271237,-0.031104341729691908
IGFBP4,-0.01980984446407653,0.013164004187427122,-0.07417007815590501
RSPO4,-0.023064686153100228,-0.04429945021129186,0.047030581345059566
LEFTY2,-0.02388882644825797,,0.08069217743644634
PF4,,,0.01814531961338815
ANGPTL2,0.03933872166046546,-0.00692022479211705,-0.0030504916934989703
LRIG2,0.05864082186807332,0.07457829377035706,0.06046463562673279
ICOSLG,0.026936110777004217,0.049524807825473756,0.029129873906441135
WIF1,-0.05367521096016173,,
NPPC,-0.034833389739028636,0.05550183797740643,
LYZ,-0.08823762166494549,-0.0512891356539922,-0.04285825604916812
EREG,,,0.018744001577605352
SPTAN1,0.08772893642162437,-0.06621663612885166,0.038250276466470334
LIPC,0.02564613360826318,-0.02673880757629116,-0.011357206655322557
COL8A1,0.051519040642933486,-0.017580072197993055,0.018694253031444355
GSTM2,0.0920662604682355,-0.008103573090188866,0.04134309023854923
SPX,-0.01666689042694165,,0.11044735169749474
MFGE8,-0.013969925101829948,0.052387160290091134,-0.07716630174117076
TGFA,0.02040683691356198,0.037662941614851425,0.06040093303931025
SLIT2,-0.046742144522002975,-0.03689064421075203,0.0010777732471442957
PLTP,0.02320633710155101,-0.01440702790250918,0.023420520072895742
APOD,0.014081823467254681,0.06341163241521536,-0.04708559108485543
B2M,-0.007847042610007073,0.04651858257754513,-0.057546897806126394
OMG,0.10104837814495864,-0.017228284077729847,0.11481147431746143
CXCL3,-0.00958652622735366,,-0.016970141289820242
CXCL10,0.05364551303090929,-0.013760576225250383,0.004171337648594326
RSPO3,,,0.09342930134442817
CORT,-0.025859576908708035,,
NCAN,0.07796936724604046,-0.007614047916718479,0.082714529161358
PRG4,0.11456985159901018,,0.06187215717136962
ZG16B,,,0.0700038053752534
TGM2,-0.05182752961218086,0.03600532126591764,-0.06505065684565312
VEGFC,0.021645676960449264,0.05834137093763282,-0.031525602682552306
WNT6,0.11987691129368665,,-0.022669938852134933
NRG4,0.02608670799240172,-0.035356207859111824,-0.015054293330975983
PMCH,,,-0.018750792971477654
COL9A1,-0.03728636339844548,0.0349494487154991,0.0921922582267573
GDF11,0.05862456365858076,-0.04286319123470986,0.02425948271668141
RAET1E,,,-0.01651445282044124
SORBS1,-0.016639380088340497,-0.004254276752326819,0.07415167445610427
DLL1,-0.056137078156245745,-0.030678421943732354,0.06999055345462679
TLN1,0.01742289295571256,-0.020661988594607904,-0.054484875019454086
COL2A1,-0.024498141913329552,,0.05384806805419938
SHH,,,0.07032365913115628
PON2,0.0755523608966779,0.03798529781851512,0.13045410397854398
ICAM5,-0.057085485903263074,,0.06202594516264028
HPX,-0.023129109639606866,-0.006251751215525488,-0.034741395107265115
SFRP2,-0.013191581244562206,,-0.04681201538882079
CD70,,0.009288630877425687,-0.022968044580176306
HP,0.010905354869837612,0.04939026764658509,-0.02251957627052372
CXCL2,0.020077774380748172,-0.03483154333818404,0.04802666525600029
NPPB,,,-0.015270903984308715
CCK,0.0368149193808477,,-0.01981048493075146
SEMA6A,0.10383898704610514,0.02061168654389743,0.1049320872477111
IRAK4,-0.012863251822717218,-0.020504728122114284,0.05750135150363611
GSTP1,0.03744309632343287,0.052674600268416624,0.05561609264144254
VCAM1,0.030300091569997245,-0.028766078173019474,0.0972828570503589
NXPH3,-0.10283674435394954,0.03892622559600223,0.08667214234902376
MTMR4,-0.04396297923937296,0.07646002016889643,0.01738929888912799
LAMC2,-0.02185655471201671,-0.03535622905532788,0.02954523707724604
IL10,-0.03467618623059476,-0.03155400904602346,0.10012082146183807
SEMA4D,0.07021650925637968,-0.0479508707983952,0.04819132830515973
TRH,-0.042652250747922636,,-0.017104436551757352
SEMA6D,0.02917024375326255,0.08044129029720581,0.11761959668903281
CEL,,0.13527861111383252,-0.022878143431403812
PDCD1LG2,-0.06144901364531714,0.07829213068039727,0.1060142927005005
SPINT1,-0.017137878209483214,0.012800939435811353,0.05461918080540908
CTHRC1,-0.00883011189897223,0.09457689133617288,-0.06827079852742553
PODXL,0.007894484474381677,-0.002199373630954216,0.05330905730393911
JAM3,0.004596017314144318,0.049146202018796284,0.010168417795663768
TGFB2,-0.05758985714946971,0.08064698227986512,0.0656646956539731
COL18A1,-0.033018801188677824,0.030383423812970222,-0.11781691014776316
NODAL,,0.10576592382775438,-0.023408976889772403
INHBB,-0.018912623822442458,-0.05880274158383765,0.11012524588598875
LCN1,,,-0.017296937216279076
ARF4,0.022823197063539285,-0.033690496580313624,-0.030539772602747782
CXCL14,-0.020510211059456582,0.03699917174465968,0.1241464992067406
LIF,-0.023404682563241366,0.019999312410267506,-0.054347669676991464
IL17B,-0.026124248851498427,0.1049210939161121,-0.029216947186261662
MMP1,,,-0.05698434435717017
MATN1,-0.020583473332085572,-0.03689071692672288,0.019444888162420945
ADAM28,-0.06504110558658721,0.01717735786700101,0.039779307274240165
TCN2,-0.02277108045162406,0.005436155599882861,0.027340147602313944
THPO,,-0.008943775338149763,0.06991230041277227
CUBN,0.04160298623075173,0.08657392790024758,0.05213420330553564
TIMP3,0.016621762803641953,-0.02837716124287686,-0.09810666051547871
PIGF,0.025978718567178306,-0.030399044957170974,0.08342416044613853
CRH,,,-0.025649144102992055
BDNF,-0.03728633662763747,,0.06348763733741013
CCL5,0.05207683344212145,-0.06017493747880285,0.010376769118743556
GAD1,-0.07240735211817807,0.1348727869268188,0.10799017343464454
COL14A1,-0.04147882078711378,0.0352845842156601,0.006396426774909888
HLA-A,0.0992237251094685,0.11900755906129987,-0.08874458875829669
FGF18,,,-0.017104437924032878
ADM,-0.03526091647777158,-0.03214623053370734,0.031179655921999658
CCL15,,,-0.014834677683640654
GNAI2,0.11570768077609841,0.008798442298604072,0.05548137392731566
HDC,,0.0035332427685981936,0.04481046434990318
COL11A1,,,0.025923342681733377
NUCB2,-0.021137049315584536,-0.0036902870104450337,0.018010716330370314
CXCL1,0.010177417083169382,0.07239547069908332,-0.03731840545450469
VCAN,0.07988845369199034,-0.04766457085293765,-0.0401512716161636
MMP7,-0.024159795608292,,-0.06136101804069357
PTPN6,7.935689018612112e-05,0.04638279573308953,0.018851988897604657
PTGS2,-0.045353713466405904,0.02803133268629202,-0.012384670313221555
CD58,0.020849818016275338,0.01563649283878039,-0.006855089722057509
TNFSF14,-0.03107514145128591,,0.048521593446717415
CNTN4,0.017005846014162412,,-0.025242126614171054
INSL3,,,-0.02031203863516289
BTLA,,,0.12836095540068188
MFNG,-0.02772362601376891,0.07839316887580494,0.03346034558756588
ICAM1,0.02037738842264453,0.06749921191759964,0.06471079248748762
PROS1,0.00111789830258157,0.02790711636883469,-0.008071017423589672
CLCF1,0.027432494514536294,-0.0176586696373402,-0.04094168502046124
PSAP,-0.09699778473368663,0.03193950675201692,0.008955953995229334
EFEMP1,-0.03329783491515956,0.026839759433268974,-0.018564161879988005
C1QTNF1,0.03682849825625955,0.07918097075779086,0.008554733530638048
ALB,-0.029133677593157107,0.03207334449490886,0.03307200621786886
EFNA3,-0.04204976289837789,-0.019507554283179903,0.16190624747597912
DRAXIN,0.07737259128950826,-0.01084565827383504,0.0323411238639719
NPTX2,0.023919509945477663,,-0.033315238792583364
FGF11,-0.016630131915164267,-0.09613091852535978,0.03900376244042745
CD59,0.0719710094122924,0.04867911985545637,-0.05057178669867566
COL9A2,0.034898553454890485,0.06282804557373384,0.07336286218363922
DLL3,-0.048693114996162794,0.03531455664299237,0.1625240878409263
FGF5,,,-0.04400507993628772
LIN7C,0.09560361744759223,0.030071472724701533,0.029828061983593578
GDF7,-0.020583487339819947,,-0.028974151536150974
PSPN,0.005129898669609503,0.00886853327934036,0.06096228742234585
ANGPT1,0.06908772888809693,-0.06123963856653371,0.042869780630864086
PNOC,-0.03919975014035779,,0.060362055391704715
L1CAM,0.011257142768473451,-0.011165901777062677,0.1059492951534506
APOA1,-0.01855001501398371,0.19423124167170708,0.09056837609420611
PSEN1,0.0022055497620617603,0.06637245737507472,-0.044630662732541265
CALM2,0.039057950455793515,0.043360726378218674,0.11976120405536587
CLEC2B,-0.0434731669917722,-0.053984314632835484,0.016230545443071183
NTNG1,0.04320219614157807,-0.03265901916229175,0.10091321682174742
LRIG1,0.06464786912688629,0.019876897716137973,0.11722545875557085
CPAMD8,,-0.04210228272958575,0.055260608592866814
