,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,0.021656276238454213
BMP1,0.03177788718326616,0.017693011594110318,0.0569560239683291,0.005098897050672772,0.037968566934328624,0.07489483732653021,0.04748471641503714,-0.03213684291416396,0.037856931514614174,0.003018968142465961,0.04198805835345455,0.05072317006229136
NDP,0.018429889629937753,0.02271139802127957,0.10618048427340815,0.045342826434621744,-0.04072405665573891,-0.02331342766931309,0.03135923924282869,0.009399324376322472,0.01135361884175388,0.10711035147663293,0.02215996239742713,-0.013527998747765401
TNFSF18,0.0008237339079885847,-0.02378581073443948,,,,-0.013966648969267664,,-0.04155878481640243,,,,0.06216653338785187
IL36G,,,,,,,-0.021214448498466598,,,,,
RTN4,0.01075506345218641,0.057399914790216645,0.011083871839374121,0.06197960842114201,-0.005560289989470697,0.012800143465345267,0.017417036504234894,-0.022568510416841752,-0.01772229326617863,-0.0755785925664271,0.041372685775821906,-0.019006552232461584
HEBP1,-0.035403168095314165,-0.04158276399030022,0.019298450884245043,-0.06199267277083606,-0.045794720346501276,0.030467760370740234,0.05101794028484894,-0.06837193740192528,-0.050182515686932355,0.028275373134088563,-0.03380843518041135,0.04372804916955816
WNT7B,-0.008209599482906015,-0.014775008297678829,-0.017715271697466516,0.014341352364353684,0.03851103437169736,0.03775886596606134,-0.023317123682549058,,-0.03405272784603938,0.0006853998750276211,-0.004951202929173379,-0.03988526979785769
PTMA,0.040210269788392955,0.06663387802981724,0.16566644957869775,0.0014524320730978056,0.03769291399318388,0.006696222501642749,0.052465863890977536,-0.11341700913657721,-0.07349568586077172,0.00781682751809778,-0.032488614451087854,0.03699692281783143
FASLG,,,,,,,,,,,,-0.022769386852667786
CEACAM1,0.0445644540532262,-0.01133893021155864,,-0.005239408845857961,0.05426818391320311,,,0.03593124616266502,0.20077729045250914,-0.016893068691097492,-0.014464089308812206,-0.0183313477176371
PDAP1,-0.021665273403099882,0.0035303710558941353,-0.023211910807413468,0.009978096261633183,0.01601837352160783,-0.004026815222846152,0.003841623270315921,0.07746534018798816,0.07753338231502495,0.02312626010298064,-0.030179217956460863,-0.003919372696886881
QDPR,0.008437614975933186,-0.059881790279884925,0.14112966312836958,-0.0028741362092761036,0.06293904880909706,-0.02000642105222944,0.004864980848336426,0.030756966072308333,-0.03575069717221077,0.005640070863309054,-0.031070755331834773,0.10016270863535695
POMC,0.027675618652635174,0.012151754443856024,,-0.03527750951588116,-0.03943870136007891,0.0025570548823993706,0.03270507680633764,0.08562569988594533,-0.02213892584792574,-0.0395744285567217,-0.023661350024990226,0.06441930498260592
CCL18,-0.02614912792704836,,,,,,,,-0.021652675632458034,0.01956565516059709,-0.04981064550336208,
