,UKF304
BMP1,-0.04514286641826333
NDP,0.0007210521681193668
RTN4,0.12674683464941766
HEBP1,-0.012066084430448088
PTMA,-0.12542710439910243
PDAP1,-0.0037876846471390506
QDPR,-0.10627469882634465
POMC,0.02808436080660263
CCL18,-0.016011662529958386
VEGFD,0.16399634092065965
WNT5A,0.054305372440539956
CXCL8,-0.052913440976350104
GRN,-0.0802335056894649
TAC1,0.09449753115674682
RARRES2,-0.09036874824156844
FGF7,0.03766526690517769
HBEGF,-0.0814911565488545
PCSK1N,0.1513238181251338
NTS,-0.020906575097366754
SFRP1,-0.04218255013798205
MICA,0.049355867703567036
ADA,-0.060835204074646355
LAMC3,-0.055187527970108875
NGF,0.08304253124376781
HMGB1,-0.007692238830394294
ITGB3BP,-0.07001742186544771
AANAT,0.007706101656819462
RELN,-0.018780258433586668
IL15,0.054461966439025226
BSG,0.10428330973733164
ADAMTS3,0.0034846819611065024
CD34,0.009044310425842726
PLAT,0.03856852854896035
CKLF,-0.03978292832548999
CD24,-0.04947109046359849
HSP90AA1,0.17153369727875464
BMP4,0.0867783447266861
SCGB3A1,-0.019264233477053607
IGFBP4,-0.07704072274999933
LEFTY2,-0.02090658886295933
ANGPTL2,-0.08152535281092854
LRIG2,-0.001199853122250523
ICOSLG,-0.010775791146249943
WIF1,-0.04789106515082934
NPPC,0.06272378399318002
LYZ,-0.08516292996290817
EREG,-0.02150677023268741
SPTAN1,0.14894876120657635
LIPC,0.00305897136562931
COL8A1,-0.08130097094320768
GSTM2,0.03084875450409081
SPX,0.0063437464377043605
MFGE8,0.057153150425310384
TGFA,-0.07216657207358507
SLIT2,-0.03881696000162552
PLTP,-0.1087709390113281
APOD,-0.07224327975595277
B2M,-0.12526737537654148
OMG,-0.05845282758243722
CXCL3,-0.030276043903922273
CXCL10,-0.02572639186145245
RSPO3,0.01776853165819223
CORT,0.07574805816294414
NCAN,0.051593914182820354
TGM2,0.028521223348593326
VEGFC,-0.02430255671964022
NRG4,-0.02707448622506375
COL9A1,-0.021208626775928538
GDF11,-0.04872150340768523
SORBS1,-0.03049246267158389
DLL1,-0.01967176533819595
TLN1,-0.07095268126572377
PON2,-0.08176328584548057
ICAM5,0.060879268583497834
SFRP2,-0.07840290405357987
CFC1,0.025896680491713578
HP,-0.03906195403199763
CXCL2,0.03244733099568339
CCK,0.14487536903116563
SEMA6A,-0.09780101843926371
IRAK4,0.020972720978435073
GSTP1,-0.05687591767831497
VCAM1,-0.023698114973768555
NXPH3,0.07864950037432675
MTMR4,0.020266638882227055
IL10,-0.07161612756301
SEMA4D,-0.11068121478416865
TRH,0.09434630523777292
SEMA6D,-0.03576878615812556
PDCD1LG2,-0.04925290339508897
SPINT1,-0.0011809732297087452
CTHRC1,-0.007421688486577166
PODXL,0.031708897508064764
JAM3,-0.08186837114602119
TGFB2,-0.038575690171531986
COL18A1,-0.024335185461017636
INHBB,-0.0262498085906558
ARF4,-0.007240706672695846
CXCL14,0.009499021695751198
LIF,-0.030057199134255235
ADAM28,-0.10742244451173491
TCN2,-0.020111286513312825
THPO,0.11816264137249816
CUBN,-0.02294367914250162
TIMP3,0.005575845843064798
PIGF,-0.00813976638870042
CRH,-0.025595856116133815
BDNF,0.006794633315400331
CCL5,-0.06257864760461675
GAD1,0.10297229083745493
COL14A1,-0.052626573379374327
HLA-A,-0.144814157422851
CD5L,-0.013822909435222547
ADM,-0.016955296940900682
GNAI2,-0.07556040314603547
COL11A1,-0.03779664984502201
NUCB2,0.027675641593698248
CXCL1,-0.04248218138656835
VCAN,-0.053149043757291826
MMP7,-0.018324387105435984
PTPN6,-0.010629963242796633
PTGS2,-0.01879818483259938
XCL1,-0.02403638201717386
CD58,-0.03445355440161254
TNFSF14,-0.05219446269800294
CNTN4,0.1618643018504781
MFNG,-0.06269265058716099
ICAM1,-0.0346505845503932
PROS1,-0.04031960585787533
CLCF1,-0.04214869079134172
PSAP,0.012999556793491043
EFEMP1,-0.12652470624680484
C1QTNF1,-0.012334515853443315
ALB,-0.06554065739331266
EFNA3,0.0740630944888174
DRAXIN,0.08294086986317448
NPTX2,-0.06438269646760424
FGF11,-0.0045153616149049645
CD59,-0.0740224052128844
COL9A2,-0.01220762393280815
DLL3,0.07069226385511695
FGF5,0.01245104698125251
LIN7C,0.03781505792682437
GDF7,0.05220263125074086
PSPN,-0.006673609333309498
ANGPT1,-0.03464137404723042
PNOC,0.08929375856762098
L1CAM,0.06196569596330147
APOA1,0.024330902505372398
PSEN1,-0.140721759144849
CALM2,0.16658970763983602
CLEC2B,0.0122108772763083
NTNG1,0.08283803598786488
LRIG1,-0.06613709600051224
CPAMD8,-0.03975637751122803
GHRL,-0.01965526835523297
NPY,-0.018119494478337786
MMP2,-0.008190830865201521
ALKAL2,-0.02563208388543378
CSF1,-0.08763780534435073
SEMA4C,-0.041597649131769054
ICAM2,-0.021687522889993795
SYTL3,-0.038529959268789785
IL1A,0.00921611962982635
PGF,0.009255647817126582
LGALS8,0.07148460311898684
DKK3,0.1766926291613074
COL16A1,-0.023800084429235664
TNC,-0.08232831038197533
TNFSF9,0.05855438462801071
C4A,-0.021208632369173374
CNTN2,-0.07412336408237372
LUM,-0.053783285098095025
BTC,-0.025847523261214016
APOC1,-0.1213362905590507
PKM,0.07488118417681627
TNF,-0.009974953209327347
GNAS,0.15537419727792876
BMP8B,-0.02599055856448937
CCL28,-0.0058265503742838095
PTPN11,-0.029853662985773917
ADAM12,-0.019888093183560544
EDN3,0.07405600912390357
CCL2,-0.061566506295935346
DSCAM,0.09903991438944033
ANG,0.04060874460978984
FBLN2,0.010414163407954357
VEGFA,-0.050833397627275144
F10,0.047258672606727295
SERPINA1,-0.07275051241019653
VWF,0.035508735785133014
VASP,-0.029671419638854175
ADAM15,-0.07807523808311465
WNT2,-0.02983699535840048
CALCB,-0.019974961570865042
OLFM2,0.022288690941417933
MFAP2,-0.023221248017591817
HLA-C,-0.11467668942716729
THBS1,-0.013252019894759895
HSPA4,0.07898572597874352
LMAN1,0.0034629740269262388
LYPD3,-0.02403637204356422
APOE,-0.15890471707581796
SOSTDC1,0.182228183420299
ANXA1,-0.06795632502603977
WNT2B,0.199045117299503
GDF10,-0.010778775522768761
EFNB3,0.0787072792264894
LTB,0.004612602666948771
ANGPT2,0.017087400158686886
ADAM17,-0.0418677239024813
LRPAP1,0.09031853382521166
NID1,-0.05237540946155878
MST1,-0.005117629517466681
DCN,-0.03127440777022893
COL7A1,0.012902471224278175
CALR,-0.08189597533035677
PIGA,0.0191177691528157
CD200,0.07647139894439815
GRP,-0.022091863184674765
CDH1,-0.03669349704181671
LPL,0.05214463402264342
SEMA5A,0.009210298447419626
SEMA7A,0.008415950833223728
SEMA4G,-0.04444442004289954
SEMA3B,-0.10794789398563967
RPH3A,0.1332031359904527
JAG2,0.04911774648352361
CGN,0.014884815114943556
GDF15,-0.04681359658306067
SEMA4F,0.10391661096782526
NXPH1,0.09926729247886483
ARF1,0.08438151958794583
EBI3,-0.020272245304649508
TIMP1,-0.09502686838658471
SEMA3C,0.0239422590704122
GAS6,-0.025868710543070782
MEPE,0.07526206966538697
SERPINE1,-0.054927526924723954
RSPO2,0.10079304004286699
SHBG,-0.020289924226457333
LGALS3BP,-0.11138802022059457
LAMB1,0.0668672371836522
SPTBN2,0.10616304108452909
COL1A2,-0.049329394557305145
LGALS1,-0.13467666652714594
BCAN,0.06109870168913541
ANOS1,-0.010137154586339075
EDA,0.08438186082080082
FGF22,-0.030293129991508485
SHANK1,-0.03321024496392452
TGFB1,-0.04519386061784983
WNT4,0.022481993111214096
TNFSF4,-0.03381106807983359
NTN1,-0.008232894698988165
CXCL12,-0.05333812304083234
GNRH1,-0.023221247870569683
RIMS1,0.04966422210344235
FGF14,0.10689930574684955
IGF1,-0.02621495878066597
TNFSF10,0.004307150409338219
GDF5,-0.03027602879482976
RGMA,-0.07788019191484405
WNT16,0.002178107635394192
CX3CL1,0.06770787162885254
FGF1,-0.09856093201919719
ALOX5AP,-0.10608090124377574
IL1RN,-0.041306261315659565
CXCL9,-0.02090658886295933
ANGPTL4,-0.03953455961107072
NRG3,0.12202507014410043
COLQ,0.03532287927773372
TNFSF12,0.008328348023224613
DKK2,0.06733200855226922
FYN,0.0013184849816941678
ACE,-0.04661401795540737
IL18,-0.033753965703050705
CCL27,0.03936363332926779
SERPING1,-0.1367191553177377
AZGP1,-0.034864835486075725
INHA,-0.03537207639558815
SEMA3G,-0.02894174103409
COL6A1,0.014054523538956072
FGF17,-0.03687916931373793
FGF20,-0.03743179914729946
ICAM3,-0.015641880020554052
LAMA4,-0.02387922616485516
DLL4,-0.029167775098543833
SEMA3A,0.10631617667718117
RLN2,-0.027074517092846667
C5,-0.02904149889298334
C1QA,-0.10663061418540205
COL9A3,-0.029601536794856845
HGF,-0.06655592957144824
P4HB,-0.03418508877594182
ADCYAP1,0.0475225577841763
GREM1,-0.04522807256179313
EGF,0.025384937703036833
VEGFB,-0.0407871903987997
FARP2,0.040093715040153174
BMP3,0.09680065029378875
LAMA2,-0.05393503957753756
NRG1,0.1336931663639401
EFEMP2,-0.0696807525638042
SELPLG,-0.035207151972860506
HLA-E,-0.11436247358633497
PTN,-0.11198762293515517
CD274,0.03395722936708142
CD14,-0.13673601225493015
SLIT1,0.11842984844488723
CNTF,-0.036693512115085904
BST1,-0.020648541800236238
AGTRAP,-0.09017404798622289
LAMC1,0.045334140153900124
COL6A3,-0.03931673129813471
FN1,-0.08675709531052724
MIF,0.06468946294889857
JAG1,-0.01096320070144188
NID2,-0.04665826436717332
EFNB1,0.10560050368935481
COL4A2,-0.06254765955501644
SPP1,-0.13861475559781086
PODXL2,0.004349475014245154
FGF9,0.007830184690746174
ITIH2,0.06697168077495104
ADAM10,-0.02006574687153132
CFH,0.03392314053663685
COL4A5,-0.03068619299700298
LTBP3,-0.007484025493244236
GNB3,0.1154738786014374
COL6A2,-0.07212189243646293
NCAM1,-0.05054332064881757
APOC2,-0.036602233064387285
BST2,-0.023577434607448433
COL5A1,-0.024271147399884705
CALM3,0.14859884657379635
THBS2,-0.018314383606676747
SERPINE2,0.04992902796375044
EFNB2,0.026551812320370276
MMP9,-0.03198058855791959
NPPA,-0.021208625337666296
NTNG2,-0.007657741121626573
LAMA1,0.15950623768398198
UCN,-0.03479339997562368
ARTN,0.01256892192627517
PDGFD,-0.025847525663587903
EDN1,0.04462361882939965
ARPC5,-0.07867758041929143
GSTO1,-0.02673056742453729
SYK,0.0017780830253297088
ST6GAL1,-0.05217762803606982
WNT3,0.1098206200082159
HSP90B1,0.015347283384295876
ZP3,-0.024566112630347418
NRG2,0.0725333299578059
MELTF,0.0712386650013064
NLGN1,0.06037374978633999
SLIT3,0.06430101660056094
CCL8,0.05298588213702519
S100A4,0.0138529386928579
TNFSF13B,-0.0897412126471306
HSPG2,-0.07020553130485672
FAM3C,0.15490620199290062
FLT3LG,-0.05738315624915912
A2M,-0.1411960105197524
VCL,0.017193197247337755
FGF2,-0.00449235012088931
AGRP,-0.02060040461084004
CNTN3,0.10406439121658699
RNASE2,-0.03360295687321935
GAL,0.07509416514293604
CXCL6,-0.025341945800398342
PDGFC,0.093331661526702
COL8A2,-0.04702466859024802
SPON2,-0.04102572097460819
SEMA3D,0.07337779783781186
TIMP2,-0.13289958433510762
EFNA1,-0.101677927987844
TFPI,-0.061005234193521836
GPC3,-0.022091856567097078
NMU,0.06855975378904063
LAMB3,-0.012798523658997828
LGALS9,-0.12923359740668172
VIM,-0.11406022936104424
PLAU,-0.0827561084400098
TGFB3,0.015268821710048884
APLN,0.01607886056094336
SHANK2,0.1511457258892207
LTF,-0.11831529632087524
PENK,-0.003957474624774693
CTF1,0.01909812228575864
COL3A1,-0.016613685042552808
S100A10,-0.08410273821226995
FGF13,0.14039872946188686
SEMA4A,0.001439870977266084
EFNA4,-0.02224452078897672
HSPA8,0.07384083647331656
NPB,0.005290550182177452
SEMA3E,0.009661562915579812
ADAM9,-0.026990814097200253
ASIP,-0.021686728922521773
IBSP,-0.05251887596296121
FAT4,0.03941290322872012
MDK,-0.07878831845773585
HSPA1A,-0.006221071519250873
SEMA3F,-0.050737420725832115
ARF6,0.02239144967391026
IL6,-0.05779172173037211
CALM1,0.1609986093435321
VIP,0.09542804523349717
NMB,0.0009637247569748637
FBLN1,-0.0184103489046182
SAA1,-0.06166329278620799
MICB,-0.03833884600588682
