,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.045321119871299734,,,,,,,,,,,,-0.00870613054934749,,,0.06081044030452435,,
BMP1,-0.0011379351769780328,0.03966801622614439,0.09549866962275734,0.033880848061984395,0.010804918161063957,-0.0001435024361252695,0.028262188123204964,0.20904403829138787,0.25303494849044483,0.04831108819788895,0.02693749771434519,0.1240657832900256,0.14819865783223943,0.11935735784130685,0.035775879451504754,0.10082340700759193,0.06580541046936955,0.17464923548168204,0.04371714616466022,0.027168897169155003,0.07409447002957383,0.027140837448821932,0.05621680984466641,0.12262975829324287,0.11277121472131543,0.01115208118698236
NDP,0.032963249961542596,0.11767546945386483,-0.07333419856134778,0.07829684104764965,0.09144947154873913,-0.04458740467689222,0.08355192639312504,0.03061919166741685,0.07411933869607291,-0.02747113311870834,-0.0326119693401675,0.09481028615359628,0.062009886880878086,0.08233745558100185,0.06808565738156193,0.017606089635931705,-0.03782534161734172,0.052617566362610155,0.05890801654935386,0.17493278218649433,0.03229729592590566,0.02461979381514829,0.05502537282653268,0.07877845331805529,0.018095893288432058,0.017400419063255523
TNFSF18,0.003271721900040226,-0.013598975149449893,-0.024102530705187013,-0.026929918852453015,,,,0.04449847196781267,0.17987121381068127,-0.03818695898033407,,,,,0.04623805946923137,,0.10087548753443999,,,,-0.03119286575020402,,-0.03947956897713515,0.049017341224152494,0.04642665611990171,
IL36G,,,,,,,,,,,,,,0.027418593988614275,,,,,,,,,,,,
RTN4,-0.11004223397885765,-0.0805241431537739,0.02858381576009972,0.011275231392940675,0.016460247832035337,-0.0008259642546062276,0.057522070151478345,-0.2717201296276827,-0.3385239942692869,-0.09779695877352201,-0.02723333205977396,-0.23995860845795028,-0.09648702368130019,-0.14797747568936706,-0.06536320530919498,0.014469638555907223,-0.13765496444088027,-0.03495633559574809,-0.027345098739755266,-0.07599749143664267,-0.13229091170313423,-0.031396711087040174,0.019272971060496965,0.0019891531201791973,-0.19651010878314548,0.018153238746231096
HEBP1,-0.013326477867986027,0.007237869051040419,-0.030598956295257777,0.004803942718863167,0.033529150009545455,0.04255043260753917,0.03613690751688167,0.12070682695596849,0.11373003557744832,-0.03931641640166829,0.014934190743951805,0.1565026896192332,0.009425807422903174,0.05086971781355295,0.125058833964774,0.05005191397136392,0.031818147298207894,0.03193663955018537,0.05673051052443834,0.1402577678003501,0.0634019898383364,0.018598994910348107,-0.02511336155290919,0.11305414185003308,0.04916199994785987,-0.016133678578867293
WNT7B,0.013260862188609359,0.05389577606564004,-0.04114960059195052,-0.048130037326939004,-0.013908582517255769,0.05090406923129727,0.006214730274374144,0.021470988286383202,-0.1169257241079289,0.025666608228936055,-0.01036240524463001,,0.042307705757953756,-0.055782464084768536,0.10186524862723245,-0.04268815798219426,,0.0019860949736701787,0.016020478220153508,0.01830667695799141,0.008591276987917906,-0.03443952880141612,-0.03947952803978781,0.0075152412919599525,-0.021117545247470573,-0.05239115759275345
PTMA,-0.0005830799555737943,-0.11483468979500079,0.023132747740701582,0.012722306766443134,-0.006514718317261884,0.04148981356683004,-0.0480037501692331,0.33900986357638746,-0.15248519265103944,-0.012057412085067238,0.015794311713984672,0.30560923757680536,0.17837022189175042,0.08065706765925491,-0.016665394347143384,0.002145368155849356,0.04336010309215551,-0.11931757208632864,-0.07984223887584505,-0.035016026415024444,-0.03215715850679026,0.08858814464312968,0.00683993229411228,-0.021303341220147258,0.034660766206566274,0.10820271138340248
FASLG,-0.03663660608127227,,,,,,,,,,,,,,,,,,,,,,,0.0027383114178421977,,
CEACAM1,0.009472421736361415,,0.01294402744561085,-0.015984395027139612,,-0.019831216661961283,-0.008032019660932425,,0.10329999476389655,-0.01869029407681825,,,,,,-0.031525259818536315,0.13031991038241322,0.04978404176925905,-0.05012365681998457,-0.010448830079947733,-0.009358623080560438,-0.020007228095929138,,-0.011256029652836947,,
PDAP1,0.10305723111513725,0.042294699369980995,-0.03031973130972225,-0.04779429810190549,0.04458398555938062,0.06852832271665316,0.001114741296096762,0.11906505347874329,0.22845630632612685,0.028536483826465692,0.012100272489889144,0.049329088498841336,0.16728066959028845,0.05519062386558256,0.04805552771435873,-0.13085930300949156,0.050495496012961855,-0.0011518913470009021,-0.05237346885326586,-0.08697061691665602,-0.02053210538884927,0.021001905486154448,-0.014017208505302426,-0.03591953551976218,0.043482330831724265,-0.03136376447880506
QDPR,-0.013947385937087971,0.11249271119676009,-0.0435843264597306,0.013227758193847958,-0.06653810160640278,-0.046297957590850654,0.03903706572800154,-0.10888751394916248,-0.23023321361538032,-0.041094948180194005,-0.05612562221931264,0.29979519360650586,0.0781842964059724,-0.017048341683733773,-0.0174782171149611,-0.1274907174575492,-0.018144714638804776,-0.18165107613729872,-0.00625726870323619,0.04386918364749278,-0.03496815988919559,0.011229786309451577,0.10452731311841441,0.008291771534278463,-0.08546650102204655,-0.03265940537232964
