,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05926698540067148,,,,,,,,,,,,0.014760193203823498,,,-0.06190376682267445,,
BMP1,0.055601401070110676,0.07948854074470382,0.022940920133269715,0.058128786088997075,0.0602461094130147,0.03740839393242152,0.007008872075515746,0.011787953557479731,0.2564077671807326,-0.02094165614100288,0.01768126562903172,-0.05581238542106474,0.09686317067436155,0.07932294070578738,0.05400251568746268,0.0929936571453286,-0.10808256535738434,0.18499553530929155,-0.0024268831558291654,0.01912080290974944,0.13806756284650887,-0.05293300180684125,0.05131876591083198,0.06393946953437214,0.023263188231601898,-0.02826106248279741
NDP,0.06825771984104892,0.1375982670570238,0.045815958256057034,0.04040512217039853,0.07429270503530695,0.07374385709320816,-0.023128905448410623,0.020384911644349184,0.07300734725598283,0.07803861898508054,0.00872902084474178,-0.0063896641878742645,-0.0013054701727210094,0.07880631336006472,0.06921594170157494,0.06650537003103596,-0.10669537605651269,0.11308951041806412,0.1478401860787938,0.10608117673709995,0.02314880973093478,-0.06609484957395428,0.03456524280770127,0.23880679711493327,0.052934351212100765,0.044113824774686033
TNFSF18,0.03991424759744915,0.066076794451811,0.01165852657009546,0.019630286487365662,,,,-0.01331442764061308,0.062154964576633734,-0.033034379077233146,,,,,-0.01652499845915533,,-0.020059856586668968,,,,0.01706821554386874,,0.018688833756351685,0.030127652161083544,0.03476299846500508,
IL36G,,,,,,,,,,,,,,0.0014030716704914205,,,,,,,,,,,,
RTN4,-0.06365323154192257,-0.10937638333139534,0.011582056804958689,-0.041476870721312474,0.09844911594279274,0.06397862151318719,-0.012057325408549787,0.007264833352577272,-0.3220176435621788,0.06995858547366626,-0.06250352726472141,0.17006346071812864,0.014990393225529924,-0.04705394775362637,0.03010553885216867,-0.0715162436536375,0.07552672682308975,-0.19995391472295942,0.0006071655831190958,0.026372607258430242,-0.08242290383023454,0.11153399150743702,-0.15400704672297233,-0.022445345035038575,0.009826354512304354,0.06662471553216592
HEBP1,0.05999499010322274,0.10556527834842228,0.08354888152055814,0.015075750150577398,0.01778382210298305,0.002133247870496587,-0.008820780756406162,0.0030902882551517834,0.18031907671942668,0.020667471687358784,-0.014450359225660937,0.0372756422360559,0.08521325066787136,-0.018627769578781983,0.009800136766592672,-0.0028904202290876294,-0.05282125989363648,0.026377937110916815,0.08827171454169462,-0.002686733347373391,0.008943871226035651,0.03230104604789453,0.1036136615248644,0.1737990288058376,0.04611970538584643,-0.013634001932026895
WNT7B,0.0032417513693685086,-0.02247426382569571,0.023928839441550265,-0.034366786989818494,-0.03210869394888828,0.015454877335204415,0.0210847723275762,0.10962889333523754,-0.025361482621199142,-0.0017114367826903802,0.008564140076266321,,0.07410246370925819,-0.014273530941771605,0.017193667444419008,-0.08517086470634154,,-0.007376104309159402,0.03341130584133798,-0.003820861217036589,-0.004599141169837488,-0.0037548498752716943,0.0312962930294262,0.03902378576175498,0.08329355090638459,0.18239197453001157
PTMA,-0.016059269416631487,-0.15423463589485814,-0.12311827526818,0.12711886614435242,0.036693352078783964,-0.006569917314310266,0.041363784798140776,0.03406670960873685,-0.10577773002951872,-0.024160957316887877,0.059474977224765184,-0.09033939440184945,0.17641374057053952,0.05621293500041063,0.06321279564742475,0.03531740973054872,0.10312407498319186,-0.2156288848991771,-0.1100989471852022,-0.03117898224735085,-0.11230972529058761,0.010803877774544168,-0.0613072026246376,-0.16882388724224331,-0.044596552886172654,-0.030787300746500722
FASLG,0.06263605417560628,,,,,,,,,,,,,,,,,,,,,,,0.0495488153340522,,
