,UKF266,UKF269
IGFL3,,-0.019381224491759944
BMP1,-0.03730904792031047,-0.1503605625190085
NDP,0.011096880560884688,-0.10114437191355631
TNFSF18,-0.013291559293780224,-0.02878053652996009
RTN4,0.08725052848241262,0.21314326648220996
HEBP1,-0.0723981224458014,-0.0618462423855152
WNT7B,0.07549371422694176,0.27556073447371116
PTMA,-0.1005082245382465,0.07016171079565854
CEACAM1,,-0.0378735468566354
PDAP1,-0.05960816508296326,-0.07192706066004302
QDPR,-0.0028747747033921246,0.021472261338872957
POMC,-0.035065814197063866,-0.003659923316689938
VEGFD,,-0.03246874991631925
TNFSF13,-0.01289003973928583,
WNT5A,-0.08316560824874226,-0.08037965459333937
CXCL8,-0.018335245492041033,-0.04160244005452727
GRN,-0.03608497777986705,-0.1220800906148703
MIA,0.04250811208619475,-0.05536425651879199
COL4A4,-0.012264303324614383,-0.019098758162002318
TAC1,0.03089337968764897,0.21969961281445216
RARRES2,-0.046841595241163075,-0.1728973257856516
FGF7,0.04471133492502651,-0.0045428188523022155
HBEGF,-0.06428409412649073,-0.09559399144736246
CSF3,,-0.02020611852995205
PI3,,-0.02275235615662372
PCSK1N,0.05316296643766598,0.10844204305128884
NTS,0.03498868253262063,-0.02483575029488627
SFRP1,-0.045566401780605094,-0.020928610583526158
MICA,-0.03177840786321057,-0.019192174296957746
TG,-0.017281551490904337,0.04014255958277795
ADA,-0.03376120837879934,-0.10423868660476576
LAMC3,-0.026009887937583753,-0.023900163215879084
NGF,-0.016491235328629433,
TNFSF15,-0.020023975112900636,
HMGB1,-0.016358100651089343,-0.14429733451905882
ITGB3BP,-0.07088397143807702,-0.12552510824067742
AANAT,,0.1118899402906388
RELN,0.10115327969921578,0.11153914938433422
IL15,-0.014248248704393974,-0.047542049833228246
UTS2,,-0.06012262701648112
BSG,-0.012303277453674365,0.09361049049744129
ADAMTS3,-0.022949806823835267,-0.12664172618922634
CD34,0.024701893137068404,-0.060964910579354215
CCL23,,-0.020738824740182606
PLAT,-0.11003200589514246,-0.14997549498679438
CKLF,-0.08977900332099058,-0.16095982861266364
CD24,-0.12067449317261611,-0.0038035288025735927
HSP90AA1,0.04464070736824785,0.1632858405972103
BMP4,0.012747517616287356,0.11779224525734804
SCGB3A1,-0.018188141470153768,
IGFBP4,-0.046589508907825025,-0.11634293892963452
LEFTY2,-0.04084166667368801,-0.1039160680452952
ANGPTL2,-0.032979742016183373,-0.1150754349190634
LRIG2,-0.03415061905408541,-0.04263111619297057
ICOSLG,-0.028865769354724714,-0.02444912934691277
WIF1,0.11139027974168517,0.23755997630489817
NPPC,0.02259626622657675,-0.014833572686686555
LYZ,0.07373600604602237,-0.11193261750018119
SPTAN1,0.06328933427741529,0.08915618444192265
LIPC,0.1330923378788214,-0.03848859176695419
COL8A1,-0.04490917597557149,-0.04922972951462072
GSTM2,-0.012048812843459773,0.027539832015457663
SPX,-0.016972362539470997,0.0633295945452695
MFGE8,-0.009979539940700206,-0.02881182179058724
TGFA,-0.022406567447867537,-0.06548445925297729
SLIT2,-0.005873900328478779,0.05830889038498919
PLTP,-0.010748477388215051,-0.16135235029292466
APOD,0.007694146307293376,-0.1630337039809137
B2M,-0.035556578396515354,-0.2202432912959619
OMG,0.035959811377146024,-0.017228894742048813
CXCL3,,0.026582397851439465
CXCL10,-0.019475741823568957,-0.14371150200744873
RSPO3,-0.02990846755950453,0.25766640540020597
CORT,-0.03278088290680164,0.20158013591607993
NCAN,-0.052267073366753965,-0.09978913275612325
PRG4,,-0.025926492139311967
ZG16B,,0.0697456872761605
TGM2,0.033167193798154436,-0.014587639307482544
VEGFC,0.012049682240713355,-0.034182452070557985
WNT6,-0.014614312973762752,-0.00940950750672176
NRG4,0.0668818890235605,-0.032293090691103
COL9A1,-0.07775307103215548,0.025472924893857135
GDF11,-0.035791664850567506,-0.069879343016155
SORBS1,-0.02979375046075668,-0.04900132675256195
DLL1,-0.044508177939431764,-0.062189660746022404
TLN1,-0.039223989745737445,-0.16862102937525697
COL2A1,-0.015832789315712616,-0.023930486375679332
SHH,0.02655055481207143,0.06270751491731051
PON2,-0.05563640335980678,-0.200423692710469
ICAM5,0.09986548074228303,0.1604505466218585
HPX,-0.014614313959601305,-0.03484777380708528
SFRP2,-0.02304547637743775,0.042046157725201164
CFC1,-0.024694614096795867,
HP,,-0.07119343216604666
CXCL2,-0.02258705488694101,-0.014649554008198883
CCK,0.12899671261776785,0.1702017073939017
SEMA6A,0.06424693984618345,-0.16935282067947927
IRAK4,-0.048261397705299046,-0.09708258076252894
GSTP1,-0.07836541523988334,-0.1870897325521734
VCAM1,-0.031515119946254964,-0.13671621317557697
NXPH3,-0.05956649416261706,-0.07045519864704596
MTMR4,0.050233691375703986,-0.06946704669730756
LAMC2,-0.020023973144875553,
IL10,,-0.005072815983079248
SEMA4D,-0.07178385340580516,0.07011609033529545
TRH,-0.027393180450461175,0.003271876118729676
SEMA6D,-0.08847652071738595,-0.06634782132761194
PDCD1LG2,0.1683958477097993,0.054908482990216514
SPINT1,-0.01818814702754581,-0.05967956902326292
CTHRC1,-0.08344411749398212,-0.07854504756193681
PODXL,-0.05675119789988422,-0.12615981272950194
JAM3,-0.027795088736109985,-0.1731584633251426
TGFB2,-0.0066974036298666885,-0.13377505360271483
COL18A1,-0.03494222358794953,-0.08708034192106906
NODAL,-0.039351105734214416,-0.06306504193074446
INHBB,0.05462829264503897,-0.08518213932191021
LCN1,,0.0549469119558
ARF4,0.045805248629704205,0.013647991584017099
CXCL14,0.08322986847781634,0.17722341979468148
LIF,-0.01774015347386003,-0.026555154014130666
IL17B,,-0.034682455878315845
MATN1,-0.017126180541547714,-0.022017481083378643
ADAM28,0.030489357078098675,-0.04389230492001065
TCN2,-0.028357005665904784,-0.11215783578309219
THPO,-0.02435417547821155,-0.014008596142676329
CUBN,-0.017689351745220076,-0.05360108566823602
TIMP3,0.031296718092390284,-0.11452550899909772
PIGF,-0.019844286256338113,-0.1894312054041753
CRH,-0.014432374303913517,0.0749206798021479
BDNF,0.05135716789136569,0.2797481078718445
CCL5,-0.002969066410132986,-0.047671063179906534
GAD1,0.040964339644017314,0.21881701302781856
COL14A1,-0.02234239542326007,-0.03725347753507719
HLA-A,-0.06148399269088344,-0.16920216049397077
FGF18,-0.02002397022798229,
ADM,0.03198684331118787,-0.030209032586332285
GNAI2,-0.052619049318428604,-0.21489799049453664
HDC,,-0.06873437325426981
COL11A1,-0.09070450348932467,0.0492915349367501
NUCB2,-0.02664793201527427,-0.0034812457366076703
CXCL1,,-0.012957618176869776
VCAN,-0.07882051554884226,-0.13470317509040097
