,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.007284089503976967,,,,,,,,,0.15109106750388035,,,-0.0034555389592225883,,
BMP1,0.0002556258662921892,-0.004873700932862222,0.00638512832857203,-0.04960266232629758,-0.005124818570504719,0.0536001100493155,0.04373678023441821,0.11663888798389122,0.01512412063101434,0.047603836759609136,-0.032873812798049296,-0.019318649558319485,-0.06394765288024405,0.06454539088879009,0.027232514500715614,0.06344077268826774,-0.05555922722993571,0.012398747488556185,0.056606479239724394,0.07041981533024128,0.01029263503564915,0.1866014565259205
NDP,-0.05763878828129463,0.006701399724822102,0.01775917421839984,-0.034731081211948546,0.010660173781466255,0.06363200183761661,-0.00650764262647795,0.03054572250229513,-0.05368300250222183,0.01627751014974401,-0.019546761512212626,-0.0178169861529379,0.016029830801417847,0.029665520110064687,0.04805686089388218,0.04999614145694102,0.0013291885894432826,0.029658960179313822,-0.07761963792358284,0.06797102186075688,0.05478440498889386,0.04885874054724105
TNFSF18,-0.03082275255069718,-0.024554102480744962,0.011779751848371784,,,,-0.023967937205268273,0.1438828303931252,-0.0024141188867938083,,,,-0.006100288965816429,,,,-0.021367655194654472,,-0.031641986508550775,0.009511533182465172,-0.03811427884128152,
IL36G,,,,,,,,,,,,-0.020812444481641868,,,,,,,,,,
RTN4,0.07720320939301721,0.04294987521541716,0.02423459173138702,-0.047413300554140336,0.0004506912182856779,0.025580048568205564,-0.07013875195292865,-0.10385944099039877,-0.044126899367798754,-0.032176296045315696,0.0759818955906225,-0.001320067569016986,0.05627952040069934,0.030615553971029223,0.054759877636009216,-0.07346341594683531,0.018033895071185864,0.04497069501065304,0.009588802100330309,-0.03209927248583861,0.031780832662736354,0.09619463272765928
HEBP1,0.038093956386834896,0.05714267040647069,0.04757591605187145,0.026158333782120364,-0.03239326305927476,0.0495458309382399,-0.010341047173995163,0.04193323606157953,0.0027882260883814883,0.006023776159113875,0.018061245418644775,-0.013555858453311417,0.03362175181598309,-0.008553042506052386,0.05933245789354201,0.03263725678286874,0.02552196230802597,0.03148098491619033,0.053077372199450565,0.03849331379441028,0.007497468940043632,0.05268543657617089
WNT7B,0.12128614353018935,-0.036858484941890104,-0.01622349931458899,0.05889279263364111,0.010253916892323871,0.007059213212677574,0.03819209433933083,-0.02734546269467522,-0.027415554100174357,-0.020809836923568845,,-0.02287527494055318,,-0.03093602627052985,-0.021572726062343766,0.005195734777476126,0.03908249487559811,0.013706803249779308,-0.0316419536981877,0.048264765261530326,0.030228173702982048,0.009932935673507995
PTMA,-0.03597569023098474,-0.020215882957417795,0.024932229666183386,-0.07166563394401171,-0.008084259369203813,0.04729891526521284,0.08193186689176148,-0.09208327924973456,-0.0728333327209656,-0.01241168406393311,-0.04189661980178403,-0.022481264109324404,-0.053109603234378716,-0.06521743975400549,-0.08956097456661334,-0.097567404604585,0.06339464059889748,0.05565397015372155,-0.03288714830126392,-0.02013218430930426,-0.042943339900410625,-0.010707409523840961
FASLG,,,,,,,,,,,,,,,,,,,,-0.019099854625545448,,
CEACAM1,,0.024585059413925553,0.06862941409910375,,-0.006764069071146859,-0.0032747373557163915,,0.07819143281263297,0.06006687487205743,,,,0.11094910410167236,0.02253922575424755,-0.028267208193829593,-0.023491956692479485,-0.0307030897013222,0.04980332408165288,,-0.026574642453420925,,
PDAP1,0.004310875961056589,0.06726606838640567,0.0061493187571494195,0.0869670561552423,0.01622110687955243,0.002556101756011588,0.04326399672797252,0.08925630280404316,0.05661097372503143,0.013258406068584912,0.06809267450680134,0.006459970433282416,-0.015005317225534338,-0.053997880636461965,-0.003358097463781202,-0.01902358561297248,-0.008854869606976816,0.02403204391097079,0.09634838801415635,0.05534588048974393,-0.04923280019853708,-0.11609492907514536
QDPR,0.04336695688098995,-0.009041085944263016,0.020760654930602862,-0.03865157158423298,0.0034416156294139917,0.04191934121266808,-0.016284561823803893,-0.14534180811989347,-0.003392028903363469,0.016911902094140775,-0.07739583836214381,0.06458239751066934,0.06522245366802355,-0.04201001030228964,0.00911280250039711,0.04992099972833885,-0.0028640014752526356,-0.005117204164524715,0.049223459785172084,0.05782810110070378,0.08509896816823254,0.019037286591420125
POMC,0.023514921770138603,0.10099022180010636,0.045875271020465264,,0.03113879081060471,0.020468904223022128,-0.050576686327557775,0.0011646285316052121,0.03359365097441752,0.05355617480471587,0.005411842076278207,-0.027751066013099283,-0.06456075255180009,-0.042989128008774205,-0.001200256435916427,0.05612921152282063,-0.01160502913900203,0.018868966458070048,,0.023257666963387675,0.020093127692935527,0.08394075711802974
CCL18,-0.041335845547474076,-0.032996379047935946,,,,,,,,,-0.010486364651481287,,,-0.019670898179479982,0.07679489083194344,-0.014137541466064697,,0.06574127514150233,,,,
