,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.076617808327521,,,,,,,,,,,,-0.0012564970130051528,,,0.09638381880268143,,
BMP1,0.055923713781156015,0.15768807778939709,0.30404918666847275,0.01587585528274032,0.24443077329179624,0.016743168658360234,0.07509767454425889,-0.2168998705762395,-0.308047686655895,-0.07735280502360782,-0.058170984529736104,-0.1996851049572818,0.19511902432253536,-0.0988936492567941,0.19038259617826347,0.19278375649090557,-0.041903186587244484,0.2495421405675077,-0.04122483350064312,-0.08596968948475636,0.08129905999425056,-0.08926335119962035,-0.07545399113181336,0.06542327421431782,-0.051600063873552794,0.01378536895764093
NDP,0.027071093182423758,0.18117730732657034,0.15963946269861135,0.05890757883729863,0.10285995585338653,0.02803085077775593,0.13100213458316382,0.03703330313267759,-0.1269394454412667,0.09386936439148631,-0.0518580614260729,-0.12894992947524914,0.2040346763333704,-0.02185776251136001,0.12910524126862216,0.23845511893330618,-0.030165944174623986,0.10125025484684318,0.0336834936886025,0.20450216337752794,0.03476558850863562,0.0795619713579746,0.019867306947716656,0.17737378806732906,0.07942603697557471,-0.026756807834996937
TNFSF18,-0.033479028599151,-0.013752178169128012,0.08631031150734757,0.02454154232372068,,,,-0.07216826586416014,-0.05154377392272635,0.03344722088536964,,,,,0.14087702009563735,,0.03303639119622238,,,,0.04653320721920508,,0.038383652558152494,0.026072645930955998,-0.10107541454179424,
IL36G,,,,,,,,,,,,,,-0.04057100864394829,,,,,,,,,,,,
RTN4,-0.16718813002515556,0.04677735458966469,0.08856724491116341,-0.011176230880020841,-0.043477696932197635,0.03591430287721203,0.08709743160213675,0.5503799008957351,0.44151617025158263,0.20973150102132462,0.22928868971012528,0.5512433027975142,-0.21487864050601077,0.19878105486954273,-0.16123090432099998,0.06049531615334693,0.10371872916234277,-0.1936506075977189,-0.10468957392064292,-0.06499922170101256,-0.03651008251011174,0.12178821548548008,0.03792273833180367,-0.038056423521596675,0.26249753459349373,-0.017274835597473375
HEBP1,-0.03000626684387033,0.012464337122896203,0.14106390228547397,-0.009535405861113636,0.03566736947486809,0.012306062478849585,-0.009443699516848772,-0.1573791460687856,-0.17213809362331098,0.026574638807269214,-0.04209540974635667,-0.23906422888724174,-0.07121003513864603,-0.020500067627313948,-0.02355300481241814,-0.07512288838203257,-0.060349349320008384,0.03202731961219467,0.1257894688116667,0.12543457729238677,0.0007812998361263359,0.022505245359442705,0.06286866436166665,0.13095189948293756,0.003213686557104832,-0.07274885024054373
WNT7B,-0.05286608035089971,0.14639303217977306,0.009742151151258139,-0.03734873338574094,0.03805348391490022,-0.09223285272810046,0.07823367599722537,0.1205007096104457,0.3592020119702788,0.003876707257702555,0.08947729733826192,,0.027451961176156503,-0.01745058818916059,0.012704622431851125,-0.04579866552657514,,0.0008497045196232473,0.0009711094879210172,0.07414162103731906,0.023008844438999018,-0.014678088228338809,-0.07935570716497092,-0.036366951184109576,-0.020770144231495667,0.013317192871982644
PTMA,-0.07745227004304724,-0.33499293387169293,0.22623302797599149,0.05671047492337578,0.08708679807123453,-0.020906384187133538,-0.1207877868849408,-0.5545788407425875,-0.09323868896542459,0.05964314517633911,-0.19954948214015114,-0.6452941611027285,0.3119012878057584,-0.16884955175084906,-0.10156193621848215,-0.010993617353815705,-0.11749317556416024,-0.33194022288440556,0.03582934695760679,-0.039445149460991376,0.04142323951924818,0.0008244361576511853,-0.06648319448783233,-0.1852213896915829,-0.26215788546244917,-0.2153186636107441
FASLG,-0.02243974100214271,,,,,,,,,,,,,,,,,,,,,,,-0.007428256116934985,,
