,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.08112147890620951,,,,,,,,,,,,-0.04107458789341556,,,0.00502956782330812,,
BMP1,-0.03193658204868641,0.06705026181307637,0.08625816284028186,-0.0028740597119711704,0.08475520363914926,0.05127895365360963,0.03216752985751228,0.17165834909340044,0.42166799257324045,0.02917069735096291,-0.033562270834875015,0.175594194059593,0.11007841330137241,0.17154000283626972,0.04844050590531695,0.1614005377621147,0.00011682664505789101,0.07790204348693412,0.10444026156908076,0.06209715257169678,0.01370078824703812,0.08417420323513282,0.04211487370129525,0.06051665135712293,0.013711850626195104,-0.019964722778046843
NDP,0.016187549623498186,0.1049527350317497,0.048001708089450444,-0.041612735822418326,0.16217156171574246,-0.0061399799225510775,-0.008310935868044779,0.027332826345749264,0.04444204559578708,0.07589041381256047,0.0403415239115429,0.078138670380304,0.09103101074952932,0.13076529834810077,0.08190129190462349,0.058203534272108386,-0.02305113894188347,0.052668959013482154,0.07268979613685682,0.04444758931203206,0.09569080566247716,-0.045348256622227044,0.12746882364882575,0.01747287037621595,-0.08116907667215854,0.10763377152069635
TNFSF18,-0.04815403680790171,0.019364749899074437,0.01470899004593388,0.0007935096277492773,,,,0.061327078621911134,0.10154669058510507,-0.03571651635702454,,,,,-0.035650232797647646,,-0.06199235226809554,,,,0.03589486389916254,,0.053983174181736336,0.024403670270994958,0.049236334789139524,
IL36G,,,,,,,,,,,,,,-0.007235456139699856,,,,,,,,,,,,
RTN4,-0.032686102082627226,0.030148311764147655,0.10696136284407716,-0.0683199849806524,0.10202194797645735,-0.05114023140561567,-0.012049930509164015,-0.18612084306440724,-0.4186294953813194,-0.04021593125336716,-0.024329488641780393,-0.2616119023260516,-0.06077475303910603,-0.14216618666297423,0.19200411519856786,0.0231034948759769,0.08464783561512854,0.005411215781646358,-0.018991055852078186,0.0004528851520945713,-0.06462237591693398,-0.13807218575888922,-0.039446111632364105,-0.09284473582020002,0.15315232432458598,-0.03936617631867524
HEBP1,-0.03507429030510771,0.043512056504961656,0.12499636217082578,-0.02373465747073219,0.013174546499994482,-0.006377456862892782,0.03097790584376036,0.06307250442550501,0.19638065356252168,0.05346924876732186,-0.002825641671119721,0.1427743132952247,-0.044443231796803845,0.08600936554288945,0.03179930881783865,0.04198686108991346,0.04981456489747433,-0.030167309887226743,0.06009119604228479,0.04327682530617806,-0.010270330120359711,0.029597148068549614,0.0778279120065906,0.06182717260690693,0.06648758084696968,0.09427847471701797
WNT7B,0.0009343649326044141,-0.07604596472217683,-0.0007663542962234772,0.06902788390213886,0.04337550537843084,-0.08722972729619692,0.002993038582098598,-0.0546311212661193,-0.1869330862589943,-0.06412503481721525,0.024228528566055427,,0.002137989328703735,-0.01747566325091833,0.006305349979636033,-0.013972851661374228,,-0.024040781441424835,-0.06358757838943425,-0.0438883448870939,0.006422505674508918,0.009896443898305223,0.02978262150774278,-0.041403347109121316,-0.002127013659009758,0.011150146769420511
PTMA,-0.06395474032286123,-0.15877087494636716,0.00936491071436034,0.05225881136543806,0.07857777279461996,-0.0663190500334893,0.03934567115414806,0.2010718746892602,-0.2528585153138417,-0.06269166267024046,0.016018981345965598,0.3682335191872897,0.23957547355060874,0.15354546706875327,0.06570256848667469,-0.1985571533416881,-0.1231709923622365,-0.10442794078388672,-0.005992723829984043,0.014664731775694982,-0.11927462159186801,-0.006671728465631728,-0.0033500964163306955,0.014556308922940828,0.043377200692962053,-0.031676894726967324
FASLG,-0.05858963959871945,,,,,,,,,,,,,,,,,,,,,,,0.05185860727009992,,
