,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.04600674662233146,,,,,,,,,,,,-0.09712612427209212,,,0.037246601887282876,,
BMP1,-0.008135687799059408,-0.022344274801317805,0.07429712204899784,-0.025203792282545774,0.07085171375982201,-0.023148561793108174,-0.008926655738441579,0.0732556913903618,0.22383920909253321,0.0030324771258952708,-0.006969127271968823,0.03814160897797955,0.09620289728502755,0.036162817390207186,-0.04065605150947832,-0.12623277229395177,0.022732264858690197,0.035623444731522784,-0.024717569924792494,0.06588331732863521,0.04125830917380871,-0.024330226919947347,0.01322908175650048,-0.007708884083958805,0.009611070260040743,0.031139108154889565
NDP,0.007055436551578658,0.03338014225251977,0.05647341878829239,0.017475464226703222,0.03060981471764252,0.049169770383178026,-0.016787045026152903,0.08383514204443554,0.005155665028313321,0.02897137253612966,-0.04216547586829717,-0.01460957219209088,0.04052441445998501,0.04931189384201816,-0.04486736979413289,-0.13867296444952978,0.06416828219498372,0.0856271433377595,0.05841057375267681,0.022849148885280765,0.030916005225586227,-0.06921552866696419,0.04913056135824667,0.05672966524460196,0.01147955597729913,0.025885191617374716
TNFSF18,0.02687338384068283,0.0458235680690321,-0.0015451835209973534,0.014461709821986907,,,,0.08944934609372529,0.026362673827229923,0.05381442029221136,,,,,-0.03793204385882946,,0.041748192969292205,,,,-0.025332089988745754,,0.01271579974104456,-0.00602571562984531,-0.0038282165224147045,
IL36G,,,,,,,,,,,,,,-0.019601150034631774,,,,,,,,,,,,
RTN4,0.08203464774080181,0.045457939929753714,0.0713760044100268,0.024179935136610476,0.05173682112099797,0.012014065737303525,0.013160856168802217,-0.16845658817474995,-0.2586344855912829,-0.034747366877548175,0.0035225825171381446,-0.08944828339817781,-0.019130260387299727,0.00011591230519382522,0.1168822464789541,0.09655161881386987,0.1323528342586563,-0.0832644099228209,-0.0400710467243133,0.03664376435832357,-0.01630777275776014,-0.05373368271578886,-0.031227584734710087,0.039430922740544494,0.17428776968231582,0.026161523032597226
HEBP1,-0.04444329261739408,0.05185138279935423,0.044208311417679766,0.10103995526149556,0.06568135287818906,-0.04310375992144942,-0.08244592085900261,0.07361187292317205,0.07949250194737144,0.05144152638638064,0.015040951064087657,0.04507577810635443,-0.014639224288453401,-0.00917478496809633,-0.08110878423286513,-0.049280962533088085,0.05534505425818372,-0.02595653015586653,-0.003533692181257347,-0.005342126695909011,-0.08266884267948972,-0.003308357555051779,-0.0038277386600480134,0.10658877575251977,-0.006990863933441568,0.18429547271035063
WNT7B,-0.03103990511603764,0.058177193809916594,-0.05072798877808978,0.03905651133041891,0.04305866226577266,-0.024061374234315584,0.07407720189957458,0.023178729759859042,-0.0857723197854691,0.028307035706067487,0.008418870424576286,,0.012213376514987983,0.01894504240028468,0.004931392903784115,0.020483894857171437,,-0.062295469166631,0.02526867478338327,0.023884265443021416,0.08219870293398167,-0.022470617089320615,0.04616727461141408,0.02008556455374737,0.03856567723472302,-0.01286006833251411
PTMA,0.012013702209005016,-0.0247338270335019,0.036452455222600724,0.022741759549858784,-0.015065385840250889,0.025121310617510797,-0.015078511923055076,0.2211531653066213,-0.07997058649396194,-0.02642348366595519,0.07234302453702389,0.10605122772435183,0.07608944778941179,0.0030605840365425137,-0.009248441355934575,0.07398154875228174,0.020561906135492893,-0.028535657926236937,0.04902223533903267,0.031939099560532584,-0.04038433385448398,-0.01146333016815628,-0.05985004913138268,0.0450491337671567,-0.008343020195761514,0.05033396797499455
FASLG,-0.02780965880890223,,,,,,,,,,,,,,,,,,,,,,,-0.013919797552131711,,
CEACAM1,-0.0007176505666407545,,0.008904179551155465,0.017682014805706536,,-0.01450946793408495,-0.054629636905677556,,0.05504842569475619,-0.015575202354981233,,,,,,-0.012699307674599496,-0.056082865847722256,0.008555416783859517,0.00128401975046657,0.013555572164297137,-0.000554110839282726,0.03453193309612056,,-0.008593759070321708,,
PDAP1,-0.06645851164125842,0.0837111994981624,0.01715929588913661,-0.029426965297555858,0.01903448615650962,0.04143299027298142,0.011766658995824856,0.015335532978023609,0.16541426053208733,0.031484222054761056,0.019999902208833856,-0.0028704530778864254,0.0784640710130504,0.007932351876973187,0.06811440639567973,0.02180842584067937,-0.07064639864855418,0.034550079337650405,0.06387824796025415,-0.06525456230131012,-0.022085776772645803,-0.027439089717828498,-0.02197488432755523,0.02016278566130475,-0.003651673905020958,-0.08995424658861383
QDPR,0.15082952975009878,-0.03663714761381802,0.020096625150395946,0.012500878929542152,0.055077253271621475,-0.027995596611126546,-0.02071494229816465,-0.012334997406133226,-0.17052313474415162,0.06852749784443164,0.03598557820481016,0.0109422452038068,0.12792347323895584,0.025335158951202925,0.16354641010927712,-0.027359841255607552,0.005308194480885169,-0.11915514372441309,0.008677923632066677,0.013394119085514179,-0.019436568545483035,-0.021931094692206457,-0.053993686890423886,0.09704508949455767,0.07266842893818902,0.11871985907019794
POMC,-0.02546531504987179,-0.042875793174655195,0.04513003130944097,0.005814960091559101,,0.013572702694420702,0.07825902273990848,0.02576406703490333,-0.00841511719331076,-0.045688143953425804,0.012345961096783948,-0.009711642792714373,0.0017979936419385495,0.01924505882345543,-0.0173816502829386,-0.023342956223877467,-0.05121905376505576,-0.041498648003232344,0.019282759186880286,0.003594448236451953,-0.0280359154889871,-0.05924321375428571,,0.10737543286862407,0.03360790057138395,0.011918495479586967
CCL18,,-0.015381460093106394,0.010258362758812157,,,,,,,,,0.007191253289298842,0.050104908133771754,,,-0.047914804773366244,,0.029522647234543505,0.0479819024048307,0.022935855244551235,,0.026318397273372034,,,,
CCL17,,,,,,0.0007963591141878562,,,,0.05089347618159501,0.018999263985927016,,,-0.010956385584952762,,,,,0.017337069498986748,0.015193984438642389,0.010689912868137301,,,-0.007791922956363484,,
VEGFD,,0.004402412603627707,0.015521766443223535,0.053258932779700834,,-0.0043578169144543166,0.005134176078650766,,0.08217142437447596,-0.026883899472238543,-0.009946337242878394,-0.037348029156673145,0.0164630881582134,0.026594594304984964,,0.0481587705543897,0.013950556983639426,,,0.023183643636345234,-0.02949328904045106,,,,,
TNFSF13,,,0.06316472269330965,,,0.07541911822342326,,-0.018794208426972495,,,,,,,,,,,0.0161833972611768,0.035576197931815524,-0.00542567895092047,-0.011180574367990742,,0.04997053314563787,0.06788729795843366,
WNT5A,0.03632465570242793,0.07045904779520744,-0.019191010139755785,0.04349729772843634,0.02297657796959285,-0.0064714090668242024,0.0399207194134568,0.16641412681950954,0.22173598584373036,0.041705925663215786,-0.0008925398413858945,-0.05208588239994657,0.1001376803434762,-0.002761898055511316,0.07694210145494561,0.07717879382030052,0.013744903585077503,0.027397548862186153,-0.01887556300007977,0.016689912751141126,0.069117734341755,-0.033263816142207296,-0.019532276524519904,0.15678602640792466,0.017245512623444655,0.013122846801667271
CXCL8,,0.0258745230644325,-0.034465949355328616,0.05540098857885826,-0.016793847041050688,0.01400808523082703,-0.02791340164211513,0.08387231369373407,0.1446564256068669,-0.04143300049520029,0.037237957719030136,0.04183753175318379,0.004326422884124036,-0.019844690083613895,,0.19149659842928307,-0.10380980189959943,0.10153031620934425,-0.017652345196903327,0.007543818175663077,-0.04349434668419757,0.01801977133447012,0.037082734865144004,0.03811366071162032,0.017156291478643806,-0.04270193643536464
GRN,0.07552013823085295,0.029779111041554993,0.05213495858038882,0.017629066472031,0.025656178233486482,-0.021921699732747033,-0.005817491530732141,0.10467814204490974,0.14566888451782828,0.02282083452201178,0.030140552890448886,-0.03813296205121344,0.014803158475374336,0.02503273088863109,0.03108526761286043,-0.004362081582546479,0.026715599620314317,-0.01518556306318493,-0.03112117901303188,0.03362193948094192,-0.018908034353119586,0.03582547591219471,0.016912667307583815,0.06636741054178016,0.05110235004825328,-0.0425533811377765
MIA,0.023622095424779464,-0.020956729270198905,0.02252427711989134,-0.05426307621151028,0.03132140324770478,0.001814139551128797,0.057763462673266805,0.004935919948955403,0.031235515145761755,-0.015794212038016772,0.005995844197820213,,-0.008588888881106756,-0.005171470365939232,-0.07651005617465276,0.010856624895683351,-0.05432104528041698,0.049185705197189254,-0.002536989785860105,0.022520935554188846,0.040091707111408165,0.04239787086878105,,0.04882340253286034,0.050593748939337296,
COL4A4,-0.06972864119214736,-0.0003233774189824823,-0.037803447412211866,-0.025993086927680868,0.04410896176046158,-0.03331940110808891,0.05336518549028706,0.046354837100350404,-0.020041795566451463,-8.208538904013971e-05,0.011229680704533593,,,-0.0025532850639643986,,,0.06455985755148885,0.050439347598869234,0.03129784547127859,0.0033782416444323284,0.027202895954925654,-0.04178992005821114,,0.014051807529988749,-0.06883560747697108,
TAC1,-0.0397764734202663,0.014608204765518046,0.08525846504590089,0.005154250232604696,0.02012143625111993,0.05556444797587306,-0.06988144047213506,-0.044872715636335644,-0.16679288045685392,0.05118959848665663,0.010378084385519291,-0.009115243243844776,,-0.026164317765581754,,,,,,,,-0.04822287487715498,0.11709786570112612,0.10213503683023853,0.16279247661579502,-0.018810017801855882
RARRES2,-0.06355320691596941,-0.05624375906022594,-0.010917621675083995,0.008740480587181021,-0.02478962403014395,-0.018203129667038867,0.004123509039837287,0.10330850900193941,0.1821284973478405,0.008936098972047056,-0.0256183293666284,0.10644229606927273,-0.01758965293713685,0.1011569168818678,-0.011834158494949456,-0.04219865262940615,-0.00027658603850190305,-0.05626146692221359,0.03877374928640674,-0.044519426187861325,-0.051536744214578,0.04122866449716155,-0.058235036931921,0.09628602558455561,-0.07943174721692976,0.02198800459498231
