,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05489690651578601,,,,,,,,,,,,-0.06301005828077681,,,0.014595887996931504,,
BMP1,0.037475735535564964,0.024179683338100163,-0.006417191178352741,0.011294389994823378,0.07497914650313409,-0.06561527368965302,-0.006987282175533111,0.05737877695646866,0.07886180990147516,0.0009765865489922896,-0.013915413303215817,-0.06344837580542304,0.041912251386964555,-0.04786602424343613,0.048953109455928644,0.07120899408187124,-0.03395234243414456,0.13841169322838076,0.0204672831025209,0.02114473554609745,-0.023945867925847478,0.02154179586366341,0.018042231913874374,0.09640612194518164,0.034418536090404836,-0.052931979849329805
NDP,-0.03610686705373283,0.10106873283622474,0.07935537093771092,-0.016875459106623178,0.14018374465336428,0.016573796590157636,0.06948269169362858,0.021154251137606255,-0.00337327050581295,0.024096639481942076,0.0036011747460884514,-0.10115057549005367,0.06379339885863278,0.023467759020688917,0.02985563136607195,-0.09477169503298682,-0.03800549509329595,0.06196838092117816,0.02735206602170694,0.1237438607384508,0.024169868098868657,-0.03981978656517179,0.00879688915427549,0.06906351655158795,0.10602099747945344,-0.11408812786467819
TNFSF18,-0.011530467929161882,0.013724127544658897,-0.005439687108239734,-0.03895541724233627,,,,0.04964035817113363,-0.006418112695793142,-0.02700703866266451,,,,,0.04608527818477731,,0.04253664553143724,,,,0.05204736957476938,,0.0018418869217694124,0.03729224627554713,0.012325682454655207,
IL36G,,,,,,,,,,,,,,-0.036474656541436425,,,,,,,,,,,,
RTN4,-0.13539626106350847,0.0319099885790077,0.00040206138372951995,-0.006460122457854763,0.03347459689463351,0.02521567831856952,0.1120631621204406,0.03978552048918889,-0.09641809826773715,0.026095795904278466,0.07424676634297243,0.3344661069982471,0.003313635751454682,0.10411382842828981,-0.032014684348182075,0.004835425826951786,0.012504883215534612,-0.15018953115848063,-0.03417446199908757,-0.06893099868006992,-0.09568323525423973,0.07096262280985317,-0.08214430357956876,0.001314984273782645,0.07010947142297067,0.003991390747660491
HEBP1,-0.007764929562981046,0.05667851827453374,-0.05221346099370847,-0.0025297439445683715,0.03890661300137673,-0.03004850832790365,-0.01969008643225469,-0.04136900391113299,0.052473419123482794,0.00919116649083445,0.021957296958894958,-0.15035377702987063,-0.01336461250658478,0.025941073462793257,0.027311157582279467,0.005229830340636026,0.07812518739410514,0.06498158099566892,0.05678562802351933,0.09934024382664643,0.0004616486799792118,0.056000377364637643,0.007035744335341704,0.11885620846042808,0.08935781154778367,-0.1307616893608198
WNT7B,0.014612008704685391,0.06991169696124007,-0.0021032881433303992,0.04296133219939597,0.05294631715329071,-0.02687623581081717,0.008180254867995769,0.0009574564594746421,0.024211943471966226,-0.02830850886707229,-0.04062972644353822,,-0.001690227118434528,0.0400757769318555,0.1337744769797492,0.04669680487164926,,0.06467103353543882,-0.014574453114859772,0.024168434813391395,-0.08468773317491862,0.019122860880756307,0.049348681380245125,0.047733281819784285,0.011649029985965677,0.14541604991903734
PTMA,-0.020366884131852277,-0.15055791101414295,0.03290667276720939,-0.0358409749795781,0.037297756310830245,-0.012746877120274504,-0.03327769808774231,0.040451949569088375,-0.16239337744501095,-0.006674893590998302,-0.0625518406806483,-0.42062001401776083,0.049399729290492474,-0.14270892958180845,-0.031823483827683324,-0.012378830261469466,0.028181583611507133,-0.2386098621605628,-0.12817073974395993,0.01358592442442378,-0.09282464080342981,0.12089032532120328,-0.035736513552574074,0.07239680222782673,-0.10727897922622319,-0.21698293350606218
FASLG,-0.03238424686762951,,,,,,,,,,,,,,,,,,,,,,,0.026006649454261364,,
