,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.0086676533036258,,,,,,,,,,,,-0.09424943761522572,,,0.02423909489143541,,
BMP1,0.02217957514466528,0.04618621091807739,0.13961538661082676,0.0711227404837801,0.11920138032361699,0.057936427118084964,0.06060613911756157,0.10428814182264877,0.1976664178637764,0.008105809865554817,-0.02045641069346804,0.02336078893345975,-0.010365309765310388,0.1660793911638732,0.08963748261644156,0.19274850410550562,-0.04884272442774944,0.1039475374317071,0.13706984719889503,0.07849480374532784,0.15322210458071933,0.056836716235402505,0.08002318094229552,0.10786739392605406,0.09368522714286456,0.023542076140295562
NDP,0.058022172672268876,0.11247784461226001,0.010962100881061266,0.030823182639011012,0.07954883287295639,0.04597747470470138,0.01702196649078124,0.005654250688021393,-0.041862404819098545,0.034649898218271705,0.016184140628320465,0.08601418904867786,-0.0005162596557534749,0.05547941391687063,0.09109809256174153,0.016341618754730936,-0.02942975670633211,0.030081173465786284,0.07373195901586668,0.07445037433890517,0.07215043897508801,-0.05599940159554735,-0.014397723885946326,0.12434604483382282,0.008662389750207573,0.05535993305129371
TNFSF18,0.07920249073494395,-0.027169245919537063,0.053449230997840685,0.017967348517211816,,,,-0.027263717901888966,0.03461034557574082,-0.015304274557708756,,,,,0.010214459809668836,,-0.030788761712017613,,,,0.03712324748993256,,-0.07925660681213861,0.09350657033940742,0.04226768518885936,
IL36G,,,,,,,,,,,,,,0.0799819527757794,,,,,,,,,,,,
RTN4,-0.14256102371288892,0.03815459559308931,-0.010518025455690453,-0.01839509671319234,0.11726308888437746,0.014511842011219044,0.028986361417102192,-0.1390028702238544,-0.20544758700923063,-0.008827649089536935,0.0014337620059861047,-0.03317847301429159,0.09004069432480354,-0.22364497299921748,0.00030434036968448957,0.06987622234060065,0.05270733428128326,-0.019743449390757128,-0.044237575529270795,-0.018610266101097832,-0.09306909243000523,0.1794700019872877,0.05050675984844819,-0.0035526486214183333,-0.10311039743566548,-0.0031115795426686723
HEBP1,-0.010462618643926244,0.09833767598264596,0.04002657560261206,0.04024027610839508,0.038705201746613994,-0.03073326742743306,-0.0017368731402877368,0.029989666478713563,0.10590753962458987,0.01323750270051238,0.06362673394329105,0.024653068572216455,0.03575056640172007,0.057080837209618575,0.014024597746888003,0.10233111271810486,-0.05227107134061345,-0.03531571900795217,0.04495672748443449,0.09160389425540105,0.015420267683635903,0.014701263918682622,0.03309455357346922,0.09705507527552863,-0.095652553418786,0.00875088111605746
WNT7B,0.06072521785396604,0.08221753005309151,-0.01614535459557513,0.04311477310683936,-0.0434700655644873,-0.023947708297076913,0.04542019295485541,0.009969486830373821,-0.0890003718746425,-0.04552607769135258,-0.041077295498635924,,0.04111914995410049,-0.04836358145787541,0.04394919294858778,0.044306559047468656,,0.07150115734805654,-0.005873364067758291,0.01172076591259743,-0.02624151896933043,-0.015723510441837164,0.007750193804776493,0.10583092336115676,0.03514663318794217,0.046196484468322474
PTMA,-0.0343443167781583,-0.17360156368855012,0.11717217035320276,-0.017642159379690714,0.0007720726923643229,-0.04756968655171573,0.01729738051915243,0.17380446157609247,-0.06620910818893669,-0.06198352562660584,0.018997462631233065,0.05335295902529627,-0.034707764756649134,0.22861526411093222,0.007063790525015744,-0.07985992270157072,-0.06747326241743642,-0.06432353517326732,-0.08015294999503234,-0.06399998272314798,-0.03390324143484021,0.021159893244789754,0.05280958309703731,0.013217764651696818,-0.036194751559479696,0.04477366076638475
FASLG,-0.014591217235150758,,,,,,,,,,,,,,,,,,,,,,,0.06773698142854874,,
