,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.08167302170585865,,,,,,,,,,,,0.049764372198418526,,,0.03935608618838625,,
BMP1,-0.0002549275105150848,-0.0597595114554738,0.027535375415077733,0.013891318288086667,0.013719888312032195,0.0331423643032917,0.06463490934774356,0.1468864334859459,0.13861949907633483,0.016495072262285117,0.031189123303019296,-0.007897142882146433,0.0005916988669578226,0.1379088024934682,0.05620256959513958,-0.12648154724787383,0.09859643878418772,-0.04250537933826519,0.08275382481357094,0.06950380258673747,0.01372780741602828,-0.01661771019756587,0.08942538855169309,0.18925623246983692,0.10652004080596764,0.07831599904287348
NDP,0.06034135504639216,0.019782413302652426,-0.011646317769283881,0.0011849972486123299,0.018142944659639157,-0.020139159300377074,0.013040050116042784,0.045732120065427276,0.05512989732828289,0.010647413327748793,0.010277853124461502,0.06947669492848076,0.016822592678924834,0.11757263320443143,-0.009988098175965698,-0.005873730256604882,-0.0150474843309716,0.09070921846553226,0.05866504402651385,0.10152627889879902,0.05301966472521643,0.01143749324291821,0.05919140718108981,0.13377349600586294,0.003950529115543019,0.09638465343795988
TNFSF18,0.052140846243598986,0.06452985310499662,0.009203066145478304,-0.01318023726416848,,,,0.13365889689424987,0.055439727981196694,0.021992134037764982,,,,,0.06339810561150898,,-0.011197607992205285,,,,0.08263785069723736,,-0.08083866690100056,0.048546364730853095,0.08211841297932576,
IL36G,,,,,,,,,,,,,,0.046232184979256304,,,,,,,,,,,,
RTN4,-0.06786544756872481,0.04513388019175026,-0.004941048066042797,-0.033508672008946444,-0.07614858613720078,0.03212946786721574,0.002019488241476585,-0.09278610366387638,-0.1334350694656591,0.018005482848262234,-0.04832205889795156,0.09745017989037083,0.022232099718479666,-0.13448760738864507,-0.037933635019488834,-0.04522837550804736,0.0034861287880724465,-0.07120408610628819,-0.03446039541539831,-0.015404488862002548,-0.044938026898051056,0.06980205670553533,-0.1056555780944497,0.047505912029683975,-0.08554280224320816,0.06256454996183751
HEBP1,0.02059282343350941,0.04206546484474283,-2.5130723206457955e-05,0.0034016356412491927,0.01581950478000812,0.03199605195143137,-0.06010907768662494,0.016338484512885096,0.06452143594894603,0.0479635710655357,0.04719469240326737,-0.008624004281261224,0.06521011117818228,0.0725292584443507,0.031510633749652524,-0.09632537987633304,0.03717398621111931,0.06012436941307639,0.058979894803462767,0.007584828498809072,-0.029796675554651333,0.041179294513465164,0.020390297052549293,0.10181188875330299,0.051927750877771774,0.07663865544698079
WNT7B,0.024144595415860896,0.044133321638027766,0.015138719843129709,0.05251442164200421,-0.02390856789546605,-0.014980481538189655,0.026922062742129528,0.00866969038915975,-0.0024948615852803404,-0.033485209948726946,-0.0480683859822518,,-0.05439084842420291,0.005370817712758522,0.0023066162496647234,-0.03655257024389617,,-0.06532717025418189,-0.009794182389654883,-0.015813165527146823,0.03584257425084869,-0.016145154205176055,-0.02834284384117817,0.05575870691226103,0.05728946175385424,-0.0857484996437483
PTMA,0.05222013982316007,0.0816388032520137,-0.005971222761985566,0.07325244035246932,0.03849477465498002,0.06195017661512389,0.005202605761772318,0.1770620102472735,-0.037266108371830024,-0.003198297417266851,-0.000252875499272361,-0.03170385943349144,-0.009108241381162301,0.17382751898585308,-0.014707486917840226,0.02591082617704838,-0.04699537479279756,-0.10582064293321343,-0.134435061421419,0.021215836211760427,-0.021237864653055338,0.021183858607816058,0.07351124249950633,0.02839887252096505,0.051860583020672556,-0.07362985908737964
FASLG,0.01006950406504835,,,,,,,,,,,,,,,,,,,,,,,0.03185799373787963,,
CEACAM1,-0.02618407286478897,,-0.059642818129600775,-0.01515590762461879,,-0.010042085030575904,0.0398608127524708,,0.04455992148483166,-0.06467303921962432,,,,,,0.025661764315683164,-0.05815999810149039,-0.006789954147248876,-0.03934212199213758,0.07708392669324059,-0.023678135728360115,-0.03144661811024637,,0.053800807910302006,,
PDAP1,0.11028160993203627,-0.07296432650228535,0.030364186922431542,-0.029296749788618886,-0.02543432864910484,-0.006786848904848891,0.030170800850311853,0.07323606681838003,0.10714249612100879,0.009365534869204974,-0.017324311845970882,-0.03567554588621068,0.030717711737902872,0.07881712288894417,0.004376363909813565,-0.019085209379496693,-0.07530966803993627,0.01868223832842299,0.029297769670135178,0.08233832243127046,-0.02493126326102818,0.04659293555407957,0.021078317835978938,0.04900919860752221,0.0629735726793902,-0.025012886276610947
QDPR,-0.02131910046744126,-0.09601694701108607,-0.01076563731368599,-0.10609054219966133,0.016294703590341016,0.005511715513626957,-0.02840384143090836,0.0016101329035800936,-0.0827675958644073,-0.008277428921078304,0.02321470853314358,0.05314239468908589,0.028685826931328453,-0.034136880602366144,0.003210791383120655,-0.1418573622667376,-0.10359941814443611,-0.17515666174091304,0.005074499373497917,0.05224849674735733,-0.033944041662626996,-0.03910988939053305,0.0654607669535782,0.13260285302934152,-0.02404685200640584,0.01779453464092396
POMC,-0.029824466009036852,0.038809480537593345,-0.01950371952510935,-0.012546811897440812,,-0.045284397957752,0.0021419004977904343,-0.06410084041821174,0.07572694952171778,-0.05084385698132214,0.012311437461935224,0.058753439755790615,0.03135856481789557,0.006713224193898679,0.04224706628883705,0.025804324051367816,-0.04852615116184554,0.04620572307805601,0.02098141661839041,0.08367061228944227,0.009749962888991572,-0.0002049595913512141,,0.05937242002006807,0.02055615204300039,0.006658951603344527
CCL18,,0.044291203772258106,0.014655533836036731,,,,,,,,,-0.058537238459265416,-0.031883599677136464,,,-0.1712390399770793,,0.02123033964055332,0.029712983748957533,0.01699820127189681,,0.04293998168777711,,,,
CCL17,,,,,,0.04698419209886252,,,,-0.0035678034671127743,-0.022756722266893147,,,0.04044251586377365,,,,,0.0876920124529161,0.009870679391980303,-0.017027222572566492,,,0.03237279712879826,,
VEGFD,,0.07036323907651723,0.006393985586009364,0.019834461830222277,,0.003880102857255818,-0.008964173937487727,,0.049192042062405024,-0.028910553978419753,0.0025333591658706356,0.023691234689364116,0.01850763622320891,-0.005576225483205146,,0.000301666877510386,0.09770505338285437,,,0.06057964922984658,0.018982940292264796,,,,,
TNFSF13,,,-0.07925264252695798,,,-0.030279400918483333,,0.01839981490565453,,,,,,,,,,,-0.015820849441291956,0.026683186966878342,-0.040319775588806187,0.012228644263279154,,0.06119688558645684,-0.052404878199097484,
WNT5A,0.05314448924374134,0.012861873503159704,0.09724744888168849,0.08204148853915846,0.033345876409831575,0.050551948019053695,0.034938827016097865,0.0810657729209503,0.12114233452423569,0.005831299607312404,0.011478861306269256,0.01689332769066447,0.03920038317469466,0.04814175223366493,0.1025079302239047,-0.16484563613908362,-0.015189521110354532,0.07666834454752912,0.027072182781292975,0.05428994572028398,0.10304571470343372,0.06755159008975899,0.040372074288649626,0.1532665854532129,0.05864727011025891,0.005098823330419586
