,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.005681874498761245,,,,,,,,,,,,-0.009537205475473237,,,0.022944784176679098,,
BMP1,-0.011200035214312882,0.09248098769306168,0.1319428993166685,0.04900755711074541,0.09156772493043942,-0.010099594540434352,0.03773318878507231,-0.18989730828585233,0.08965719467214342,-0.1250162911136368,0.00682042835716933,-0.14818188124874745,0.11491610222978232,-0.14660136713815014,0.045707549521007716,0.06600740895678166,-0.047148934062532094,0.10533425668520352,0.1338991001792561,0.048183780318538094,0.10924609114713037,-0.06847865046112075,-0.06824857920659783,-0.009964137606462904,-0.031219783026474355,0.01767798432440071
NDP,-0.03494726745219895,0.12468778956100825,0.06484660981159852,0.05081943827621957,0.05737224923243574,0.0123772774798003,-0.010834827116883258,0.06918513708213582,-0.01695072535391616,0.11642225354080002,0.017763600749346346,-0.09611869494666617,0.022329967867954346,0.06392967629878192,0.10146907681983275,-0.07153351007192416,-0.05273032364304812,0.1640409172105754,0.06127791375459312,-0.044398872690615446,0.017190168105944023,0.11701415394819309,0.021177417861400673,0.05183222680802929,0.0583158032652312,-0.010641685602371847
TNFSF18,-0.03871026992499389,-0.05018157638195687,0.02438563732445881,0.02057681497921769,,,,-0.04722237097842646,0.022059964153212836,-0.012548699976277255,,,,,0.03837203172570183,,0.011722297347484874,,,,0.01458148963597101,,0.07161399033527585,0.04769096353006871,-0.053945754744462476,
IL36G,,,,,,,,,,,,,,-0.03266965434644052,,,,,,,,,,,,
RTN4,-0.008916516014634708,0.1104754238367468,0.054772785193515194,0.06014249794108532,0.11964418728277824,0.03132877030050407,0.026521984296288572,0.4491232572180012,-0.044829546276031,0.13837567894413527,-0.04543377694728491,0.391470155947701,0.02057009647195488,0.2580650452709165,0.14145450197449058,0.19301314505772435,0.15433721964209313,-0.17168604951194003,-0.04903886780749988,0.026768373125435306,-0.0647627177122846,0.11792745241484297,0.07560702197880395,0.0752495631725823,0.35703551754480073,0.06895810529298627
HEBP1,0.001592158158041066,0.10706035090114982,0.11181210577021364,-0.008661051629346207,0.04980437019387378,-0.05816114943127258,0.04819712993760665,-0.08199093578457795,-0.026792614521181063,-0.030872412139573997,0.0354083571196999,-0.09756586482666342,0.024101951631346374,-0.010543782132812641,0.1025667210447162,0.13765452678237286,0.09726240490214663,0.045919931314818405,0.03366799130640804,0.1291590327758482,0.02942957704978189,-0.008924387583390741,0.006374061306574754,0.11462187841713481,-0.02716079462301559,-0.05712031323397533
WNT7B,-0.06845475182138351,0.048326811191764324,0.034843097262915214,0.0369529020992851,-0.03822145460734996,-0.08049529821097948,0.05809940846687003,0.07751252101777073,-0.017722495805747515,-0.011441922022597872,-0.029466041787269817,,0.06794423400153506,0.05402181982822538,0.0501867906250333,0.06468925485906254,,-0.04244143149566331,-0.015028811353197025,0.009805697927508714,-0.0002789287667657503,0.052594104180997484,-0.03092841480335759,0.13643625575305693,0.04624236715721839,-0.08041638474946113
PTMA,-0.10021555463365683,-0.23340684299665046,0.019861692466844556,0.020109587223903866,-0.04213324597665908,-0.05715840341562709,-0.06100583206549128,-0.4716492871343522,-0.16119333644043013,0.07274146221754339,-0.04807451801247293,-0.4965019264894848,-0.01687964839914677,-0.24949371498945636,0.08420964118468738,-0.13870859712714695,-0.09800806623813658,-0.2473971182115725,-0.014759207486209095,-0.0960641685043611,-0.1591155012078115,-0.14553959837265,0.0322875993961158,-0.09915020534051013,-0.1202341915811749,-0.07472696152893685
FASLG,0.038786437943473716,,,,,,,,,,,,,,,,,,,,,,,-0.03515719244694131,,
CEACAM1,-0.003708578723330324,,-0.024626003742503656,-0.001516379856608204,,0.013271713208151443,-0.031844180092891014,,0.036762515388294344,0.09039167748133448,,,,,,0.10252153058479381,0.06421818322090225,0.06493732371620287,-0.00025210437150689297,-0.03349963033665301,0.088698944972324,0.032371229695937045,,0.06315562423545905,,
PDAP1,0.07027202106520342,0.04938126689974339,0.03468226493677117,0.03566382390953509,-0.028049481686510277,-0.00992959428025661,0.008759073467835273,-0.18614737450678692,0.1267892556312367,0.018684664421302465,0.05677777288243913,-0.029676912619111488,0.01990669082868527,-0.1338199741871656,-0.06890121062552226,-0.10278898426612608,-0.11547590465704131,0.03848588303481924,-0.023118210045446546,-0.031802788149309154,0.013252274842216572,-0.0020374575841177836,-0.023964404098187182,0.016307791957163576,0.01850943051207859,-0.04609173103098501
