,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.06110268954287426,,,,,,,,,,,,-0.04355129275795178,,,0.038435406440175644,,
BMP1,0.09564168813551248,0.15773131315619157,0.1452265559349937,0.051782296068457065,0.135591394622397,0.01104733350696266,0.08781122258414306,0.08802038445000322,0.42595051901592823,0.09015680755251929,-0.00014137588407916435,0.0690850505608433,0.19709213158022168,0.02333616522327854,0.06478942180102963,0.26197192753435694,0.06126392057626587,0.004801159777381867,0.17700012877266422,0.00044508246351759753,0.07760021370235393,0.12198518094262234,-0.037756027547961785,0.05908350297450767,0.0837714203201509,-0.011255076591635356
NDP,0.1294142576955819,0.13596275049960327,0.08353561112255009,-0.00804753586071668,0.0702449646154167,0.02997498585470434,-0.056801784309553204,0.0027796505089229878,0.07951688648185092,0.05563413038104138,0.009354050289443793,0.059802852339314705,0.19861858516414052,0.04982101322957556,0.1292035561885818,0.1767772820442334,-0.03040683309325004,0.09363123631112655,0.05166700169750633,0.016776996593827236,0.07077003809650824,-0.04355297994190578,0.039405151450621324,0.16429766396915219,0.10686408209067018,0.026733675557431825
TNFSF18,0.04933344108479794,0.06436402757002337,0.05487861810765837,-0.04662197545308139,,,,0.03508766753444895,0.08550575519929197,-0.03451689779772348,,,,,0.054058055192562925,,0.08173595011119934,,,,0.009794378630244344,,0.03351642384236541,0.02756767728901222,0.05315280700532694,
IL36G,,,,,,,,,,,,,,0.03845641423729385,,,,,,,,,,,,
RTN4,-0.04225564190673904,-0.09402847289420083,0.015149196828442794,0.0019132681219377078,0.19772174687359148,0.011479952652217362,-0.04743111125234276,-0.13007454285471512,-0.4408113451636005,-0.0628769520359494,0.02143253783693524,-0.1203283657883645,-0.06250342551697585,-0.016831183680050345,-0.014394473983214856,-0.038786982954174806,0.01650069295858715,-0.051341510805987804,-0.029358549343543577,0.04365125997492244,-0.05936499159429936,0.04106718478567576,-0.0670164347790588,-0.0015648353486622903,0.039761431778049965,0.018500550898824873
HEBP1,0.0490737277915981,0.03273844773401568,0.05460135114711335,0.05524246283160497,-0.05419369916411963,0.01298101908551716,-0.003523822947447234,0.06342650580274772,0.1808205779680161,0.004736317917855249,-0.048200649894280655,0.09504742824529744,-0.06502562902381233,0.039998675003595545,0.045653683468402165,0.003873704135471667,0.03497067009925994,0.03650037427988349,0.14161708410563376,-0.0016071908084812772,0.10193912264608435,0.04305389055862521,0.05665696423612427,0.08137453850157408,-0.02839815484704047,0.14589565830886655
WNT7B,-0.0024201411889592218,0.04209244825010398,0.002304854096525698,-0.04886174422562963,-0.04478038416514394,-0.015369553089085802,0.06173680303080737,0.031535250989405024,-0.2322253885487186,-0.014620901436473127,0.021246064455179542,,0.07870084607755545,-0.019328997562968315,-0.060075109959410455,0.024751685218503842,,0.022751441298794042,-0.00428202764280242,0.020119209026130517,-0.05195497115723175,0.043355685289137406,-0.011226984979980358,-0.01946630702341727,0.027579054422829426,-0.030935287454749924
PTMA,0.04049746208662218,-0.12297602789186117,0.06149144648676596,-0.017006857483776228,0.1858900738141278,-0.08967383690326375,0.03696436324144341,0.24064288070057957,-0.1930294605365215,-0.08187346063583159,-0.027512890202632718,0.22246646578628507,0.1949438018057175,0.025667275939056166,-0.042695971001625976,-0.11818390169967394,0.0363178578954977,-0.12419481188754793,-0.16555452838893048,-0.13090271102065637,0.02558167647249886,0.043531762222280945,0.05388640849471545,-0.16593107950436634,-0.05043255182307215,0.101427922343627
FASLG,0.006298030277979343,,,,,,,,,,,,,,,,,,,,,,,0.029827174569422726,,
CEACAM1,-0.0004339328947896154,,0.008883302417690444,-0.04228103671832571,,-0.028633199607537334,0.03737754322283292,,0.10618013558854676,-0.0028675749154740146,,,,,,0.12301342384484909,0.010491951176002028,-0.01337727881872254,0.023214477852322002,0.04594154080356766,0.015753486187569728,-0.01920564639772561,,0.011559761662577562,,
PDAP1,0.06696640206688152,-0.08316518531654124,0.10396065697825452,0.042285538465640676,-0.0020184007978574104,-0.01870517256265708,0.08078829792476601,0.1116386271012431,0.35707592358149615,0.017201873449680032,0.008290315858776865,0.027547140911611086,0.27385759054582975,0.03157094837442423,0.09834773651922103,0.07168126773291016,0.00951626323169041,-0.036322800897329977,-0.050853629561323804,0.018981028973355792,-0.02264836656757421,0.027431795095418002,-0.04159286668501142,0.013377896244270226,0.06256059680955306,0.1368704029334549
QDPR,-0.07887796047626576,0.08242488852465878,0.011723989557845529,-0.043492198996532075,0.16135637398796504,0.06426861528621972,0.002131543162853825,0.03437250353526688,-0.3126916254014895,0.010290465845041143,-0.008124626560689295,0.0865675381009397,0.16871210916892584,0.02447036766407324,-0.0296627321714498,0.28611937608315413,-0.013577531246762836,0.027923037285208258,0.12264275496459871,0.11044508894873808,-0.0605362583982726,-0.048474540408721366,0.07050241090731292,0.13098736113162282,0.015460883732508255,0.05854515077479899
POMC,-0.025873457209412035,0.0816852722893368,0.003374559316639162,0.03839982607709687,,-0.015460471236375919,0.024415705735027358,-0.00941939376897517,0.05094349902366449,0.06605729759234169,-0.0180815889918145,0.07278243483891673,0.053955489745973584,0.039977398914771645,0.0008873067519506534,-0.09508405080519862,0.06335616116744332,-0.05130504578471561,0.11027489051690646,0.10180404021045865,0.010179074237317695,-0.014224041123349662,,0.030235453009794737,0.00953234117199205,-0.029125619313303475
CCL18,,-0.04562486416932684,-0.029932865019827122,,,,,,,,,0.09119432783663926,0.1389057748845842,,,0.029522244123221686,,0.05321405771231031,0.12022860037660607,-0.010105545990682597,,-0.009044094269771591,,,,
CCL17,,,,,,-0.029546635171119023,,,,-0.05146032713565986,0.021778830535136358,,,0.05522645120161498,,,,,0.07552652001986615,0.019969629328202513,-0.004949638055411657,,,0.04231164806171969,,
VEGFD,,-0.031879232304285514,0.04551003177312977,-0.011713428542756175,,-0.01761189230587152,0.0077596481320679955,,0.07017145874773432,0.025175930815804888,-0.011733601480713726,0.06352237180593563,0.06648323270773833,-0.011793901351462526,,-0.1337126042595748,-0.0338060174964292,,,0.022948772394312533,0.037763698364028354,,,,,
TNFSF13,,,0.06340591099334715,,,0.0018386226640193636,,0.046504883021248486,,,,,,,,,,,0.008698283159767214,0.014969881267700644,0.02346468705891157,0.015621883332551982,,0.053475562054380754,0.0028678331905732063,
WNT5A,-0.004972683219303734,0.06482094937791488,0.008594014900198434,0.09499253015613562,0.14058758837014435,0.0281578929987712,0.18884206000912693,0.12947639947013254,0.30706407848943906,0.1033106572899736,-0.01522390872706901,0.07194342070559134,0.09376836159703222,-0.03371181922020316,0.07999105185178054,0.04994146890289584,0.08488841636536726,0.04349180767047029,0.11424409151236282,-0.004558127379326903,0.060827823456487275,0.04298727533148528,0.16290893953239685,0.06849164242223373,0.006319501944889511,-0.037390984227857214
CXCL8,,-0.09725842645837275,-0.13194104398204198,-0.014988716587628036,-0.22241031002826397,-0.044747826176095754,-0.027723756777168505,-0.025686374776140372,0.10581468043420199,-0.02098675491355446,0.04886056010804748,0.12474723828692441,-0.06727440766065698,-0.08525825172997205,,-0.21904672242904769,0.03849488435441001,-0.16696187039041355,-0.004250072783192799,-0.1520074781950243,0.010820087071046215,-0.022223843971155163,-0.0750953994292851,-0.07617577661468942,-0.020554431185171643,0.012342182104500068
GRN,-0.1588160956545974,0.0836044734820827,0.08716189037064313,-0.019537974336667513,0.18567968021946116,0.016531196706043045,0.017807673504937147,0.0613397310518182,0.3745071111480152,0.0003101745354154719,0.00021675110727516214,0.1756205106697967,0.11524720296888262,-0.0586265416202937,0.017456547259707345,-0.0041648011952022754,0.11045872832914605,0.026896077773430206,0.14813448115524191,0.07550159183886027,0.02506891448081045,0.00844764557544456,-0.09288159570618423,0.03587815913729963,0.03519725525525835,0.11821313309319859
MIA,-0.045089083916711306,0.050410867819816664,-0.03189302823698641,0.0304809057765286,-0.0172229094122548,-0.010512337989365397,-0.010724140728149796,0.06018580362095527,0.136829424657772,0.04363840642428702,-0.03358053056619741,,0.012044102615935599,-0.02254781867686555,0.03882139505023387,0.05361356811510384,0.028746159201971294,0.015602620037995979,0.19268099414011713,0.1010326717351728,0.06458017896183281,0.124443153307627,,0.1754574135664848,0.10198272675854139,
COL4A4,0.05936691298168664,0.04322598762974224,-0.0131382290331924,0.053566969738969246,-0.04733893870440617,-0.011023794390948707,0.12283095994009686,0.015734823933650565,-0.005218084205768795,-0.024351299176533128,-0.022206975802710527,,,0.02319375468137805,,,-0.01859581104854714,-0.013685895274554277,0.026825960813725618,0.02246272355359481,-0.02804404205583637,0.030915905827541095,,0.01126099751472928,-0.0022942632415601056,
TAC1,0.0005804931791734777,0.13137000067346066,0.061713005124225624,0.024856801611967995,0.11559017767184734,0.08176397244196461,-0.15972187605152433,-0.10973614536271205,-0.29039302117051513,-0.1212931252441393,0.028466101081877627,-0.04582836589117783,,-0.011040254740898444,,,,,,,,-0.054889707896273156,0.0005620464394061776,-0.03748389654746452,0.0337201329904216,0.0341336708181753
RARRES2,0.0828020902754221,0.06232078787241107,0.00574620885565341,-0.023865571294318867,-0.0306525988622084,0.023935495804871854,-0.03268379308162808,0.08220437229596131,0.415652800941408,-0.066816313457111,0.008502706234159411,0.10520700111608987,0.027479072457708413,0.041709619262492385,0.06453645627188387,0.07182234124489636,-0.09762681265463781,0.04724537206347733,0.07937447800829525,-0.00789115282267693,0.019169423936403435,0.06387611990576718,0.06128334378357285,0.0006852570149293721,-0.06895793666948016,0.07754014268026398
FGF7,0.03148384725259396,0.001177558077237318,,0.013486517562646813,0.05725762463103487,-0.029063758804604677,-0.03934655520431523,0.04031304267208046,0.10155651785003378,-0.005355137786952455,0.02762094580298446,-0.08361320793766402,0.0697702227702424,0.011989480218772598,0.013628788829430645,0.10585840556053157,0.0902451849903358,-0.01405266468392638,0.02847398507171024,0.08700154606421678,0.07248491764639224,-0.07823150217011973,0.14636127476058003,0.13257003239977364,0.03129790618276835,0.06164607296502429
EFNA2,,,,,,,,,,,,,,,,,,,,-0.005756993700951011,,,,,,
