,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.03245289267861498,,,,,,,,,,,,-0.03921736839880985,,,-0.026949029350597196,,
BMP1,0.01201869072086071,-0.0230707175731191,0.10477044298712351,0.059666656296145176,0.07736408739600273,0.016719321040396685,0.03303938040056953,0.2210506853528819,0.24653073596089728,0.0054347692715235206,0.0319757222925514,-0.05651516656955106,0.04401993069892279,0.15516952181294857,-0.06078941113189572,-0.18888765933087567,0.03893010463091728,-0.08547516882908729,0.03394618951667914,-0.0006135254579901755,0.08188701278964172,0.07326326649512872,0.008488921784430028,-0.14835161741963782,0.027287780047630102,0.06494793188320735
NDP,-0.023646993582209064,-0.010885984695932797,0.08145952805796869,0.003151324853001743,0.1174617780609395,0.06135799365939074,-0.027461087145911018,-0.010923442565203131,0.11978562854942235,0.07490979285118612,-0.01732789175825899,0.015415275342247344,0.030974665811325956,0.0343990537409219,-0.0443406662637453,-0.009266825909171104,0.06329228077267529,-0.03804027286087983,-0.06262710039757316,-0.06585091584164574,0.019105825849911797,-0.0015319475949023328,-0.03948552590868703,0.05036040543071853,-0.06162057509108959,0.12041004979936067
TNFSF18,-0.01587865382095503,0.01726449367123555,0.02486583766990289,0.043883091067491456,,,,0.03461444120306869,0.057869415331063746,0.0438905316160261,,,,,-0.013299401615406785,,-0.045504549992453326,,,,0.03614872938643969,,-0.029849073234116282,-0.04336520969754433,0.004636432688493097,
IL36G,,,,,,,,,,,,,,0.06041937277481764,,,,,,,,,,,,
RTN4,-0.06587187966336257,-0.17184007782268207,0.06317844730375084,-0.06789585456853818,0.06503195827703237,0.08438015524062255,-0.06278027899672069,-0.22979707379395103,-0.33629406654304084,0.03579506369690565,-0.10596364935452483,0.08499844600473286,-0.02008617668974754,-0.09720619857129977,0.01265305351022825,0.09887747891098954,0.00870841006059332,-0.012654755113114924,0.07592950295106309,0.11627767782075316,-0.05452332969513928,-0.01131362239777125,-0.026539035320626115,0.061998989809781885,0.03912177002832569,0.050773272780965224
HEBP1,-0.0010277223765752332,-0.06738586309995562,-0.01984229501861928,0.04338490471862135,-0.047825181520011646,0.02022439920681655,0.019536196508645118,0.11471833482212392,0.10785906415160783,0.019125072057926056,0.019026553793890497,-0.028704566425857,-0.00037653291764955477,0.009504678061376589,-0.1542868246807865,0.012736979783659043,0.020872872622321674,0.030178175078931082,-0.11743342144905429,-0.05236002016202481,-0.0080009370178043,-0.04790208245473867,0.11482548598663884,0.031751598674451924,-0.00911714075972924,0.014271924292227754
WNT7B,-0.054729689162608064,-0.049974083235448906,0.0363576554703575,0.0077044092032112176,-0.01613181533942177,0.003946206918995854,-0.014836320401395911,0.04089628241180054,-0.18487406769107131,0.013337412882610047,-0.01810523484215692,,0.034556211048815254,-0.02909943391762498,-0.06080551823961571,0.08918636798426975,,-0.023894364673420643,-0.017100075897414944,-0.048260831478812716,-0.024802576582691405,0.018912596191796492,-0.0008084226409609763,-0.01929926481386543,0.062429335961267395,0.019602319273737644
PTMA,-0.1124796899366617,0.09075499112280756,0.13860197216137513,0.17031421952664832,0.09458694738169655,-0.04991081714753639,0.04475834570247208,0.3329838376544635,-0.030904166581380888,-0.014012455515095392,0.043982315147721704,-0.049282214396539244,0.05467707566192377,0.22917014701875105,-0.05713521727186086,0.3463708806067845,-0.08418943552582046,0.13577060912080416,0.10551741104068009,0.049061130171130125,-0.009969573131687129,0.11866182839011637,0.037861003259998575,0.020942624814683525,0.0906357941290925,0.006997092676807305
FASLG,0.02188197840255771,,,,,,,,,,,,,,,,,,,,,,,0.02798289199959686,,
CEACAM1,-0.011475544396856469,,-0.007603538253935546,-0.0468979918442745,,-0.019891920522439887,-0.008335848462905537,,0.07081997127477953,-0.03356216409754427,,,,,,-0.04932182316939818,0.008589883046213718,0.026025926335963536,0.000435672982068967,0.0350695703598713,-0.02079997436712971,0.016131000157859045,,0.013248854294223894,,
PDAP1,0.12206269643775793,0.06198857666554463,0.053764006088707385,0.021181141161647172,-0.010931646343957496,-0.034309999645174026,0.06535162943334596,0.10849731489307346,0.2542288392428881,0.08521460321489246,0.017317460135428692,0.06745783939749903,0.09317198257089981,0.13726488306572374,-0.02550497368027897,0.1385683021710224,0.0010697474586756485,0.047454231225390296,0.1157502336326124,0.05878256456118088,0.05493077042221785,0.08015959316747845,-0.024206711305793337,0.09487291249158289,0.15846819821372113,0.00953940158715455
QDPR,-0.2158173033901902,0.010252003521013886,-0.03665958684882625,-0.004010307305203757,0.0689508572117644,0.014385403183426092,-0.1141307499222089,-0.07020658793615465,-0.1595659685815972,0.030267396013351718,-0.03372812139484811,-0.08924513363439769,0.03610016981535266,0.015784687037587793,0.06506158666715357,-0.09661839776797206,-0.04097769837079909,-0.11256772040759563,-0.12038115112447471,-0.10072478497827919,0.025141147819477693,0.04952878900404393,0.07031133143572145,-0.026826566121342894,-0.1644488301212934,0.07953690949145963
