,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.025554103059216286,,,,,,,,,,,,0.04504974466912029,,,-0.08481929523601643,,
BMP1,0.04311126720135919,-0.1574769349818827,0.10742297570801272,0.05293722384048937,0.040394251277892236,-0.06482407033506125,0.15183771704894378,0.19059684900300192,-0.05633548894300905,0.045055997760267155,0.038125841718558554,0.14525933359408302,-0.10173026066518079,0.17734117579871797,0.10072611288454343,0.10193003237299912,-0.043578644203714205,0.005184645384076381,0.13257055869373377,0.18517016731406852,-0.01750334796457681,0.20393998767781854,0.07133971298803907,-0.0253319101162754,0.10320821120185578,-0.022385923551970836
NDP,0.08998272943984645,0.06667950376386711,0.048758396750182065,0.04039734257278198,0.027594551903039034,-0.07836315675084701,-0.12515919253698912,0.005917530583443392,-0.03660602340595494,-0.01550657145336149,-0.012816531696009473,0.04394645429628725,0.0795565132863462,0.06393671199140173,0.11486156825518071,-0.12345804033586205,0.07439171994882121,0.09179834459238574,-0.021421951735261603,-0.009261150971846835,-0.0248011520505176,-0.12519644052540754,0.047477319893064904,-0.05269412905756163,-0.1366552125190147,0.03349323920449223
TNFSF18,0.017116915717984887,-0.07186170827545522,0.002745610754720057,-0.02493319024664825,,,,0.008393092208767687,-0.003365874153642643,-0.03355975121776854,,,,,0.027566468132374615,,-0.06118171228967847,,,,0.020997504706412543,,-0.05713760244493489,-0.05019825382924796,0.10470044405672867,
IL36G,,,,,,,,,,,,,,0.0532633282123374,,,,,,,,,,,,
RTN4,-0.07274484095951665,-0.09630434338216831,0.13471254675567323,0.002743917822080375,0.12159378740588289,-0.0036303112252056248,-0.07815906062832387,-0.29425667335531236,0.18644201885349496,-0.07433022431068488,-0.11061310041672807,-0.23087111434327634,0.051478437883125346,-0.19171632864285462,0.026055646196371404,0.07941984763705921,0.12893413952760677,-0.09045270764853104,-0.10594190361641809,-0.04405863155751288,0.010781480591243965,-0.1519154507387327,0.08973228229087114,0.1538366857235009,-0.262279141655543,0.011389735036727291
HEBP1,-0.03851643976396593,0.1570007598278307,0.14662899289195439,0.03415030881115516,-0.0057493122397316515,0.007751844061634325,-0.04535101089188483,0.16213971858289397,-0.02688688236114854,0.009445202476694623,0.03981503715860062,0.11431696138105976,-0.038855875673103564,0.05778284106018318,0.11861825730011132,0.16348437381307726,0.09002321170231102,-0.005502662076381471,-0.05322343420282156,0.039151106610284085,0.05689649708098894,-0.04733188782162421,-0.01092929473373807,-0.07399029844244975,0.016502226514294994,-0.002898307705977093
WNT7B,0.014862444886355743,-0.1463364003054571,0.018838385049168658,0.007998569523875038,0.03754588606496427,-0.022832180676025007,-0.0516769382296904,-0.02660953356164182,0.16604904320035951,-0.009295854483788283,-0.08517018706271358,,-0.078694411147137,-0.009946776730416145,0.031026323882593375,0.07977265752420792,,0.014966098689383547,0.04569948499226362,0.03554584377319583,-0.013316504061166235,-0.020178231161592133,0.028493079206037508,-0.02948175185788733,-0.03267572139699915,-0.11830368560760714
PTMA,-0.0014809374414582425,0.048479474843563,-0.15291852246499427,-0.059833646157166825,-0.19091554916684705,-0.02172480553355348,0.05498993426831855,0.38221889711623225,-0.1016017943977823,-0.0658200751219905,0.07436650655384387,0.32210422923180787,-0.06526393662751791,0.21318582744730188,0.0247060713250883,-0.15676788108807702,-0.07663326259606493,-0.09289701966924213,-0.04548076379636443,-0.14209074876171915,-0.011502110710279711,0.042787366662653314,0.11107384142038537,-0.008227314528172045,0.20171985650170607,0.0568045988645081
FASLG,0.03233508987209632,,,,,,,,,,,,,,,,,,,,,,,0.05397588826716166,,
CEACAM1,0.04789480742888279,,0.05767656521677317,-0.02601883421435591,,0.04706484049675785,-0.014001662091168399,,-0.011549840167491936,0.016892336164923246,,,,,,0.023821599480709003,0.05269321690338535,0.031462534601811136,0.005932061277598252,-0.06022716017874164,-0.03988023278148541,-0.037300771481173986,,-0.044249316966338104,,
PDAP1,-0.0029053082212183836,0.07007177385773526,-0.04300616314394551,0.04887072477603621,-0.08448374681365833,0.0231416406696584,0.15474342213880318,0.17608434617333227,-0.08193881501124643,-0.008661294639863535,0.038155902166455494,0.07774603072166601,0.008683900870164173,0.10129413292209985,0.09241040378550452,-0.17349632952014651,-0.02683019206404014,0.032086234944964404,-0.1333295807526004,-0.010763166751440364,-0.0587285905566623,0.0007203964264710759,0.07800599318014603,-0.0169718530765096,0.031431959548225606,0.044913749505450455
QDPR,-0.032049480588982125,-0.121592137111867,-0.1043966482034794,0.0069492633431101365,0.042433693695338545,0.04779498569207588,-0.2129708041060344,-0.13753030152519263,-0.0263570011256481,-0.07443721753002083,-0.00010346023565797104,0.1461039493388983,-0.0443922711136532,-0.022570704805798304,-0.09287555742045016,0.06157994104993815,-0.05295237969233621,-0.2551681176034959,-0.07961969334983789,0.0593458257366136,0.08353907230341166,-0.07822433137016209,0.04186577421233597,-0.015501915333016626,-0.3286435609252752,0.07461565364907581
POMC,-0.013904374610198484,-0.1525628976034536,0.041286604480803075,0.05061570954949287,,0.07648328197273575,-0.08788256549503347,-0.03568911143410443,0.028764879558202235,0.02082408663291309,0.0698242099586111,0.10091254001590386,0.04664499016549833,0.004620296808569125,-0.017186546324315745,0.054408230976187986,-0.08160411246416023,0.011613274010106962,-0.10518403453320677,-0.0035406685003403627,0.01869954906149496,0.009294308299576387,,-0.06763593703721507,-0.024251787809253883,0.062156604752717656
CCL18,,-0.0133139806041474,0.05859510294040872,,,,,,,,,0.15229765121110306,-0.11368540347917579,,,-0.1096357863844566,,-0.0647849083824445,0.09266636685325454,0.12891316087223068,,0.20825572308645646,,,,
CCL17,,,,,,-0.059408286188854,,,,-0.018269371978893056,0.009022115590571754,,,0.020163752283815884,,,,,0.15504114910800912,0.0792051504025088,-0.06894480930557136,,,0.019461521682691264,,
