,UKF248,UKF251,UKF259,UKF260,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,-0.01999597049314023
BMP1,-0.015386052049027443,-0.0025898378623099546,0.015470737374184505,0.00790730111485056,-0.020814174090581724,0.03663309468583282,0.020772306472620416,-0.009774504377098108,-0.03708661949653483,0.018873571186160162
NDP,0.04551745820940932,0.0007837776412683,0.0054403270276060815,-0.03948159060828196,0.01633324686024287,0.032158931112562746,-0.025588598513112282,0.016914235691224695,0.0109599868098928,0.017125882553182453
TNFSF18,-0.01854619082627097,0.04531854065084797,,,,,,,,-0.021770490384582387
IL36G,,,,,,-0.013552787509216431,,,,
RTN4,0.08808889746532039,-0.04711819350266097,0.04458285324324799,0.034733682933375906,0.02321526332041481,0.015036456438250006,0.0015276322875386024,0.006663173072084297,0.09742198745641693,0.045009524714497255
HEBP1,0.01918887089545509,0.03474007150905143,0.0005013318305059118,-0.05988348070823928,-0.05191530803452658,-0.008116315379999045,0.02531021597616552,0.01648314402519324,0.07210761571405834,0.02425377019016145
WNT7B,-0.023396875436760955,0.08178749418489462,0.07554565296319533,0.05057350908374832,,0.008132606174828479,-0.04331625872621957,-0.027492776151130938,-0.0034852029053719087,0.098100090174515
PTMA,-0.06532980447921437,-0.0037886175463142146,-0.038042784360903914,-0.020456711303661047,-0.0792891594096469,0.001278878163798752,-0.07135156888925956,-0.11118978645610283,0.017170964943538303,0.0043803212111772905
FASLG,,,,,,,,,,-0.017342498386976612
CEACAM1,-0.023447901703697007,-0.01473442525312392,0.033633512753916815,0.035662407088213416,,,-0.00618865280103761,-0.022566768832069366,0.07330924633027466,-0.024129539356102365
PDAP1,-0.02609691347215009,0.02889594871051591,0.08581502087047815,-0.0005529686492375955,-0.038310199744853675,-0.022352501585294015,-0.01233561177604749,-0.03052280794715945,-0.01643771997580557,0.00580557452382479
QDPR,-0.014792218792028206,-0.033709834266238844,0.009392548890673053,-0.01455339050343914,-0.03532755049057455,-0.0016932848885042237,0.005652207478544847,0.031764518985234046,-0.036677461722350896,-0.0008866584549455598
POMC,-0.026644582034016207,-0.026180722906322552,0.011533542499666254,-0.016284471778571903,-0.0140845926972728,0.008136199122205385,0.0272980103682372,-0.03741318266574555,-0.028258709326727912,0.03607176285317814
CCL18,-0.017550974964261876,,,,-0.05981011760473989,,0.03542813848931071,-0.010060879280058185,-0.020259077920429056,
CCL17,,,0.007261072569791529,,,-0.012380856153176141,-0.017219976776806468,-0.032576547538064195,,-0.01571902688498432
VEGFD,-0.02926077516569591,-0.0211041080167014,0.03051503886884406,-0.014138103859097145,0.03418588283468469,-0.013268947015785886,,0.10187276116078876,,
TNFSF13,0.08434696544096286,,-0.014149249318125726,,,,0.04526927702795377,-0.012347631364143546,-0.026231122646120292,-0.02561284229521765
WNT5A,0.011678524970213947,-0.03858071493068557,0.0371661227300289,-0.009081798707922036,-0.06378726110674449,0.03434396717762716,-0.016440314858591834,0.06405290203673551,-0.020705364195379147,0.04111900898310724
CXCL8,0.025868720919214418,0.048374368190993826,0.027747713610946276,0.027699915984514958,-0.04447014470882544,-0.03989464649918143,-0.03298582142188963,-0.03312742215302027,-0.03590955374627603,0.0019360617090924321
GRN,0.05633918907625858,0.013092595686565688,-0.014724265950930428,-0.039943022880581706,-0.08938349654899597,0.008950814952758266,0.006122377480131364,0.06377533577014108,-0.06124880821750954,-0.022651340397160255
MIA,0.031134325366780485,0.015595598623219683,0.06737770824455688,-0.014464211219162741,,-0.01817243102158761,0.07626678224360817,0.011771856851072864,-0.09550370293505155,0.11634214984343498
COL4A4,-0.01577351930970724,-0.03156305680194098,-0.02624386862704979,0.012010598849370896,,0.021349765797763615,-0.035502083174283744,0.0008713375231716421,-0.047077412016528555,0.043152630373674145
TAC1,-0.014433856308447074,-0.006920980403170574,0.04168546953584993,-0.029116688374416506,0.006891707450877377,-0.031240385198943597,,,0.07160454283578474,-0.020664259218241412
RARRES2,0.004535843670795194,-0.00462208661117409,0.06438745489557374,0.07658433943613747,-0.029596071304413624,-0.03248402381960964,-0.04756690306206275,-0.04430688328096292,-0.03506126265469669,0.029453520375086056
FGF7,,-0.023819888213820403,0.06053476036598505,-0.02707035713408205,0.0029038038864527553,0.11321239107492735,0.06519997721452693,-0.009731173297261574,0.011893115863546177,0.055949087878953856
EFNA2,,,,,,,,-0.02144820353726974,,
HBEGF,0.020595225564622476,-0.017559365063297434,0.019955875653807208,-0.008815838697979432,-0.06714996155440589,0.05226950307666782,0.008671517986833953,0.04867294261966117,-0.074841568473674,0.05913460339255284
CSF3,,,-0.0005778649183712798,-0.02957240835090721,,,0.0026362704214709268,-0.04718612566452053,-0.03348899551821395,-0.01654971036377802
PI3,0.09969390374717112,,-0.02114482749753114,-0.035032313250031415,,,-0.0007805546437961103,-0.06060479198206735,-0.08852876135557602,-0.0010174395334824346
PCSK1N,-0.030186887979013356,0.033027706953991105,-0.029303693926421785,0.00953542666192169,0.10140452663585241,0.018872102009525552,0.04716114732676672,0.04568253510028888,0.04337025830834006,-0.012517670188371716
NTS,,,,-0.039756742950277986,-0.01757055301622451,,0.06341405894681372,0.054812301395615805,0.023491291285320997,-0.024507864310101
SFRP1,0.025953374805717938,0.010258144048821595,-0.017898184288991367,-0.016129128111250647,0.01573125802162297,0.015214093433968344,0.07762115119347608,0.0766013471004137,0.0013304105066585584,-0.02393836363278403
CXCL13,,-0.02571593523769165,,-0.015984171936624603,,,0.04289039060016086,-0.004732132119213137,-0.04751182994699193,
MICA,0.023589786220060024,-0.011045933065983034,0.024327475778171574,0.008669945318730244,-0.011512609490321346,-0.011612476230013238,0.05441736592239808,-0.025640254318002778,0.026472737652563957,0.028604479081496596
TG,-0.046078607587297954,0.047047076333153456,-0.019314976533110508,-0.03420926176659747,,-0.01859779291725852,0.051243191106128,0.09598266989915344,0.013983763258285277,0.04791598015676128
ADA,-0.029028143185897557,0.025430334740816588,0.016945838247640746,0.03820617484654325,-0.01775270409304728,-0.023185773933354213,-0.000476811496155091,-0.006908459765909076,-0.02884464291070859,0.061376986194007936
LAMC3,0.016551075106979504,-0.02635280266019134,-0.020611667037575308,-0.022907346718611298,0.043059384901802486,-0.02198949289976351,0.0017207752348159808,-0.05145383441772728,-0.03402090320094593,0.003920812435441825
CCL7,0.055004665480192144,,0.08870235616025049,-0.02119206087653964,,,-0.02580877597307741,,,0.055789481194789235
NGF,0.05627461150995814,,0.10785648994192763,-0.02262031928789698,-0.017570564585267883,,0.09177919506301445,0.07396825054995844,-0.05749328699251511,-0.020957037824183136
TNFSF15,,,-0.015550373307097926,-0.015690529959371858,,,0.008649754855346277,,0.016307763152848296,-0.0036231146821158857
HMGB1,-0.09336047307734087,0.02880070151217648,0.05426998454962271,0.03752798626956251,0.028299261908337776,0.00298621709488347,-0.06364303191930355,-0.015404168393355002,-0.059468905163977036,-0.02912338475746402
ITGB3BP,0.02968831707063452,-0.040345970324818056,0.03646425957447867,0.014349358167114568,0.08506892038393382,-0.01510433082488893,0.06141941323507102,-0.0012765798486255987,0.004993291691422765,0.038033548513517236
AANAT,0.0378560199556914,,-0.014149250828248174,0.03701631438508658,-0.016518914746256524,0.06299914585292471,0.05226701688535093,0.029775376319592872,,-0.01834907998866321
RELN,-0.04007985216649309,-0.018096227361294123,0.05717377770263124,0.030846080862282212,0.017709936154331314,-0.01838619532893565,,,0.0038854174200337256,
IL15,0.02633646961149536,-0.012452004159574075,-0.01724517959740909,-0.035675151122349064,0.03145971731168753,0.006457394451518278,0.0035838585688305145,-0.05232920774050304,-0.0068304132443873875,-0.004357187268518873
UTS2,,,,,,,-0.019280961481657557,,,
BSG,-0.01193737938907717,0.03387302800281988,0.017604700128974676,-0.018707536005063256,0.04088789216970965,-0.019596963170090756,0.13332013815183588,-0.05490165158259553,-0.063879031566652,0.07440131813647706
ADAMTS3,-0.029220154532782792,-0.016811080325174876,0.05313620039000932,-0.0008898370879224717,-0.0065693928479458805,0.09798930460747535,0.001988403094203869,0.03344763933738029,0.07303171935861572,0.08718160648610598
CD34,0.04233337721922451,-0.021983062884868718,-0.017225218298063196,0.05853944859626247,0.13613944679220139,0.007865744520440518,0.029923164783270836,0.011466930471010805,-0.002594419148938253,0.023406087700171493
PLAT,-0.004888738955069644,-0.0415709713088409,0.02363935663480072,0.006981771529044005,-0.06553549547642039,0.04837663036406353,0.0645899781447842,-0.006886666745495124,0.012426870331562126,0.01875257988474778
NTF3,,,,,,,-0.01780156552289175,0.03434683752617417,0.0677614460323454,
LTA,,-0.014734426765139872,-0.017898183451686176,,,0.07043453365228178,,,,-0.024695096392019618
CKLF,0.017291816493335204,-0.054093854973163706,0.01376591473973559,-0.01971870871887279,-0.040622730891321644,-0.011860386367913953,0.05203705976014878,0.02097931629920138,0.0004533719703513101,0.04983884254902114
CD24,-0.03300868983627185,0.057355558595754516,0.05201429091122281,-0.07254200294770308,0.04178044529080718,0.03595181625767007,0.014815352950955993,0.04440411545130903,0.08685402305611685,0.031918336063948116
HSP90AA1,0.04596617753112315,0.0076503760999839555,-0.025279620132946806,0.0090047331764895,0.10119483150348242,-0.014154661359508108,-0.06268708614245262,-0.05946721928533109,-0.04021682567292173,-0.0439676057591221
BMP4,-0.02929325748815111,-0.015619356103229122,0.02742075839619189,-0.027437278302692655,0.0958920520999597,-0.013124868374045386,-0.059483234613338654,-0.02418715386524184,-0.05073403408536565,0.016498635687345383
SCGB3A1,0.01901924666102231,,,-0.016836738756424167,-0.02907791273865928,-0.010747945407180028,-0.03928204809405196,0.023856817724223704,0.009835834467696505,-0.025074600029079994
IGFBP4,-0.011841030090202927,0.04557765237560892,-0.014182151118893694,0.007852135566850568,-0.05366555331887914,0.02062511703752891,-0.024306829445487104,-0.038160723147649324,-0.1156337548944344,0.006176592236392733
RSPO4,,-0.009811271092495154,-0.027396305541745537,-0.0010111148873525222,,-0.021366258104626553,,,0.008730644792073623,0.019385406177315156
LEFTY2,0.043412366697108344,-0.014915387943853465,-0.03999193432531621,-0.03016198532779541,-0.017570564585267883,-0.019014717734544148,0.11432027438713212,-0.02466158053015956,-0.018744136861890633,0.07334532760146238
PF4,0.05025304476847028,-0.013402963760947234,0.10552829209809361,,,,,-0.019658763470214696,,-0.024695090677391143
ANGPTL2,-0.019324543308248135,-0.017181252766423204,-0.03136097598192176,-0.03160063746437075,-0.0171200662421731,0.018260181400594103,0.007370232122754022,0.07390003823665657,-0.031705389197112445,-0.004458795036702231
LRIG2,-0.028369735548227425,-0.009410375355433393,-0.00677031842615786,0.021594244160811665,-0.052628604046549204,-0.03249491186115129,0.03130355792298418,0.011052833473527143,-0.0001517495891510615,0.03273389932077022
ICOSLG,0.020772022918914425,-0.0342246386583825,0.04320295755350051,-0.010373221301185757,-0.05813865168944095,0.011172140029868072,0.07042438115918957,0.06354168273884553,0.015145154455127804,0.04264185347285523
WIF1,-0.003330447200016632,,,-0.011484170157850204,0.1406130629697491,-0.023062187240183853,,,0.05751550564728984,
NPPC,-0.026526900551546426,,-0.018900269459235446,0.10007604144376084,0.07943786274652374,-0.021838641855912774,-0.015658793628552384,-0.014341362788067462,-0.016722363317981454,
LYZ,-0.010948229900296418,-0.014517176939609893,0.029472390844009256,-0.02304154607082785,-0.023912072030745312,-0.025111833854969543,0.03878806697198328,-0.022907366028180026,-0.02510228514783365,-0.020807498378317288
EREG,,,,0.06811285567757515,-0.018074976165215556,,-0.010413985065453381,-0.0293855701230159,-0.0362253003264115,0.05677711525270009
SPTAN1,-0.1010519978342594,-0.02189405470971876,-0.033529059451240864,-0.060124993883984124,0.08765461115067077,0.03804423284095112,0.0927484657414485,0.005091441221556533,0.07916140814431043,-0.04181679978638858
PTH2,,,,,,,,,0.01246451190193728,
LIPC,-0.02363719936827445,-0.003920800569924064,-0.021895417349886218,-0.01881369713327295,0.07031012459458413,-0.010349921017679708,,,,-0.03122394165181626
COL8A1,0.020176912017086962,-0.015764727423948258,-0.03893607636390634,0.011556962793693764,0.0003303062578884995,0.03291331095217667,0.00031163265044315534,0.09025264518705324,0.009431592139142981,-0.02756738042173351
GSTM2,0.007217313304984969,-0.029369355323252206,0.020898255714724805,0.014516081855856525,-0.009744532007157782,-0.004974854676949184,0.06921691767941485,0.03357850349021668,0.04544293066036889,-0.0291584301734657
SPX,-0.038229435565583184,-0.032127729060571306,0.02966002286346077,-0.03773264163346319,-0.016585371163612556,-0.04194146592649078,-0.02602159680194849,0.009259657312731005,-0.006412105138165675,-0.0009518531708212618
MFGE8,0.015951487332880373,0.03625032735416015,-0.06070630390874595,0.03332084382619903,0.0202403164471865,0.020678563073660675,0.027892515431426883,-0.031179926345286622,-0.058493545390908605,0.05048606829079147
TGFA,0.05452455026686262,0.02824354199744139,0.03547159705477259,-0.004816575376842634,-0.02809930615065839,0.0461460423994986,0.058911060420318545,-0.005011958112467198,-0.01371247480135363,0.01838435100207111
SLIT2,-0.027401580020177976,-0.02567111009213101,0.026514580166504906,-0.04788963108223735,0.09890730315544395,0.02465309861332395,0.093978611577863,0.017819891922822153,0.035052663853019604,0.009659647529869829
PLTP,-0.0024098963217316508,-0.0050489042608044725,-0.036734702918940966,0.011086637423743365,-0.051603112535796636,-0.013272409251745654,-0.013545722815516465,0.04409152288635572,-0.13799292573024968,-0.09304532729258502
APOD,0.016642836780839255,-0.005501867231447475,-0.005964424595536172,-0.009146653247463136,-0.08923456614605911,-0.054636874554569455,0.07888635877949747,0.02067434910387344,-0.04856567231978289,-0.07158003794955363
B2M,0.037759212491945186,-0.019985516699024913,0.04892770478804739,-0.024211562758435123,-0.07788733048955056,-0.024604912992481257,0.05373036107282347,0.03523742487660518,-0.13321862137127766,-0.045187970895111396
OMG,-0.05531505279321215,0.00785447459793196,0.03886445055980906,0.0057810750307033315,-0.0389204821922475,0.019228236408153073,-0.011324862180154974,-0.008488858909735665,0.015717276900090022,-0.05450071497993146
CXCL3,-0.032603416634014545,-0.027555217956397333,-0.029112445151194818,-0.011843700376749148,-0.02544495365969388,-0.011092882913494572,0.02662725699993561,-0.05793105316847387,-0.034702849997569875,0.016026773320564732
CXCL10,0.017060778413552604,0.022463162852804218,0.04667986772646537,-0.028342827351162458,0.0028816948240978886,-0.01762793338539801,-0.010817255557981714,-0.026368100820056823,-0.03006513096982305,0.04441428623784058
RSPO3,0.057409042251322075,,0.02648387096588449,0.020793778244272126,0.06798954043542677,0.046393278649463326,0.008691059005177816,-0.022111079090020965,-0.032236588415552755,-0.017599238444611084
CORT,-0.029860009504205847,-0.023936844539830426,0.02459761242114943,-0.022833247983272582,0.04539251745061256,-0.030752815025998113,-0.014239704489355104,-0.020571896793224062,0.04781586123389134,
NCAN,-0.01931257126116515,-0.049589111202121346,-0.0814081240651244,-0.023015727569743405,0.007650796434204922,0.08099153237836461,0.061962725776900436,-0.014488321101165698,0.09861623880741902,0.02973062804490644
PRG4,0.10697466971276745,,0.23201279520564663,-0.0134705312975329,,0.08536776922459167,-0.012461740222297624,-0.030355092595995052,0.03333268324495334,-0.00645566563135018
ZG16B,0.027763146620472735,-0.016128288520968488,-0.016207741474239087,,,,,,,-0.003016103064320734
TGM2,0.09354573182653174,-0.04016155164079466,-0.01152048343129136,0.04006993655296105,0.013888140546090657,-0.009569538546339558,0.008404153824592657,-0.058305406118684205,-0.040915417778503126,0.0033431939629043465
VEGFC,-0.035539768485704164,0.042295246141727395,-0.02488883342506345,-0.02073561136949339,-0.02042464436587821,-0.013831159865413197,-0.03321441202655205,-0.03066395493131385,0.02511035879741605,-0.0226253483571701
WNT6,-0.007385356526966731,-0.014915388335300412,-0.01931497733507858,-0.01856109525869947,,-0.012071137899470922,0.028513656620004876,-0.038233789676524084,0.003511730121765721,0.05007297963707432
NRG4,0.0030222121582598326,,-0.016995677935737107,-0.019187010257783067,0.024761023550807924,-0.016135661238497773,,,-0.00751981722491884,0.05209006177006135
PMCH,-0.01975776813810461,,0.02628405903391741,,,,-0.02623284421664387,-0.028863471785317334,-0.022113110746797913,0.08878587450044309
COL9A1,-0.0024477758932007123,-0.027726447924444165,-0.01775074516197503,0.0273583037677421,-0.01782440688789371,-0.000243178325952384,0.01595073068235161,0.0840473135347405,-0.022745037403204778,0.06206082408895401
GDF11,-0.09766043657134682,0.011132073608463402,0.008023739829370474,0.016849625012570004,-0.0024289986946979406,0.02372510105694219,-0.01820299164569184,-0.013109331145784345,-0.06563119570819653,0.050584995316898355
RAET1E,,,,,,,,,,-0.01930624169154499
IL24,,,,,,,-0.019558576516910856,-0.019345314481564967,,
SORBS1,-0.03507136937010147,-0.02789670461509904,-0.018087529252492025,0.06538499443651118,0.07364520263582995,0.02386044858115234,-0.016481353097955984,-0.0058850298414529515,-0.06575276199642696,-0.030338693378268312
DLL1,-0.03347880325230991,-0.04977173767707929,0.029040176288118565,-0.04318973345237552,-0.04630240373467728,0.028007314640054095,0.0034811398066286166,0.001107877874485057,0.06172593007247376,0.0004126335026093928
