,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf
IGFL3,,,-0.03160820748711858,,
BMP1,0.009921609132019988,-0.020035160705650052,0.13249910702928855,-0.0038627183140609233,0.0952063722767502
NDP,0.012888867942092435,0.10237405039532912,0.15931864027729725,-0.07598754144518664,0.07739656515704009
TNFSF18,,,-0.01993595223853164,,-0.03862782431373647
RTN4,0.03822764445049612,-0.017047571776449506,-0.15868947144971274,0.12485373173726885,-0.0024151494663262906
HEBP1,0.07480105575657468,0.050815761632481735,0.056584891434817305,-0.05436681202187172,0.038549061718825474
WNT7B,0.030672150759060424,-0.017226235326872587,0.011304874115052918,0.014307570269434924,-0.03862778425958437
PTMA,-0.003846828066676496,0.08066063314447146,-0.17942024302520274,0.08897975800071939,0.018486748456425398
CEACAM1,-0.061634384269076685,-0.04237318098500318,0.05604719774317639,0.011047167937148297,
PDAP1,-0.06302879456591844,-0.07168790441562888,-0.0032477858178063643,0.028698521725330817,0.09658288394277212
QDPR,0.030310535792098504,0.06869963295729888,-0.09366020431793236,-0.09265192723818645,-0.021706826820950684
POMC,-0.005972365471180424,0.05033902312714058,0.030473351598288713,-0.050592474888417324,
CCL18,0.03532252938575052,0.02008512037415344,,0.028280925323075266,
CCL17,-0.058893658565648974,0.04668214785632147,0.045485519233133556,,
VEGFD,,-0.0027558071903599954,0.0657047703398737,,
TNFSF13,0.049800874067617726,0.02850585186161108,0.09537479714323013,0.02480203453781899,
WNT5A,-0.03017900215610819,-0.01753331764487787,0.06576369155010044,0.05900927721490953,0.045195163911373716
CXCL8,-0.0897310331307795,-0.18508948091487784,-0.01858651336238484,0.02235577637128892,0.043763389488194464
GRN,-0.03904018504355684,-0.014232645034877334,0.1774011811140528,-0.11832763417532545,0.027300148428215456
MIA,0.19466361386073353,0.25907750328745216,0.07765626145190384,0.04501754624868492,
COL4A4,0.06990813278722491,-0.015135364736152582,-0.0710539162153862,-0.0059803208836968266,
TAC1,,,,-0.0738761441720538,-0.031065227476325067
RARRES2,-0.043866211015944345,-0.0031239253730959,-0.04923435572790275,0.028896347966025478,-0.08561169047584546
FGF7,0.07771785486426204,0.06212278939731615,-0.0248602086265833,0.04948827354381981,0.13467093430720367
EFNA2,,0.022845334079994093,,,
HBEGF,0.02457741391789642,0.045462988112310046,0.07561798646035718,0.011189059442088287,-0.06783529600594872
CSF3,-0.10125876749276948,-0.11110547802693649,,-0.07086799457705512,0.0855170477398843
PI3,-0.1207795152926486,-0.15309073967352518,0.16793571196037568,0.0960375287647749,
PCSK1N,0.11862200675587055,0.030729415312367604,0.04795616451999978,0.16315138127532333,0.01102512570402981
NTS,0.026702682923992485,0.02349280491901871,,-0.03152790496554026,
SFRP1,0.05410543605636634,0.10224429312084538,-0.026581967408455042,0.013957716484914836,0.1138718394805048
CXCL13,0.02302495870697712,0.00013517689084723133,,0.008792685276966953,
MICA,0.012156333699541763,0.10603144269018275,0.10611053656840877,0.015963404575760645,0.07950470263360841
TG,0.051954917316253055,0.032585201121327366,,-0.023018416129574826,
ADA,0.05706771380274585,0.10208478025190414,0.1290074276302736,-0.042018346711042126,0.08743716984443956
LAMC3,0.016800806629435065,0.09658342065463862,0.10638229081676909,0.0032823774326950824,0.06950217375875363
CCL7,-0.08481762386118348,,,,
NGF,0.05436616656452129,-0.026440058279638544,,0.0028190566578624844,
TNFSF15,-0.04470471832246411,,,-0.03269021901599785,
HMGB1,0.0124384494793377,0.0170321251645033,-0.059739742712123275,0.0493005307589393,-0.011335939250819327
ITGB3BP,0.06956521812925341,0.04118696268808325,0.07623536261111993,0.05520343195743495,0.017362282531324724
AANAT,0.03548898819715538,0.056074272061458964,0.05279359033948066,,
RELN,,,0.004764828759659573,-0.00589462284004761,-0.030152542134350226
IL15,-0.016590577763466865,0.005293447451628311,0.020160375206668232,-0.04129492801680648,0.15883498113671957
UTS2,0.013100878173603935,,,,
BSG,0.04260176724531013,0.005560125420253286,0.18977854247004364,-0.0036308498954079446,0.0662001863982853
ADAMTS3,0.03630490643426621,0.15649139011935984,0.034441653248105164,0.07806894121367322,0.008088407511599229
CD34,0.059059400547007625,0.031467645864718806,0.06659451054709903,-0.018096122471805608,-0.0051771285536599656
PLAT,0.13230109448512647,0.16880165566695998,0.19468171869860237,0.11995052168462589,0.004115045553157736
NTF3,0.08046916070147882,0.1149803437643536,,0.042782242645220826,
CKLF,0.05661385772316766,0.06832625132913697,0.021092498217783633,-0.02852339915073359,0.010067836677170587
CD24,0.09511133168553877,0.03935576276602224,-0.023133224135677786,0.12356137741185069,-0.041308048390585196
HSP90AA1,-0.08755364443690479,-0.18194131473620928,-0.019002368926808594,0.05069960851549294,-0.1361550423462975
BMP4,-0.03338717518948177,0.02397765274457375,0.08801385410595146,0.021851626219457236,
SCGB3A1,0.025895046605316656,0.06276278774607963,,0.005985245640971227,
IGFBP4,-0.06636988286334541,-0.07228879940740376,0.19011425591059353,0.00017123656999367965,0.022662011805333827
RSPO4,,,,-0.03241700650211463,
LEFTY2,0.02947592396177377,0.0034832860700448197,0.11215472440695282,-0.03445447322256671,0.12222239421831088
PF4,,-0.013205342730861384,,,
ANGPTL2,0.1271499324034933,0.07632354583769915,-0.061903287524749495,0.030731282680552148,0.0553831517963694
LRIG2,0.05910459741779568,0.1106811466983196,0.031013724493913125,-0.041427761160867924,0.03817213600562536
ICOSLG,0.06183246115309209,0.05365576837564977,0.03665384921301199,0.03948503063892939,0.06203532857922975
WIF1,,,,-0.036761352498908884,-0.03736490191795146
NPPC,0.014565044425539356,0.08210920899049377,0.12362281431037192,0.07112073698880028,0.03863182181290033
LYZ,0.031176220214077625,0.08849146829225431,0.09225598334376171,-0.030070091113695532,0.042348157912343164
EREG,-0.0068903036667687535,0.03170478698063866,,0.01868261926121796,
SPTAN1,0.027853326715007364,0.09011650878310817,0.07630543170107118,-0.05536566472318858,0.005898704538759248
PTH2,,,,0.04086688341272132,
LIPC,,,0.07734707380634825,,
COL8A1,0.05163819437595653,0.15196164017426403,0.15810684026070038,-0.012884386792780632,0.09529739951009565
GSTM2,0.05827827897058637,0.042420143518815116,0.10577258021663662,0.018505236743540907,-0.048514495284534144
SPX,0.012558482404076324,0.0633152942668784,-0.1371911667397892,-0.1324640477922645,-0.04857702821525959
MFGE8,-0.09732359987667026,0.02074961266590137,0.14846483404713612,-0.04298483710131152,0.08596373207255323
TGFA,0.13519734364791938,0.13648700011594678,-0.008685732671011278,0.061659047863690176,0.07996218199507354
SLIT2,0.07873888945326665,0.06565297233532501,-0.002110428259985769,-0.01815133453111155,-0.017279924768934616
PLTP,-0.051025658919406774,-0.09885147522744833,0.20032265914223144,-0.06100470317038891,0.1513239522725437
APOD,0.12310854706381774,0.20907679806700674,-0.17279561072278915,-0.07768912313453996,0.03870406374580867
B2M,0.027825430157742363,0.05430444790593123,0.1688283608145366,-0.038308429446010685,0.15399725677337678
OMG,0.06392481619871378,0.143292024050352,-0.15258160219085581,-0.056268751181632944,0.03030392372841459
CXCL3,-0.07328834079738042,-0.01692294497848674,0.02113577527450789,-0.015923555770268525,0.02960146499832037
