,MGH258,UKF243,UKF248,UKF259,UKF269,UKF275,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,0.02887134399246713,,,,,,
BMP1,-0.016475260909446718,-0.04967055596575521,0.03692918107844806,-0.017120395304833516,0.08757373418223102,0.008939878746623563,-0.015399140617554982,0.01879361158588328,-0.014970264889146613,-0.0625307795727111,-0.08152298754428271
NDP,0.04718982510774321,-0.023792107879495067,-0.002281524178528329,-0.006760664783384592,0.019039911506665338,-0.004686219232814515,-0.023586144978061278,-0.06294219611981186,0.011650579101808285,0.05738931313229367,-0.001164703046819947
TNFSF18,-0.019279987219288242,-0.022596678342062044,0.03584357919683806,,-0.02517862607571234,0.030762765961729718,,,,,
RTN4,0.009739550274830248,0.05749110375656618,0.03806064826358798,-0.020455614236575766,-0.12557222020045894,-0.03998400676725335,-0.0019764974975955414,0.023240525802970962,-0.008074757272498966,-0.051223224863887556,-0.023384975139951344
HEBP1,0.03155983343924488,0.052165050719699076,0.02307700536321468,-0.015137651513841038,0.04693374268796136,-0.026994092876856002,0.048175072179161296,0.033341839058121485,0.01641058912719988,0.044512971626097374,0.05969646958844307
WNT7B,-0.01698506487420097,-0.052740898438842256,0.06843105268905995,0.025454417338013083,-0.07017889731970331,0.02247199346795423,-0.05524039249672013,0.06906255926552145,0.06292838367424267,-0.00815793996243573,0.014388840399009969
PTMA,-0.05370412977485245,-0.04096689428471897,-0.01118370322987803,-0.07117591105844523,-0.030479018896928108,-0.04922935061859272,0.052009848843730465,-0.11398720976183882,-0.06704647090098732,0.010253074384573648,-0.062300454190775886
FASLG,0.09241619962082694,,,,,,,,,,
CEACAM1,0.017410212745657207,,0.01174810424822842,0.05608001908996108,-0.03313363784832525,0.0013190324763206374,,-0.030491466819471534,0.020938466416811317,0.047945383861568686,-0.021768430572552195
PDAP1,0.031156937931532607,-0.02009078128473671,0.022349018947651768,0.04299757565419459,0.055269170942662385,0.05212457864635121,0.04123495010452978,-0.16274064754879522,0.04795403140730062,0.0245209152489397,-0.010337314333936766
QDPR,-0.00991412955258229,0.04142972940132445,0.009803945606422924,-0.028187285933739863,-0.029315504259003637,-0.028010910553784046,0.05420612944290426,-0.06754715060375806,0.0321552516036583,0.06156152213211418,0.002378110076536246
POMC,-0.04601672367054765,-0.04266629979458637,0.024085679809266316,-0.045269536271614896,-0.04271109610690486,-0.02421394794141291,0.006036048683687289,-0.0738484526616673,-0.06846911449799688,-0.008959224170148196,-0.025267817315220535
CCL18,,0.17777832335978574,0.005409992672241084,,,,0.020262984444566597,0.005371842168385082,0.03189977027549716,0.06204237034149979,0.007760185832979557
CCL17,,,,0.023249811490979554,,0.01782063581917296,,,-0.023748686367522996,-0.04038335260484756,
VEGFD,,-0.017575820494030978,0.06056045071168784,-0.010896255700259672,-0.014390010321438306,0.012247028973256508,0.029512162751637455,0.04359665767423885,,0.06344480648698347,
TNFSF13,,,-0.018020297909097097,0.032486628816412774,,,,,-0.045570162031858,-0.005879028321741373,0.08598615458608683
WNT5A,0.04272243265830825,-0.0005270362359833996,-0.0064890692828408324,0.028784970830909903,0.038665700718863126,0.006159346907462285,0.03455186103830707,-0.004676754136514897,0.013335543931168871,0.029936254611385035,-0.010241691504823137
CXCL8,,0.027152033543522303,0.004666773318960868,-0.05176340407413642,-0.00309204527897175,0.0050241680651371915,0.013820072037722893,0.17869379859770604,-0.051207739637063515,-0.0900476907382551,-0.042716617581497605
GRN,-0.015878875559420094,-0.00868116334387861,-0.03045118102180302,-0.0006866871634442891,0.06731613221535845,0.028561303745200065,0.03685680200834767,0.07028402036255171,-0.020154069728979384,-0.05840291528926121,0.01627608092155083
MIA,-0.02223199120683366,0.010321182543042743,0.024619360983320245,-0.005327870360825053,0.09426302749105851,0.09740143299018987,0.011860295706914844,0.06651788281378107,0.05039215493347755,0.13679452718272692,-0.0735765323065137
COL4A4,-0.019670780304333193,0.07983975050808888,-0.033395820709816865,-0.015232593446972536,-0.016708531120360675,0.014150213194807418,,,-0.048598603179070644,0.02103278887074797,0.0007709560579091228
TAC1,-0.016985060434957754,0.05808785352944588,-0.00033125713552342956,0.08254320476124519,-0.0689899577952392,-0.02526091486353249,,,,,0.052974259732382546
RARRES2,0.044804417134841464,0.09415585517940873,0.03864579069470631,0.030201854460777285,0.07366382602951627,-0.0040794218644721846,-0.025985867242119345,0.022546744156508133,-0.03409167856792247,-0.020931952715423422,-0.033726267801317225
FGF7,0.0038732224740612624,0.0014933913253611774,,0.019213284273532708,0.03277248498872465,0.036759233276476004,0.037072420340744545,-0.01382332198849944,0.03752412054604335,0.02076782782727419,0.0006363759169175531
EFNA2,,,,,,,,,,-0.026588157175773328,
HBEGF,-0.026601849284219586,0.06678503328847805,-0.007968276096733815,0.012628794835630008,0.0313429769901781,0.08879861984880731,0.03647564367211145,-0.012194865268180222,0.0018668518347420612,-0.0017221821986525797,0.044989750009726985
CSF3,,-0.03437162071104705,,-0.03779549855167101,-0.01767730432605283,,0.006342917332132558,,-0.030293882484126552,-0.06364578161034624,-0.031208018764328233
PI3,,0.029400545783453757,0.01869468649153125,-0.028325518034555273,-0.01990487798629842,,,0.043599844034474894,-0.09819117074574067,-0.09253306596968833,-0.11759783046651565
PCSK1N,0.03569572961348482,-0.026454481654132795,0.010215194939849752,0.012308483360052844,-0.012283057526219793,0.02775261075113979,0.05308389256771134,-0.01150527132090644,0.027089777819023553,-0.07409692748527978,0.0027864128492152518
NTS,,,,,0.0496851176768954,0.05907190259072868,,,-0.0310879567959204,-0.005444920115427662,0.02314067839696305
SFRP1,-0.02471369197187137,-0.003128593184028795,0.0012051315363873177,0.005351237631666883,0.0012742246754792637,0.03963115086876631,0.015192784387586079,-0.02414085718809364,0.06236873375969904,0.04319148754829303,0.033178301903879964
CXCL13,,,,,,,0.028617560661836922,,0.039139006509714025,0.0502017331885121,-0.020636584901008857
MICA,-0.012721365826557165,0.006862237999864194,0.0025351382295485093,-0.03099547230369038,-0.018479365600260336,-0.03954974996920079,0.021459161217053106,-0.04937491111344606,0.004799070533937683,0.04548660490440054,0.04944704408754488
TG,-0.01967077587144711,0.015106258723547874,0.05729767281570099,-0.029858327471580362,-0.02133492476891771,0.03904785460659176,-0.012802465639630329,0.011063978260627213,0.07710821287968009,0.1269518550255479,-0.011342498964530351
ADA,0.012272645946725244,-0.026002177242572262,0.04073027397792927,-0.025379890179148507,0.05414619990687237,0.022957723517050433,0.018368067739338353,-0.11161893207219684,-0.004490391949880022,0.003968955771996817,0.04905321026137038
LAMC3,0.05992872085089211,0.012952098927719454,-0.0124080601867411,0.050444098396394764,0.09906354040885335,-0.058189457941198286,-0.008073275288913887,-0.04577026266855365,-0.002092926692618922,-0.0015301116717395394,0.0262382523041598
CCL7,,,0.05790675410334504,-0.02158752305642777,,,,,-0.023473391504118472,,
NGF,,-0.019802467756457807,0.05354302880318264,0.030512347405556386,,,0.05116022761368272,,-0.03002982649855326,-0.0262307676118013,0.014576915849016912
TNFSF15,,-0.02449812403016782,,0.049166151792235185,,,-0.015859719586076428,,0.0422916604030492,,0.07827204673455875
HMGB1,0.025781903489080486,-0.004525507299255908,0.007691254991568477,-0.011595051027304059,0.11301995406531229,-0.04976308113069057,0.007052205064140167,-0.11196803845781965,0.0018683920079929912,-0.05169835769689934,0.003181808487133407
ITGB3BP,0.014836171482531853,0.05334599023952512,0.01936510783736698,0.012019660411492186,0.07770406939312738,0.0019579706822424165,0.05490669626451131,-0.04660397380385524,-0.00030628249214496595,-0.025977312801424467,-0.0029738341644711358
AANAT,,-0.035492792294473774,-0.018650090311317796,-0.021872817913246925,-0.01594540688390513,-0.02358076515321491,,0.010194590034990297,0.08215163586886598,0.05621937246404162,
RELN,-0.01630759471203579,-0.03414373699452458,-0.002737768500004279,0.048248599737111375,-0.028257027632795147,-0.04045206950590133,,,,,-0.006516325933924319
IL15,0.05337209646149147,0.001663151322834196,0.030072569801231352,0.005010729197467272,0.14055101941219342,0.0028987322024273776,0.029547281167863503,0.18150980058681723,0.016824442082197032,0.034805466613202524,-0.03013046927754063
UTS2,,,,,0.012609869705787594,,,-0.012227607878227567,-0.010352009960276696,,
BSG,0.04519761595863304,-0.01859027063253216,-0.04359672627447231,-0.03535589960028951,0.0017028995379271953,0.026575172784457302,-0.03487765315508513,0.09778796866422354,0.026848462931281007,-0.0022130815075728236,-0.020986735301036886
ADAMTS3,0.047211385505073616,0.04508638223717674,0.012922201444759487,-0.038562740369972356,0.08178717806789698,-0.009667535222426664,0.022995771356782078,-0.03982155191731161,0.049381127175269955,0.07255058320419462,0.049850503484776376
CD34,0.05555859571970199,-0.031207664696466277,0.014517119951375966,0.009702736916334017,-0.01626138068549295,0.01751975955382058,0.00557260732591663,-0.07103215763067273,0.03181996987667605,0.054905419614678694,-0.009969507072116447
CCL23,,,,,-0.018143341867140447,,,,,,
PLAT,0.02687942465365143,-0.016969583823959262,0.039410635022360585,0.08715161351666167,0.11344526360425895,0.042693591875738304,-0.01608331722001445,-0.12228209623352419,0.050641248013052816,0.08339092506944672,-0.0021000782778699714
NTF3,,,,,,,-0.03378214334564563,,0.06269743515547255,0.08830705526887644,-0.0025802694333143692
LTA,,,,-0.006776070185645003,,0.024915514023928036,,,,,
CKLF,-0.06541464640847235,-0.0463794646407809,0.020709995525941206,-0.05342462057520749,0.05773921737147639,0.04421713998114128,0.013529424490700557,0.05936924132631496,0.0444434407243564,0.09082141179278486,0.06524646404603147
APELA,,,,,,,-0.0010643477485051025,,,,
CD24,-0.0454531657284417,0.03751085179716953,0.006617184828775764,-0.006662531909775043,0.05683620488235444,0.00998799391263627,0.006267204376590957,-0.12861294143132815,0.02728836866716191,0.03538677897771362,0.04031399557287852
HSP90AA1,-0.037450649053448457,-0.02762600580950329,0.006805112850458558,-0.001950744303983667,-0.08514821848310335,0.053014192703372195,-0.049775541311772156,0.12670315981034003,-0.0995829766274779,-0.11218247583389811,-0.02979464100825808
BMP4,-0.020244084084183545,-0.013729281530284413,-0.01604090539820061,-0.030268730834531694,-0.021101518547615588,-0.036531273060262194,-0.001944775074748721,-0.04630457535953243,0.008988062860521792,0.0033316039444891074,0.08351083502604856
SCGB3A1,,,-0.025438098381602985,,,,-0.009236177449906718,-0.05068379152390268,0.06852532926072727,0.04762648978716794,0.07696406718025411
IGFBP4,0.06436892924833126,0.07342023109521832,0.016322579307621776,-0.051300282427988,0.041237055075900135,0.026890508529786476,-0.0018784810936977158,0.0492453287079218,-0.008407174314996456,-0.11227911794431915,-0.013626032321020286
RSPO4,,0.024589583578163487,,0.057315769607602124,,-0.026413966634768492,,,,,-0.02710356765313284
LEFTY2,0.07653407422535838,0.03358461766040282,-0.0016350049250563716,0.004278004034711223,0.050304089680755545,-0.009944684180817058,-0.017932424125630522,-0.07880283424585549,0.10307998212143309,-0.002661609153261971,-0.016110137395781793
PF4,,,0.0006984979414446624,-0.01883468856716937,,,,,,-0.024369886835471328,
ANGPTL2,-0.0027533271302884023,-0.035997801405276614,0.019616994199902846,0.020597918214114237,0.04175140177254144,-0.016381363901552926,-0.03483570397244903,-0.09688864561453543,0.07335677535585054,-0.010967102407563923,0.004544924930573226
LRIG2,-0.04463325762146562,-0.01640764264765505,0.005976962155395691,-0.04074773607184647,0.059548350331600164,0.05341612629602817,-0.013317612551020116,-0.03164462275312773,0.03489042930814713,0.012600900105156451,0.006199140220235843
