,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.005622230962945218,,,,,,,,,,,,-0.010200131794624735,,,-0.005825465747705366,,
BMP1,-0.0006202956034537822,-0.02433069109806088,0.07742514562935816,0.0003662153151665807,0.13369542044618962,-0.051724950706755646,-0.07919349183074131,-0.09692854228618161,-0.20353192786057478,-0.005648062749929817,0.010969201245911227,-0.13853401940128646,0.059676862933595816,-0.28060972405519985,0.16208026741807507,0.1393455688115504,0.010467204179006265,0.18400698568182208,0.014996959944338315,-0.019372358592957942,0.12572041799172634,-0.018819597519927355,-0.03032583504632168,0.33033735372845896,-0.05208167821045962,0.10710415669496626
NDP,0.01314173303322227,-0.08237510774971418,0.04168217285049478,-0.014975577362974881,0.12501532946832372,0.026741310055115413,0.20912568311712001,0.10181821336546443,-0.07911622256666921,0.0320555068236818,0.016567321133322373,-0.12753267428792664,0.0027232763482923036,-0.044999182423990175,0.12001963716514305,0.14359039395421605,0.047072153337856026,-0.008190067789108102,0.05183439240707873,0.17646035200493695,0.03938125639943283,0.005218607667749742,-0.03617702685547559,-0.0324012087389001,-0.005885801864661192,-0.03104293086021867
TNFSF18,0.09013454286195209,-0.04141534027826562,0.0423300287044392,-0.04605841677253273,,,,0.0038328495131779773,-0.021242979391067358,0.04950174684588408,,,,,0.10905950189980897,,0.13350528892377406,,,,0.020339110812272382,,0.11031833135233016,0.08654369059905498,-0.06733994101340594,
IL36G,,,,,,,,,,,,,,-0.005171307079921686,,,,,,,,,,,,
RTN4,-0.04135330760150421,0.2727189248069421,0.07007708665951835,0.03815945414789922,-0.03279981648749252,0.008495705429610126,0.18874075822307587,0.3522524345722501,0.2917090772095992,0.05912615912238821,0.10416780131570867,0.3728955684959151,0.009683638659675173,0.4184959178820318,0.04111256397136954,-0.04109207176150041,-0.033725232585421754,-0.06427323181076487,-0.039333977174138,-0.04821955907251743,-0.21372415078091164,0.07066209497149296,0.02203601124986986,-0.0018264182665314274,0.3030794444726685,0.0343228830222017
HEBP1,0.019333867682330575,-0.018158848505290526,0.058843162641088666,-0.02688859813843396,0.014321369599348942,-0.023163905619521554,-0.058356822539596134,-0.07601224410118627,-0.07853956989800748,0.029063840227783383,-0.03365222424301315,-0.11024302406338388,0.049475734651266486,-0.03281473315967186,0.07447656785268873,-0.03383507648140624,0.056717602139697114,-0.06121636219468441,-0.018737944498527743,0.137318770291747,-0.06646633839672757,-0.041464331708331095,0.05954894553466774,0.05205948994271203,-0.009184110112542382,-0.06884640189797266
WNT7B,-0.005445944912606629,0.3551650871306751,0.01754427904770811,-0.01745836104555483,0.13630555715040152,-0.04711294746213028,0.11144352022159197,0.1862118127389948,0.2828510695474326,0.019631065628623434,0.06006297431384267,,-0.04279205404751073,0.18291214271575804,0.06295998811362316,-0.05588086299089745,,0.0043292705634308875,0.0019101067338847299,-0.027787860867106797,-0.020593169900701626,0.05511376479725602,-0.0535881712810154,0.11473266380580338,0.0034143868309714316,0.02071899043447168
PTMA,0.028111436140514798,0.0006932795890924946,0.012914821756878124,-0.04896004534197369,0.07715138119615614,0.028629142222562486,-0.2202913719788585,-0.3547034588228528,-0.01658779678681968,0.0443541475294338,-0.10686542312976371,-0.41411923801953393,0.10809646570281953,-0.4499660247569358,0.1350779487469247,0.040881204344063636,0.16758178282234854,-0.107431447562747,-0.042866420526532584,-0.09257783424068694,-0.15966352810912482,0.051560432254547435,-0.059209901610918235,0.16622019289252057,-0.08002198855870445,-0.22565007240076543
FASLG,-0.02421281365817596,,,,,,,,,,,,,,,,,,,,,,,0.012625397520916418,,
CEACAM1,0.07768482242086891,,-0.019265524956762363,-0.02568864445615074,,-0.009120089667283943,0.050544283278123096,,-0.0352272517298391,-0.021099097332423482,,,,,,-0.06556450602658079,0.027783300683327846,0.0949197622822361,0.05765051708271392,0.028703518353148265,0.05325018991198586,-0.0024482010060493486,,0.05771372141696155,,
PDAP1,-0.03522704227811073,-0.09108174642607363,0.026959374035574656,0.03732684372959361,-0.016030400746453247,0.043189426826600465,-0.09062736270745175,-0.064433506526793,-0.12399118779451712,0.002828104355646558,0.01979127466198241,0.05251531435719482,0.03710238430984933,-0.21469679049199447,0.07750645401192464,0.09555841664628927,-0.027190468097197704,-0.01945961056766027,-0.08743926613942915,-0.037032675524111734,0.05643165129707259,0.04119853710454682,-0.08572095714332525,-0.07825641409485035,-0.11042639203133489,0.062056753776067244
QDPR,0.03748465660387024,0.1472826644803888,-0.020902161058851964,-0.01577501228447224,0.03918061342839138,0.006067112070536408,0.25832357278935214,0.0255455261135364,-0.09121254324379933,-0.008377594347940507,-0.02156749228777046,-0.34329612269078374,0.1522633872748539,0.055834586196837864,-0.05186214753699973,0.04542296505065333,-0.020240209736032563,-0.17242601251483264,0.08765103135041116,0.1166383696515025,-0.14955258292454437,-0.01154152645962439,-0.07955884838188221,-0.036854590130972135,0.22784146251440415,-0.015605503030322345
POMC,0.00040493871563374793,0.17124671488007845,0.08205213576678379,-0.05853944230342955,,-0.014736821228337246,0.14493407845067247,0.03840951656496806,0.045732849625550374,0.02673940897761688,0.038027620688100124,-0.029379521345974748,-0.007999736818190877,0.08621066204899232,-0.0017924178223257881,-0.0032777475884036345,-0.0016748028341935538,0.09773552214828156,0.04956907845043978,0.1331475310658988,0.030858740356928115,0.005459729015068402,,0.09729640649093714,-0.006061560821226523,-0.018606566955399122
CCL18,,0.04011629603457494,-0.0626853106247957,,,,,,,,,-0.19504830551745228,0.07659677959464854,,,0.05550363231740699,,-0.04995487427435705,0.033854185689633796,-0.0022726429496454374,,-0.018660013860032323,,,,
CCL17,,,,,,0.016172062735197095,,,,-0.0004981151426396091,-0.0025726131042395927,,,0.020080947424822176,,,,,-0.09746682719468949,-0.06127903633637104,0.007042270909715489,,,0.06910983427479045,,
VEGFD,,-0.06257889759536954,0.050181161230593296,-0.0052648740508057,,0.012899119393571369,0.04190957397899078,,-0.011357317344748756,-0.004686148997260654,0.023013408094681675,0.007924710122461301,-0.013338592240660816,0.020023505753826977,,0.015352473314909371,0.07847546122624137,,,0.06560090630964352,0.007102490560455753,,,,,
TNFSF13,,,0.05607900835890659,,,-0.0073467651985392474,,0.033753053766186,,,,,,,,,,,0.08350428157417968,0.020154983672197653,-0.01054033251663794,0.008150026777938748,,0.03302345905934671,0.007802268723663908,
