,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04282965572698871,,,,,,,,,,,-0.05372994710553381,,,0.1390602825200826,,
BMP1,0.054934939163505524,-0.09256408957528163,-0.04461436036019633,-0.005113458220342338,0.04774952699939682,0.010883953839226135,-0.07227900609412213,-0.1697253889478382,-0.4117855814139826,-0.10027196803176311,-0.0242472349982375,-0.2582383474432144,-0.34212007481955614,0.11218769363257781,0.08249703488693394,0.029627305595337487,-0.00609073364380273,0.15593511361282505,0.21881342037133092,0.06777417365750385,-0.11700957982186072,-0.05655311013608217,0.04646147155856644,-0.16245629674738424,0.023691654916610957
NDP,-0.0028257302010091345,-0.09672772790581634,0.057434026079280526,0.04399198917633569,0.11058672528673431,0.03258725028253843,0.19853793131369082,0.06996065954407005,-0.09656935132615754,0.06024953058514183,0.035371544063959155,-0.14858161962327684,-0.05586568835431677,0.05395580822116328,0.050602410076349864,0.097875398570187,0.028272885349493793,0.055296805889402244,0.0910083663884919,0.032323133735801736,0.07467291192203429,-0.08491559726392184,0.04106046728594292,0.06242974311449369,-0.06745624136219593
TNFSF18,-0.024184983847720665,-0.06570385994249991,0.017432057986830552,0.06997092416567767,,,,-0.06506170821846538,-0.06619828106313874,-0.058312519400657715,,,,0.020376974389788926,,0.05007016233791974,,,,0.017109133238948544,,-0.005161427547090084,0.008311934490789718,-0.089527474714149,
IL36G,,,,,,,,,,,,,-0.03749110316412042,,,,,,,,,,,,
RTN4,-0.09028029266450324,0.3990076801281912,0.043498609885564796,0.10947961934270212,0.07054798025461781,0.07289000747561988,0.2823157937617219,0.45264178265795096,0.5285006018537277,0.21782724806676945,0.2063159118653263,0.5729135193823177,0.5502564078288936,-0.04863254759235989,0.03260497273444998,-0.06137547686160898,-0.014617487034113308,-0.06469084779234227,-0.06475973398185432,-0.09186753114129503,0.019936998302122522,0.16281824600343234,0.052260553976396236,0.563934316679534,-0.10749939045306026
HEBP1,0.017298077361182735,-0.099246975880586,0.01472761379750958,0.04559444271786327,-0.00294455318474875,-0.05229549233928498,-0.05109806498504612,-0.18113964551519754,-0.22026231619289044,-0.02715655942818974,-0.056396505760250806,-0.25100377760354664,-0.062849576311561,0.1209788684901927,-0.03875716045964088,-0.1512294518608685,-0.019936443658887887,0.08785667290744885,0.018832351901887086,-0.07156514830063594,-0.0062214108940431305,-0.09729056980512393,0.058203450617203355,-0.07627263489787138,-0.09590525586011278
WNT7B,-0.03318024818569955,0.38790818754651607,0.05066262804041642,0.014466529325439273,-0.009201177533819747,-0.04848613891990087,0.08416667590739678,0.12063626044771189,0.3243908811394304,-0.00724207500941461,0.1271155333505946,,0.14826613187117654,0.12516473525129868,-0.018606854762321746,,-0.03653398516291375,0.03144672112324654,0.028468257285228726,-0.00042708935224329634,-0.015249536103254257,0.16442917800767576,0.08153991354718196,-0.01684317164241436,0.056161920226880165
PTMA,-0.05038500172928063,0.07452125850574857,0.08164067608060138,-0.08754957863821283,0.19461973800684568,0.013210493222497217,-0.19965246334339426,-0.4540118485394065,0.06762493886250255,0.1111864311988624,-0.18905376669818638,-0.7413156325724665,-0.5223663227080146,-0.032478337929671516,0.02824419513443619,0.03778472530481427,-0.0474109844121155,-0.21307221155141437,-0.0774185677759543,-0.08488562631010434,-0.06324415093385673,-0.006833481582316604,-0.028052867541397932,-0.33321442834755155,-0.295771565315929
FASLG,-0.03318025756567071,,,,,,,,,,,,,,,,,,,,,,-0.04501971206134121,,
CEACAM1,0.0071323514812086704,,-0.034259800441956374,0.020877704168456995,,0.08353417050953718,0.0045401050569241,,-0.10607069477972171,-0.008342611469755772,,,,,-0.03209301117898883,-0.004908552132016595,-0.032764263071663656,-0.0650506691465247,0.04184162372792526,0.06932598974780525,0.013382152720172232,,0.07003410267796095,,
PDAP1,0.07150200282648161,-0.14751626571872875,0.032332449599725685,-0.045605208376794305,0.03165202707384472,0.02065769482986348,-0.13705938763926281,-0.1799907750782535,-0.32335740563082976,0.026838487636210388,0.01045673171962886,-0.017272440032809658,-0.26838401924630345,-0.01548777231823673,0.11628253795751343,-0.00048491002804041533,0.06666177718017624,0.018556600956457458,0.03904367210456495,0.08925345378415915,-0.010158673256965659,-0.12630438010309053,0.031087012656554752,-0.12114936454748551,0.0038512693770228917
QDPR,-0.02744387221085613,0.23916600352523681,0.09481124820297358,0.0294981410755699,0.12366217867693509,0.02226435645831971,0.2814720803725096,0.15267712759437777,0.16406847211662967,0.0949453747764173,0.013838454701608648,-0.44225542516691413,0.11968376404728981,0.01589845491391185,0.08375158762308733,0.01727040557304737,0.004882424924823421,0.008471918601155422,0.033751188854852024,-0.08835669812762259,0.13542655360104122,-0.09152916847163345,0.10912216147357977,0.4400784020513873,-0.07939625250947425
POMC,0.05921745219730042,0.22946660366404284,0.023271168165111863,-0.03506747298352695,,-0.03814355229817129,0.14475413261273634,0.0378996302296803,0.010229581077690062,0.06346055256114717,0.00584033250504304,-0.13731350637015424,0.11733709950286654,0.043777351951147236,0.011662087267032049,0.0491136231725146,0.01418412413918848,0.010369434577095193,0.07808019162109966,-0.000727172797106444,0.006519515961593565,,0.08865484523999925,0.05048954123372728,-0.06003227106212582
CCL18,,-0.02162936693308196,-0.0627617510207208,,,,,,,,,-0.2734410890929838,,,0.08279794288643563,,-0.023230401213969493,0.13430677666734075,0.12364079818700224,,0.04363493984738296,,,,
CCL17,,,,,,0.012257847954872154,,,,0.0052636334535314765,-0.016984292019019975,,0.0447540419707995,,,,,0.08829423062935739,0.07749029169104939,-0.024601685979056723,,,-0.03055795084818201,,
VEGFD,,0.020112676327718203,0.036022437699301704,-0.0016162204581635499,,0.005039101790589859,0.02934101917228364,,-0.08335999903863932,0.02928486621963187,0.025031851248151295,0.04994184228950801,-0.010665198514758374,,-0.07976017121118638,-0.02396869477544902,,,0.05791158903435554,-0.0011956614325712282,,,,,
TNFSF13,,,0.07207727968358321,,,0.01069871334959835,,-0.030952941309934996,,,,,,,,,,0.03167332472505686,-0.02537841816142007,0.053453858469063836,0.0007976558945435342,,0.0008398219768327401,0.017173274430749747,
WNT5A,-0.006232839178158216,-0.052971796582151384,-0.019856901947742686,-0.09163826921125734,0.02353246162105934,0.0656937921248801,-0.09783557666072691,-0.3125446021571081,-0.31627092695448605,-0.016148781888588818,-0.08405717659522882,0.0626947460972314,-0.1443983428273562,0.046009136268828535,0.018458103318542567,-0.006728000922061981,0.04548572779068666,0.05226668544219099,0.05861337904824705,0.04797027651079089,-0.05093626923025818,-0.048828871329061,-0.003152827389540042,-0.23935794298963634,0.05261485346622367
CXCL8,,-0.2163862457740691,-0.11805123435843985,-0.012878705186890506,-0.09049923311145457,-0.08642580859183796,-0.19417561870502809,0.019453966468051555,-0.1396325293987742,-0.17063925843585284,-0.013675313434513052,-0.2503415069536365,-0.15397738343868692,,-0.05923934167188354,0.009208181738506785,-0.040900778806669515,0.11180527921371063,0.18506180448476295,0.04205397907315185,0.05560090902932327,0.021633859955285415,-0.007650416252394098,-0.31674410929317287,-0.08394869492782293
GRN,-0.10853217835136071,-0.10782887413696585,-0.11546583180405756,0.004464385805746938,0.11778080965189482,-0.015442656553267002,-0.14203496317937525,-0.2691955973970342,-0.41895837930091107,0.012543262563401816,-0.12075610739467676,-0.43742580941504744,0.09084854706307108,0.05652795083650244,-0.07507403975110558,-0.004699056349091199,0.04774440579887844,0.04282149430930552,-0.0053379255609881954,0.10554199591821008,-0.06523676231706328,-0.07669188872765853,-0.07314710036618319,0.16078753559994707,-0.05547452181337731
MIA,-0.03174822131901562,-0.06732280298405285,0.03273010677423913,0.03919121842444781,0.02487114853006158,-0.025330535927616867,-0.09081366212357002,-0.03843127776280013,-0.14942055310046656,-0.04998091569782035,0.01750374932667195,,-0.008910811977897264,0.12970696983689842,0.06464836589001169,-0.012841148310142023,-0.00460097655081868,0.17726935776561922,0.12932435321942148,0.04245603450868055,-0.016188817208737417,,0.19624568087010827,-0.14440707611870574,
COL4A4,0.012189553282940458,-0.05526604749294512,0.038203277901895795,0.040622535581558185,-0.05702450491373776,-0.0005735193859478022,-0.06082749534357142,-0.05053006215538846,-0.04798953887880143,0.03801791347447126,0.050084709098702315,,-0.07679285853925079,,,0.0756711517505683,0.06949256577519938,0.043252111107798766,-0.035365432531305065,-0.024444195829434474,-0.019002118596918027,,-0.03718641147612738,-0.15095409085092049,
TAC1,0.14221516120452182,0.40114396329245655,0.21459895088687708,0.07387959057752569,0.15762202751280446,0.20883772260111041,0.35639610924826326,0.3900784311967197,0.5317408716616558,0.28340652905155045,0.13892940981365462,0.3836307157719258,0.48429312510144157,,,,,,,,0.1331716328968326,0.006530012033981426,0.006484672004411883,0.3870943858988428,0.1722615814724756
RARRES2,0.12694251433341916,0.12486612944207078,0.025717284487695388,-0.015486183205133088,-0.07083418813059095,0.05640309091797522,-0.3355617747253046,-0.20561562671013434,-0.45743572416740697,0.14147765501281986,0.043530320164589846,-0.2375655344713104,-0.27168010837190354,-0.005210937636503053,-0.09149896217648215,0.02205593521610066,-0.006269222932822311,0.2354945712764561,0.13631747215271944,-0.05561690416313211,-0.021415080735740902,-0.06132188565103934,-0.0002894984070831415,-0.3547531326313732,-0.0028147092646392128
FGF7,-0.017200404301385187,-0.053664636399476655,,-0.011997899047835813,-0.005154463342354616,0.02222693220816856,0.16015500356446166,-0.017113372737558648,-0.083850554202914,-0.00414000121792905,0.0006039072475710201,0.06550882981955647,-0.019835150243245326,0.02292891505896362,0.08634701710103876,-0.03717416349599253,-0.056819727835314665,0.03670287965055015,0.03834284421332488,-0.050591435605831465,0.0056107855042810935,-0.039677014614683134,0.12477004790560275,0.08802868463992689,0.06560479304407124
EFNA2,,,,,,,,,,,,,,,,,,,-0.04415252578881306,,,,,,
HBEGF,0.015182913871555804,-0.08333141730800828,-0.0667072380201988,-0.06160988213119872,-0.040337958752787,-0.05169904795284377,-0.21454106428188244,-0.1749067415955411,-0.15971511665159951,-0.25341519106603283,-0.04396336178777788,-0.27792663996014366,-0.14073231009487744,0.16081797713447354,0.1451892684128235,0.07269422817010428,-0.03943782422087786,0.12341545096053018,0.10420265738762387,-0.025366742617890656,-0.11806340588717922,-0.006738045898966211,-0.00041170754000825115,-0.3173077502693476,-0.01868463824993896
CSF3,,-0.040720743393891014,,,-0.039914985791771,-0.016435497524190764,-0.09050070125151669,,-0.05196544945090401,,,,,,,,,0.1670329272639276,0.23819505569256894,,0.08117915183388166,-0.09640482919636095,-0.02286111250258825,-0.1842573365510568,
PI3,,-0.0860599089023024,-0.07846739753200406,,-0.04636956537330824,-0.022138977335046064,-0.11205876313695434,,-0.09490235369323631,,,,,,-0.03676756947944067,,,0.08520508402715486,0.17253999743680185,0.10185205548655271,-0.004894253034721019,,-0.0528833766386241,-0.23712156618420163,
PCSK1N,0.06879610898323726,0.43312517279011464,0.11280069526366754,0.13891314920417838,0.12991720911328664,0.041753653164772225,0.07963379427364746,0.19555677497504548,0.31707436085011925,-0.07543792907605212,0.188830120871553,0.7153460947419988,0.5449002691536377,0.012084905464701012,0.0740118036189053,-0.0017010173090127325,0.02844025237657007,0.05201045085880538,-0.07868493762888154,0.04175702293477742,0.03524805500802845,0.12317423634546114,0.07671540198250362,0.5691924959820973,0.18468843462606258
NTS,,,,,,,-0.08446362510490536,0.05246763114467516,-0.07356286676077065,-0.03270757736598555,-0.051049687465762196,-0.1273387409623334,,,,,,-0.0656111059183597,0.00011616924697362687,,-0.05384404579431408,,0.03042725001939718,,
SFRP1,-0.04827808661815302,0.12846333886812275,-0.04328490021980545,0.044183232443115075,,0.04844522146192785,0.13698449279381494,-0.1341102965990104,-0.046811593891413636,-0.007002489225831732,0.08727532960573527,-0.25199566953272806,0.011504523997855443,0.12518464771054386,-0.0008019697942662271,-0.0376033490645858,0.06823746760674118,0.05798465781868064,-0.0008290238755195286,0.058315049475097955,-0.12691033671147586,-0.0035924452126808375,-0.012418078648078432,0.04410563898253465,0.05261124600148679
CXCL13,,,,0.09791785194592217,-0.028983002537396937,,0.019241421582809254,,,,,,,,,,,0.11282603227531769,0.1602634906013396,,-0.030756088074307904,,,-0.11326547159281901,
MICA,0.08137313733824794,-0.11820994817924738,-0.020565850120551996,0.01162504579812597,0.032705932090402096,-0.0061402722423052865,-0.021277155345457106,-0.00290640663210861,-0.16653858440349006,-0.022544007532492923,-0.05575365373075666,-0.07125809917239657,-0.19055013962745276,0.12592962061153498,0.07119299322422398,0.004608484102030453,0.01487029766571152,0.06038932877238124,0.09665546009211952,0.07820155886428808,-0.06783435232531598,0.10709767592324003,0.002925001775787468,-0.15960458087998622,0.19283974157052983
TG,-0.038426772594272456,-0.019559539708697133,0.025186424905672945,-0.01092614338114103,,-0.053753903534753435,0.026034414146102428,0.010110976692344065,-0.0019340913305698913,0.058306078568419184,0.019516132871161867,,-0.04436690904363156,0.021231975660667455,-0.02175977667355942,0.03662819149123524,-0.037824524394345804,-0.07346904307119231,-0.01324873839238902,,-0.0023994840957587676,,0.031779106365181574,-0.0019913208314373157,
ADA,0.06471283235256059,0.0036226867922671525,-0.05257054632095625,-0.027229612944885045,-0.05609056871529395,-0.00795439133503491,0.03156317013168845,-0.04915592848155589,-0.33123777712230457,0.00869175180838829,0.0476177784225086,-0.26535209382989144,-0.0980419260374403,0.11853750668228094,0.02357714688512222,0.024897659881919745,-0.05614008587789673,-0.03183600605539422,0.04045940299164689,0.025646679786868597,-0.09551349267067111,-0.06109774368656118,0.08435325685360785,-0.04783162382426614,0.11476904875259195
LAMC3,0.08401967156227341,0.11333238946507158,-0.0417465456525261,-0.05279993457979974,0.1660088765301986,-0.04493527176889837,0.061108510133943424,-0.10483409138027475,-0.24969119491443395,-0.11045556479736611,-0.07373373473015757,-0.10112423123927075,0.06381687918377109,0.011848278729172193,0.07877256884313767,0.025052003424538113,-0.009031067998671745,-0.027809598424486985,-0.007020404847559655,0.05910647127416178,-0.12064487614030353,-0.05919748061494246,0.015243861070587086,0.025276628605058228,-0.01412108676873665
CCL7,,,-0.05749597338748524,,,-0.03886398637143975,-0.0840171959415205,,,,,,,,,,,0.03359924649050081,,,,,0.008919753856683636,-0.19221290905578825,
NGF,,-0.057579195857484756,-0.03481925933974583,,,-0.03085425054750764,0.0223676862175237,0.07293510101901718,,,,0.14580495365416948,,,,-0.0306381734171294,-0.034521842859033855,0.04127157623839908,-0.08118165201217505,,0.0005993821477503969,,-0.07554905218496297,-0.027159359577196875,
TNFSF15,,-0.023131372536894398,,,,0.0274644691611158,0.009965959173960561,-0.026689377347542738,,,,,,0.046181621324786995,,-0.05144859121604784,0.04472278115154063,-0.009440981159063177,,,0.06311442145846782,,-0.01698261737684662,-0.10506245070685849,
HMGB1,-0.0070476731014791245,0.12938646271460089,0.07784602466284406,-0.003513119858437112,0.20329420971754433,0.0699492538700153,0.040639017019472354,-0.1697993027829625,-0.3666339119645752,0.11107404303076351,-0.05050204905680464,-0.30747932940154193,-0.02205242013146731,-0.028959874927992683,-0.01250748161975289,-0.03541984790762765,-0.03865278355020739,-0.08537597045639378,-0.044216226212632395,-0.10548528280836258,-0.08173102800164854,0.00878095156243146,0.020820122214981328,0.1268899245841014,-0.14466482846449713
ITGB3BP,0.026977485538233734,-0.21434187552596348,0.04942981144280664,0.008514246452842647,0.038256196540906874,-0.00043644087341677094,0.0010687056697707277,-0.2478464451431632,-0.32903416541246705,-0.0462459410904591,0.00951527083599501,-0.03915329998668124,-0.2635080663112718,0.07407970965701903,-0.05580650887651934,0.002762015196201859,-0.07874253787849171,0.001433287399865168,0.08068356834071345,0.044093483786579644,-0.042974961191522186,-0.08091761001690943,0.0676938782714075,-0.13370743113854583,0.07276477893111401
AANAT,,0.0012085096800751364,0.016268613035840818,,,0.004430153667000548,0.018406646301853288,,0.05533533520112822,-0.040898722001180256,-0.00014637366904996727,-0.04178870964574552,-0.051371455315394096,,-0.02049577669251945,,0.08846684550693486,0.03871570832994316,0.024617405260543318,0.00268504390971605,,,-0.03852300548507886,-0.0027956997920937543,
RELN,-0.031856813257100006,0.2349604607291731,-0.03028004292289292,0.012166283788769775,0.0989924600214755,0.04137007673712954,0.08792957410736157,0.10483205464778816,0.23644960601650528,0.09199332169235508,0.09332400877154416,0.07719746659746435,0.1467323178658209,,,0.006566799996492116,,,,-0.04244255074290059,0.06028135532995129,0.008117023493368574,,0.1424889925843665,0.010659353736944438
IL15,0.02418209164185424,-0.06137371148574414,0.017397579318506315,-0.0339048486615688,,0.05407358628722864,-0.006315317886024096,0.029102889978499503,-0.12599432627013812,-0.027392365660529643,0.005910562818267752,-0.0710537536565732,-0.019728321002615273,-0.021132256527844357,-0.039067506688328535,0.02370476348248117,-0.04090088570448502,0.0240677226401805,0.007091384358180567,0.02283335637259661,-0.03839044763137652,-0.0642947393086714,0.09595480141077635,-0.13484540510992996,
UTS2,,,,,,,,,-0.17580179771147247,,,,,-0.0064235401790746355,0.034137626675416595,,,0.007907945487360575,,,,,,,
BSG,0.014609411481425508,-0.2340608143327974,0.1626887296839082,0.05304830005790827,0.043203808246027264,0.006124885666082174,-0.0806121879551517,-0.07945271620625095,0.23654250900822915,-0.14302244196111427,0.034982291444174134,0.4126244596804827,-0.3325422767255001,0.05809917323208523,-0.055868250656102195,-0.03337400480858697,0.020179760219486562,0.3206377533581062,0.20884415788198835,0.1282525682656296,0.024727961606775248,-0.12348138535280884,0.18124598226853458,-0.1364117739029176,0.2078453541220136
ADAMTS3,0.051067871316222674,-0.0914306964071208,0.05804338623942474,-0.023948918498255017,,0.039440514653406436,0.02523046843876624,0.07897251764956846,-0.3734005591906309,-0.040339613059771025,0.026596251453260084,0.1534506274373135,0.02530647799688681,0.12141701691789077,0.2312340215433685,,0.06511091878505533,-0.0003852136659421262,-0.035409099536866356,-0.0010213837468385078,-0.01680995248688057,0.09009680564646509,0.21897959600921826,-0.009921936799694617,
CD34,0.030742278422127418,0.20389326626286408,-0.05721421646879438,-0.0395114719726317,0.2558197294369161,-0.04624549472842277,0.09469237209855792,-0.038527023283784774,-0.19983630728892063,-0.0283372628123585,0.02033682964592097,0.010314958152923503,0.10376664713973782,-0.001328391271124019,0.12740457444990402,-0.0077474496746789325,-0.01336466537971722,0.004206838089240276,-0.032062672666078075,0.06035152371289234,-0.12824841166359136,-0.06396315188674749,-0.010400893355832377,-0.021611766523331,0.005114731012944066
CCL23,,,,,,,,,-0.04326646568272238,,,,,0.06215418731052169,,,,,,,,,,,
PLAT,0.1249240856294611,-0.07660846545339182,0.02476393153416483,-0.09182967270811662,0.09110386624581934,0.004732250676553153,0.010135355030387368,-0.364377044192473,-0.36566273118262643,-0.28199406524015064,0.04287523399457726,-0.06416447202701908,-0.18663979192048494,0.10585494436875702,0.03259181818619426,-0.08394793422389965,-0.014692864093646917,0.08315585605291467,-0.06742227354076961,0.11187361608602152,-0.054325211603600036,-0.059181540843554564,0.08194123831942077,0.050928691045470174,0.03228172752030671
NTF3,,,,,,,,,,,0.004863338133450349,,,,,,,0.002040958679747434,-0.08078913101715844,,-0.08645430388380353,,,,
LTA,,,,-0.03990807632459185,,0.07462030968745152,,,,-0.01650927496780438,,,-0.07751397083963152,,,,,,,,,,0.021713829197319436,,
