,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.08718482882416911,,,,,,,,,,,,-0.013041817758532222,,0.02113661678363348,
BMP1,-0.019001730023154216,-0.004618111568704533,0.052853471589099664,0.07139610062721934,0.06940888199851958,-0.000839273209399812,-0.03379361250927368,0.2615314017593291,-0.023873121120237546,-0.008423895006530738,-0.026565908006525106,0.011517759083879859,0.031598606972355205,-0.03469420713556857,-0.007235072782307545,0.02943100042809711,0.029285686768494454,0.026515961788841108,0.06200429188126579,0.05566715746079736,0.027171253496781563,0.25254607895108994,0.11601294178187856
NDP,-0.06486427757263163,0.03760837247659121,-0.03700758265841206,0.09406979051653791,-0.031918841198667794,0.03207140315029165,-0.008865007607245455,0.04817369976912273,0.050446613676363,-0.06473293483688877,0.027245616929504737,0.023845951814885663,0.02341943003938461,0.0304352964665952,0.011003962879645737,0.024069272327485132,-0.029061231657895616,0.08310762136515279,0.0918267698217585,0.07159948865987036,-0.05368796724873234,0.041456152043445,-0.04696987415921902
TNFSF18,-0.009110353750518014,-0.040308353716276654,0.0004101676688316875,-0.01290617969229922,,,-0.015976249994938053,0.10318914181297537,0.041946295973295966,,,,,-0.03386570945622016,,0.0799931287687426,,,,-0.0251066616016593,,0.05650725458577278,0.015127385612038975
IL36G,,,,,,,,,,,,,0.008168612288884205,,,,,,,,,,
RTN4,0.025366879101803734,-0.033214340242777786,0.009651418911478101,-0.010340860616554025,0.001084278213858775,0.023322088532153513,0.0008997912725113802,-0.21900409662891052,0.011136644065809604,-0.020780531512052645,-0.021866369764360745,-0.026632363659069565,-0.062216202292889225,0.053508334894134306,-0.05041124143405381,-0.04114898777332508,-0.05544242507607063,-0.028153238901848645,0.051137248459932734,0.0337839700557158,0.042818688064345994,-0.07998374113961808,-0.13236685430913356
HEBP1,-0.034210848253345624,-0.03374262753266204,0.07443320335214665,0.002062825950901259,-0.0036326241674291652,0.012303980997220135,0.006936999961743535,0.08836862835432051,0.03811466056566089,-0.02575732035671543,0.04784855385363257,-0.051654897421422354,-0.03293347238143461,0.09974056360026108,0.0005866701681950892,-0.02791118764194017,0.12006343915819995,0.08031659121161558,0.08873939260381566,0.06905416128596681,0.029029395776478915,0.1093076667628971,-0.0018921559068653102
WNT7B,-0.013212178935463144,0.04221946356336641,-0.03914692904503384,0.03500666426452328,0.00034722820556253736,-0.0037260621963913594,-0.015989830914240954,-0.0884180059110429,-0.0036172761851703825,-0.03981099014985675,,-0.036738287183313185,-0.010844777539548026,0.13457818765800106,0.027811438701741183,,0.0477819065873599,0.070327242260274,0.04810408613710106,-0.005911496548789708,0.03684653232836863,0.0382531290884679,-0.02992263728030014
PTMA,-0.06799340031062824,0.03940536843490942,-0.00988332804003541,3.8542546454688104e-05,-0.017775922752298324,0.03500749354721354,-0.02543397614939796,-0.171675735338315,0.051971545973898234,0.04323931491599695,0.04658499850246952,0.04834001080679818,0.09499907099226741,-0.003885020167860662,0.0360210108684579,0.001746583563453725,-0.017740779581064972,-0.053517205568810865,-0.010714255480347106,-0.02490778555310149,0.02655968211342635,0.04792497758673499,0.11561475209212738
FASLG,0.030250176476120324,,,,,,,,,,,,,,,,,,,,,0.019612750822147446,
CEACAM1,0.001057282200024003,,0.008078045946860103,-0.0003342763314654016,0.03664608008264979,0.09945296827968898,,0.11896667464559439,0.06290556359147526,,,,,,0.00724691169426062,-0.002185269171831991,0.11512876510021061,0.021347415509073247,-0.004289452374893454,-0.036453955819143576,0.03145381953477523,0.11213366494747674,
PDAP1,-0.03567501440679987,-0.030815246070474756,-0.06278384362784512,0.058158714418371185,0.05738134212379309,-0.01150696329137326,-0.002907901461889291,0.15794050426155248,-0.01463578998827161,-0.04474778779470301,-0.012370615931755789,0.05193160994615468,0.02519093443420232,-0.06383672795228817,-0.013047637569243173,0.03259942773232719,-0.0015962254958277434,0.040402227574879795,0.0003864406424164989,0.037644670645845216,0.00610695080867423,-0.07516717444664082,-0.06814928318151067
QDPR,-0.034030600405200666,0.06537519155787096,-0.10253275294677369,-0.033844044835049276,-0.03956336384037154,0.0004936306652033528,0.011293177533661897,-0.2684057292047169,0.07607743157160735,-0.019096475570709454,0.05949613939197134,0.029927108677807904,0.006119886255489171,-0.013152815338558117,-0.08367717937807242,0.013354704498114054,-0.006280947155127022,0.04921656563372092,-0.017159090789070054,0.025516409831535004,-0.04404283232655482,0.05541273635013416,-0.04147471938577947
POMC,0.03150433354256651,0.05388069998468104,-0.013639080183281724,-0.03389484337023902,-0.07314928698829681,0.031117251194700844,0.027646691508968316,-0.027949642710675005,0.04276787181386124,-0.02396466800234552,-0.022524503975650863,0.10436485081288033,-0.026073532303906466,0.010711237117383863,-0.04425818616581257,0.039498990996312135,0.11651346160509113,0.04042442185758004,0.0765236462327592,0.0053073875538967715,0.07723262926798846,0.03325103785336834,0.10037310722754132
CCL18,,0.016571659854876918,-0.029445151553581614,,,,,,,,0.04493523128398265,0.033698137045059855,,,0.08498218145454692,,0.14860710966332208,-0.016475633582319984,-0.00024374272011138583,,-0.013362273080701287,,
CCL17,,,,,0.07769204134763634,,,,0.05964104755903267,0.02799437200715843,,,-0.020561688101064,,,,,0.06169678795524355,0.08806116932917095,0.10022156249240637,,0.00841442253868443,
VEGFD,,0.009907410195865891,-0.011394810061795891,0.031019069640174465,0.010099784209123455,0.025230802262196185,,0.05794721784072002,0.06826596071134285,0.018641085071969765,0.04919839960859124,-0.017992957997152455,-0.022036598002000203,,-0.04233976866266828,-0.05276819664312227,,,0.010153825509688994,-0.015574756330107933,,,
TNFSF13,,,0.06815433719145332,,0.006934810446776301,,-0.015493629661335776,,,,,,,,,,,0.03112426068918842,0.08821736449006241,0.016343834813306413,-0.04192474533409045,0.1576109929805316,0.027216059896570246
WNT5A,0.035862830029628874,0.024350545456049325,0.037971338088483055,-0.021820242637520103,0.05660255255282243,-0.14465903001215402,-0.04091475884464452,0.22947197283828116,0.0189545487430668,0.07008070693039099,0.024938717586224037,0.020472090215664835,0.10595256402542513,0.045383841267653866,0.012965524087392623,-0.07409511118715494,0.03202998093992194,0.0660655652374805,0.08805948264350798,0.060508394706800986,0.0441646076705751,0.11861545261585581,0.11054146265910679
CXCL8,,-0.05825963626332807,0.09178749732299447,0.0003304733371435496,-0.03884799608130155,0.04150112148558074,0.04888626054920558,0.08344664800341857,-0.037606553809062616,0.044601612058729416,-0.01935144356575368,0.0031692549719926585,-0.0015147780912741543,,-0.00206169676330805,-0.01727943555202371,-0.05068478651324964,0.025550406630514073,-0.09558312159460941,-0.07895218380321123,-0.02320449220847194,-0.01620982497897232,0.06931050964146394
GRN,0.05371424597263599,0.029332376653568963,0.10095763889965953,-0.009533173664421007,0.004369613361290362,-0.01440410801181864,0.052569453683657695,0.13317902225714756,0.0018020439096212355,0.02828429013470871,0.010794736095491447,0.0486733560222098,-0.00223434160876282,0.10341895557088994,0.10674535771973145,0.13549462049951125,0.08694178844518825,0.059794448247368376,0.09441162917791866,-0.009327037246327751,0.004450952078155623,0.19976402387216724,0.05119664242254931
MIA,-0.04600101827228677,-0.03808599962214121,0.013234067111226312,-0.024369292411628007,-0.03356973479051008,0.004675693579845942,-0.0006486566379877547,0.13907228714793538,-0.011277782178017446,0.03168845956451503,,0.007944502421529831,0.014591682605508608,0.015280496303401786,-0.056445977005436306,0.02886539362828258,0.04861364327060726,0.08973206255247418,0.03464011729065556,0.005531784774165051,-0.04252076515745022,0.019011360959554757,-0.005520049802880294
COL4A4,-0.05947599781602721,0.06586415454223866,0.011580961030913071,0.01392918766093616,0.005907659551530909,-0.1269982499687825,0.03636607223778177,-0.03915282814110394,-0.048391588371399355,0.034919289030060585,,,-0.02927584657748835,,,-0.012590516051987442,-0.036396294478743436,0.08690497610376262,0.010162959490847449,-0.017580300123124493,-0.039807683043819764,0.044325421296079325,0.09564582369537585
