,UKF248,UKF251,UKF259,UKF260,UKF275,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.018656945104562454,,-0.03050024009061436,
BMP1,0.06353966499435766,0.029483295109582287,-0.059550325490151615,-0.008502270000042163,0.05021698295591107,0.13741550747814446,0.0935518542624635,0.05372421079101599,-0.07002760575532,0.04086976580229206,0.07342406760736718,-0.017031961438096682
NDP,-0.019268471669343548,0.037050508049704174,0.014810005026721909,0.06864496260798703,0.014077336457898174,-0.014783889666955357,0.026269741926363614,0.03807148250452287,0.010098972222309006,-0.07639169858531407,0.006696260548199857,0.047090521692215045
TNFSF18,-0.024634811613482795,-0.029043207615618197,,,-0.011390332374565104,,,,-0.01924057817191516,,0.14096126746973137,0.06866809220264912
RTN4,-0.026208014153688543,-0.02846639141985291,-0.01036455680231088,0.055840796202492646,-0.0060744493657918135,-0.007094924685712544,0.030036347774698092,-0.01362550946279064,0.03723733336527283,0.015096398592231882,-0.029604248272877255,-0.06517540533031667
HEBP1,0.005572113283026601,0.02155833469558476,0.02345284420913261,-0.01427909292027702,-0.0071140484500308,0.14723509083686454,0.052989758659744604,0.07445468534286714,-0.11707246954802512,-0.036982860486318284,0.045823084607883494,0.04465470300480351
WNT7B,-0.03035406437237095,0.018828666468957447,0.02907992824888108,0.022727737654554894,-0.03264932745225926,,4.5071585070858944e-05,0.04286548592026577,-0.04023360547974747,0.07095754770506729,0.054512108251864366,-0.06046398639524077
PTMA,0.015618417919989892,0.00430357120809925,-0.009356703322829684,-0.017965878588715813,-0.03204516928269303,0.08700769146840559,-0.011489482108404572,-0.08960942873807422,-0.02635090081223071,-0.03287443644771302,0.05318609080890056,0.0013040610732002317
FASLG,,,,,,,,,,,-0.026452847825282573,
CEACAM1,-0.0068490345308178805,0.08068137611714472,-0.003020003574580594,-0.01262137877061664,-0.017914279260321766,,-0.05525983468998233,0.06603647166779918,-0.009260383296363181,-0.014782677986955537,0.01002044017109411,
PDAP1,-0.0003132689205866543,0.04706145984467583,-0.014262667484060123,0.011674136972440236,0.014967056541344075,0.037778226038469594,0.049999668629132195,-0.021787184867753367,0.022617694957275898,-0.01367841252930701,-0.01212882939369961,-0.016973446482355357
QDPR,-0.02176277206241324,-0.018719667519946297,-0.02512455773505267,0.004624131877160978,-0.03714751417657292,0.08630797636381657,0.014345006193077024,0.0610531458352344,-0.07938971711361202,-0.024151744521079717,-0.015012765023468653,0.026418365035278946
POMC,-0.006758179590005963,0.0032913078826180458,-0.024467732455495543,0.015274180408520303,-0.013216440961178392,0.10760951361070005,0.11605247456912175,0.0913717506692499,-0.020417301559795552,0.022448745147579836,0.04238463025256108,-0.032502530827279955
CCL18,-0.027848137051489617,,,,,0.056141945130501136,0.021971646248524632,-0.02084023793903517,,-0.04784475709359385,,
CCL17,,,-0.015228933061595151,,-0.01420596210067922,,-0.012174364577492783,-0.006587757910305916,-0.024598104401575286,,-0.023976535379831517,
VEGFD,-0.015850806551003873,0.04555212390206428,-0.01696671315743807,0.018532302470620137,-0.015135251061467816,-0.03361254475288383,,-0.017726051481836466,-0.025943407955494532,,,
TNFSF13,-0.02101510453380796,,-0.01050457719230214,,,,0.02533416401658904,0.0741019655760296,0.011653536534658029,-0.02050454009611171,0.05764991367235891,0.05586202087525144
WNT5A,-0.008433724182703956,-0.062089094435998825,0.04198034162786746,-0.0505433476584812,-0.0019123366260620392,-0.053440060725194534,0.06900341084753307,0.011784330506503423,0.02214325397168734,0.047246928406797825,0.06770746721515884,0.06061944001241002
CXCL8,-0.03512141497504634,-0.01856805519087598,-0.028833729688631328,0.05237457132217065,0.007749845619956713,0.1995221314620397,-0.09206223644154632,-0.11911370095773102,0.12045262332884571,-0.0007339083619364124,-0.014902216900621556,-0.06445701317452712
GRN,0.08198252113613287,0.001314759869457019,-0.0034458200580108986,0.010100663059999957,0.039300152776017866,0.16083240600533039,0.11181066382939253,0.09556568459287025,0.07780510373918917,0.06907248131721597,0.04657022748850039,0.004246852809143433
MIA,0.007640453406314776,-0.017635812770395966,0.01871949781262471,-0.0022833512578554925,0.01397122753867536,,-0.01109812885827119,0.04359020144991464,0.02768584427581797,0.032374053549538165,0.023100112026279426,0.132119483368696
COL4A4,-0.023221782707788956,0.08407644586151827,-0.012340447737451729,-0.039269761776527135,-0.014831463946703842,,0.04472447339161514,0.03739596516224082,0.06032686991332557,-0.011067030689662883,-0.023174169759593938,0.029611405866322285
TAC1,-0.033017722355352996,0.03895753269703194,-0.0006319251761111575,0.00816454947486258,-0.008124097767068131,-0.07427387831221013,,,,-0.01811728275896904,-0.03151959379352312,-0.03732162000400555
RARRES2,-0.018912761980273605,0.013678959044614528,0.02655304470897028,0.02037693712539476,0.011605693462126249,0.08497385053369604,-0.048405862785470474,-0.018786635491134906,-0.017666027429405422,0.023263395557138754,-0.01666497138630865,-0.018541332247921167
FGF7,,-0.022382326256278163,0.01727987211947919,0.022335297225792288,0.020393587630722382,0.042533117426486286,0.04789025447901018,0.05497100079334638,-0.06202918078575812,0.0013607195360811645,0.023392996975882045,0.01495829687410814
EFNA2,,,,,,,,-0.02932606589400854,,,,
HBEGF,0.09097034435877058,-0.05097796486961425,0.024841889175340498,0.07541674712688702,0.05357989452959081,0.06807166959232827,0.038399959712858985,0.027999374400831185,0.015485152777886998,0.05106092511471841,0.08621778014106068,0.051371273540816303
CSF3,,,-0.01815156035249213,0.07876866661007263,,,-0.07140150178257494,-0.07135256457267113,,0.021344877229160404,0.0075257208778916835,-0.01456332228401733
PI3,0.01653525183641938,,-0.031324113041794874,0.06261399836054836,,,-0.02897604794671256,-0.047132285752893965,-0.020900101549330315,0.01757627857645336,-0.04715156227727631,-0.045412534704372884
PCSK1N,-0.03851166364139114,0.011776619645411305,-0.006037385293583116,-0.08831790737069282,-0.003915714187652026,-0.12074279191365712,-0.019254997670512856,-6.825612271641196e-05,-0.05013580413365782,0.0871236524467242,-0.046165525424258766,-0.00018410045702145524
NTS,,,,0.06152220992190919,0.05034675786828793,0.006490023754200344,-0.048132309655089085,-0.023661130028122788,,-0.011368832610289417,-0.025738965677254064,
SFRP1,0.030672597929667148,-0.020970562601780075,-0.013287832749183917,0.04717980488589681,0.026176724573314464,0.061190644273693,0.031261380602871085,0.05562752950973471,-0.038963678711380484,-0.03908848238533896,0.048708237682487124,0.007837265496728422
CXCL13,,0.05273571172948607,,-0.0032682451644802262,,,-0.0710798839850795,-0.011310488721570986,,0.06579124975387692,,-9.906814646699548e-06
MICA,0.08250191978225972,-0.042025756135428936,-0.036257715224898374,0.024965051524954946,0.11006312873946965,0.014927547993552445,0.020365334201410044,0.13303655560983388,0.04114637258461026,0.021600186643718093,0.049146498461309134,0.044085105256319784
TG,-0.011004469000482001,-0.018826659398777555,-0.01433967678409954,0.061110677744063646,-0.014311969213202179,,-0.026032457074642596,0.02067595384151022,,-0.03419081866856744,0.053595016572897926,-0.0356556263836855
ADA,0.04946075954242719,0.014166983781140596,0.043521754804238755,0.0024344859653764187,0.06881598878670997,0.04747267466037682,0.09933689487368717,0.0470071275167969,0.010244836493816993,-0.027435067398832544,0.08963330063619761,0.008404931516052188
LAMC3,0.0908776874505207,0.008884975521762116,-0.027372002992941076,0.056720910910028365,0.01614235957572689,0.07936462652173498,0.0672453413315338,0.04938459838455335,0.06298293263209044,0.04419627323049079,0.0377976214518959,0.07520107243932156
CCL7,-0.01771376771313116,,-0.01036756340398213,0.11021022778428757,,,-0.0511990200007856,,,,0.03742476642156511,-0.06009398293137233
NGF,0.004123592538220333,,-0.02375473575854388,0.02358263557385622,,-0.03026210746334765,-0.04873350594616654,-0.02893187423064555,,0.056154991799352925,0.016863336577995203,-0.03273970871920864
TNFSF15,,,0.03825571088775621,0.026574088625437656,,,0.04546035941201516,,,0.08045038825352313,0.02045466455352181,0.0053532654805531835
HMGB1,0.0020127955195158613,0.011061929830945404,-0.005827375817996032,0.018209526669347127,-0.0063894674109003175,0.045825046263743195,0.08135442956669438,0.0059956122663832765,-0.018875599765507917,-0.0004531406845052177,0.0026076315149702943,-0.018859348034821373
ITGB3BP,-0.0062929467091466865,-0.04337830202890873,0.028415305351253313,0.027828352222150576,0.00935540655733617,-0.03194873381392687,0.005811067066531008,0.008596996868063825,-0.09029423325627713,-0.016459523306296124,0.0481086640838342,0.02542382163597069
AANAT,-0.025699981990152117,,-0.010504578313435669,-0.025162147473633233,-0.01287083755284114,0.0284259693917897,-0.04163342445340889,-0.017505497024262642,-0.013827304781047395,,-0.02798820618824718,-0.0034490520755282583
RELN,0.00585676188026123,-0.02760904232166938,0.060112712065994486,0.03800111216317101,0.013027977287011782,0.0017120357526092572,,,0.003628017266229775,-0.031160837418201522,,-0.021885481784743616
IL15,-0.004799790712521624,0.004732424716722763,-0.00023975188901303256,-0.05250342961580786,0.031744650954799,0.01824406556084366,0.10776637701067318,0.11164589052752243,0.07925583750920889,-0.004694825903139827,0.08408224442297171,0.027709130864932638
UTS2,,,,,,,0.04925800442957309,,,,,
BSG,0.03296597658693349,-0.030748103491570405,0.04829665109381234,-0.0496499422090063,-0.0206192775935187,0.014201956255091304,-0.0007383368864416973,0.07173762001741919,0.007868630206528475,0.029318400196975677,-0.019963405448334987,0.08546677616881732
ADAMTS3,0.034749291465259305,0.0077011317407229656,0.034892389138048846,0.010593301684705724,-0.010893426761417533,0.0007996676052339278,0.06490055384078428,0.09397417163018296,-0.04714473630655216,-0.05301970476300319,0.05468203985489018,0.06639316215990138
CD34,0.06877691944588096,-0.013592144024845163,0.029675017149600014,-0.0036280947061622846,-0.012897904502233144,0.0477518085310097,0.11134739212153169,0.13755685185025324,0.06114382465180406,0.08300548370832446,0.09702427804626748,0.033194617666715276
PLAT,0.0652741566874993,0.026472716965473205,0.013775121924588886,0.08659522358800796,-0.006953277508377501,0.16476827511007622,0.05878922757273151,0.07100861745848244,-0.0360435196647121,0.034034927952860075,0.04416440484814289,0.1029459646303894
NTF3,,,,,,,0.05913913816630304,0.13178906676114213,,0.009813056445157415,,
LTA,,-0.013845184498609522,0.008127183949379847,,-0.012395957914435663,,,,,,-0.013675619965750941,
CKLF,0.052683688300758945,-0.016825735535829715,0.0016056132711281933,0.027625251407882467,0.03851603993248218,0.10961549227698332,0.1507808283120281,0.13831026674499708,0.01016739636253645,0.05199449017838708,0.0384726234938888,0.038698021039534056
CD24,0.04601733687290186,-0.006237062554255382,0.006078278156076234,-0.04687770418985498,-0.003423084593737467,0.08473698379350549,-0.006566250302034877,-0.0006760725023631398,0.08761957234239912,0.004434719921177537,-0.033450195949843706,-0.006619452047199601
HSP90AA1,-0.08386324609677596,-0.019933156192924302,0.018968733016019226,-0.025987826781204086,0.035019497778048345,-0.12125637519636437,-0.11598749550897035,-0.1134544816759975,-0.03831908089486761,-0.005298915441942325,-0.10796753806413897,-0.05810362515948697
BMP4,0.03155991601219953,-0.014676707173320223,0.0376566999917937,-0.017258286511874433,0.0060609250095185856,-0.045379693671055404,0.07738884507349855,0.01648030800963428,-0.04408962945274864,0.047632521667395566,0.09382378539686968,0.020550208314759715
SCGB3A1,-0.017713765941778054,,,-0.02996501138399704,,0.13916875673542228,0.13840024100806989,0.11416375383267124,,-0.017159780504643344,0.024165255302317463,-0.015440070250182554
IGFBP4,0.11159707278235882,0.04707255285114373,0.004535065675144475,0.05935976513761635,0.025592893272928706,0.19464171177526085,0.13233497425988894,0.009135865848249507,0.008428189243235802,0.0883162848493411,0.09963705861313006,0.06726832197638395
RSPO4,,-0.02238232200699495,0.1130186562666346,0.06058105015403233,-0.014417253701198113,,,,,0.05745629186614206,0.06780176108764775,-0.014469765693174416
LEFTY2,0.05979796740281152,-0.014015224429331714,0.04536890375547921,0.008835346706268413,0.016626588690393743,0.0069775156648227464,-0.04987891053021677,0.06431990212304652,-0.018019075895230625,-0.013719798665377715,0.10623838865221312,-0.007759047914556921
PF4,0.0005996318412843073,-0.012594077058872966,-0.009045494816796198,,,,,-0.02687936972998494,,,0.02866753899750456,-0.024058453793993368
ANGPTL2,0.04165700977938423,0.03291304731166263,-0.0011656229022530872,0.03180837303996624,0.021627151338141443,0.09528222385991693,0.08661684861071747,0.06773794642678403,-0.0012554628616470048,-0.007950398714185089,0.055265039591339216,0.08279765543536202
LRIG2,-0.04294781029754422,-0.03300650410167986,-0.023752471779897266,-0.03231686920606045,0.005423705841661912,-0.0073002557167022395,0.01254547729829569,0.06248299953748253,0.002099625138951048,0.04476373527872233,0.05073860966783384,-0.006344368057319768
ICOSLG,0.03437396194376491,-0.04722902382203963,-0.012488062635626814,-0.03784739004327966,0.00026822124023138315,0.027200649028802853,0.03946693196653266,0.08433293375324316,-0.03663402260259269,0.01765833058115904,0.08342995807958896,0.02540345819227082
WIF1,-0.03306316950856772,,,-0.04931764816956855,-0.011125453198719845,-0.015414480899465429,,,,0.053061243600646256,,0.09953185914540764
NPPC,-0.03990697157734288,,-0.014031793137994459,-0.004745967548283457,-0.021702224225313496,-0.06753841019669413,0.07980419366380502,-0.0010693035818946667,-0.028866411914757428,0.01743456396807751,,0.06151018973499567
LYZ,0.04236252033826322,0.022529010712994395,-0.0253953022693615,0.09426462230931415,-0.002232408609797074,0.21647676666502777,0.04517380066194126,0.08596943536906437,0.08795438971402705,-0.009118176433353626,0.010582885193677756,0.004254182800613656
EREG,,,,0.15974065276550206,,0.03971109759163466,-0.06222296254700593,0.011025646198743938,,-0.04493776088556006,-0.010194764560223264,0.008197752990123465
SPTAN1,-0.053575835886524606,0.013168759520106404,-0.01112944495014973,-0.022097481850487065,0.03138612568052838,-0.06504924641262862,0.0038391640019085032,0.04285668671371965,0.04145997977469308,0.0323883047854304,0.010864741778630647,0.018122999358689766
PTH2,,,,,,,,,,0.03121234705372024,,
LIPC,-0.02249606077827452,-0.018954759058679955,0.01873393218531324,0.01174096142246592,-0.016933270172720193,-0.05575481151615695,,,-0.03543206449396972,,0.023597652836649018,0.029166190717008437
COL8A1,0.06485231643163025,0.005368022072910508,0.0247136701853292,0.00501679578480801,0.052437515574075506,0.07165753636575548,0.09111690438109195,0.02945721227443661,0.014317536640674686,0.07629017572228634,-0.02483313689270824,0.015835367596207038
GSTM2,-0.00990627812885253,0.009476115006401368,0.023452591812965627,0.02049720206702642,-0.001881756376986656,0.15249599847155831,0.03044173537816276,0.05433363043646641,0.01781882988813272,-0.002041411197100527,0.07758344616068456,-0.013637548950720169
SPX,0.03967235558870762,0.027243386907863237,0.018359917952028466,0.029993227658382204,-0.04894280448797557,-0.1230363184401413,-0.020972745850899654,-0.021437031627489254,-0.01882800472625188,-0.04619275332994213,0.05644388845704536,-0.0524340972951058
