,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.02945829249253087,,,,,,,,,,,,-0.004735240683305282,,,0.04831792387005171,,
BMP1,-0.02569125745963107,0.09256768564008992,0.03631277367453329,0.054174646452782096,0.07464946927279162,0.012577305007807424,0.0009409319669798035,0.11502439399970302,0.10738630071863672,-0.0007891948911198985,0.03010498561105714,0.05112386300934497,0.032803253695688324,0.03108873318373617,-0.01971318975732062,0.14013612509277615,-0.04250949372195479,0.0434864498417774,0.029237437834984368,0.0018777811771011862,0.03152041661298238,0.025110106692188387,0.04619839801333423,0.0767946119095715,0.03786318399824736,0.07461405292494527
NDP,0.0585412415926567,0.08187113317288504,0.06277681578747543,0.03936189594633722,0.10479217638128888,0.054959680097682435,0.087072251821778,0.05709373748199471,0.0305491789074378,0.056522389140913495,0.010945995550445743,-0.026987484155843323,0.0001502693442362258,0.05417189148387308,0.033498607527970806,0.1304279862558519,-0.09926932472752534,0.1078217303873415,-0.004296893795207076,0.030149603570904387,0.04176199743899946,-0.06987995988311961,0.030413215403075237,0.09614365648550317,0.04004659339978599,0.049281543240350986
TNFSF18,0.03657858819923904,0.028780605827880938,-0.03399818864229303,-0.0257661272943217,,,,-0.0015058174209348187,0.07390808034829086,0.016443046044335753,,,,,-0.027810962795757562,,0.07309546172923435,,,,-0.025782573816367536,,-0.12567500081449715,0.04487380146889175,0.027531352788457784,
IL36G,,,,,,,,,,,,,,0.06555375440473976,,,,,,,,,,,,
RTN4,0.05426973943121732,-0.07642539441234407,0.09364826628743377,0.05260327021238328,0.07076774896641166,0.08651535561520407,0.07165019514589938,-0.10805956339204922,-0.10251184848378116,0.004113860058767923,-0.010254037941943113,0.041634146726733295,0.0009381558394404119,-0.13658447887047942,0.07573648324334131,0.06776568639432384,0.09581295277745615,-0.047036235697501066,0.024533400557935788,0.04617873970526,-0.0550202007444745,0.02964142015146642,-0.024994328461915703,0.0019186991604138238,0.03563608886024779,0.1336487817782496
HEBP1,0.025721293033233235,0.008721332778548238,0.09574679687558124,0.03489235009266402,-0.006141101350662729,-0.01247251411963632,0.02577045123871946,0.09068385554719209,0.14210600153811231,0.020333158923584983,0.000676686801105086,-0.06200242891271133,-0.05061998935243417,0.02284970789452235,0.019161472341438612,0.014234878193951826,0.08807605753923006,-0.06352838994805404,0.1299226489274422,-0.06156669245253893,0.03717888858709076,0.05400258022533365,0.05888268976329814,0.09978428407792755,0.0005550127413969925,0.14780220706239577
WNT7B,-0.014183506137505087,0.022125053464882038,0.031566783982061856,0.01964066926556672,-0.017967831671968013,0.014799451300114955,0.1022923173164955,0.031028712596226388,-0.028818962831111187,-0.03449891032413137,-0.0031934025648428003,,0.03666145773026266,0.0535524586609504,-0.03331590327717695,-0.09188654406134301,,0.02843788581373141,0.017178810203427753,-0.018312527882061922,0.008604958159300045,-0.005317545270373887,-0.007733667766554896,0.02186493218968849,0.06453084908003628,0.038559759896339176
PTMA,-0.02610516709418956,-0.16719047485084296,0.03026626553153009,-0.016560915682510478,0.0090902353259314,-0.0004324878010877581,-0.0732261376220778,0.20978255491541797,-0.06069905244783396,-0.07749862761929732,0.013463849045023806,-0.04757408004018389,0.05759492154006395,0.13218438168131225,0.0711751762637162,0.03102358673490478,0.00393885767039861,-0.08146471879212577,-0.011260935480649123,-0.027953319673700048,-0.034552435566388214,-0.01677370661259988,0.018290481805071954,-0.03194730674547074,0.011176125585488089,0.1669778919944963
FASLG,0.013488622411043247,,,,,,,,,,,,,,,,,,,,,,,-0.010962608809169565,,
CEACAM1,0.0027034026899241405,,-0.07201110937966755,0.023827436376441816,,-0.0022501939283272217,0.02564836564212991,,0.0653944039304213,-0.004028046181608017,,,,,,0.07641602897592338,0.003178508947202305,-0.0017639070720906647,0.0033571953416926766,0.023035331118027892,-0.05559782390325654,0.0185853005138877,,0.03285753695671829,,
PDAP1,0.07088385580898778,-0.006183440413063478,0.007656267974730307,0.022165414641678684,0.013171784227115357,0.021191416004942575,0.0060667020903705186,0.1430881537366443,0.13111240907847604,0.06306750264883908,-0.02816052639806418,-0.010955710381204358,0.05439916848615855,0.002885941166809374,0.006658868243888284,-0.003750535025701181,0.04942558979935126,0.06268402840221397,-0.0037710757733978805,0.04387678368409081,0.08788726582370465,-0.07624591925593695,-0.040299103811354445,0.10718715957028815,0.00653323347424259,0.0735307004631689
QDPR,-0.00921429502869925,0.02784168963823473,0.004613330620793789,0.01959039313214262,0.13186260410200956,0.02324932818199393,0.0338276776412043,-0.07625954751165934,-0.10356160539498495,0.020392052539738564,-0.0005605706549331064,0.05882422519164864,0.13293245618485972,0.012190225509188683,0.0391102962921409,0.08615019825989187,-0.00998699941396647,-0.05686439650118225,-0.02911594435317412,-0.030611282625946593,-0.03730265031375163,-0.003643477615672026,0.006888860718554277,0.08064787260904345,-0.04351655611511589,0.0722212705961691
POMC,-0.02463436362892869,0.051600547824004764,-0.01904548217315842,0.06820393076841916,,-0.027923274086882537,0.05333829269010942,-0.012928682631264333,0.008126479618687123,0.04385771764232552,-0.015722894190907825,-0.006995393510103878,-0.0007412628336737912,-0.0020954050186679967,-0.014214132618993213,-0.08612912181131363,-0.006695331412167075,0.08585064862859895,-0.022873826274031915,0.02683744828865482,-0.00757040188477864,-0.014949204118052645,,0.04168323970113846,-0.026138205289863686,-0.021948655379548113
CCL18,,-0.04912174132472458,-0.034902809291898276,,,,,,,,,-0.03166160525899179,0.053972658587150224,,,0.01476332768228144,,0.03475794647360612,0.05526696957882502,-0.03425627554427922,,-0.03026799826278261,,,,
