,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.0814049436098853,,,,,,,,,,,,0.0061215462255695945,,,0.05376055950146296,,
BMP1,-0.029340164004673118,0.08400442391356833,0.18124124195629604,-0.03249881442164121,0.048377223608441905,-0.024724186147380894,0.15309443294187716,0.21063774985819947,0.29688526137396865,0.10425463740837157,0.0006884015000736325,0.04040678623386999,0.11439627451720986,0.12251160925036368,0.07698518248976212,0.10118990924005491,0.019212079035790326,0.04437012096253779,0.14102306861579222,0.11183875438396351,0.002681184285113717,0.15870185776297577,-0.03543976071128143,0.2652545970036866,0.12768401132009236,-0.10587276067698145
NDP,0.003315371626419205,0.16040366876863008,0.03280427393061586,0.00239885561050975,0.11169789598419325,-0.05104389061546404,-0.0542801856334211,0.03984395319509176,0.012446809533757047,-0.03454845538810265,-0.04140597567231289,0.03714592732937923,0.09401312550816708,0.11646589083590331,0.06916261725259767,-0.07614850110922428,-0.12603304570124998,0.06853132155941688,0.12300202560111483,-0.009264751888264587,0.0011142808150285367,-0.0781703951723857,0.052264065272218635,0.046689259340346276,-0.007218021293567735,-0.0021034317562703903
TNFSF18,0.08123065425102662,0.050753539910286596,0.06071571053147837,-0.04347429903622444,,,,-0.0032033830902837178,0.05197011596316082,0.017761984404219465,,,,,0.03317480808243762,,0.033424644058274305,,,,-0.03818066153913583,,0.020042211879904397,0.06079791547783561,0.043219331078670105,
IL36G,,,,,,,,,,,,,,0.012602935278018944,,,,,,,,,,,,
RTN4,-0.0049852758917552425,-0.032947105961831855,0.032228185109104496,-0.09342543685892582,0.11095546882578843,-0.01909483408420516,0.032772277786917506,-0.3421246102962112,-0.3322174282472826,-0.08396223614168762,-0.05004823798661877,-0.2034483810393957,-0.01491417051048908,-0.07168559533053293,0.031057532464628064,0.060699034555498535,0.021665509900362607,-0.06614946350743943,0.018948563265792483,0.05619156737508692,0.051046965858811195,0.01138922948454577,-0.005209806111081344,0.063810901187343,-0.08239292758825517,0.07984992926516571
HEBP1,0.03128757074936359,-0.056844987008023325,0.1559453599570329,-0.00785620734867449,-0.05725921287675923,0.008521114089255018,-0.015953749522247703,0.14656038256604323,0.1860149531613989,-0.009364948344026687,0.00346392366358147,0.11276639290779643,0.10575963201458585,0.07010358575180776,0.028338110644289184,0.021362738603153988,-0.0633402615973066,0.009338220669006936,0.09861786150541493,0.06043967878126201,0.02249821980569957,0.0034323836539391544,0.029486785527341138,0.015715065241940374,0.012316139623228726,0.06263888603605407
WNT7B,0.0019606822493889193,-0.015959359044448822,0.004491484423790565,0.08178510108290468,-0.0028385110873911687,0.024742004693661952,-0.03229740024894848,-0.03689835806061761,-0.10056681460567611,0.005140040104911994,-0.024154882479839067,,0.12993155889873967,0.04385714151844461,-0.020374763556602535,0.04128587247534331,,-0.01840050191045252,-0.030529182578423034,0.060930856249554695,0.008438176382385998,-0.059795184800500556,-0.047003763168501564,0.1016941071560183,0.03408757112079133,0.061408809846328745
PTMA,0.04254640170264929,-0.143161329460775,0.02719681161255298,0.012202610956918623,0.06975967946630507,0.03774370211204231,0.029515335648844596,0.4463854472767993,-0.1552671999132732,-0.10688629396480129,0.06425785684027573,0.23164523315059854,0.20017163825949635,0.13594146166860605,-0.11125456023605707,-0.12762749469938803,-0.016587907811837086,-0.17159633160173215,-0.13934181331640952,-0.10694542192607019,-0.053931632442312666,0.06847691496414138,0.0014990104387514432,0.07566002857703676,0.10268399799016184,0.11288259928348321
FASLG,0.026376956044875555,,,,,,,,,,,,,,,,,,,,,,,0.06378652088487484,,
CEACAM1,0.05822144145656567,,0.039515698159161596,0.054651864924186104,,-0.0173779960782992,0.004279921994109296,,0.0930662422317612,-0.01133071216936771,,,,,,0.08354959709561491,-0.057598741853724905,0.08342538874146227,-0.027526888173976156,0.08244721890660087,0.047787936800288096,0.006649999669276513,,0.03511751059021463,,
PDAP1,0.0839000573834097,-0.045513497724350295,0.06111744573055641,0.045478200913401365,0.055899123113975255,-0.002408673611487877,0.053547652425991576,0.15016568851958478,0.2520182699093415,0.06130729739433205,-0.009378038744752891,0.0038988418465565186,0.10492336808134992,0.03764851885744903,0.03883919126924234,-0.05520177909548129,0.06569827633384753,0.012708354608767328,-0.009779055618693546,-0.0027983465635816997,0.02157144120971235,0.021787716851823787,0.05849003180297935,-0.008585257538888613,0.056723636596784,-0.06585265260143384
