,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0027421764226307735,,,,,,,,,,,,0.02180977960732992,,,0.052261332300595355,,
BMP1,-0.003834931079728847,0.0057273663596053405,-0.09427335839963004,0.02208838204456541,-0.08160617589597204,-0.07113134615418817,0.027429250269407866,0.03302257044110587,-0.018574286079882325,-0.036285476567159886,-0.02554244430119555,-0.05633353925757468,-0.030404765769305557,0.09099815008972997,-0.033554042625974966,-0.025420323236141615,-0.02805860190566944,0.06591662560169041,-0.00642112118613932,0.06149783282225828,0.023145046086594102,-0.02638367971569602,0.02327124994805148,0.08435432721585627,0.10495381051193965,-0.06952213186087944
NDP,0.05189302773933076,-0.050403580763286694,-0.0792074183100572,-0.011116545516102356,0.033731803678548423,-0.11509305026622335,-0.04864313748204619,-0.028835674661537736,0.004455422265290485,0.009111953964575424,0.05866603397148959,-0.029931840069846637,0.016870712005664677,0.07084506455808559,0.055392213724046145,0.024227679416740353,0.00690733486685301,0.11306089571873613,0.018313431800011805,0.046932429642472344,0.024774257056258946,0.034955518504809116,0.035742795303813094,0.13838382050623596,0.01656725873202392,0.014215695455104411
TNFSF18,0.000801627737673695,0.0391786886607013,0.0073646574738136855,-0.024744954366309257,,,,0.008970605020906542,0.011830184322033543,-0.013265912012226721,,,,,-0.03526689503422382,,0.0028515339770439794,,,,-0.014031085518002044,,-0.020575355000096558,0.04558474613785921,0.05129478563915583,
IL36G,,,,,,,,,,,,,,0.021865116133793213,,,,,,,,,,,,
RTN4,-0.09506774092437668,-0.013537148363786616,0.020174831101572675,0.020633987997672004,-0.03936855081519816,0.006006528726546293,-0.08879009650846068,-0.07917654762477257,0.005775689627144084,-0.00648561316044619,0.13882860434110977,0.11042468474617953,-0.06235248697623841,-0.12810596732781787,-0.08786393547645871,0.0006888430973722538,-0.1934556403433444,-0.17181529802074613,0.04298635020816704,-0.1358553317305838,-0.08626723704601137,0.15075293074686816,0.030691622746662907,0.021670642388504406,-0.059693053660225016,0.1424401302729241
HEBP1,0.04796867950026545,0.06066320534748055,-0.03781381011559082,0.07022114654731773,0.027309479137141813,0.04629272412329918,-0.017359071970908906,0.05448977556957803,-0.016008054702096056,0.02998930831673613,-0.039487830953835644,-0.09800753651986269,0.017539641102366568,0.01329066614976731,0.010127834578349199,0.08536543199566234,-0.06569129242127264,0.08681297626844381,0.03818436166569015,0.0634981505287029,0.02803261087182508,0.0676857611910887,-0.022145724603478502,0.1775455751886452,0.11572515948240328,0.07432994662939424
WNT7B,0.007042267536617009,0.012737109082712536,0.019827081845831804,-0.03704251816658673,0.01574432528315539,0.10468348163389325,-0.0031815972004151506,0.09101305621007225,0.09992049374603491,0.027440632357875375,0.10510021171940274,,0.04934004350212606,0.011038493924743277,-0.009254913079666388,-0.007603687553673943,,-0.005843696580827365,0.024995182534856396,0.13883867667562472,-0.03361937299134547,0.024521091797530217,0.0782789671191653,0.07552296375825145,0.07405284142026893,0.19480400719787466
PTMA,0.01934316516550993,0.1069834876716202,-0.10203409992033459,0.03200751449719241,-0.01625204377864349,0.12441606347781806,0.048849321991079046,0.0693764146991089,-0.0709088184143839,4.0027549315427695e-06,-0.0630199627473524,-0.08364063815117861,0.018980034875873512,0.18088790305210076,0.012089571003422424,-0.1545085261860925,0.052837542604735964,-0.31543313087578706,-0.10081542674403371,0.01095569845504024,-0.0559947045904394,0.01061700891373805,-0.05385414859819119,-0.04936756561903904,0.048540142161379245,-0.12711952270791474
FASLG,0.06273762178634336,,,,,,,,,,,,,,,,,,,,,,,0.03471371734752202,,
