,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.01945312014595296,,,,,,,,,,,,-0.024267996983114052,,,0.0018013141428737814,,
BMP1,0.011485687784468712,0.08047737467036713,0.07068568598092359,0.022981493094259068,0.0074475926221615404,0.040035900110891136,0.029858133573350373,0.08158868362882495,-0.026462301353686685,-0.054467375424414995,0.02090364830915307,-0.01898038740080479,-0.04956542370800438,0.0389125654955911,0.06830425202295617,0.1992285721931486,0.08411998410064583,0.06043509816202172,0.0718299927670781,0.01167220397584865,-0.014336333297828505,0.029714825859841004,-0.0061779750335717275,0.11611550972732355,-0.02910314947714358,0.044566963120348274
NDP,-0.0014183706263497205,0.024354310320335137,-0.015428469598686548,0.024395022798481193,0.027359115309584417,0.05249460123232588,0.060003002576054204,0.006707937986239564,0.030731709023966828,0.03519420217578636,-0.00026095681556450353,-0.003692367796519915,0.03689829654928104,0.07496997097413541,0.021623390527951224,0.15634465605139028,-0.12241303159069367,0.018822957670882046,0.0616261081678563,0.03880304114591177,-0.04721638511749767,-0.007084605909329697,0.0035201808358985335,0.06332540859011115,0.026059228830282423,-0.08166000357535351
TNFSF18,0.07396660824740428,0.15945365756472915,0.07460732045420337,0.031447944779907665,,,,-0.01654262487652552,-0.02573091737170753,-0.010474577647281451,,,,,0.07812673564746753,,0.06312338722662056,,,,-0.07147834528137599,,0.03410704915239054,0.00395293525475625,-0.09933789469188031,
IL36G,,,,,,,,,,,,,,0.03863888195814792,,,,,,,,,,,,
RTN4,0.0039249154319946,0.04543716857589204,-0.04526507575428537,-0.022330014085679747,-0.013843908106258174,-0.03383715759035832,0.01674428292605652,0.07816845062436925,-0.02273040731642255,0.0039024207573409857,0.011489184674905461,0.027978876460932108,-0.01938304540969085,0.07564196414467769,0.020506190963138382,0.08680265862124097,0.04580933673990316,0.032126092846868404,0.009247158482551032,0.07821842700048373,0.08145276117070506,0.040953129923922124,-0.017962205977082618,-0.03736682322419119,0.06395872389534742,0.01743720803145407
HEBP1,0.03508452727931584,0.08003072765364651,0.020879503194112393,0.007301245551942422,0.023816341047494794,0.058003514940283774,0.006936066114805387,-0.029009803633471457,-0.008550472146905196,0.01954425049046745,-0.023653107960570085,0.013226123238698213,0.03310218773222336,0.019636103905288315,0.10795333216025,-0.019301002888137804,0.1222695872431464,-0.04662605064669675,0.090762740335978,0.06648046567809669,0.018770835373472686,-0.0010172355163544854,0.009604400857112044,0.06497394987174694,0.009381560479842151,0.03296568466095619
WNT7B,-0.02306557237638878,0.01160264511942716,-0.03251401784017619,-0.03819615915505183,0.0026066194757247687,0.037572275686088084,0.013007515873547289,0.0627164798862441,0.035388629291821946,-0.009974131950051746,-0.003703580819969438,,-0.0028441128587524513,-0.0017691788481488458,0.028719649676333784,0.017326146807332323,,-0.0527653311355336,0.008715288698784053,-0.01418010037768421,-0.0012318339398017237,-0.026758856079015177,0.007775939002789513,-0.02025873177489763,0.011479477057703113,-0.019721115711635203
PTMA,0.0360090506390544,0.004393357769424362,0.054707982639690234,0.017433692879853146,-0.03175745066688937,0.019043753923030197,0.01568204199068064,-0.013583555333077325,-0.022489113946696348,0.08938048903045262,0.028478350849370712,-0.03443348884425329,0.08592343520488649,-0.057580031321807515,0.04509724854492712,0.05347711904125559,0.050312121009279794,-0.01094179025289772,-0.02784245546405525,0.07434625827934953,0.17874577036644038,-0.04708196430692094,-0.03373085035943026,-0.02293757121296057,0.03825748129588171,0.1179811326096214
FASLG,0.004422100685921091,,,,,,,,,,,,,,,,,,,,,,,0.04447511592150324,,
