,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.0008247651753361223,,,,,,,,,,,,0.03194586074558773,,0.02243347823392048,,
BMP1,0.048019675593566145,0.0484429549461372,0.059054677756033645,0.03860303491927963,0.055207661515143,0.04627093527481169,0.08621635961660942,0.09763949433449838,0.14683503797383599,0.013140894082234535,-0.0005930595548557602,-0.06012989490874165,0.02183869411705261,0.03756949887673466,0.07814327854535713,0.03294249052112325,0.05360084553894315,0.03443524593074958,0.04193807782549307,-0.009529431919019256,0.10071347758071253,0.0690157343215475,0.050599167069116734,0.07631393644179257,0.0850509195610661
NDP,0.013966087393312789,0.03605916807703757,0.08904997537493857,0.03692220474234074,0.06904271574520857,-0.008729062317247373,0.0018897560989451173,0.044215801243479354,0.042626512870001236,0.014076420384243468,0.009327459862633128,-0.03691501374825227,0.053595812471103524,0.07377454921734335,0.13334529872610756,0.10014492804475758,0.03697427906682981,0.10502896246297407,0.034963980502410154,0.13906069144039496,0.012805212247403034,0.021126765442298245,0.13260665532267932,-0.005025791873109197,-0.0031207726408169867
TNFSF18,-0.03307640717636188,0.1582791483146905,0.031585629034908996,-0.0065713630752963536,,,,-0.033505147135299986,0.01832933156968821,-0.008311162517953089,,,,,0.12037683816750201,,0.06782403540709821,,,,0.061400351654262365,,0.020120288962196056,-0.022194679456363203,
IL36G,,,,,,,,,,,,,,0.012955240925403438,,,,,,,,,,,
RTN4,-0.06351510094593457,-0.09787704450211292,-0.011118135549948071,-0.028139825564898316,0.045984903003770394,0.04343957719677803,-0.027460107079244275,-0.10288991963793329,-0.19481212498421652,-0.04385397327605993,-0.016046488851940592,0.1373143921178225,-0.016779028255837537,-0.05695372284375176,-0.0117066686402507,0.07838068025267235,0.03584274868371335,-0.10114277879699697,-0.019831869309014354,-0.07500369054318314,-0.07961844544331316,0.06850702459598695,-0.026169754383965176,-0.06627328950806094,0.11797564282483677
HEBP1,0.011448367043808085,0.04448116603419546,0.07301989682051466,0.016039272652796477,-0.03622090492025158,-0.02579171903882999,-0.036681176331218215,0.016571770948596007,0.09678595226729202,0.004113951800673716,0.10182705957533136,-0.04165588894392854,-0.023707130451532835,0.041235116361040644,0.032631100625594246,0.053865084299996806,-0.051047459458313404,0.040006218788990265,0.07522079251042404,0.10898272558436974,0.015269140659658027,0.02648564302441761,0.15310852663040322,0.037949196603054874,0.09718788060660102
WNT7B,-0.029139278740493536,-0.04158801762485066,-0.03736826719070511,-0.03803607175105303,0.04575927946226443,-0.006436295041481388,-0.03478340923166019,0.1079629639734012,-0.05842215978428383,-0.0346909418215062,0.023013959652591783,,0.027135393941488832,0.028999873877684178,0.044348756720853706,0.052942161092548755,,0.061548477652945785,0.00012296611831600856,0.07671205176798887,0.013416835871593246,0.012534582141282051,-0.01315728422721864,0.001936817690243071,0.059074080121982356
PTMA,-0.008323960798374764,-0.0856689727682494,0.03006154600538494,0.041204333391262386,0.085914606164091,-0.010574116151077494,0.059409074699319823,0.17318842874064172,-0.09078537912325957,-0.0653104012910212,0.043296060021878885,-0.16305453294037825,-0.03245059614716041,0.03119964253175258,0.048523802561077196,-0.10117266292959076,-0.09842910965994933,-0.17101931501769174,-0.05127369839031904,-0.1212616042652485,-0.11926693573407554,-0.009557782840046127,-0.06973481277090703,0.0287819118547309,0.029643142925530643
FASLG,-0.029139286978092992,,,,,,,,,,,,,,,,,,,,,,0.03456000976129046,,
CEACAM1,0.010801947809779593,,0.03824785021780254,-0.029190397353264657,,0.019991857253662464,0.009185857794578329,,0.05257082858295245,-0.02895353336600169,,,,,,-0.01447349499496583,0.033847810777146874,-0.02485750177111867,0.07134157422918797,0.05437789033767412,0.09182440441330815,0.025974798425219034,0.03189800125534617,,
PDAP1,0.05641070207788343,0.024221105972919783,-0.03654002198169288,0.054821508670471496,-0.06084939202824392,0.009919964472046862,-0.046619414403390465,0.10592072805208713,0.1534017808102961,-0.012364800953965803,0.025709808370905675,0.06467461057697527,0.10243193102167052,0.03706814432331627,0.04112813084391602,-0.00467370638536339,0.008553805468657333,-0.00023180675328853543,-0.0790040447808633,-0.060052927232643674,-0.029373982457863535,0.07264769318496464,0.05460304217010392,-0.014991596134818805,-0.045622683113021235
QDPR,-0.0005599661442636321,0.08053397950033848,-0.045587747354291025,-0.006798114890092602,0.03821664159934261,-0.0064279501903941536,0.014707897878277613,-0.02627756190414968,-0.19002981221747656,-0.02818092131051817,0.02025751835340333,-0.1345951331735497,0.07888753554614118,-0.03513436582186308,-0.03958986143063096,0.03970429021277148,0.004243017253259249,-0.13679372836121087,0.08284940306640415,0.1828797789607654,-0.11333751769255251,0.03492697828841851,0.07667057334665436,0.00267164496154631,0.08577933756064655
POMC,0.08576298418540496,0.07466119686543025,0.06897376307918404,0.026553853569576166,,-0.03295281989666014,0.036896419546489444,0.0863624673019368,0.054224899359985666,0.04198251955148154,-0.005246979740223593,0.008242244533522545,-0.02395690314341117,0.017456065223044163,0.10808659509921398,0.11372484289286232,-0.017305185564314218,-0.025698019196371946,0.08427333322730553,0.130807913212658,-0.012503385483443761,0.04877087615374064,0.038251595727971946,0.03556144952694735,-0.004602274183851152
CCL18,,-0.040538297645650215,-0.039322745792053776,,,,,,,,,-0.02770941405064918,0.0021091328039197594,,,-0.06582968799273987,,0.018447614846395923,-0.020101663120158566,0.05535987515500248,,-0.07011565486058507,,,
CCL17,,,,,,0.060914878494455364,,,,0.07121440249686888,-0.042467413981715454,,,-0.0497076817669097,,,,,-0.009947080776649088,-0.03085548486196067,0.05712511768998632,,0.012784023166804869,,
VEGFD,,0.07137298446419454,0.07606031064838481,-0.00963788015073909,,0.05990248020321304,0.019663892713333755,,0.025489985828599643,0.054673511360177,-0.05317631641369938,0.0038072285519300127,0.07810052285716836,0.031149369503505817,,0.05262933144692891,-0.0019663414835379986,,,0.03614719843925716,0.07389440185934058,,,,
TNFSF13,,,0.022868716536916033,,,0.018670276582004916,,0.024561687308746735,,,,,,,,,,,0.025022964864367305,0.02909003832203196,0.06679222382055255,-0.006147171934349155,0.046674831305725126,0.02943072364363752,
WNT5A,0.016604923436354044,-0.0651981405854432,0.03362306297808326,0.02139839822233625,0.02296394568280761,0.002929640224915224,0.02957491410988353,0.11806116055629536,0.14377260300750333,0.02331147566052839,0.0667486895846632,0.02468907920947441,0.1395269605615492,0.06781972852208822,0.03136742469161468,0.13238429492196604,-0.07099429894604321,0.10810723252160855,0.10017516958622995,0.048954621055439226,0.043495644279334784,0.01744727312327801,0.03261264791896262,0.0934681119053317,0.07498059825441923
CXCL8,,-0.051267265554518805,-0.03837633659247256,0.0180952852864347,-0.13519754717785232,0.0029021039887011445,-0.00546397975394079,0.019222707656021368,0.06168457814515476,0.022258566419486866,-0.028423445596459037,-0.04416206536748561,-0.002749308736590384,-0.03617198646868528,,-0.038355236925655324,-0.0579250049053685,-0.08440050729784077,-0.08155016053687528,-0.24876363598065446,-0.06906348910238823,-0.02742798751107548,0.01050108506387434,-0.012608074971274235,-0.058826292522979134
GRN,-0.09721912702964419,-0.03904296163634445,0.058567939105932984,-0.009359118701866868,0.05870888552529311,0.010582992850243788,0.01667126164178395,0.015410980414815291,0.09664867737304489,0.011310701971500386,0.01621997764987379,-0.09373861524618922,-0.07089492495847846,-0.02483981997860698,0.07107661593510879,0.09070597988138962,-0.07200171706432887,0.027721265515779792,0.016693560644436653,-0.06258430736620874,0.076122705906571,0.021387257447480053,-0.046756029546935036,0.033809908316743915,0.06951161842037179
MIA,-0.03814081332807409,0.04004513469773313,0.014395384497195426,-0.037182345623105885,-0.007827152748611075,-0.0024679978917858682,-0.0045158524542771835,0.1418569234008374,0.04542817809630701,-0.03360890242092765,0.022448543554401793,,0.022525492862080897,-0.01700708718901485,0.10192052788469558,0.06840067853633301,0.04049455676627149,0.07126270922268305,0.25996731056742517,0.23970286520896214,0.06576357775053143,-0.04920577356566472,0.16678646187483093,-0.018126222496765217,
COL4A4,-0.019000488233344343,0.056194763954299204,-0.04257119011279142,0.04770097118681622,-0.029079082051113817,0.05905139591574507,0.04726183236184317,-0.004702078426793331,-0.015896463028091015,0.030588383767889527,-0.014095925720632722,,,0.00889466892030254,,,-0.06676534787061338,0.03754986578368655,0.11618979015793997,0.04570738866302912,-0.010098639030997156,-0.0037685434276946163,-0.0005811995694664976,0.07068638459176496,
TAC1,0.07189766902807174,-0.004429414880527936,0.056397243497411126,-0.034818026773077805,0.06173944327635158,0.05102325518656106,-0.023350269608624873,-0.02041391357740685,-0.06915324098285017,-0.03874782813172338,-0.015408185523776671,0.13845175755921385,,-0.006902310264594064,,,,,,,,-0.0281080651771223,-0.015578129877200737,-0.018131186230249306,-0.0038635247645867643
RARRES2,0.03809180307874841,-0.01913529854048197,-0.019847412267814977,0.06918715248526554,-0.03931981105277655,0.01248353225226809,0.08420535194690541,0.018059815059155257,0.11622219922454538,-0.014508165594500813,-0.05552401880169354,0.024420792817020955,0.09980557913655817,0.08382145318261064,-0.014313510342471192,-0.03287651323819092,0.060532437071800047,0.09942649725700842,-0.0572101273730957,-0.0642262705670482,0.0418039287821877,0.020498141162703102,0.09702633609121784,0.048453682715368665,0.09320062732275146
FGF7,0.06327612238347066,-0.04499033486759635,,0.022605212120561383,-0.07340608963751159,-0.013485150342928385,0.02420592105662438,0.08231794050477684,0.05502584303429876,0.008722681589611113,0.05162104590271217,0.01787271740292215,0.03675363701566145,0.08104417501495896,0.0643152706890415,0.07102621124110649,-0.0019420206758621065,0.0753861764622593,-0.03692726041329598,0.07440227121031544,-0.02229682314638866,0.008072853391295437,0.08972136190606574,0.0005362170999670715,0.024895348720023445
EFNA2,,,,,,,,,,,,,,,,,,,,-0.04055384842268078,,,,,
HBEGF,0.02255528546131901,0.0703138658905038,0.04789006836830204,0.09373243603717463,0.036614995803066284,-0.009927976439735989,0.0282638731232087,0.1250933666403053,0.06601443690253024,0.039341773750925214,0.047383268894988374,-0.08970155072180694,0.08419567163944218,-0.0005936347051742885,0.034062468706161184,-0.03711481531029678,0.13676791172033714,0.034992320859685934,0.0644816862460251,0.013877947761863641,-0.01741878905477146,-0.0051711025282671465,-0.01580760578236516,0.12946627547924788,0.09884732303646902
CSF3,,-0.017885678813904578,,,-0.012175475025381629,0.004114731071045677,-0.06786082264027929,,-0.004823119791518505,,,,0.03274802515052765,,,,,,-0.08541866568613223,-0.1112601562106316,,0.016619417795742414,0.03238825081347862,-0.002136685944121216,
PI3,,-0.008728129090006899,-0.021133194916330433,,-0.10126189982021752,-0.018759117579079828,-0.05657670066131921,,-0.006829397237745801,,,,,,,-0.015740913693045946,,,-0.17327025629952936,-0.236551901586817,-0.010660302850589517,-0.08878911367131968,-0.02920992768666855,-0.027664936544028237,
PCSK1N,-0.012556241326989489,0.0562433097919492,0.0702131787397962,0.01175858906096487,0.011511043227616813,0.02130847775503228,0.08306815098595519,-0.10865160195317056,-0.044759143215082106,0.06536565974022988,-0.05268736230230663,0.20761985141628705,0.006809663084639954,-0.024884802555310375,-0.04717966015946281,0.05064184319814446,0.0120614995344466,0.0825318247260325,0.0339823088024296,-0.028435456548689658,-0.029542499975852815,0.07947606902832353,0.09596863464790584,-0.06292107774546764,0.012506986579642259
NTS,,,,,,,0.10429618584465315,0.05062849382625691,-0.003076074745344165,-0.019673048522056685,0.02478962121732627,0.05225850019837036,,,,,,,-0.04194657416161311,0.05500919899714849,,0.015341751624607625,0.0496368494807067,,
SFRP1,-0.042398375538081956,0.09968778522153028,0.02536867650933534,0.01838551121981591,,-0.018068157283701397,-0.004924968962044128,0.0942799402753908,0.029376931606908022,0.025901425487888926,0.018249512899876943,0.026941613351542732,0.13262857090434768,0.043850963591080636,-0.02640998592598103,0.11731680345515208,-0.03427574164858149,-0.0199947367132931,0.08327512494188938,0.02299585999438854,-0.03896561225580133,-0.006669215254551953,0.06000689098015592,-0.01155151655420762,-0.047794001191621534
CXCL13,,,,0.013900153389631662,-0.006382665898016406,,0.0052252836960135956,,,,,,0.016894827476254332,,,,,,-0.034459740574081014,-0.009875830556318771,,-0.05742914396980805,,0.038507717544047255,
MICA,0.012979739026868675,-0.05168288167286287,0.04310285730614126,0.03636225480816285,-0.031029916582559387,-0.004076622943546117,0.03255712469877289,0.08175907764766623,0.06474938216785427,0.022093542052893392,0.04919762249188057,0.05705194652048998,0.06758386090121056,0.05881216879175317,0.12881410076923747,-0.03461455860541291,0.05257708955515184,0.07810121231745927,0.03943162773081613,0.12388627894521892,0.03564467979004775,0.03066388485441829,0.049484604249256325,0.11948520870011171,-0.038155230988437545
TG,-0.020157474365442407,-0.03665310704030026,0.030867920038314525,-0.031144310490287666,,-0.04727571349983651,0.025586665554151795,-0.005000046182000261,0.08989467426431784,0.01579279461832183,0.06768680197345861,,0.007848559623079215,-0.011714729254730267,-0.043135832357039106,-0.06963720578586266,-0.05103798974951173,0.0907078788489216,0.02045987754732024,0.05509364076821309,,0.03235969378712702,0.033053426869684426,0.009134529118373135,
ADA,0.021108791001384693,0.04847518983394312,0.05190776638480619,0.02135633470505981,0.09930781340525026,-0.03492050937892785,0.030571223025185442,0.06975947766902008,0.16127417905573105,0.02285763511647817,0.017734276568448712,-0.04318874002482495,0.10875334668250623,-0.003964854547956778,0.11239810211603284,0.028307931036309273,-0.05668422146998862,0.03831033514051729,0.046175912959192635,0.13691216936169323,0.07306867003951463,0.0190496898946369,0.01149927802006991,0.0633153840938417,0.1518041704962203
LAMC3,0.0708462621088502,-0.01767492899466914,0.11762491720410383,-0.022201307790849844,0.05007467647165462,-0.012785490200823658,0.03236639876209848,0.07083479746926694,0.1551808526359422,-0.009314883027626336,0.066767375869199,0.025473184721083807,0.04008262996641872,-0.0005425306674277008,0.08800903786479393,0.03989483577852828,0.03415711827652862,0.081107248540689,0.09286274834233747,0.07703864344923857,0.08935831552208433,0.0014378836737428344,-0.01597688420168176,0.04820564055751858,-0.02151850533615202
CCL7,,,-0.047958505785264845,,,-0.03851270139884951,0.03470102637973339,,,,,,,,,,,,-0.019585191072712275,,,,0.01220830721091945,0.02145584341972729,
NGF,,-0.026490174079701504,-0.009988113284416636,,,-0.0275009272126167,-0.033423738018030134,0.05890585697138354,,,,0.034896869207422285,0.05182847731920323,,,,0.03692870439790513,-0.09004265833234586,0.014849824762940283,0.014509322537816472,,0.06027478012336709,-0.0076654856465395065,-0.008181844464172068,
TNFSF15,,-0.03277165140054987,,,,-0.0060867293487250965,-0.0018641267319736384,0.07413413150070502,,,,,0.14819740912935672,,-0.03976031791102377,,0.005465569723720384,0.07692450783983842,0.05269650634924939,,,-0.04642688060272047,0.0056214093686059495,-0.0050162350076712065,
HMGB1,0.033742229387369795,0.01922253002088939,-0.005580768047315486,0.045019809154191716,0.11269576324440085,-0.026666455885923916,-0.053477694947145125,0.1340167658737858,0.13656739336782256,0.0010636589229663523,-0.010522540252772902,-0.06824848941158086,0.08497886477316109,-0.013231838933265067,-0.048928026733093155,-0.04543794053195308,-0.1707045094208851,-0.11197544669465434,-0.11348459454810168,-0.09520305950702254,-0.07015475637197259,-0.02688714426833057,-0.01961711488584949,-0.05903095048199755,0.024010896305638386
ITGB3BP,0.021922722972367335,-0.01708622234837285,0.009084008807564792,0.021853450173952897,0.033053444721790386,-0.04531364187021705,-0.02234124839140297,0.09921382465639032,0.12559538482099192,-0.02842130404743176,0.00641929540091313,0.032415229697053564,0.011001212573240592,0.10856370389726105,0.047244547542014605,-0.09005779788845053,0.145092663393565,0.09963741980622706,0.08948023090608781,-0.004882158612654542,0.0044972137777099614,-6.856643756002855e-05,0.056341662098238224,0.023529561160041422,0.052466199448266325
AANAT,,-0.010452680012437874,0.01058580035443215,,,0.019915595153154626,0.02291596473249092,,-0.04511346707111574,0.004485067652751679,-0.021285411069709926,-0.02372450939106268,,-0.02217341887162511,,0.05123439957244634,,0.0644745997408685,0.015993381686768775,0.004794076522948796,0.0548681607232227,,0.006339614843236174,0.00462106085184378,
RELN,0.04041107252031679,-0.04567478901317949,0.05681619189098316,-0.02917325169400091,0.015270061682112058,-0.005753604313740089,0.058240374423879984,0.01872698625859769,-0.023139261059659817,-0.006423786609378135,-0.03057503818698174,0.06967388369662611,,-0.013359256754792976,,,0.0471013661766127,,,,0.1224635454303188,-0.005911331654486809,,-0.012934840834141148,0.004479078629344671
IL15,0.06774469169782071,0.06993105608106165,0.03057937480567367,0.037384320326636244,,-0.021192189156489946,-0.008971721569301181,-0.003361669034594089,0.0035682032167331876,-0.0008594235595334837,-0.05153577099543455,-0.0170013089555425,0.08450877111164418,-0.020561034846765358,-0.05649742004283678,-0.08013102406884769,0.023654380334546903,0.04203718094297822,0.009971795467322403,0.0007932752066804721,0.010180369043587208,0.011468536292989169,0.05516954476704617,0.10999151744400973,
UTS2,,,,,,,,,0.1273419059906521,,,,,,-0.02283371975074623,0.03681020990633281,,,-0.012466514819065081,,,,,,
BSG,0.0710532367937723,0.03752908727153819,0.07522401289432797,0.002375657774820054,0.05592658171051654,-0.03268301728447857,-0.008230036301374501,0.07414159275145367,0.0025076929213862236,0.0185789947243142,0.026124103392856247,0.1309006281010925,0.042132870397869386,0.018277149492420663,0.1078817943641968,0.07158187642820217,-0.022371063815051457,0.14050259225099354,0.10317970747126355,0.07040198303919325,0.10039355139091855,0.0449392173624344,0.04475939682242304,0.13777222533618183,-0.014677143281960656
ADAMTS3,-0.049774086451586666,-0.01242858537136978,-0.03584190378701515,-0.0140275208508624,,-0.006916082031093871,0.06476159934352957,0.05269965964665735,0.18822773606726034,0.0515114278820842,0.006017401110785779,0.037475122536801415,0.02642737589968446,-0.00216210013249789,0.17474597999710892,0.03333214586051707,,0.0016480111788175955,0.07239280921741767,0.10123666364654424,0.033631426984739664,0.05031118536352836,0.09308654997554812,0.04662247270670132,
CD34,0.02874457060754912,-0.0190658830073197,0.07926781545246035,0.04519781035315909,0.057598028541411925,-0.014987700727583889,0.02409120185419344,0.0825018198300554,0.12050727524953794,0.014038508954055288,-0.022967185987709828,0.017317939933745648,0.04556472389770778,-0.051488855998816974,0.05964455357385827,0.02856900616324381,-0.04284976014900567,0.11537764530072853,0.16210265002264193,0.07211092827111318,0.11817149296002984,0.0742100972693261,0.040653379313244226,0.09304900178843978,0.1478704391890947
CCL23,,,,,,,,,-0.03629441614815627,,,,,,0.023352672094497626,,,,,,,,,,
PLAT,0.04971713994615133,0.02032937607415514,0.10828853666421419,0.06964284517374127,0.07068770267598189,0.031212910405825585,-0.020458880712986568,0.06983341973538695,0.10677919969573255,0.04204788626703425,0.004968091592859037,0.05763173219654118,0.036084638815894264,0.08704326999477488,0.032964576890805675,0.004131520983591168,-0.003451576414527927,0.007680156260526138,0.1064803778453534,0.19195246034488672,0.10654560349610868,0.029312551845160257,0.03519601502879008,0.06575552019654637,0.02772558290272666
NTF3,,,,,,,,,,,-0.008061411252445048,,-0.042152743479104346,,,,,,0.10704130710445522,0.14162178939315215,,0.08973070017368585,,,
LTA,,,,0.005749834107417262,,0.025917058969547217,,,,-0.011855484037603666,,,,0.022721026154300827,,,,,,,,,-0.012575483765077335,,
