,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05143192074760155,,,,,,,,,,,,-0.05094449921909394,,,0.03347115939443721,,
BMP1,0.04553120028941456,-0.053904445220774345,0.044106070333098976,-0.06160598865762076,-0.03360988923340851,-0.02495362337608794,0.05022081550575426,0.041561889758160706,0.17816380237345458,0.03100373775187607,0.005007903032815197,0.04292939706887107,0.05760282071383574,0.13000577060774507,0.01310565713826921,0.03247990871835148,0.021092051769243295,0.1249090095912491,0.04731458125567606,0.05606390554818742,-0.01834489697782785,0.03816279782173714,-0.05782647224564226,0.2631875256307519,0.04265727397932994,0.016603718053638656
NDP,0.004110735670726664,-0.08108877910313879,-0.059470437414209744,0.0305161396049628,0.04974139443824401,-0.086389966001738,-0.0731759369640445,-0.009081013640591822,0.04430861056012281,-0.006969141372166829,0.013961371411122523,0.05155597245857068,0.07412565064014695,0.08188394707823626,-0.028138811881517345,-0.061836311879296384,0.011794247149556248,0.001187670542213836,0.12063331980242233,0.05439413189913685,-0.011373712684030101,-0.049138682530795404,0.0857152734501258,-0.0325424415962409,-0.03477937093450512,0.057063979179903905
TNFSF18,0.09546396319576819,-0.04952033176887967,0.03702285406427523,0.002030860194572672,,,,-0.029620971622812665,0.008366629823590122,-0.03761928532502844,,,,,0.04363981261878064,,-0.04170376466330876,,,,0.03107038342430883,,-0.02248314625230475,0.046675565719962744,-0.003283015477057303,
IL36G,,,,,,,,,,,,,,0.049151713190892246,,,,,,,,,,,,
RTN4,-0.08227419181190145,-0.03943782908785904,0.02560864820766084,0.041235161829655156,-0.0019275839053924284,-0.020752014333683736,-0.07002006913636849,-0.13814154701347064,-0.14832092858090654,-0.06643034633610927,-0.04999240113427942,-0.09387339042544533,0.021606776878969485,-0.14214109754956603,-0.0019399684943777014,-0.005275776773252971,0.0718967090845985,-0.13624604953222524,0.07956834459281971,-0.07415994527202496,-0.04295248708969891,0.0871985834103016,0.04200151484567929,0.06732184325889384,-0.007698011316770409,-0.0143499686118512
HEBP1,0.05140700200143789,0.09095809083251415,0.03194836934611261,0.015015418365067637,0.06478357375934023,0.00815878343019731,0.024474364228159077,0.13778212581432445,0.04350669767841869,-0.008869060966257288,-0.023101989592780765,0.07962662167870675,0.13045920657737436,0.044717600855661364,0.028669840254837754,-0.018808928910172412,0.021448088396909742,-0.04510582958880635,0.09628535286349378,0.06833325153305453,-0.020374727963520065,-0.014751876678605613,0.02716157701175751,0.09475726245417355,0.008832484822308043,0.016309420152004428
WNT7B,0.04611717245030771,-0.0930238738130598,0.01256558066274174,0.030401216212958923,0.041279421587852395,0.005979542183262014,-0.03420014836992414,0.003101899294032179,-0.06337495529198765,-0.033499894359203315,0.052679484630494475,,0.05132022557364869,0.007945590192644384,0.020077960141361696,0.0014032240349534679,,0.00556268319805613,-0.01650735423257738,-0.0004889093085709165,-0.03440074794305396,-0.030623227291130248,-0.038783654606666475,0.059301811534566616,0.03578742177828509,0.03985943954000018
PTMA,0.0035219199372669985,0.19114616004048665,-0.1359820587581436,0.018470170465687413,-0.02159233441981135,0.06384498987040856,0.05239983902216174,0.18699623841238983,-0.044828792473372604,0.05929575785233646,0.032071994204639444,0.08420590163936696,0.08463770337157848,0.11828872400651669,0.05430665612460775,0.0025108080406072695,-0.06929149379417285,-0.15830177025301828,-0.0442045298726277,-0.023055811733480695,0.04967140897630138,0.09119866323049022,0.20264800283596512,0.16749257298432874,0.09065453678002605,-0.055132277605708796
FASLG,0.02351987342658318,,,,,,,,,,,,,,,,,,,,,,,0.08786061693659608,,
CEACAM1,0.04709995521655464,,-0.00264617611943537,0.004818085644809608,,0.032850520810751856,0.05212780254791281,,0.039687128927342614,0.05007132961275052,,,,,,0.03007016484173039,-0.013707949744144833,0.10880090045849489,-0.031846783774556076,0.08965908669390718,0.01547532410179553,0.024217519587147143,,0.03925931217200229,,
PDAP1,0.08714679690540389,0.11008188167216035,-0.07552904746776921,0.035368402118741885,0.08848353676084611,0.06948418707249446,0.05993320652045101,0.03772325298524217,0.13055025432893252,0.030748771111988753,0.0011787282711939193,-0.006694481075660575,0.014613920668220122,0.0712814534844589,0.05548985018023218,-0.04769612849305811,-0.03262664910757412,0.101777740979412,0.08744132152013705,-0.0026550930114508167,-0.08254712628968325,0.07558748178051826,-0.03947107829876015,0.035862763569910305,0.025536181037542433,0.10474937330456775
QDPR,-0.06734904145538477,-0.07426745749653567,-0.13292373506437452,-0.002037187047070945,-0.025271627489660248,0.020951522759657025,-0.1060911697657791,0.007972730975215942,-0.15019081013674446,-0.03187796813538422,-0.08056912639204365,0.11893503992687579,0.040687262421177574,-0.040432230902342235,-0.14202538177477106,-0.047189059253551026,0.051010494471973394,-0.2642362594755363,-0.04001976007687891,0.026997094977137304,0.0026894046168126256,-0.011001205980369496,0.1285651454912793,0.0192346437270168,-0.08388541189312428,0.07190174883514831
POMC,-0.04400872773195742,-0.08202031501815324,0.026462693532182717,0.06395783261366444,,0.008928406253261236,-0.04103165263576707,-0.014792569875286639,0.05612284263797725,-0.019947750137158382,0.0062832379331421075,0.021312071712481485,0.02331902607771075,-0.007945972672987982,0.04471350405688392,0.025980412964528615,0.008869878210648897,-0.014259852825966462,0.02342887145699918,0.0035882081365098415,0.01696668246527258,-0.00041815500043818743,,0.09569161572880908,0.030015097203567116,0.024086444738142226
CCL18,,0.07582875905853018,0.02596603218755643,,,,,,,,,0.02848316873827491,-0.018867219496884264,,,0.08531576582290268,,0.009550842719175364,0.03454675724770017,0.04436056350026123,,-0.05170477963885043,,,,
CCL17,,,,,,-0.028593114674923484,,,,0.09724178956494495,0.04495483594632637,,,0.04804807130619559,,,,,0.038382422767991545,0.07715002821323046,0.07802922126337623,,,0.0017682586616657838,,
VEGFD,,0.009532648059004044,0.05603471026190291,0.011583209979079963,,0.03967879777561137,-0.03372100088620535,,0.034910723986231296,0.02707180851979347,-0.027044120983988076,-0.04262176097371466,0.0039050641210050057,0.011843419975479864,,0.014962532260774914,-0.023061802840795217,,,0.03663337040582359,-0.004897140217179603,,,,,
TNFSF13,,,0.012995811155553474,,,0.013653406457459778,,-0.01014876308788646,,,,,,,,,,,0.04224580537702857,0.043347430498612435,0.0404616259790403,0.02307346943469931,,0.021493585683460523,-0.05704224989535734,
WNT5A,0.04868906063390229,0.13522901724349445,0.07901915607436652,-0.021806020518812207,0.06270950146574061,-0.02790035285843248,-0.05440537352828081,0.12710550093364387,0.14115865371160158,0.024496340268181,-0.003977456444304099,0.056068158997040485,-0.024706648952945675,0.07800927540003184,0.0034022952128940154,0.07513475303390356,-0.014267069611590133,0.12065730389712975,0.0318428731144646,0.07761241593257939,0.0838876578747485,0.003209607092554096,-0.00822285342613307,0.11637623602529926,0.08282566386275506,0.021270847438065704
