,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.018831645761116827,,,,,,,,,,,-0.018902636692070582,,,0.006644898050477121,,
BMP1,0.049056015016934816,0.03676349575750185,-0.0019272273175013077,0.028127789745810806,0.04367291716627325,-0.013303179829182126,0.02485280652042095,-0.007009562180685323,0.027287437263613875,-0.045862506931151695,-0.007978814166351754,-0.09442392796775635,0.08791552717967886,0.06724337258734224,0.05370295694963661,0.054964524121176334,0.044838835523875985,0.015603847745670888,-0.024088136057440188,0.12988750712164057,-0.0654740559452341,-0.007066862555005156,-0.014966149832763214,0.05431139468180804,0.037957907533044316
NDP,-0.04494277469446106,-0.0870226166816579,0.03175962751334394,-0.027574414433874324,0.06644782676037791,-0.0030735863305063242,0.09281710623070433,0.050196298314506636,-0.020745792269802565,0.030072933019247294,-0.060261845246677874,-0.14303759423463625,0.09192249895778062,0.16444580908138876,0.1522882328464717,0.027293904572955344,0.059631853228853934,0.0993033016755969,0.11568298492616323,0.05478142265394793,-0.023447088547634186,0.03173531228489862,0.10620875661552552,0.061248854923810735,0.04181967206356965
TNFSF18,0.005026683088469462,-0.042655532229588,0.00409193590842376,0.01572426180386151,,,,0.0052520037057566075,-2.9305796005383166e-06,0.001977993073810518,,,,-0.046013943099126424,,-0.019891656919389416,,,,-0.005178238801909073,,0.001116905722717426,0.0271328503286635,-0.010357525515289331,
IL36G,,,,,,,,,,,,,0.02230116155160526,,,,,,,,,,,,
RTN4,-0.07243656130770341,0.14687400464671557,0.06814099135351921,-0.005307461481891134,0.029876356882971456,-0.0095332879159967,0.09932927102246945,0.17038358369789383,-0.02607052173441088,0.043141679881187195,0.12669329854658515,0.2965226455536224,-0.0779039989599245,0.0408414774268722,0.016956512758620534,0.014848682479037428,-0.018249480635722105,-0.0005275445019050812,-0.011597596012047583,-0.023603668814375298,0.11879932784163913,-0.052120842622361274,0.018273736777127434,0.19536845618267262,-0.02951635891683448
HEBP1,0.004394087995369591,0.040150612422871504,0.003385079299205815,0.0470419525650456,-0.040738697918564507,0.0024924006610257546,-0.048078488739242135,-0.08457133194632925,0.04942108028272649,0.04096725030250297,-0.004788870008170842,-0.11707063631212346,0.08728036754741472,-0.10778064819379823,-0.01876671064484589,-0.07216684169943546,-0.027454519401227326,0.06568498292265448,0.09931816892425734,0.03906845492769848,0.1218682687851845,0.02634463440373478,0.05595178871729092,-0.015054225615739556,0.11113475792957084
WNT7B,0.08331891430338305,0.2396223298317393,-0.0015852578827210467,-0.02299416961879804,0.019698989726016716,-0.002192384676929382,0.029885449913194258,0.08682421728741022,0.11912149702707933,-0.007577647473908773,0.027165116533400976,,-0.03710923178839491,0.009091710977093322,-0.0644145684695046,,-0.0025862234233867804,0.0012315912452092643,0.0778148699929071,0.02470519729976422,0.04762225690813541,-0.012683369706649033,-0.03707291140085868,0.05461273161100094,0.04477527179837937
PTMA,-0.03797988592756544,0.0649532572933759,0.04373951996668652,0.013434412521089154,0.17176025838555495,-0.015679795193922832,-0.019699505625506993,-0.10449701666259499,-0.02166618092999213,0.05239834090102965,-0.0973197897814398,-0.3554563719964066,0.09972552345459809,-0.011845130308718959,-0.0834060809010983,-0.07603698720299809,-0.047463410716788466,-0.053079831099043975,-0.06351377509086936,-0.03319005267452832,0.0959615851149413,-0.0607532259238597,-0.087067439283123,-0.10266603600099411,-0.10901590216435778
FASLG,-0.0017838239510023334,,,,,,,,,,,,,,,,,,,,,,-0.028471964035220693,,
CEACAM1,-0.04758216035982341,,0.015534948208937333,0.03199669145127097,,0.03856624193135591,-0.023018883784753,,-0.01194209342027394,0.010366478381319887,,,,,-0.09457974827519912,0.0012189939984706992,-0.051221055388648004,0.03925668580630126,0.008190250579870132,-0.04197774443035137,-0.007580542114096044,,0.026721053326724618,,
PDAP1,0.10075930780509253,-0.1236670874619519,-0.011402901072866145,0.06984331244459822,0.027475537491406805,-0.010877938002688015,-0.05683644780285305,0.02829340330737526,0.07681028591654966,0.03775196616812181,-0.04304148537820182,0.10818562529199229,0.040029043214448085,0.12548367586950152,0.01555711581251759,-0.010080308328717345,0.12415333342601234,-0.06970962973744663,-0.0696826783253356,0.04701362397601997,0.03774311656081286,-0.028465117698264025,0.06317706304090003,-0.0103224123188413,0.06268878154066895
QDPR,-0.11356424618566228,0.11177070335607817,0.07425755248955156,0.04257486729967215,0.1541867992850419,0.023372555380601713,0.1384000297947462,-0.00741970805595462,-0.18553412588842996,0.01507147628920475,-0.001327833004924213,-0.24567920588875752,-0.0680608813843097,-0.030849696480454537,-0.010152248000931827,0.09000924597804219,-0.09958721497423662,0.06835322004312373,0.14280229428660615,-0.04417874826933532,0.03002989152191948,-0.025620189555683757,0.056730374912383114,0.1019116612433886,-0.059364121184981175
POMC,0.02039148737148801,0.03213752088864106,-0.028407402632397116,0.05785237769287354,,-0.006190012561953375,0.1503172554292783,0.005751434255079544,0.04481380340138922,0.05027550989491268,-0.004422167490139912,-0.06049189930856414,0.03186092187051549,-0.006038709073874515,-0.06686342639739896,-0.07269988861556308,0.010310908003065554,0.07642829763427196,0.1140150484720795,-0.0038337280861065123,0.002262359707627514,,0.004925401328992727,-0.030706518295663444,-0.00013495663697995808
CCL18,,-0.016963817059588965,-0.01570843951846416,,,,,,,,,-0.09314365543245152,,,-0.03409427075083016,,-0.03631657042548673,0.04287600088390831,-0.03890593226727798,,-0.05499930578686497,,,,
CCL17,,,,,,-0.055938242938568125,,,,0.011828755839872217,-0.006404141879269131,,0.00669178057652092,,,,,-0.021876458534833602,-0.007997337192711071,0.03505463239282748,,,0.005995253121235401,,
VEGFD,,0.041902530683323176,0.013945092754873378,0.03931156202020871,,-0.008565317945447636,0.024005016824437442,,0.026313981760305753,0.016460581407898106,0.059300211282924745,0.057022954713449966,0.05761172404937925,,0.018441893773666306,0.02265692189878815,,,0.016125480058550988,0.0073818367463819555,,,,,
TNFSF13,,,0.02531096674503702,,,0.008207338508552832,,0.0075593260797294495,,,,,,,,,,0.038855905621142356,0.06731951654011398,-0.024548061400935055,-0.018018514594664033,,0.08288548886380709,-0.06488356857972927,
WNT5A,0.005637252760577562,-0.05968251923321228,-0.012545872986342094,0.03438214611655647,0.10510034086268422,0.06588115001117255,0.02268297020444382,-0.06595960840829404,-0.013357042895551839,0.02277614486759835,-0.04409593647673237,0.04782413918725841,0.028776545611761135,0.02331528384288791,-0.02656324832601377,-0.06165090744396397,0.057726364685861904,0.01058289402879234,0.06905338486800709,0.06402087858664406,-0.003006372485865875,-0.005739419815542862,0.024107925705087335,-0.052964063847331,-0.05714595694770075
CXCL8,,-0.0027460596369231916,-0.03182898750199712,0.0035795795833378557,-0.1767105836034769,-0.050306431721813434,-0.13371841464143353,0.06586407040545779,-0.009428502320031087,-0.005123015855337418,0.007132831945915201,-0.08373122687019391,0.021717365567735524,,-0.13347313731403102,-0.031881057554373426,-0.007570013130585474,-0.21510086882187537,-0.32053930050388724,0.019938781185544773,-0.035023073808355495,0.01694701042917739,-0.036306610745543574,-0.12775582994585588,0.11756844254422416
GRN,-0.12943434165254378,-0.08131963973294185,-0.03671572080694725,-0.040072698727746804,0.08172033785740691,0.05061645864289079,0.01859098570033727,-0.110940474923011,-0.02637990466738363,0.03491853051427792,0.015013670478829826,-0.16631792419948427,0.03139381832365254,-0.016458320810492724,-0.035270273311059815,0.031347406405645796,0.012443347328608112,0.055981601354201445,-0.03199289523128537,0.05041736589342996,-0.04848163993950446,0.003028980591377138,-0.124175466090715,0.07735818942401672,-0.019272790850393705
MIA,0.09339622460121626,0.08045011419564052,0.06154179197753857,-0.021740053063668482,0.012806238958799255,-0.03347568853164776,-0.08801380778535421,0.006018571638500286,0.04454289827793691,0.0006168435871411244,-0.021587958789957902,,0.0230101315855763,0.03583680815657151,-0.05798484568968013,0.051090740419400434,0.049366380854077095,0.19173102273337736,0.22866169771516906,0.12527218175311625,0.039922545002701655,,0.15714047147733914,0.07782100124258705,
