,UKF248,UKF260,UKF266,UKF269,UKF275,ZH916T1,ZH916bulk
IGFL3,,,,-0.027696193043239253,,-0.018395379869304115,
BMP1,0.003105824292247152,-0.06141053198675577,0.011095852482329197,-0.20094949274939067,-0.04506516965710715,0.06370515468164449,-0.07993368386979427
NDP,0.03899590000545866,0.06443601927722524,-0.05153125228755371,-0.08795851675452557,0.001207637702453478,-0.029164268242105114,0.051160810373423224
TNFSF18,-0.03480103654862191,,-0.020119113563117623,-0.041128015206710535,-0.021838756673510252,0.026997308040611994,-0.026674492887896424
RTN4,0.013028237679643983,0.12179390259248273,0.11866136891594992,0.2682324789585376,0.02498733239947046,-0.07732967398611808,0.12461359990928195
HEBP1,0.04968576901975863,-0.08705381275079767,-0.05209133846065595,-0.09975499906843287,-0.002435957646638637,0.00046471770807604915,0.02552818983933887
WNT7B,-0.030565675130423606,0.01987238019010293,0.02788867077078935,0.20796928273581422,0.023672742935019454,-0.03926338770764239,0.048226948602043504
PTMA,-0.04306755315837123,-0.1161727631547671,-0.09075949354463449,0.04523603144338079,-0.008648383326429662,0.040411128205717795,-0.0304426332225768
FASLG,,,,,,-0.01595430668497293,
CEACAM1,-0.022149906016533133,0.07688677531681481,,-0.054122125535438194,-0.01794434384267228,0.01625813612162082,
PDAP1,0.01739910567128212,-0.1034460461185107,-0.024734129278658992,-0.18279682803581473,0.018632712887673018,-0.009347639013801106,0.028300335065751095
QDPR,0.01966929104091992,0.06643487415894715,-0.005705440528317381,0.08471522648060695,0.024122304376039235,-0.0024920209775116365,0.08912430803541713
POMC,0.08632333076582303,0.07503430646827663,-0.006128517833110136,0.025547408574392794,-0.025339966275743482,-0.04323804578667822,0.05509811937174879
CCL18,-0.0025537907298256515,,,,,,
CCL17,,,,,-0.02723718144719086,-0.014460787028280943,
VEGFD,0.023871683784152928,-0.014934793204009478,,-0.04639855267851433,0.020842624867583367,,
TNFSF13,-0.004459203295423194,,-0.030781566297466728,,,0.04676390106900059,-0.02901804342073641
WNT5A,0.01654127151862671,-0.07030741775408735,-0.049915565525679974,-0.15338447687175627,-0.03854481511268792,0.06989021350248814,-0.047534581517371416
CXCL8,-0.004337784867050602,-0.05498095416417113,-0.03550035897710753,-0.059353251102898574,-0.05080757192500798,0.09740635587113496,-0.08948762602779761
GRN,0.021592030763777473,-0.05152207509757729,-0.0338515123784541,-0.2325507037077281,0.01354269042425585,0.05959466943314618,0.04117514509687919
MIA,0.00015679231933285728,-0.021042204788924584,0.030631324922506427,-0.07911673160237147,-0.05353504042540459,-0.011180665829343772,-0.008516133923136307
COL4A4,0.08149159881364969,-0.07017732851489746,-0.029287300389639864,0.0010931043640994753,0.0501939982805339,0.045626411983667306,-0.01628113412081439
TAC1,0.04286338044408303,0.197869195308041,0.034459262626470304,0.20547694052545593,0.10295684134146203,0.06968401279972171,0.06161368469584211
RARRES2,-0.004344254089584121,-0.11753181364718132,-0.0385230546961017,-0.2357512053915092,0.06283667403915655,-0.03664953290918781,-0.08123873773165896
FGF7,,0.06213896162165673,-0.03061224253211718,-0.013060283371205806,0.055311336174247626,-0.014660808035888049,0.01582187751126587
HBEGF,-0.04601660049027626,-0.08033088720131742,-0.022089163314091498,-0.13898499248500987,-0.06112291158521658,0.0015533280840826068,-0.07871957285106052
CSF3,,0.019109014441386876,,0.012922906167537728,,-0.015224977901077408,-0.03411481361313684
PI3,-0.029079486763541617,-0.03746341904338272,,-0.03251361381063913,,-0.006943029799916721,0.001339490991467471
PCSK1N,-0.0053321034826207545,0.018064689657127552,-0.007243999808486385,0.06887612177954403,-0.04124096658469159,-0.017795131181513678,0.104083883069551
NTS,,-0.03446964661947422,0.048576936402722204,-0.0354908295310909,-0.005836130295607037,0.09097521853349781,
SFRP1,0.015508373564907021,-0.017038012685662032,-0.03427350597749641,-0.06042564511199155,-0.03485720130038143,-0.02202220155434138,0.06536933364093023
CXCL13,,-0.01688488815685251,,,,,-0.027671747959782413
MICA,-0.01160036986203029,0.016210601754693015,0.016982874754855017,-0.09739792086311641,0.0016640942604893895,0.0018796164673710032,-0.013056509997245284
TG,-0.026261649436275007,-0.036136971070361595,0.015959226706845363,-0.03484952307133574,-0.006666273845099258,0.0005526723467738562,-0.030494409451288767
ADA,0.02325694290703728,-0.008620478593768303,0.021081583120948332,-0.17538345567152344,0.048732103733758796,0.04705309289232372,-0.0005580381718631801
LAMC3,0.013176997037348913,0.048279267620007185,0.018968707523003652,-0.13079260470846685,-0.024102660032243914,0.0400206221747675,0.0068929815506388265
CCL7,0.12042118174820766,-0.02238624428793176,,,,-0.01595430101181191,-0.048905623990156306
NGF,-0.007108477105835335,-0.02389498578736442,-0.0189658077938693,,,0.12024516871036578,0.028662230821233214
TNFSF15,,0.026654372371719512,0.010494848167471479,,,0.08592424502809917,-0.03775642941712666
HMGB1,0.001530923669972085,-0.028881280800401723,-0.018594189223262093,-0.16568475054926285,0.06990844479184334,-0.06277605171584842,0.07604335031050452
ITGB3BP,0.013453876737983572,0.006086649548482813,-0.02565879610150239,-0.1333479211877503,-0.07524555353044515,-0.055791512032811116,-0.04789314540969643
AANAT,-0.011500163589153555,0.05812968719101522,,-0.026046017555780527,-0.024677338663834023,-0.01688031579960079,-0.020830463174716884
RELN,-0.0550703912025567,-0.027673194280742917,0.06664721378690219,-0.01690082017823611,0.02763938611001047,,0.03504199611946022
IL15,0.05202457586822251,-0.02647949530272544,-0.011816188337678337,-0.06793862742842732,-0.01804923353713048,0.023849576813558555,0.014057433325098607
UTS2,,,,-0.08591654695620958,,,
BSG,-0.018643070031749087,-0.03144581575675821,-0.016623011214556914,0.1818027548329373,-0.08150795618685766,-0.04366160656671207,-0.05350481936913841
ADAMTS3,-0.031496110490500176,0.009389609041601212,0.05156124426279788,-0.20132283168743934,-0.02760290625201252,0.03964150471030607,0.054773003732151666
CD34,-0.003927411427373134,0.02310047989198234,0.050371415081409084,-0.08877683878503514,-0.02508392798398958,-0.01931347962314152,-0.05997650661571928
CCL23,,,,-0.029636233445322697,,,
PLAT,-0.06132289511867762,0.0011425974462672334,-0.06213558345047362,-0.14599164047011398,-0.08463039991581983,0.03483099602092644,0.06701925761156245
LTA,,,,,-0.023766848914167017,0.050229268050028156,
CKLF,-0.027915664126335598,-0.0529293017580573,-0.090589205108431,-0.22158247170276224,-0.032213645802313805,-0.01136789366555873,0.0039440523574440795
CD24,0.02374375194758137,-0.03992580664554137,-0.09313788643590609,0.0017264493414067762,0.04789251316149228,0.05861809772593404,0.030432631614271607
HSP90AA1,-0.007472315014901685,0.130931382976015,0.07325858533986758,0.2244846826118677,0.05251610499477039,-0.01789884935590554,0.03333464935374525
BMP4,0.038556275112138626,-0.028983382893166754,-0.08989344061705525,0.08285281488245917,-0.008021518052844283,0.00906074413180051,0.05396557013243665
SCGB3A1,-0.01758200286493217,-0.01778549755067257,-0.005530310678234729,,,0.04000233794110256,0.020030647767989226
IGFBP4,0.009371480526881054,-0.056498780254209645,-0.021627280857933064,-0.15357443291464873,-0.06576704463623201,0.06805087013797902,0.0008279908515374147
RSPO4,,-0.02052735529792908,,,-0.017058292781835897,-0.029963140257272907,-0.02626638894986497
LEFTY2,0.010096563019452807,-0.019511961333242123,0.01776680080040879,-0.15620491315670904,-0.02010148887149023,-0.03545101040884577,-0.0021248416018784873
PF4,-0.018238505648078863,,,,,0.03344669191909667,-0.02057594873987775
ANGPTL2,0.029768750825854052,-0.021343488062889507,-0.0513282274014334,-0.18093298607980218,-0.0023413536291290536,0.03144335790632355,0.0221253448045278
LRIG2,0.04683592107486113,0.007826775371103394,0.01683008036350501,-0.03649211291266307,-0.017008668237267224,0.019953718631336544,0.029744161434622277
ICOSLG,0.0007280250772571447,0.005254187429800021,0.03687971978536982,-0.08306962785493982,-0.06469601924267189,-0.0063047625165892855,0.026492689447652935
WIF1,-0.02178793698218979,0.09645451610105461,0.089090950633699,0.24598931787861503,0.0720467980419997,,-0.037756426318644544
NPPC,0.004691477567797035,0.10158819058170929,0.019525338800427866,0.03603075098008124,0.03576848793373289,,0.0512168330936303
LYZ,0.017439202014963073,-0.0663769551383912,-0.015373670602799703,-0.15115644376238657,0.04565084538597226,0.06364928905570587,0.025871709655229273
EREG,,-0.028886859419382727,,,,0.014318337056238112,-0.02368901227030144
SPTAN1,-0.02407984856955287,0.12143986157376098,0.0944937724663919,0.16167251075932476,0.06686151539104593,-0.01218265377520648,0.07118629473476032
LIPC,0.008855555841255492,0.0519657586184321,0.04688830928286327,-0.04273191146025725,0.0014835484341687603,-0.014386810753937279,-0.015981114876069524
COL8A1,-0.021601841856125743,-0.0270301512715654,-0.05806644694355452,-0.08610949625491526,-0.02624820016994926,0.015735519905053598,-0.07949619987390164
GSTM2,-0.014631047666422774,-0.040241556086215984,-0.028772706589597706,-0.04894506273779827,-0.028024544772465354,-0.00898852413652773,-0.03770620407952975
SPX,0.0641817062227869,0.14551130184306305,0.05985818044414138,0.14967286448235528,0.05640367119978975,0.009291591012964949,0.03364657204596781
MFGE8,0.00826023519069048,0.08046153126153406,0.010364172059604592,-0.0358354626568188,-0.03971294472260191,0.03396436647385055,-0.042983624490946296
TGFA,0.016897075627679108,-0.11602721167840069,-0.0029066976364361375,-0.09038616657584908,-0.0788942801274187,-0.005899118015470083,-0.038149987579614804
SLIT2,0.046823077919190645,0.05130819745389145,0.07288254678070255,0.1161039802003157,-0.0033806729320135496,0.022058820658324936,-0.0033463388608362442
PLTP,-0.023083005151488596,-0.0884722698383243,-0.021634294893516214,-0.24714641406196203,0.0265111853052122,0.06135622885888297,-0.016237042305480773
APOD,-0.07755251850706192,-0.08473382250058419,-0.031280948138205394,-0.18296036046265385,0.019321493514033443,0.04411463466413737,0.056414452907634846
B2M,0.06395967860591525,-0.10489403570443376,-0.08437424582225467,-0.2585939021875553,0.02770469028788719,0.09731012255733824,0.002216245041228079
OMG,-0.04162838287437414,0.08666231422876244,-0.03338529130048892,0.01051309543651157,0.0627722170176081,0.07397323695148048,0.06865606760022436
CXCL3,-0.012119134923698031,-0.03329486436530772,,-0.010211730145662198,-0.06260245924171047,0.1319801892632274,-0.036048505583133585
CXCL10,0.05874806942711263,0.04551506214921187,-0.022643111742865332,-0.1745075303436662,-0.029149768226937902,0.02056847523598391,-0.047659132798048835
RSPO3,0.004761620795721118,0.09110987188832823,0.005149990324074201,0.13744274010551716,0.07655469504622212,-0.0161904958156517,0.06828782045376493
CORT,-0.037867086921186045,0.36714259291590634,-0.0008510051672247432,0.14313898091284344,-0.008490861736136576,,
NCAN,-0.033019942060818534,0.12638114439227977,0.0034121630029939846,-0.15176606969904358,-0.05689423285710277,-0.016991996342121302,0.12522664743550233
PRG4,0.06822749637595574,-0.0142296025889881,,-0.037049523446245576,0.030226456200129086,0.07889297164284743,-0.028638917434953347
ZG16B,0.06058365329663767,,,-0.01871843084493102,-0.018884918980774993,0.0647618040490175,0.10038263394042599
TGM2,0.036008639166376116,-0.03472531610478398,0.03532056115791012,-0.12372625803091933,-0.060199647930636736,0.05956446775456758,-0.050378991605933766
VEGFC,0.04430985469316219,0.04480820179355382,-0.016992131838724094,-0.04884747048051338,-0.0037841000026745827,-0.018674221321495345,0.04351009171286292
WNT6,-0.028368175774070612,-0.019607022419079877,0.006648735549499534,0.008647696674454525,0.05650204336806737,0.04538602895162906,-0.018137922958760454
NRG4,-0.0161936435187326,0.05163322538343835,0.002009237602087885,0.037203763529043345,0.05722259081907818,-0.016190497630220006,-0.02727665415477951
PMCH,0.07594215611194859,,,,-0.0276422908420706,0.06756742276132309,-0.03493168122914123
COL9A1,0.02858873899622985,-0.00932496932512552,-0.06260508445911908,-0.04375855132992785,-0.05061404935864833,-0.00054083668638898,0.05522826984243436
GDF11,0.012325032814564253,0.034854908949450744,-0.06771616648579257,-0.1521154171225436,-0.04992991569891302,0.04073618514517987,0.0154967881081851
RAET1E,,,,,,-0.017760860863762627,
IL24,,,,,,,-0.030494391940547646
SORBS1,0.048666932510875276,0.03375206218796086,0.0005310218103012718,0.029221472837182325,0.059791922158748574,0.004931222193895737,-0.010296747903202837
DLL1,0.035993709037300495,-0.01933100093221938,0.008808676451777405,-0.09308844403882104,-0.00011376595635481804,0.07932154545567957,-0.031234434007767264
TLN1,0.04467883109645913,-0.07156722766517996,0.009466828162024718,-0.20852330932080182,-0.06478089122009345,-0.007951081548140488,-0.023627092740077942
COL2A1,0.025838516379600728,-0.012709193768211155,-0.018730197561724553,-0.03419718762151525,,-0.023562643648259267,-0.024574801333114606
SHH,,0.014419579442674586,0.0062568840972990775,-0.026883144646102173,-0.047655537081141605,0.02296323436544288,-0.04970108747469919
PON2,-0.040859449507107425,-0.0623489580063293,-0.03510325184098888,-0.24318210142211802,-0.04294210580383411,-0.0007789143897374627,0.051488627919397845
ICAM5,0.08066625744214166,0.1827633407615025,0.03782481451123899,0.17739471327986425,-0.03742745585514264,-0.02320631875813275,0.06177407093638364
HPX,0.04111704686270873,0.023895815000326958,-0.014221756850066873,-0.04979822977121545,0.009567316115437298,0.010680665619152478,-0.043530379507691216
SFRP2,-0.008808815028951311,,-0.022017411309369714,0.029968220147890214,-0.03088748913856171,0.05838364248016314,0.07324367532408806
CFC1,,,0.03359884417838593,,0.10745231483348996,,-0.003303538356449302
CD70,0.008593186393034687,,,,-0.024307683816790306,-0.024701529535164416,-0.047917364266120824
HP,-0.023117360891212496,-0.040470032187341576,,-0.11173787494080743,-0.008791285590785469,-0.024219213630656385,-0.03641719775704473
CXCL2,-0.015197000723350812,0.0019494437814910747,0.011933692099697918,-0.07334306549605148,0.008004754873165553,0.12042740871690324,-0.06596861948249587
NPPB,0.03853186230411347,,,,-0.020811220733535928,-0.01642345670656854,
CCK,-0.0012732207577691116,0.16437712021025236,0.11409842919478545,0.2730490309961882,0.14367470803635674,-0.02130565694936188,0.07550906624687619
