,UKF243,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.10316469736257486,,,,,,-0.011482993209735318,,-0.023892917531797845,
BMP1,-0.010998448213105742,-0.07255117722371077,-0.003318752536034155,0.06773366392991421,-0.02912644851593638,0.03557948118871576,-0.10910480675549088,0.018270129797929885,0.025698267393877514,0.08374728185926329,0.025971831803306283,0.006429877248299598,0.0772515845238006
NDP,0.033916600117485936,0.018429328539257057,-0.0024884893520423826,0.04148698645371754,0.005671633687245445,0.052933131245977295,-0.04179038778473124,0.11462873928997624,0.09518913383948412,0.03688179431059069,-0.05751449589287449,0.011048890748469589,0.03413568549974588
TNFSF18,-0.02181211104418764,,,-0.01964879972312486,0.03739418063895116,,,0.18961354849187256,,-0.02987017226289712,,-0.01862800739210859,0.02177722843842659
RTN4,-0.08377593760816077,0.044429281975465564,-0.014024298338850468,-0.08947608138462847,-0.014264425502039815,-0.07263459125464952,0.01506360468843471,0.07493375020939366,-0.05852691757792733,-0.06446556266699788,-0.0035356568136470294,0.005493341422084472,-0.07433437701823882
HEBP1,0.01621922639887169,-0.018470550918781074,0.004295307550638055,0.07030843637273021,-0.027067931561382267,0.02604955771930985,0.08232256302268227,0.04822469580761033,0.007817984392303069,-0.010206355034567124,0.08734637262449681,0.03972693667264152,0.05036030145928174
WNT7B,-0.05090970964422161,0.004238433572827893,0.06161880586709357,-0.05476593893877041,-0.02412064611212006,-0.04260221049202421,0.09385073975889593,,0.03152638857354123,-0.030733368584966857,-0.020366673885378588,-0.04202250585436893,0.05039502464631897
PTMA,-0.04123076727654882,0.02936935701124398,-0.0031030276992184466,-0.02801000261299831,-0.0026034840396519042,0.041771267263728096,-0.04951685357879231,-0.02115954407532511,-0.09715965317279132,-0.04698489537600707,0.04533238438083024,0.010214497770135044,-0.048524893028785654
FASLG,,,,,,,,,,,,-0.02072231922414167,
CEACAM1,,0.05926996413409101,0.01557961540695639,0.0036797623378297213,0.03540942175388326,,0.03751163076332898,-0.04384091482665555,-0.015039388273327332,0.11785469172033546,-0.01351765766452986,0.045367955074400335,
PDAP1,0.011751052168457968,0.02042262527713898,-0.015558476190969887,0.07867152253923139,0.07076679536482265,0.01444100556674253,-0.09397746733917216,0.03384179271504156,0.019868157181638577,0.0701881051675337,-0.015123940812362372,0.06163921342012178,0.036260276573099784
QDPR,0.024302617357704042,-0.048664266632147686,-0.037038959477339505,-0.01060293840279313,0.01845884450172266,0.028577367399143974,-0.16806552138934985,0.09515373837948231,-0.12244575070294889,-0.044883469486790464,-0.020998771723582235,0.019142617307446607,-0.03177094283546347
POMC,0.016415182899909998,0.05201329882314532,-0.0028804779001340456,-0.03333072149513498,-0.004931086884570333,0.04701332659303893,-0.023705810519537365,0.026647026101990823,0.08610364867903332,0.0532592983510975,-0.02211311218353496,-0.056292824805471195,0.04474979180325363
CCL18,-0.029251834394216036,,,,,,-0.05106952919706222,,-0.025670191566432174,,0.007059496057846748,,
CCL17,,0.015959913768192616,,,0.010363681615828327,0.06622352169278743,,,,-0.010595288682782289,,-0.01878245485368599,
VEGFD,-0.03295826749706496,0.02593395754527437,0.01666690618762921,0.048582203709553996,0.00870866753548926,0.02924617686470501,-0.05753553326222813,-0.01877335174595185,,0.05512616313908128,,,
TNFSF13,,-0.028886400912367903,,,,,,,,0.03800303490271314,-0.015179423569579693,0.026132484173946174,0.13275890125823708
WNT5A,0.10009953399928234,0.03159468405672168,0.06489701417827598,0.006574782720610784,0.010014187805307771,0.00635203779094843,0.07137127595583362,-0.01717065239337702,0.023666418745028086,0.009386310919918466,0.04395975873437893,0.0582414430720543,0.0075386685639636745
