,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03952485767557396,,,,,,,,,,,,0.04125072546817683,,,0.03735832943702014,,
BMP1,0.04710087615539647,0.008368894329511073,0.04265848008553373,0.032574492934566546,0.09402229959840208,-0.05622040909335958,0.004706811858107165,0.11011137048231164,0.1895954762848749,0.04351090768539672,0.06906064562610925,-0.0012921274864368022,0.11079400645348492,0.05725293591908165,0.12229247181846559,0.011242571207717862,0.008988763912553517,0.09541893486437994,0.040396272003810886,0.035197319849577045,0.08587877747451546,-0.012661311733325117,-0.05760451913771754,0.0981230864870739,0.03162194281567452,0.07491919803197446
NDP,0.032951828010796526,0.024023333309760548,0.024169247159349625,0.058661149540526286,0.03302267842211328,-0.03482719828408005,-0.02991518664717462,0.017674072617317273,0.02394798202445286,0.0748476015563184,-0.037777383066090346,0.048615898490637424,0.11640706408890239,0.052822140796324066,0.09373035720710982,-0.04737065813395417,-0.13493612727677562,0.018732380623153664,0.036611277387382894,0.18414684316386687,0.07463357594058283,-0.025335639343408187,-0.015815037327701825,0.09291599345514708,0.10454824357724236,0.045892087646213615
TNFSF18,0.06532982549449506,0.013201106607007134,0.025089668970210185,0.023026848031394584,,,,0.03606684387334784,0.0632846833429139,0.012878398732238899,,,,,0.047444617539205716,,0.02793489008769131,,,,-0.03866936596901731,,0.021754203334951,0.02715781152137122,-0.026635224629141054,
IL36G,,,,,,,,,,,,,,0.06323836940080589,,,,,,,,,,,,
RTN4,-0.052677225729915136,0.04524872354247167,0.006601482604120587,0.013042109521551652,0.0840892255860731,-0.019387064141021062,-0.025366591480634144,-0.13242937802547797,-0.18542284107416102,-0.0071108990411068804,0.04280044700637815,0.19728078253213172,-0.017285759631223852,-0.05196561245546617,-0.001173200193714941,-0.04847237996285925,0.007857840185286723,-0.06515504516105743,0.0007142760285061135,-0.04543495506916356,-0.09426941249765028,0.035109259156664116,0.008321837280355938,0.008726795038735769,-0.02109583944971929,0.002555788545271198
HEBP1,-0.02160341051202343,0.06736704011824532,0.048416149430431196,0.03156790527963777,0.011456199043405195,0.04596152688822242,-0.006766247852043305,0.0938437777240528,0.08660963108509533,0.002203356426499234,0.020169439299481468,-0.0936072122839874,0.003953732481519355,0.0504370557032864,0.10858552555352373,0.013626505327814679,-0.11441332660250864,0.0022493765924870425,0.07481136905112887,0.09501043299009426,0.02927612559855474,-0.021912238874573258,-0.008024593843932792,0.06466917560860001,0.026471038945728116,0.024955049525124177
WNT7B,0.013680301992076118,0.06527124274599136,0.0387885223297083,-0.04187445165890631,0.0647062630370023,0.014927095587883837,0.048441680380864306,0.06020944071971015,-0.029266984830011656,-0.009497661029879777,0.005833083428113687,,0.06369248304743369,0.032398803614858994,-0.0028700873267276565,0.06434489531758934,,-0.030111105677501013,0.007076063671870669,0.009794745453235198,0.027680167721580176,-0.03139019135229252,0.08135948167024361,0.03795965409597137,0.041787755993195466,-0.0031492683179562392
PTMA,-0.031163385570347837,-0.12886698802620827,-0.027824621130676307,0.0034390985347401105,0.1193684229757395,0.006039696619263551,-0.09005625494863313,0.23699871886012885,-0.14708734334529108,-0.026485421606223563,-0.043280881111021956,-0.24075870244994724,0.21858459690222962,0.07889119602225761,0.02924859456373008,-0.05264034614918316,-0.03599933540858613,-0.15291748665933086,-0.07803924470928848,-0.0690414514503863,-0.06861976431765211,-0.034683161980267586,-0.05696553407360211,-0.005636829043274099,-0.016874849674355524,-0.00829321931375347
FASLG,-0.06460573662862994,,,,,,,,,,,,,,,,,,,,,,,0.027311961339720955,,
