,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.08088377704591948,,,,,,,,,,,,0.00044125664762738055,,,0.02480771820832039,,
BMP1,0.016813690124367973,0.05564319274328786,0.07797350285186691,0.01892288488757253,0.04253764269870241,-0.04306957754037664,0.057045832867470184,0.16805005585766222,0.31179386019254857,0.037090982962362636,0.06687022533079609,0.05685771162784282,0.04109288885302151,0.08966597770196935,0.025414736675718096,0.06905671928425544,0.08834010220002197,0.11133042432024531,0.0055860202484966865,0.0005786667412978136,0.10878917599567142,0.03202453085702575,-0.07466882644523691,0.12342919394073376,0.048447882340061935,-0.016592628982543885
NDP,0.0018715251280543436,0.0360553304970666,0.0038988168536052406,0.07772054692055234,0.05613864713677167,0.026519117906534526,0.021543981147629614,-0.021333747169310368,0.10323049210903011,-0.05397641292688294,0.0265505550373456,0.08129536953155345,0.011979787226761771,0.1191123758289878,0.06857138588889858,0.08016349008116096,0.09069484649710206,0.1250265719938564,0.0026454861252707424,0.08678136751844492,0.08047380041572126,-0.009197043838646913,0.12332142148197765,0.13068354584530045,-0.035897632266277506,-0.002478385744866527
TNFSF18,0.006930428927549242,-0.02710461433440852,0.004243548641611904,0.000852962286899469,,,,0.0629530905601815,0.05919462760804115,-0.003816841427800281,,,,,0.03042219529721576,,0.04542934138406392,,,,0.0603107496348055,,-0.08225097596290659,0.14360622488522984,0.06551131545154465,
IL36G,,,,,,,,,,,,,,-0.019611506166100898,,,,,,,,,,,,
RTN4,0.00028996786367706365,-0.007131099072818435,-0.03502400246599404,-0.011525219197204097,-0.04529344298034299,-0.026179068382334702,0.0360947890167831,-0.14709957588012892,-0.3265573072574077,-0.05241703930001104,-0.04483755833261729,-0.020119020081610768,-0.008712834226258527,-0.07643430871130354,-0.04918122898532516,0.01319699226589113,0.08441637905377666,-0.014953503399190375,-0.018510379545989594,0.0009789671816917158,-0.02368995522441395,0.08793644833778463,-0.014110865358980047,-0.02069285235977494,-0.19104659873650623,0.12729525869878158
HEBP1,-0.043977838228429475,0.06711817713084825,0.03028788343690953,0.029725871344351753,0.025257480588979475,0.01016468515683157,-0.024830631678619833,0.09365735070252552,0.14478185610008712,0.010009637580797542,-0.06130060374679587,0.03309337447348974,-0.07021151724819791,0.11477225976104828,0.05460289143434384,0.10710537474291319,0.07135622245570682,0.06989927726207143,0.12226372983267206,0.016730123227923322,0.004858215336557,0.04740679596399879,0.05559961617520948,0.15030339107744237,0.04456630955637902,0.04082117388138689
WNT7B,-0.01841189743125382,-0.045221962899189325,0.004544661109266691,0.03341395189107673,0.05496127988663166,0.015913246620350256,-0.011133799846315762,0.054375288147442,-0.1078915907454039,0.006150248102334187,0.06797664927658709,,-0.030626008939122772,0.04490837949795339,0.08124023961844366,-0.05994711879878916,,-0.05566319803788943,0.016238651475216633,0.007979932485968268,-0.0017332243204549703,-0.06623568839506354,0.05043287354035614,0.03533904115492228,0.026514603354401037,0.08710017807308046
PTMA,-0.055463748741786896,-0.013727103250836417,0.04968451302365134,0.03984122085737938,-0.0671648872276912,0.016132689503047738,0.00968390358870018,0.25688407283392894,-0.19275447823475375,-0.09215533275186306,-0.04973320595376808,0.03086298262192065,0.04058791229236723,0.09277793989570622,-0.06153028947655289,0.07329255077827021,0.023519493722261423,-0.13594472814315994,-0.06449412280462286,0.007084570743662438,0.026780321057281776,0.1140023742593102,0.04144086563546262,0.0033071744247469203,0.07205482640085946,0.020841809932520584
FASLG,-0.038769248995066966,,,,,,,,,,,,,,,,,,,,,,,0.02225118920365414,,
