,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.08699707116400801,,,,,,,,,,,,-0.07046916805019095,,,0.03154629075580745,,
BMP1,0.06496499491312831,0.012756133400020339,0.048428725696613405,-0.014708954667715572,0.07633285685833298,0.012157441619571439,0.0007949648168404523,0.15871634851783556,0.3051106373867308,0.0232906843049392,-0.009074966460936768,0.011083319475803769,0.25597492563814445,0.12083506287983876,0.04785308856964147,0.06844290404824845,-0.018948550451207982,0.10912465546958881,-0.059514806788255936,0.050208840924621426,0.01058648764784435,0.07584825181924794,0.08650131874695441,0.09121665048850588,0.1224174983227807,0.04658050525814642
NDP,-0.01369544737831145,0.0503768816249447,-0.00019665700056194745,0.0024679820967465644,0.1436458924126536,0.0013580553730036485,-0.1014411035112534,-0.05505763434888198,0.0860490117549135,0.026841184913700394,0.03127184512319033,0.02884843080860507,0.09197095715933712,0.04601313609880257,0.14190159416469775,-0.0060450963526041245,-0.007230984507031384,0.02522007444255848,0.02635028372063511,0.001080234397690081,0.026416683615293972,0.026875042739316714,0.014426207920619065,0.10177779518918402,-0.058026081467102565,0.04916622539626434
TNFSF18,-0.013065480684424079,0.042301081367022556,0.0016962557549781627,0.0629448611352555,,,,0.0335391757801176,0.05666645804895354,0.04716377306287114,,,,,0.06561330230231374,,0.009964158689034521,,,,0.015436821715274522,,0.09879436714618789,0.04017534077170331,-0.03818820652475644,
IL36G,,,,,,,,,,,,,,0.05231105078295112,,,,,,,,,,,,
RTN4,-0.0069587704550685085,-0.0033958766169028634,-0.017669213864988664,-0.019828092883820522,0.00882332250567859,0.011028352689446847,-0.06041178807206101,-0.23404218384484607,-0.4232430667797239,-0.008009701675081537,-0.005480045870711219,0.11717982048780684,-0.04918416405039351,-0.0323660067653636,-0.04569044206751315,-0.007448884485180409,0.08978080685439867,-0.07003461236090194,0.09167527618755777,0.05967934096855247,-0.11126704243385405,0.0041857288749107095,-0.10761580742881079,-0.031212327819105348,0.03071086036132104,0.1768278770022876
HEBP1,0.03186309887339124,-0.014059064700499922,-0.023054507573236047,0.01983152279807442,0.0034446678479043923,-0.03071646087155201,0.02107567297750619,0.1485408347802681,0.14658078891320558,-0.014679993449098004,-0.0009781735392264343,0.009671142501470035,0.013634973340100543,0.07098839899551293,0.08735841844321518,-0.000595323855636548,0.05173130224723398,0.029925598849510873,0.031934376823590564,0.0018891149814007243,-0.03226379927216645,-0.09507975067151547,0.11444916488226202,0.09338556792934112,-0.0349292318479193,-0.02759355200673742
WNT7B,0.047724842339953985,-0.027836792625031106,0.008603155770606712,-0.014849765935668264,0.046735181738232746,0.015092181642850347,0.039729964977702925,0.004193498129148765,-0.1482640680390524,-0.03723531215544181,0.010474805848758999,,0.1379078635177556,-0.03598033541371725,0.07919323118219058,0.04961251854378313,,-0.010375840357777196,0.0179006134529939,0.05001976861481427,-0.051504548487379516,-0.022023801348047933,-0.019407209881891263,-0.0273429766947724,0.03408052377130184,0.11568342291095003
PTMA,0.0074024447001210325,0.04927937188999422,0.10851381536020166,0.0032049887810768193,0.13015292920381558,0.028698750714668014,0.009324902580845939,0.35221899226866565,-0.14440124223435702,-0.04902924892404156,-0.017477823208379716,-0.023236788201631622,0.21894896126631327,0.11896634298143333,-0.11858754699123927,0.07780413450287163,0.02705306094689063,-0.16621819191222054,0.06802859818531497,0.05560274488979477,-0.026339110207464714,0.012280769382430744,-0.10839860923980385,0.03888778113393078,0.10461933502857204,-0.0013770218147628915
FASLG,0.003366600605358114,,,,,,,,,,,,,,,,,,,,,,,-0.02567596521485195,,
CEACAM1,0.009519513037737699,,0.024185113390588108,-0.00024619424608255227,,0.004049258092056722,-0.00863762936216123,,0.11467966178649742,0.03217408726877292,,,,,,-0.045906452314015946,0.05490385633253296,0.0500400589636853,-0.08878405430017637,0.0038776053095837004,0.006188640212777866,0.007444884223857244,,0.05593677154421226,,
PDAP1,0.052363068287348186,0.02496482255597302,0.10621577649804259,0.05919881993372178,0.07851163156049915,-0.002476345732017043,0.0714309519015849,0.09376679757998499,0.2836210117482413,-0.027943020971275857,-0.0073361317673837625,0.048773783068691824,0.17798689845433036,0.06066391443827519,0.06408606658298246,-0.007387026614042751,0.16059077687803586,0.059262818462496744,0.10788925110894952,0.026597425631638708,0.011954755886703165,0.0679337169978828,0.11627436526317785,0.07824974131295184,0.07293006896909059,0.022244232661197617
QDPR,0.03652480455659042,0.043599676827112924,0.007597155299822388,-0.03393463383151029,0.09368386998527704,-0.007708405221806923,-0.004992182276820329,-0.04822545469357855,-0.3280263648324981,-0.019188253298469876,0.008541509301353285,-0.014786147083050196,0.13983660772502512,-0.02403205902539712,-0.02405846621014032,0.09089088794167337,-0.06496444055822159,-0.17780296199738474,0.05699680053853647,0.08481561813853973,-0.06351379121274096,-0.04194719741559943,0.03480461343865444,0.0905457764243382,-0.12698748688778946,0.047501735383134666
POMC,0.06657155892382897,0.11782571872043375,-0.03796459387580087,0.04142581849988658,,-0.03405042020648397,-0.0019109650527923522,-0.035070009848467094,0.04265865261293053,0.004417634869503481,0.03169564731613087,0.030080947518636374,-0.0010691091847364281,-0.021892923576837794,0.011846084515737619,-0.032112368558046576,0.0059709132572822515,0.028876473402094715,0.07856472977436936,0.0565598405960043,-0.030308690281720445,-0.023265213636627403,,0.08830237721695747,0.05205454556168379,0.03534995890756262
CCL18,,-0.04188508508918831,-0.0019943241866752118,,,,,,,,,0.0006773868203992106,0.11362746467131746,,,0.026653463772423468,,-0.08467729953903873,-0.0005556228087887794,-0.03957815526770316,,-0.033161715199122754,,,,
CCL17,,,,,,0.01209957911615497,,,,0.00541722313080299,0.04595960787522287,,,0.0488165656458183,,,,,-0.03192676875874542,0.015565889939125306,0.039650689965818324,,,0.005473719676681509,,
VEGFD,,-0.04348513251749008,0.01872973215396982,-0.015920040744497706,,0.004915156893154048,0.02261589545210382,,0.12087421066505437,-0.013860065338055864,0.004722489847322837,0.03742307586610212,0.03780286458926132,0.016357806742260804,,0.04522243370916922,-0.03232245078479294,,,-0.08217587465781895,-0.04005542218024343,,,,,
TNFSF13,,,-0.002237859453752481,,,0.03786563519807024,,0.0032947929796425424,,,,,,,,,,,0.005188291182147302,0.015417451829636568,0.04046833559921807,-0.04823579133086105,,-0.028274066424298052,-0.02516354786750543,
WNT5A,0.05455267101562671,0.024827734042999056,-0.028948803516599744,0.073494007991456,0.11490465560155648,0.06232689751253222,0.05151163748338563,0.2602352952940329,0.2836230721546488,0.033350658802597716,0.032511225763492246,0.03428707860467642,0.10263652382481915,0.08344606541575278,0.05893635277918859,-0.03898084069925878,0.03132079192161892,0.026917165534342355,0.011055198607743056,0.016209577342972886,0.0015241260363649312,0.011217203169638456,-0.03805333522996482,0.09829275886806989,0.14960157738751476,0.036676513376162574
CXCL8,,-0.11209456751053684,-0.07799811600386071,0.02872834144208045,-0.17107221551258547,0.02809881341191663,-0.025471930375504284,0.022213308334267382,0.09537586398915336,-0.04672642283388713,0.03525906356632389,-0.05468691756436713,-0.03241314033953943,0.00790589943184042,,-0.1283867251464242,0.007681089579110741,-0.009583706343128896,-0.20180971673522427,-0.18827847251644253,-0.015376862238228439,-0.000548853121128401,-0.04741499390227162,-0.03169109844200107,0.02384667256386491,-0.08374224946688996
GRN,0.012487967577084202,0.010648693911335418,0.06639129633111751,0.007684798064845168,0.10305657097413856,-0.021102341425875536,0.018628801531956365,0.17565206500863703,0.30704186629263136,0.047051814179023405,0.0408899759095158,-0.02390371935832289,0.002753963257533666,-0.01194781607235391,0.155575883005994,0.12081574925403878,0.028409893351910475,0.11827883802502814,-0.01589448557099895,-0.0007732863736385626,0.0995689338864067,-0.0030027187175692277,0.04522648164998307,0.011604293093657455,0.14002556078307105,0.00634103049490129
MIA,0.0837078335831502,0.11116943679573302,-0.02664933309770285,0.05170176213615028,0.029601365735160826,0.0014425643581329473,-0.025798639114702968,0.07364622015886572,0.16814112260945274,-0.01780386619746084,-0.005533556072443293,,-0.02672894470670346,0.021706641638667416,0.04577591006624927,-0.051363347259933384,0.10949193526912841,0.07624975540534631,0.03505765139245248,-0.0004799104154086441,0.012977633920226923,0.006658590690525073,,0.03819178413701314,0.02198335356082628,
