,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.06912802971713974,,,,,,,,,,,,-0.007413872139997703,,,-0.030218827374464668,,
BMP1,-0.06237026133868307,0.05020969457977728,0.1844901012933155,0.06261047383633878,0.011841203195003284,0.013954758628417488,0.05079458398498381,0.1220632499097299,0.4318162419417245,0.09258972990465304,-0.0022640604794776234,0.09362947308404834,0.056075663700638954,0.14947839671176605,0.07588349406750394,0.04202104585312687,-0.021068685375835693,0.15956819422895585,0.15323378347090694,0.1918239251324386,0.13658481874925688,0.13296658409751133,0.07097759457520716,0.3251814349533348,0.07666099067513027,0.039777207095004964
NDP,-2.0715112627079545e-05,-0.015335713914192571,0.013227292477609655,0.031240889381543083,0.010561417017084988,0.032073248089245845,-0.026017653460407145,0.05154076999348739,0.05851475994987687,0.01620039233701042,-0.013486424958308658,0.0162733671909016,0.07624287866238222,0.14447706369938446,0.15795554449630597,-0.09302563923548537,0.14104581650279197,-0.017891493266873205,0.045352314211843346,0.05267017928420233,0.052026270194803464,-0.07455229835459075,-0.05975375324533982,-0.13134212291242217,-0.060215740463671,0.15711673545423765
TNFSF18,0.007342187827186398,0.001120512955722105,0.038541261999728356,0.008280055242472838,,,,0.01793159651006929,0.14601045786121897,0.04155697322682052,,,,,0.046410311727866624,,0.06275262331956591,,,,0.0533250756526758,,0.021747183441275023,0.05717333570965243,-0.022456024490407053,
IL36G,,,,,,,,,,,,,,0.03924657654369356,,,,,,,,,,,,
RTN4,0.025795182901849116,0.04573746344425629,0.07378131702489167,-0.00921406761282958,0.008122674019096518,-0.004854566384014145,0.048160720090276804,-0.175830980352892,-0.45567354923128267,-0.05734153834393912,-0.05999923817692168,-0.08836890059234266,-0.06086881775029251,-0.13739354863155204,0.06863273417975628,-0.052765804667609086,0.11113357444008617,-0.04382607809780688,-0.04608098652078239,0.013304559475362028,-0.14117040158979338,-0.07580614365863561,0.0036558458875169215,-0.003661457925479271,0.024662646207349176,0.0938474420562973
HEBP1,-0.024607114591366688,0.005598608610449353,0.09234806602140108,0.0033003478886887093,0.03474508506597494,0.013625694055103348,0.027073831910761847,0.024624912374414675,0.23391382635225313,0.0014509718567827581,-0.027269845861719388,0.11346524508351873,-0.027419708464175185,0.030596714867458373,0.13288510028408493,0.11094592310531656,0.015158618082410385,0.058840312082979636,0.12892928502145304,0.15039811287610913,0.011890431849227645,-0.027451871260838222,0.060397057806742274,-0.034030025370461674,-0.0293541138512474,0.1557229036017038
WNT7B,-0.03498640342235625,0.014089208318393557,-0.06868484559671784,-0.005928534049253245,-0.01663671789669513,-0.004231077868908878,-0.05728580563200125,-0.030753367861575565,-0.1422809725180446,0.04131337211557267,-0.01966931285904117,,-0.016707167300256884,-0.06176710254423227,0.09623660040655256,-0.043538753006873106,,-0.02418883255850608,0.012475529908827722,0.014964885326556107,0.08597321737243968,-0.002252104389812875,0.011101535042732534,0.04550231260101811,-0.006877386550142367,0.08740016129666348
PTMA,0.04567862194007194,0.027044858607915317,-0.045467633496098336,-0.047215775190250504,-0.23066482798195853,0.017103532298472373,0.006347081770015768,0.19709446510893222,-0.21145377765893894,-0.006558502042238228,0.002792512440900847,0.13801400096613872,0.11720055260785966,0.13851908516711475,0.11948722414888278,-0.07512137745645842,-0.1197368038210743,-0.0905527002554569,-0.058450301727273515,-0.021581515073136978,-0.133090934188204,0.06579204718475216,-0.002114150466071522,0.32800873530843183,0.15446730114458962,0.08663407292383671
FASLG,-0.012583353839361924,,,,,,,,,,,,,,,,,,,,,,,0.035971434866676415,,
CEACAM1,0.003897266319178393,,-0.019004901058365383,-0.01803168645995716,,-0.05614952168874344,0.0035748997974745914,,0.12919904909448512,-0.0077776718080730745,,,,,,-0.06560780242543186,0.023201386993124646,-0.02622983515063595,-0.004959121330979237,-0.01643007179849207,0.018967890540649422,-0.003484899428497731,,-0.004526197264756722,,
PDAP1,0.020582651389173957,0.024022585420539123,0.017169107647220048,0.0067786492851592715,0.02995042502051864,0.049622940842681415,0.12820322057294128,0.09592372700712572,0.32850494320378115,0.014674231169405498,-0.003627287156923508,0.058372166017908296,0.1058644507978147,0.09990842059709823,0.07719320684578618,-0.14110118544664663,-0.013204296928042272,0.05231747020642112,0.05102014403795586,-0.09222161347065712,0.02320600696107232,0.010616331681729678,0.014641615639461073,-0.08072554902499492,0.13920139805547307,-0.01602523609343999
QDPR,0.05347426021001887,0.04675503137133799,-0.08269098542854787,-0.02303169271538617,-0.09606709486615865,-0.022007247107237293,-0.16064537635824438,-0.05148072095280478,-0.3686537264913558,-0.053838669893634894,0.03845205320575721,0.09503667945883093,0.061809193489745944,-0.060448854332733115,-0.008862284127652234,-0.019845722256519347,-0.03351736270063124,-0.1412636796779684,0.0357990467294882,0.008208717877083504,-0.10408568807215629,-0.0646286277634057,-0.018682232249989134,-0.0725428881878392,-0.05575666492790506,0.035459343032534014
POMC,-0.027709002598167137,0.01382328757629891,0.07030711887889708,0.03937244068323911,,0.03407686199113697,-0.04094666513690058,0.006611413135125745,0.026800193245460138,0.006108004676999244,0.029760128673338694,0.04592561471601896,0.03056167612023874,0.02978483599822733,0.04588225266157813,-0.005540625020660099,-0.12119138481908474,0.06529169923937105,0.06950933109559965,-0.010178074504886057,0.043500826261709084,0.031061767378590927,,0.06595639825893856,-0.013593761775548175,-0.03830549364239589
CCL18,,-0.03554408397533814,0.023468296147318223,,,,,,,,,0.07710220151708555,0.07149541975508132,,,0.04285483691628021,,0.09210127977626356,0.0631208734333415,0.06367836819472987,,0.014507675192112348,,,,
CCL17,,,,,,-0.0019184348457056898,,,,0.008708635257545236,0.033337753307484105,,,-0.02027629178965242,,,,,0.11338547955577179,0.08380406828841883,-0.02587561813412317,,,-0.03835170573153796,,
VEGFD,,0.043780347895237624,0.04970668509572193,0.004308938014356877,,0.011617184218268305,-0.004299373227226042,,0.12131691670318699,-0.005683292369175317,-0.01478536521910899,-0.0031777580012982303,0.054575780097182294,0.007291665854206838,,0.05998922876377233,-0.008792610299483892,,,-0.010149802297874764,0.006131947946782559,,,,,
TNFSF13,,,0.056668210858239525,,,-0.012159095568049819,,-0.021075789148659756,,,,,,,,,,,0.07213376855801878,0.029030804460913436,0.027338761174733574,0.07054199171602236,,0.056151744368985734,-0.054814009329830396,
WNT5A,0.0603316278363834,0.05299184797754735,0.1329699190365411,0.014603554115585343,-0.0860984681393867,-0.00923752392793372,-0.10751118211322443,0.10837277186826445,0.3381771213643061,0.06102921351140698,0.026594912655237595,0.056677924461120986,0.05507849746911251,0.0920311955875135,0.14633840955490926,-0.03370252608086182,-0.09233225507928434,0.10728802422580505,0.07480262689879588,0.11842606460013501,0.038301965574963855,0.09467119188532369,0.05190626379365992,0.16504946055387282,0.045834859256943875,-0.06343972786115998
CXCL8,,0.09036213710886921,0.06823495426820336,0.005593752478016241,0.19317896853527214,0.07599734987914047,0.2775757097649124,0.046319558746629824,0.23411749943164423,0.02123570619867464,-0.038216175609230386,0.04632876410479137,0.04945496817130861,0.06487254112956212,,0.03719513925761349,-0.046069487295777395,-0.037000728636968995,0.017625972042682736,0.0735837896887022,0.055540082909201136,0.0011829482698148552,0.024097702720593035,-0.038204112952867214,0.15765519041933995,-0.02817713893965273
GRN,0.0479067001054459,0.060864904583086944,0.19931373011716993,-0.0411968837816287,0.03580332844640771,0.0004501426114044141,0.05537042743117837,0.07680364637995292,0.36566039876342465,0.013125466911360897,-0.034341315095208026,0.06460353133344598,-0.027692568854562363,0.020936184043521433,0.08526098517401225,-0.020795556799260793,0.05932355468001605,0.07831073854636601,0.1582202728238157,0.15893914831616826,0.10656992617790799,0.15579861005462245,0.1213733846785679,0.23700616165906088,0.06906314023169632,-0.007130320403207841
MIA,0.057646417326048166,-0.027229757691660167,-0.03152287166637979,-0.10269104515038044,0.042967422123366066,0.03372500626397933,0.1541204926063958,0.009978749110287967,0.12963361261882975,0.037009146012650256,-0.0294519795301041,,-0.016909467559550497,0.05166556536840844,0.05597119298992726,0.02615713833128193,0.02338916058303103,0.09057916948763978,-0.0019498269256513576,0.022833113600562872,0.12266223492721437,0.09389782793832405,,-0.09233347365191646,-0.05694551009134753,
COL4A4,-0.011998280127209153,0.03165539332816539,-0.01284978644136363,-0.053278367344232753,0.05071717278717089,-0.010770293550733742,-0.09862784350441256,0.07118587344078531,-0.02035867684425269,0.0040374572130546455,0.02872545298401509,,,0.037795674880914544,,,-0.03103264398891681,0.01400999001660531,0.0002522852458572278,-0.0030500279167559995,-0.09395632273923492,-0.04506201754838608,,0.0852929084840918,0.012723928877773303,
TAC1,0.016665676080087375,0.007440192487538497,0.021530516634237717,-0.012115736226371885,-0.10015038156343688,0.005831580174119308,-0.08544541710405461,-0.13015328076336632,-0.3113225269832486,-8.173690455372316e-05,0.01329165672029667,-0.10937358959054676,,-0.12664675411563964,,,,,,,,-0.0904361641710955,-0.016341584257490317,0.030314118307987616,-0.002757833544318093,-0.00794062091198195
RARRES2,-0.06032049053070156,0.005321984715465949,-0.04373268823285717,0.030692728210782644,-0.04573558188629421,0.011550609293901832,0.23333173584730824,0.07389909703829979,0.43181133615921224,-0.016433872438282062,0.02792634049856367,0.07369240831910523,0.022737494099705765,0.10761593262595563,-0.048527935283445636,-0.09341303233127746,0.0285525134705074,0.06279633727888448,0.03290850700763549,0.15337332582108568,0.0199923937510732,0.0043931951079271,-0.10555503383723604,-0.1272809420626782,0.08421781221194212,0.0681203736184565
FGF7,0.011854364297097422,0.03404314509182965,,-0.009627439666181079,-0.041353518021023106,-0.028014168346681512,0.002765192247497456,0.03288974574453044,0.12220522532262897,0.04486526386364116,-0.015778325777241788,-0.04463484127273711,0.016458470345813693,0.0056194991739286,-0.003165051041203808,-0.06443744993753843,-0.015003436073514054,0.19278119416726164,-0.03542162772519645,-0.025603875100250417,-0.05718584720794718,0.023354837241319114,0.0931821060772336,-0.08686929050628237,0.0008252802490324754,0.03392151353709885
EFNA2,,,,,,,,,,,,,,,,,,,,-0.03632600492274459,,,,,,
HBEGF,-0.018027860293807367,0.1008953424247665,0.1750248371424403,0.027733901174274312,0.22423542060023574,0.04002185694052211,0.22947010986107833,0.15748397987172386,0.22178249251559434,0.07785457317682547,0.0089215974740158,0.1215007716681087,0.07050440172577944,0.0666741123847438,0.10499129547802141,0.033497197563068494,0.06220148230533943,0.17789896496761265,0.08830599929791319,0.1925426282249256,-0.023497941104818728,0.07437187339061166,0.04173601277725179,0.16997459315047983,0.1276062317259104,0.022253629902860648
CSF3,,0.05389866590837879,,,0.06738132354970859,-0.021985788882285036,0.2168225852976896,,0.052261922792321364,,,,0.10465866820957342,,,,,,0.040228050482192856,0.16878661975898243,,0.06918802073186356,-0.03463392207991493,-0.029882052774588896,0.029377004352754053,
PI3,,0.08574464425323755,0.05637011776041077,,0.13868779101601578,0.04450531332818699,0.23109018251235017,,0.10106401972687748,,,,,,,-0.07445850119930307,,,0.002007681428007723,0.1012935263270157,0.032009496125909906,0.010231000035057189,,-0.02022529353659786,0.17872734691089648,
PCSK1N,0.024735523324376403,-0.015686230257856988,-0.06134497123206858,0.056364339704686565,-0.1530260965341337,-0.0719312203803569,-0.12508721819163407,-0.06668294883153134,-0.12674211304056082,-0.045440577524649105,-0.035509738189349396,-0.16370819637029083,-0.0406173974527565,-0.12257657583618416,0.041845613137832915,-0.05875793518924581,0.1439677557001735,0.03914758968844289,0.01315069339572976,-0.03622490461320851,0.01165022419097631,-0.06903904266421719,-0.06041810317079739,-0.18643636830218982,-0.09734699761088726,0.026532354263101517
NTS,,,,,,,0.056026702238973776,0.04048018065369719,0.02738484152215344,-0.034030524683545664,0.0021942607570948638,-0.015157172214474383,,,,,,,-0.022792316433517836,-0.03002143758257082,,-0.08465005478354927,,-0.0792373103292533,,
SFRP1,-0.0388646406549684,0.03420258904542742,0.008113924297928482,0.040955708761453706,,-0.009165651996444906,-0.005491260753497032,0.02385748637252289,0.03603274415340084,-0.006217160326265897,-0.01343750830938477,0.09627272068669611,0.02892285991399735,-0.011199715500508562,0.020171440686903158,-0.06802565724361807,0.027934585665337065,0.09753218394500975,0.10382821630239447,0.030774159702974382,-0.03679853330410389,0.05798336833086882,0.07880155801271047,0.12879977770589027,0.011724885192057341,-0.016109520272821417
CXCL13,,,,0.016836354221504646,0.08984766293239824,,-0.01589493670129427,,,,,,0.04656093534576642,,,,,,0.0685832353328099,0.025332969874596243,,0.011996055369263849,,,0.020776668757858698,
MICA,0.0009737070971417916,0.026877228523401013,0.10220620890457291,-0.05314510025105261,0.0032371105045600687,0.039566291390871894,0.06888202508686886,-0.002498231728175463,0.2536918989856288,0.0014280442120865476,0.01953180408199002,-0.02646920768050019,0.07018635866616589,0.09931850807041875,0.0831224051007579,-0.008405007101968492,0.07878076476473347,0.15231404428994158,0.10115152006895574,0.0751040574622572,0.018226335905452296,0.04504522376801864,-0.04715986993981853,0.06699586009287442,0.09216772291109268,-0.09988379670094878
TG,0.03860144405204756,0.0054644305669656855,0.016679577192607337,0.018154619911175545,,-0.004332575810168148,-0.04862024283975447,0.012555515397290187,0.037396155983852285,0.031071062246617098,-0.019978181200275127,,-0.00890986809004759,0.044422337594737696,-0.0760834558210826,-0.04407007050318667,0.010680604504631123,0.07963951897929669,-0.04381005828449401,0.018527279518786997,,-0.003044487317864532,,0.006097893293663939,0.007284805668656692,
