,UKF248,UKF269,UKF296,ZH8811Bbulk,ZH916bulk
IGFL3,,-0.012443416080727398,,,
BMP1,0.008633689194285737,0.030248264905268323,0.04379353015066743,0.01816629998778635,0.04599214898046778
NDP,0.005857959230220988,-0.0032194333762485157,0.053941647523246254,0.05890145032765332,0.0034728224199381042
TNFSF18,-0.02723212607724665,-0.01847809931829272,,,0.02600368160255582
RTN4,0.0027474066385751975,-0.0921722823562753,-0.0681006098709803,0.009210106943646225,-0.06609493117368108
HEBP1,0.049395546596628634,0.03944130164388572,0.045864916102370396,0.009381211002906627,-0.0013647294485953686
WNT7B,0.009327235673539038,-0.05150291484620084,-0.011723842873269616,0.04335836036794374,0.050594356156203266
PTMA,0.013310134291387459,-0.06364641087323364,0.002110405390878717,-0.02526216705950409,-0.02854897339240055
CEACAM1,-0.017332501932770163,0.057129151962730204,,-0.01788812809378399,
PDAP1,-0.011970862286987573,0.06945258688463847,0.01553175995612061,-0.036621144737110145,0.023921278595825768
QDPR,0.05266151407387911,-0.07145409555983498,-0.01844030724338797,0.04255787603331109,-0.048993787687205435
POMC,-0.02400924518980037,-0.007305999992037174,0.02152449603113324,0.05968598988608176,-0.004349487765425449
CCL18,-0.02162932476751365,,,-0.004932067826417243,
CCL17,,,-0.014510830956175115,0.022373960728948938,
VEGFD,-0.00563469309164446,-0.001403495853558441,-0.010643869992008186,-0.01788812809378399,
TNFSF13,-0.016322187733583682,,,0.06192551687157745,-0.036303440394737804
WNT5A,0.013212744848248265,0.03289351171991375,-0.006527955957091307,0.061624888409332605,0.017660257134555473
CXCL8,0.004828735383236532,-0.0305440338072283,0.07428254520069931,-0.0613064622579895,0.013317225209241196
GRN,-0.06650421930089649,0.09135325259031668,0.014649872850449618,0.06402381287185391,-0.035860341137147415
MIA,-0.016125808694404886,0.054463435508322194,-0.012105160537760935,0.016979148643795135,0.009017526398360818
COL4A4,-0.012824825661273322,-0.012262062932918575,0.0369840767542879,0.0856857190146739,0.009929526671757467
TAC1,-0.0010683430801506919,-0.05543191992573862,-0.02652235637640032,,-0.027850401770481974
RARRES2,0.02455281198756072,0.11163320733722684,0.005224865613292586,0.008549894686982413,0.017467182618313076
FGF7,,0.0272466113905483,-0.020815123087562837,-0.016678325513404965,0.0006337875862489005
EFNA2,,,,-0.017001468624564704,
HBEGF,-0.057570602568697254,0.07264783352877252,0.05708778465646705,0.03420974948353986,0.043160741329367106
CSF3,,0.04572468348253787,,-0.019983151951568266,-0.031193328893320143
PI3,-0.02275496158569877,0.08909851960991037,,-0.08591519501132062,-0.0046039305683069015
PCSK1N,0.035541092035786336,0.011612750185225604,-0.06641869909225669,-0.0012077121255144394,-0.03495744894665008
NTS,,-0.015945410194681403,0.039754077102294366,-0.020713063262135793,
SFRP1,-0.017311425670833224,-0.0467945058936233,-0.014510831102311102,0.029964702875864016,-0.0059704553788518895
CXCL13,,,,-0.024083520575553626,0.09710110922666904
MICA,-0.013824336086553764,0.0568327869025263,0.045351775260200775,0.00541661412954822,-0.015675582608364467
TG,0.01783182498066255,-0.015657282396700892,0.06918969449876718,0.07250798412931211,0.06753514843099112
ADA,-0.00836113312294467,0.0783149298898228,-0.017055159290247736,0.05289281156154607,0.08103162324275008
LAMC3,0.0022518343835910503,0.06776010473816721,-0.0011958811671751194,0.10416887294580493,0.016944998168128472
CCL7,-0.013758077749158349,,,,-0.04480532989521815
NGF,-0.023621936281735527,,,0.007243212974958987,-0.04836934461079821
TNFSF15,,,,,0.03758912724302068
HMGB1,-0.048216245817624216,0.04176168980009088,0.006260597725953817,-0.04625768569674786,-0.08933862874262805
ITGB3BP,-0.02576640120193956,0.024279777234857053,0.10275428582898846,-0.003019028927322357,0.015021777927460452
AANAT,-0.01996087766863809,-0.011702021039011423,-0.012105161211080873,-0.02287937199511109,0.05432124811062519
RELN,-0.043093079548249966,-0.03433740135512131,0.04244867556711286,,-0.011279133923628833
IL15,0.047769627566117454,-0.030523639394252518,0.006068102193425665,0.03634458857332038,0.019137080073160073
UTS2,,0.10326086834938451,,,
BSG,0.0016542116306113657,0.008110793298637103,0.031809046192267834,0.012838646982074894,0.0684603097280513
ADAMTS3,0.02042161720288392,0.10636491883797532,-0.012063267995821551,0.06401741942408111,-0.008195861791535164
CD34,-0.015783929355863768,0.07716544296853134,-0.022648427945475363,0.10985534703610447,0.04778806032286048
