,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0394188199526006,,,,,,,,,,,,0.01372698443137495,,,0.012098982244297216,,
BMP1,0.004753740325241208,-0.004396078822314912,0.07287947570143216,-0.016766836250165666,0.06434291249062644,0.06548007712619672,-0.02343345226568203,-0.03557380650720593,-0.15544958435071682,-0.026278275622677275,0.03213582664274156,-0.054682575434356964,0.013014575697738881,-0.10379035666710885,-0.007125972662247147,-0.016646621533029794,0.11638420137118714,0.04881205450467156,0.18789374151694624,0.16507675092128096,0.026857593083726747,0.007114258694327498,0.03861501372184306,0.17710711822750594,0.025989756865614052,0.0437743697880539
NDP,0.019290063696285695,0.07204042816704594,0.044464512500335326,0.0360960369694857,0.03424596119472411,0.03527053705771294,0.07692615283845733,0.06748374994006136,-0.11946458663658492,0.027299781345945677,-0.009454628410773417,-0.06631965592115618,0.01673018096919817,-0.02714743868932475,0.014383931771224306,0.0328003393642263,0.0008334582496865791,0.02089979471683036,-0.010064846724806316,0.0014865683086254177,0.04275772008672108,-0.11744473773836397,0.024161228290197345,-0.026525130827757648,-0.03184450571058388,0.08197078604846492
TNFSF18,-0.044579598661540355,-0.04153370290343423,0.006076154497128284,-0.0008745951557269508,,,,-0.017843989949997797,0.0236591459011732,0.07687509509946955,,,,,0.05571220714495322,,0.10116515578046777,,,,0.04125934387973995,,0.03892885353916836,0.06724430976757217,-0.04496763769288322,
IL36G,,,,,,,,,,,,,,0.0025456824461576252,,,,,,,,,,,,
RTN4,-0.18348231900264983,0.06669798194458096,0.027302072279620688,-0.008270990423178477,0.02531115088535316,-0.030552672909118898,0.05692604807994381,0.1378136621506585,0.23064507983489155,-0.031679915876038744,0.03444588738895411,0.15809869831365647,0.05288733119235655,0.30415349903365885,-0.13127598681397687,0.13527996243423246,0.03463858366543858,-0.04250072375163959,-0.12800736288043313,0.01832194840747088,-0.04997975608484047,0.01590455583085258,-0.13637716665969252,-0.04777672879892306,0.0738899862628627,0.03486730453488473
HEBP1,0.032444375095229724,0.06568117049147867,-0.020876061951243242,-0.0462388247106805,0.0913484672641967,0.04850133207854785,0.00971092254668839,-0.04368474932950878,-0.09627348095624727,0.030188043343600042,-0.021755822303562388,-0.030810002225227756,-0.020091695665436178,-0.031249750794253,-0.0005812165068983937,0.06515122901005048,-0.054990522366505784,0.11365802146404366,-0.0475609612713383,-0.051742441828777005,-0.0003094960072624648,0.057036663237601475,0.0332467772261017,0.03742943516748822,-0.05238724101023096,-0.05276109070273453
WNT7B,0.005064279825550249,0.012512355910882567,0.021786854876166706,-0.002130147566836964,-0.01710445692272467,0.04529022476904077,0.06524672620923985,0.042630436861637096,0.21408753759002722,0.012369893082991393,-0.030017377516476262,,-0.03516618278511336,0.02859956090875551,0.00883269207095916,0.10852898198581372,,-0.0030950697626233236,0.012039367181560925,0.04376125105810959,0.010044920028399684,0.08859842300653044,-0.02076553376503608,-0.08499369542478052,0.04598886909366777,0.1864300784369847
PTMA,-0.09450344034978758,0.01819271169776511,0.06926301881783804,0.03030831721455252,-0.05435059641151036,0.023706802984350378,-0.11262407306885786,-0.1470265992076981,-0.056432559543961015,-0.09407361222440895,-0.06442212782441158,-0.19745935185438035,-0.06242063371074263,-0.19963187890691414,-0.07090304372839926,-0.12254182533618327,-0.0568386561169052,-0.18173766569392905,-0.1692189809741534,-0.011611716912517495,-0.030893624435511965,0.1215391821630368,-0.01299242401716291,0.15215637075238733,0.024619405225691962,-0.04661753003234366
FASLG,-0.0020809311164985697,,,,,,,,,,,,,,,,,,,,,,,0.05470048048482614,,
CEACAM1,0.04322901644737487,,0.046798185654891925,-0.007391423246632557,,-0.009791881066799828,-0.005624576984941641,,-0.052321318086480044,-0.003709201474678024,,,,,,0.14426411300857414,0.08543420309358261,0.00938971405911675,0.025707531811601608,-0.0020279269356489197,0.035907715664551594,0.01253072106259261,,0.038973907918751986,,
PDAP1,0.11743574072372369,0.023236287984912184,0.034442297597528516,0.02023261541089734,0.015579232667486257,0.0016746907298444504,-0.05807614317680266,-0.001538495583230795,-0.10312607820205723,0.06535975304513968,-0.034088504011589076,0.02827130531359631,0.0451094301877389,-0.10496813977189566,-0.015303922043159095,-0.07935586567988416,0.11429855302067315,-0.035754718275948935,-0.13864605858151402,-0.039197264898514377,0.09038742233514037,0.07978375878231757,0.09429778168022745,0.033654354006659,-0.03871171248779109,0.028368908492883406
QDPR,-0.15940136443022082,0.052226513994689645,-0.014312313576937321,0.0172872931666901,0.049421404937655664,0.054380102780936246,0.14501902061538083,0.06939681144621723,0.01769249636131311,0.037465003914723335,0.03458015199155099,-0.20795610914577203,0.04134350453597022,0.10734046147949149,0.05024404683125896,-0.12499461361522238,-0.004067253295170273,-0.09948853270449091,-0.10646590815649959,0.002833017837038767,0.013069655444390739,-0.06625127008612398,-0.057325651547424326,0.02816909370054502,-0.021935858199584685,0.045421152696987696
POMC,-0.03003177004403831,-0.00044245222497090554,-0.03234700671247631,-0.04632483253295776,,0.0057069512499570456,0.04888191751054064,0.05872069827865079,-0.01730057181367443,0.03273017541125486,0.021925162032744496,-0.06584911584787059,0.019625076688525124,0.050553687390951084,-0.023478949254320564,0.04239412215932917,0.060172536509161365,0.032962579996876254,-0.08747875013807603,-0.020867236152388738,0.025159240585851325,-0.010775614252899808,,0.03679543029471813,-0.05765583318255438,-0.039216098247325804
CCL18,,-0.0031531568238233566,-0.0314016527439043,,,,,,,,,-0.06102072842622103,0.01894886506337498,,,-0.12124042833892029,,0.0606918021876155,0.07389951223205507,-0.017353408607002997,,0.08256085160901981,,,,
CCL17,,,,,,-0.018654310574861336,,,,0.032202610160358865,-0.02641618791748969,,,-0.016536026360480086,,,,,0.09681645322500294,0.03603989597036355,0.03551847344842624,,,-0.02118096091411363,,
VEGFD,,0.0461163097968941,0.041262794963249784,-0.00396249884512211,,0.02799975660218698,0.003629554168060277,,-0.01910630476692889,-0.03191215448483269,-0.010361322690740669,0.09798663362170122,0.08219849574227923,-0.015464301625144086,,0.005856316236305382,9.169597950335922e-05,,,-0.03136979294820517,0.00788900316399363,,,,,
TNFSF13,,,0.07705385697495143,,,0.011701550629730521,,-0.00430153491622099,,,,,,,,,,,-0.020521451076707185,-0.032304631306188464,0.026822243552083246,0.00434450154653904,,0.014117580310760058,0.01616636210626654,
WNT5A,0.05279192482599563,0.05483770525512048,0.014169120824419693,-0.04702786586690759,0.009061484124976434,0.023130232569814127,-0.00588999405946705,-0.04103830103666152,-0.08758479066995735,0.10830688344075025,-0.02156529300638206,0.026087057128548728,0.04858739065917379,-0.022560533384873318,0.02373282392959253,0.018426407742189427,0.012096623199909975,0.07515367201982018,0.05532993104728023,0.02972191580719882,0.04670898516150872,0.008771529657506723,-0.005221501962964694,0.12394247673533097,0.030234275699289097,0.0011803374842022409
CXCL8,,-0.1361874952405584,-0.05731851932005643,-0.04359465090020223,0.021606867942575412,-0.07620882767319175,-0.1480875888965579,-0.02435352351227086,-0.04663107308560815,0.01980174244487621,0.03367321300866782,-0.034208377946548706,0.04242790842276341,-0.07660960696761139,,0.18660590441628666,0.06502323682378738,-0.07250899451837929,0.26035613558371534,0.1504992367287393,0.060954877964948403,0.03766257071344411,0.013511452584987052,0.02466856170611114,-0.0011473749078172702,-0.07464882543147762
GRN,-0.1172407695723068,-0.008791705861424302,0.050331496341298756,0.07682151292267356,-0.0017242756822198426,0.040152403634211215,-0.02493802714807374,-0.048410416558260845,-0.195212748407367,0.06167188974634603,0.06662332622963749,-0.09663481524620018,0.035967957119182735,0.05462022391856264,0.0217420146644345,-0.04810855115755007,0.15351586198617723,0.0786086559021039,0.020408783699687214,-0.022049037546205495,0.05634859676630664,-0.026911277969370855,0.10030886501589044,0.1204541309935906,-0.015146226879407804,-0.06529590566502971
MIA,0.01489157035618079,0.05436474902701278,0.04160411747059257,-0.006633017875605844,0.05692207920735324,0.026998330094776965,-0.012143047572371198,-0.03132526345457682,-0.038416691554552226,-0.004766101371436408,-0.039574081583539554,,0.05957606951968365,0.03458669006605126,0.014169990990284487,0.11157437596937214,-0.003418273510190044,-0.009420613789604125,-0.003918591523154517,-0.05282574226634719,-0.00663925240331195,-0.005986361734594354,,0.029897047043251922,0.010572547252484726,
COL4A4,0.08863577357952068,0.026366654473850747,0.017669414475095523,0.07125076534553695,-0.009963884396010146,0.003926615796902762,0.03796678564370032,-0.02871442556286775,-0.021583047573441934,-0.01299990968040674,0.006206708330343129,,,-0.022589528801716826,,,-0.01784344450323119,0.030295139415105487,-0.09070823563038836,-0.0767096413605234,0.014229353762894203,0.017623690044192526,,0.03504606935185555,-0.04575761563234184,
TAC1,0.059388679672152195,0.04731733272313931,0.04333130554325337,0.004296443240395224,-0.0065493663607133325,-0.011927027478434236,0.13014545781160988,0.08958706813200135,0.25403668561625464,-0.024697572193984534,0.01178743850186943,0.0750249977129819,,0.242567397378658,,,,,,,,-0.08048738929982938,0.04233005830075825,-0.008876603299427509,0.02961349242802387,0.16706802475529278
RARRES2,0.22941235305972119,0.0005617538521953279,0.0003151211942475438,-0.02778789151903478,-0.02199649461246614,-0.08721959928311995,-0.14308656798901434,-0.08813390833401522,-0.19080269077103168,0.030421563937423034,-0.0036264468960263596,-0.0006849490203324933,0.12146639293253855,-0.17738144272689108,-0.0022908487306338592,0.07303673680536932,-0.0875161887962858,0.09363202777731616,0.16074295673378242,0.031218334423664812,-0.015469895878947973,0.020729436171203534,0.06232807665206882,0.03172333464779393,-0.007511124668718578,0.024205633576521078
FGF7,0.03585319349125763,0.007142739131393558,,0.05843129211627008,0.014809970489975989,0.036424659149219066,0.05793363331610402,0.023371821999129603,-0.022403034322905413,0.04658321168323012,-0.005143937419589703,0.015445871942796624,0.04341677788953821,-0.06875163845296177,0.010760297502293646,-0.013730413338013704,0.09331378632750678,0.061489499492282544,-0.0078941605281804,-0.03660543287934136,0.007515869257787757,0.00023241218729694047,0.06781912225154679,-0.019295461288669165,0.008896819363255802,0.09082007541827361
EFNA2,,,,,,,,,,,,,,,,,,,,-0.07602856586765569,,,,,,
HBEGF,0.09210899740728067,-0.006904671092245181,0.024458582264704674,-0.03603697923186922,0.0014372443730031005,0.029004214067514224,-0.10683790812502639,-0.0704544439080151,-0.0761470646140939,0.06784801363208086,0.001324836842720992,0.007181599356397495,0.03874816450025991,-0.0216965256117693,0.0006123009928003896,-0.0751122483013098,0.09413110087587455,-0.002526914467201686,0.04791876857747147,0.015142205012040619,0.03802487828361196,0.03315772720175504,0.01711046533216332,-0.07069680076808486,0.002533345763105212,0.008356386145811048
CSF3,,0.01596450109782853,,,0.02935832910726234,-0.058064278113188955,-0.0355765225495487,,0.00766453597352733,,,,0.05727294280215223,,,,,,0.20489340231336556,0.11372633360703871,,-0.03580642533478447,0.09417961842042152,0.037645581903065134,0.06179626536077957,
PI3,,-0.0036996080510427287,-0.1245175393826859,,0.03846912884009977,-0.06652033460708458,-0.1115880675936837,,-0.03499838521846298,,,,,,,0.19126398626043262,,,0.12867329730805702,0.05496268163217341,0.06898044034426208,0.05067350440619934,,-0.009432346384906212,-0.040085736837556604,
PCSK1N,0.19570760538854365,0.124497078642461,0.05198989394142145,0.04215685256632894,-0.021455862114061242,0.08120144135170612,0.08490094378621099,0.0548569860670439,0.149495020295727,0.0525946371899402,0.021605545774185955,0.2292395196471438,0.001644791894724176,0.30480012397553463,0.0036191501241035055,0.03745456483938437,0.057480154911169125,0.0848613664125317,0.12761757502630725,0.08385937890091856,0.06412087586469666,0.06773405777795971,0.08455879399390083,-0.014628042324623187,0.04223809824370162,0.1563807349989036
NTS,,,,,,,-0.0817189572117943,0.013657915423429135,-0.12380491840069668,-0.010001165421961975,0.002757272981276337,0.01757920433626923,,,,,,,0.09614425650380644,-0.05354838903666446,,-0.004291954801933225,,-0.0036945717004990635,,
SFRP1,-0.008766292235806541,0.09127228042579877,-0.013216236528347186,0.03426808941661785,,-0.04094090499187601,0.028892926132708167,0.018067683252714503,0.0189760734514055,0.024294358388322387,0.0019900088373551498,-0.025984619894151816,-0.018947479861565267,0.04442524617926907,0.12087265006981403,-0.11396913933843762,-0.128858983261079,0.08529621045872063,0.0028539767162936813,-0.035267300549670845,-0.04122302795477419,0.010142134624697862,0.10538465639081022,0.04443776732696391,0.026078406904369623,-0.029272009851174088
CXCL13,,,,-0.03253662696940923,-0.08565333658328844,,0.01720469528451037,,,,,,-0.007303977700371655,,,,,,0.08578819783459941,0.11745295501926523,,0.03128430419653613,,,-0.017200398092921912,
